,CA,a-MCA,b-MCA,o-MCA,TCA,T-a-MCA,T-b-MCA,T-o-MCA,THCA,TDCA,UDCA,DCA,CDCA,TCDCA
ileum_01 FA1a,507.9883055,1.510507475,4.23430057,0.494745912,475.2490609,108.5426029,479.6090534,274.8946882,7.311266648,7.776619923,3.547674425,3.264370411,21.81305733,81.08287537
ileum_02 FA1b,2.174655702,0.009267253,0.036183967,0.007322628,6.141216503,1.205939134,5.882196603,5.031442816,0.148937274,0.037917169,0.098667116,0.28401829,0.247365136,0.749444259
ileum_03 FA1c,51.14779472,0.111902021,0.267784181,0.026605917,853.7587494,147.4487695,695.4571255,251.4495693,5.703863897,8.328317014,0.36827238,0.190777418,1.163948785,130.0435545
ileum_04 FA2a,728.28251,2.64579722,8.40013626,0.538942731,802.7913279,147.9812033,604.7075803,213.5642575,4.772066065,11.31907631,4.836820904,1.656440272,19.7952176,187.3678551
ileum_05 FA2b,1.790142594,0.031224483,0.027866006,0.007274897,779.8743087,135.6903797,644.5743699,143.6852024,4.181368304,1.657638204,0.058842359,0.052738267,0.219532166,81.51110514
ileum_06 FA2c,154.8858103,0.336950936,1.266956906,0.061682104,881.9808631,169.0964925,790.3805584,214.2631888,4.93430583,6.414950273,1.025029628,0.264240325,2.932716544,150.8809794
ileum_07 FA3b,73.98944506,0.252775245,2.388453873,0.098002517,53.32252502,20.0278468,184.3780944,69.71017616,0.84936511,0.141847871,0.929546834,0.244101087,1.573111054,4.857472587
ileum_08 FA3c,947.6161915,5.350512473,21.61569853,1.293961002,221.3931709,67.36839676,331.7543713,116.7250027,1.500169874,4.111102997,9.409428233,3.711232087,26.99583862,42.57380135
ileum_09 FA4a,454.5674968,0.877977435,3.942835327,0.22363792,1235.770156,156.4895577,870.0113419,344.1573592,14.99466643,12.49547105,3.811391364,0.782997196,5.432131766,155.0855562
ileum_10 FA4b,339.1812308,0.807800274,2.934997895,0.259845364,461.4663451,97.51924979,448.4775018,247.0933463,9.930649206,7.910125278,2.680816857,1.297659267,4.703752135,53.58130819
