condition,time,replicate,Acronym,Feeding,Diet,ZT,tissue,sample,phase,sample_id_16s,sample_id_rnaseq,sample_id_16s_combined
CDKO,4,a,CA,Ad libitum,NCD,1,ileum,CA4a,light,CA4a,iCDKO1a,iCA4a
CDKO,1,b,CA,Ad libitum,NCD,1,ileum,CA4b,light,CA4b,iNC1b,iCA4b
FA,4,a,FA,Ad libitum,HFD,1,ileum,FA4a,light,FA4a,iFA4a,iFA4a
FA,4,b,FA,Ad libitum,HFD,1,ileum,FA4b,light,FA4b,iFA4b,iFA4b
FA,4,c,FA,Ad libitum,HFD,1,ileum,FA4c,light,FA4c,iFA4c,iFA4c
FT,4,a,FT,Time restricted,HFD,1,ileum,FT4a,light,FT4a,iFT4a,iFT4a
FT,4,b,FT,Time restricted,HFD,1,ileum,FT4b,light,FT4b,iFT4b,iFT4b
FT,4,c,FT,Time restricted,HFD,1,ileum,FT4c,light,FT4c,iFT4c,iFT4c
NA,4,a,NA,Ad libitum,NCD,1,ileum,NA4a,light,NA4a,iNA4a,iNA4a
NA,4,b,NA,Ad libitum,NCD,1,ileum,NA4b,light,NA4b,iNA4b,iNA4b
NA,4,c,NA,Ad libitum,NCD,1,ileum,NA4c,light,NA4c,iNA4c,iNA4c
NT,4,a,NT,Time restricted,NCD,1,ileum,NT4a,light,NT4a,iNT4a,iNT4a
NT,4,b,NT,Time restricted,NCD,1,ileum,NT4b,light,NT4b,iNT4b,iNT4b
NT,4,c,NT,Time restricted,NCD,1,ileum,NT4c,light,NT4c,iNT4c,iNT4c
CDKO,5,a,CA,Ad libitum,NCD,5,ileum,CA5a,light,CA5a,iCDKO5a,iCA5a
CDKO,5,b,CA,Ad libitum,NCD,5,ileum,CA5b,light,CA5b,iNC5b,iCA5b
FA,5,a,FA,Ad libitum,HFD,5,ileum,FA5a,light,FA5a,iFA5a,iFA5a
FA,5,b,FA,Ad libitum,HFD,5,ileum,FA5b,light,FA5b,iFA5b,iFA5b
FA,5,c,FA,Ad libitum,HFD,5,ileum,FA5c,light,FA5c,iFA5c,iFA5c
FT,5,a,FT,Time restricted,HFD,5,ileum,FT5a,light,FT5a,iFT5a,iFT5a
FT,5,b,FT,Time restricted,HFD,5,ileum,FT5b,light,FT5b,iFT5b,iFT5b
FT,5,c,FT,Time restricted,HFD,5,ileum,FT5c,light,FT5c,iFT5c,iFT5c
NA,5,a,NA,Ad libitum,NCD,5,ileum,NA5a,light,NA5a,iNA5a,iNA5a
NA,5,b,NA,Ad libitum,NCD,5,ileum,NA5b,light,NA5b,iNA5b,iNA5b
NA,5,c,NA,Ad libitum,NCD,5,ileum,NA5c,light,NA5c,iNA5c,iNA5c
NT,5,a,NT,Time restricted,NCD,5,ileum,NT5a,light,NT5a,iNT5a,iNT5a
NT,5,b,NT,Time restricted,NCD,5,ileum,NT5b,light,NT5b,iNT5b,iNT5b
NT,5,c,NT,Time restricted,NCD,5,ileum,NT5c,light,NT5c,iNT5c,iNT5c
CDKO,6,a,CA,Ad libitum,NCD,9,ileum,CA6a,light,CA6a,iCDKO9a,iCA6a
CDKO,9,b,CA,Ad libitum,NCD,9,ileum,CA6b,light,CA6b,iNC9b,iCA6b
FA,6,a,FA,Ad libitum,HFD,9,ileum,FA6a,light,FA6a,iFA6a,iFA6a
FA,6,b,FA,Ad libitum,HFD,9,ileum,FA6b,light,FA6b,iFA6b,iFA6b
FA,6,c,FA,Ad libitum,HFD,9,ileum,FA6c,light,FA6c,iFA6c,iFA6c
FT,6,a,FT,Time restricted,HFD,9,ileum,FT6a,light,FT6a,iFT6a,iFT6a
FT,6,b,FT,Time restricted,HFD,9,ileum,FT6b,light,FT6b,iFT6b,iFT6b
FT,6,c,FT,Time restricted,HFD,9,ileum,FT6c,light,FT6c,iFT6c,iFT6c
NA,6,a,NA,Ad libitum,NCD,9,ileum,NA6a,light,NA6a,iNA6a,iNA6a
NA,6,b,NA,Ad libitum,NCD,9,ileum,NA6b,light,NA6b,iNA6b,iNA6b
NA,6,c,NA,Ad libitum,NCD,9,ileum,NA6c,light,NA6c,iNA6c,iNA6c
NT,6,a,NT,Time restricted,NCD,9,ileum,NT6a,light,NT6a,iNT6a,iNT6a
NT,6,b,NT,Time restricted,NCD,9,ileum,NT6b,light,NT6b,iNT6b,iNT6b
NT,6,c,NT,Time restricted,NCD,9,ileum,NT6c,light,NT6c,iNT6c,iNT6c
CDKO,1,a,CA,Ad libitum,NCD,13,ileum,CA1a,dark,CA1a,iCDKO13a,iCA1a
CDKO,13,b,CA,Ad libitum,NCD,13,ileum,CA1b,dark,CA1b,iNC13b,iCA1b
FA,1,a,FA,Ad libitum,HFD,13,ileum,FA1a,dark,FA1a,iFA1a,iFA1a
FA,1,b,FA,Ad libitum,HFD,13,ileum,FA1b,dark,FA1b,iFA1b,iFA1b
FA,1,c,FA,Ad libitum,HFD,13,ileum,FA1c,dark,FA1c,iFA1c,iFA1c
FT,1,a,FT,Time restricted,HFD,13,ileum,FT1a,dark,FT1a,iFT1a,iFT1a
FT,1,b,FT,Time restricted,HFD,13,ileum,FT1b,dark,FT1b,iFT1b,iFT1b
FT,1,c,FT,Time restricted,HFD,13,ileum,FT1c,dark,FT1c,iFT1c,iFT1c
NA,1,a,NA,Ad libitum,NCD,13,ileum,NA1a,dark,NA1a,iNA1a,iNA1a
NA,1,b,NA,Ad libitum,NCD,13,ileum,NA1b,dark,NA1b,iNA1b,iNA1b
NA,1,c,NA,Ad libitum,NCD,13,ileum,NA1c,dark,NA1c,iNA1c,iNA1c
NT,1,a,NT,Time restricted,NCD,13,ileum,NT1a,dark,NT1a,iNT1a,iNT1a
NT,1,b,NT,Time restricted,NCD,13,ileum,NT1b,dark,NT1b,iNT1b,iNT1b
NT,1,c,NT,Time restricted,NCD,13,ileum,NT1c,dark,NT1c,iNT1c,iNT1c
CDKO,2,a,CA,Ad libitum,NCD,17,ileum,CA2a,dark,CA2a,iCDKO17a,iCA2a
CDKO,17,b,CA,Ad libitum,NCD,17,ileum,CA2b,dark,CA2b,iNC17b,iCA2b
FA,2,a,FA,Ad libitum,HFD,17,ileum,FA2a,dark,FA2a,iFA2a,iFA2a
FA,2,b,FA,Ad libitum,HFD,17,ileum,FA2b,dark,FA2b,iFA2b,iFA2b
FA,2,c,FA,Ad libitum,HFD,17,ileum,FA2c,dark,FA2c,iFA2c,iFA2c
FT,2,a,FT,Time restricted,HFD,17,ileum,FT2a,dark,FT2a,iFT2a,iFT2a
FT,2,b,FT,Time restricted,HFD,17,ileum,FT2b,dark,FT2b,iFT2b,iFT2b
FT,2,c,FT,Time restricted,HFD,17,ileum,FT2c,dark,FT2c,iFT2c,iFT2c
NA,2,a,NA,Ad libitum,NCD,17,ileum,NA2a,dark,NA2a,iNA2a,iNA2a
NA,2,b,NA,Ad libitum,NCD,17,ileum,NA2b,dark,NA2b,iNA2b,iNA2b
NA,2,c,NA,Ad libitum,NCD,17,ileum,NA2c,dark,NA2c,iNA2c,iNA2c
NT,2,a,NT,Time restricted,NCD,17,ileum,NT2a,dark,NT2a,iNT2a,iNT2a
NT,2,b,NT,Time restricted,NCD,17,ileum,NT2b,dark,NT2b,iNT2b,iNT2b
NT,2,c,NT,Time restricted,NCD,17,ileum,NT2c,dark,NT2c,iNT2c,iNT2c
CDKO,3,a,CA,Ad libitum,NCD,21,ileum,CA3a,dark,CA3a,iCDKO21a,iCA3a
CDKO,21,b,CA,Ad libitum,NCD,21,ileum,CA3b,dark,CA3b,iNC21b,iCA3b
FA,3,a,FA,Ad libitum,HFD,21,ileum,FA3a,dark,FA3a,iFA3a,iFA3a
FA,3,b,FA,Ad libitum,HFD,21,ileum,FA3b,dark,FA3b,iFA3b,iFA3b
FA,3,c,FA,Ad libitum,HFD,21,ileum,FA3c,dark,FA3c,iFA3c,iFA3c
FT,3,a,FT,Time restricted,HFD,21,ileum,FT3a,dark,FT3a,iFT3a,iFT3a
FT,3,b,FT,Time restricted,HFD,21,ileum,FT3b,dark,FT3b,iFT3b,iFT3b
FT,3,c,FT,Time restricted,HFD,21,ileum,FT3c,dark,FT3c,iFT3c,iFT3c
NA,3,a,NA,Ad libitum,NCD,21,ileum,NA3a,dark,NA3a,iNA3a,iNA3a
NA,3,b,NA,Ad libitum,NCD,21,ileum,NA3b,dark,NA3b,iNA3b,iNA3b
NA,3,c,NA,Ad libitum,NCD,21,ileum,NA3c,dark,NA3c,iNA3c,iNA3c
NT,3,a,NT,Time restricted,NCD,21,ileum,NT3a,dark,NT3a,iNT3a,iNT3a
NT,3,b,NT,Time restricted,NCD,21,ileum,NT3b,dark,NT3b,iNT3b,iNT3b
NT,3,c,NT,Time restricted,NCD,21,ileum,NT3c,dark,NT3c,iNT3c,iNT3c
