mouseid	condition	cageid	weight	week
FA1a	FA	1a	26.7	0
FA1b	FA	1b	24.0	0
FA1c	FA	1c	26.5	0
FA2a	FA	2a	23.2	0
FA2b	FA	2b	22.6	0
FA2c	FA	2c	25.6	0
FA3a	FA	3a	24.2	0
FA3b	FA	3b	24.3	0
FA3c	FA	3c	24.9	0
FA4a	FA	4a	25.6	0
FA4b	FA	4b	24.4	0
FA4c	FA	4c	25.1	0
FA5a	FA	5a	26.3	0
FA5b	FA	5b	27.5	0
FA5c	FA	5c	26.8	0
FA6a	FA	6a	27.3	0
FA6b	FA	6b	25.1	0
FA6c	FA	6c	26.5	0
FA7a	FA	7a	24.5	0
FA7b	FA	7b	26.0	0
FA7c	FA	7c	23.4	0
FA8a	FA	8a	23.5	0
FA8b	FA	8b	26.2	0
FA8c	FA	8c	26.5	0
FT1a	FT	1a	25.8	0
FT1b	FT	1b	26.1	0
FT1c	FT	1c	28.2	0
FT2a	FT	2a	28.2	0
FT2b	FT	2b	26.7	0
FT2c	FT	2c	26.3	0
FT3a	FT	3a	29.1	0
FT3b	FT	3b	24.9	0
FT3c	FT	3c	27.2	0
FT4a	FT	4a	24.8	0
FT4b	FT	4b	26.2	0
FT4c	FT	4c	25.9	0
FT5a	FT	5a	26.5	0
FT5b	FT	5b	26.5	0
FT5c	FT	5c	26.3	0
FT6a	FT	6a	26.6	0
FT6b	FT	6b	23.8	0
FT6c	FT	6c	26.0	0
FT7a	FT	7a	28.0	0
FT7b	FT	7b	25.7	0
FT7c	FT	7c	26.1	0
FT8a	FT	8a	23.9	0
FT8b	FT	8b	24.3	0
FT8c	FT	8c	24.5	0
NA1a	NA	1a	26.8	0
NA1b	NA	1b	26.3	0
NA1c	NA	1c	25.1	0
NA2a	NA	2a	28.5	0
NA2b	NA	2b	27.7	0
NA2c	NA	2c	24.8	0
NA3a	NA	3a	26.9	0
NA3b	NA	3b	27.2	0
NA3c	NA	3c	25.9	0
NA4a	NA	4a	22.9	0
NA4b	NA	4b	25.2	0
NA4c	NA	4c	25.4	0
NA5a	NA	5a	24.6	0
NA5b	NA	5b	25.1	0
NA5c	NA	5c	22.7	0
NA6a	NA	6a	24.0	0
NA6b	NA	6b	25.1	0
NA6c	NA	6c	23.4	0
NA7a	NA	7a	23.0	0
NA7b	NA	7b	22.7	0
NA7c	NA	7c	25.3	0
NA8a	NA	8a	26.7	0
NA8b	NA	8b	27.2	0
NA8c	NA	8c	27.1	0
NT1a	NT	1a	25.4	0
NT1b	NT	1b	26.2	0
NT1c	NT	1c	27.3	0
NT2a	NT	2a	21.1	0
NT2b	NT	2b	21.6	0
NT2c	NT	2c	22.1	0
NT3a	NT	3a	22.5	0
NT3b	NT	3b	24.2	0
NT3c	NT	3c	23.4	0
NT4a	NT	4a	25.5	0
NT4b	NT	4b	25.6	0
NT4c	NT	4c	24.6	0
NT5a	NT	5a	25.0	0
NT5b	NT	5b	28.4	0
NT5c	NT	5c	25.6	0
NT6a	NT	6a	26.0	0
NT6b	NT	6b	26.6	0
NT6c	NT	6c	25.9	0
NT7a	NT	7a	23.5	0
NT7b	NT	7b	27.1	0
NT7c	NT	7c	25.9	0
NT8a	NT	8a	24.6	0
NT8b	NT	8b	21.8	0
NT8c	NT	8c	23.6	0
FA1a	FA	1a	31.7	1
FA1b	FA	1b	33.1	1
FA1c	FA	1c	30.1	1
FA2a	FA	2a	29.3	1
FA2b	FA	2b	28.5	1
FA2c	FA	2c	27.7	1
FA3a	FA	3a	28.3	1
FA3b	FA	3b	29.1	1
FA3c	FA	3c	27.1	1
FA4a	FA	4a	28.9	1
FA4b	FA	4b	30.0	1
FA4c	FA	4c	28.6	1
FA5a	FA	5a	29.6	1
FA5b	FA	5b	31.5	1
FA5c	FA	5c	29.2	1
FA6a	FA	6a	30.0	1
FA6b	FA	6b	30.7	1
FA6c	FA	6c	31.4	1
FA7a	FA	7a	24.7	1
FA7b	FA	7b	27.9	1
FA7c	FA	7c	27.8	1
FA8a	FA	8a	29.5	1
FA8b	FA	8b	28.6	1
FA8c	FA	8c	26.6	1
FT1a	FT	1a	27.0	1
FT1b	FT	1b	28.9	1
FT1c	FT	1c	26.2	1
FT2a	FT	2a	30.3	1
FT2b	FT	2b	27.7	1
FT2c	FT	2c	28.6	1
FT3a	FT	3a	24.7	1
FT3b	FT	3b	23.6	1
FT3c	FT	3c	27.4	1
FT4a	FT	4a	24.6	1
FT4b	FT	4b	25.8	1
FT4c	FT	4c	25.5	1
FT5a	FT	5a	26.2	1
FT5b	FT	5b	25.8	1
FT5c	FT	5c	25.3	1
FT6a	FT	6a	25.1	1
FT6b	FT	6b	26.2	1
FT6c	FT	6c	25.0	1
FT7a	FT	7a	28.3	1
FT7b	FT	7b	23.9	1
FT7c	FT	7c	25.1	1
FT8a	FT	8a	23.2	1
FT8b	FT	8b	25.4	1
FT8c	FT	8c	24.2	1
NA1a	NA	1a	27.4	1
NA1b	NA	1b	27.1	1
NA1c	NA	1c	26.3	1
NA2a	NA	2a	29.0	1
NA2b	NA	2b	25.4	1
NA2c	NA	2c	29.3	1
NA3a	NA	3a	27.7	1
NA3b	NA	3b	27.2	1
NA3c	NA	3c	28.7	1
NA4a	NA	4a	23.0	1
NA4b	NA	4b	25.6	1
NA4c	NA	4c	25.3	1
NA5a	NA	5a	25.7	1
NA5b	NA	5b	22.9	1
NA5c	NA	5c	26.0	1
NA6a	NA	6a	25.8	1
NA6b	NA	6b	28.1	1
NA6c	NA	6c	25.3	1
NA7a	NA	7a	25.1	1
NA7b	NA	7b	26.2	1
NA7c	NA	7c	25.9	1
NA8a	NA	8a	26.8	1
NA8b	NA	8b	28.7	1
NA8c	NA	8c	29.8	1
NT1a	NT	1a	24.3	1
NT1b	NT	1b	23.5	1
NT1c	NT	1c	25.2	1
NT2a	NT	2a	22.2	1
NT2b	NT	2b	20.7	1
NT2c	NT	2c	20.6	1
NT3a	NT	3a	22.3	1
NT3b	NT	3b	22.7	1
NT3c	NT	3c	22.8	1
NT4a	NT	4a	24.7	1
NT4b	NT	4b	25.3	1
NT4c	NT	4c	25.5	1
NT5a	NT	5a	24.3	1
NT5b	NT	5b	23.2	1
NT5c	NT	5c	25.4	1
NT6a	NT	6a	25.0	1
NT6b	NT	6b	23.9	1
NT6c	NT	6c	24.3	1
NT7a	NT	7a	24.8	1
NT7b	NT	7b	25.4	1
NT7c	NT	7c	21.3	1
NT8a	NT	8a	23.1	1
NT8b	NT	8b	23.0	1
NT8c	NT	8c	20.1	1
FA1a	FA	1a	34.1	2
FA1b	FA	1b	32.0	2
FA1c	FA	1c	30.5	2
FA2a	FA	2a	30.2	2
FA2b	FA	2b	30.7	2
FA2c	FA	2c	29.9	2
FA3a	FA	3a	31.0	2
FA3b	FA	3b	29.7	2
FA3c	FA	3c	28.4	2
FA4a	FA	4a	30.3	2
FA4b	FA	4b	30.2	2
FA4c	FA	4c	29.8	2
FA5a	FA	5a	29.8	2
FA5b	FA	5b	32.3	2
FA5c	FA	5c	28.6	2
FA6a	FA	6a	31.8	2
FA6b	FA	6b	31.7	2
FA6c	FA	6c	29.7	2
FA7a	FA	7a	28.0	2
FA7b	FA	7b	28.1	2
FA7c	FA	7c	25.5	2
FA8a	FA	8a	29.2	2
