FeatureID	Name	GO_Term	comparison	phase	datatype	diffexpr	rab.all	rab.win.A	rab.win.B	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF00144.27	Beta-lactamase	NA	FTvNA	Dark	metaT	down	6.40335352169368	4.47136222102209	6.95237239059179	-2.5152107784903	0.644054572983196	3.89664380997621	4.67861010389608e-05	3.9963698841572e-07	0.000168898806744168	0.0003996003996004	0.00744287427802073
PF00672.28	HAMP domain	signal transduction	FTvNA	Dark	metaT	up	10.5019356531472	11.1740739530703	10.2786471795878	0.917699546042084	0.365774703218578	-2.38327374352061	4.67861010389608e-05	3.56820556177311e-05	0.0021252295963137	0.0003996003996004	0.00744287427802073
PF01966.25	HD domain	NA	FTvNA	Dark	metaT	up	10.6627763484558	11.3319311093729	10.3835262267159	0.907295937510694	0.483693152748272	-1.81694903878695	4.67861010389608e-05	0.000892219599852198	0.0131761128284405	0.0003996003996004	0.00744287427802073
PF07670.17	Nucleoside recognition	NA	FTvNA	Dark	metaT	down	7.84027599425118	7.30008409872147	8.16646331229001	-0.872284601499076	0.341768092652775	2.38764533198681	4.67861010389608e-05	1.76732738985923e-05	0.00147254767137331	0.0003996003996004	0.00744287427802073
PF00015.24	Methyl-accepting chemotaxis protein (MCP) signalling domain	signal transduction	FTvNA	Dark	metaT	up	10.9842712624857	11.8813980799146	10.6672373249947	1.25380629430537	0.76788410260843	-1.68350511550059	4.67861010389608e-05	0.000285429810715001	0.00663627597427205	0.0003996003996004	0.00744287427802073
PF08455.13	Bacterial SNF2 helicase associated	NA	FTvNA	Dark	metaT	up	4.48536328077714	5.8086891411778	3.88490255402774	2.26110099840783	1.47680568995377	-1.77576643646261	4.67861010389608e-05	0.00275514386468401	0.0269810410565308	0.0003996003996004	0.00744287427802073
PF00378.23	Enoyl-CoA hydratase/isomerase	NA	FTvNA	Dark	metaT	up	8.34420888910155	9.19789555484871	7.88444058893757	1.48469649836481	0.610633271718043	-2.46102355098873	4.67861010389608e-05	0.00065913972996506	0.0109947439571298	0.0003996003996004	0.00744287427802073
PF00310.24	Glutamine amidotransferases class-II	NA	FTvNA	Dark	metaT	down	6.72898426694703	5.01277357124387	8.12244916801955	-3.07475927765255	1.45076035526505	2.40258112040218	4.67861010389608e-05	4.35510557537241e-05	0.00236328230238946	0.0003996003996004	0.00744287427802073
PF04898.17	Glutamate synthase central domain	nitrogen compound metabolic process	FTvNA	Dark	metaT	down	6.44200341336439	4.77350646879933	7.95322490520638	-3.11652627177424	1.05944482504005	2.60608594056401	4.67861010389608e-05	3.90629727898911e-05	0.00223399967148215	0.0003996003996004	0.00744287427802073
PF01493.22	GXGXG motif	NA	FTvNA	Dark	metaT	down	6.65440958310765	5.39168434087582	8.05682568813823	-2.62052700186431	1.23759650943657	2.27023043089794	4.67861010389608e-05	0.000112194287197137	0.00390565433304131	0.0003996003996004	0.00744287427802073
PF00549.22	CoA-ligase	NA	FTvNA	Dark	metaT	up	4.18711725521114	6.52375251808204	3.537671876274	3.25138340594325	1.23440438794846	-2.58074535164988	4.67861010389608e-05	5.4444910113347e-05	0.00244563123747395	0.0003996003996004	0.00744287427802073
PF02534.17	Type IV secretory system Conjugative DNA transfer	NA	FTvNA	Dark	metaT	down	6.50189687946813	4.97080136121675	8.20979079531765	-3.31510326710863	1.29486954093127	2.24655979994748	4.67861010389608e-05	3.44230255738873e-05	0.00209707726844728	0.0003996003996004	0.00744287427802073
