FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF08455.13	1	0	0	13	1	16	3	5	5	9	1	35
PF00176.26	3	5	1	20	2	22	10	7	5	10	4	36
PF00271.34	23	46	12	54	48	93	25	33	73	46	44	110
PF01565.26	10	18	3	4	8	20	8	8	6	9	4	5
PF04030.17	0	0	0	0	2	0	0	0	0	0	0	0
PF08447.15	18	44	4	7	5	55	13	21	17	11	8	27
PF00015.24	42	429	5	145	28	534	96	129	98	86	35	148
PF08448.13	14	38	1	4	7	44	7	12	10	7	6	12
PF00512.28	72	292	29	120	79	326	71	88	98	93	59	138
PF02518.29	126	491	46	204	140	556	115	183	169	156	102	223
PF01025.22	0	5	4	3	2	4	0	3	6	0	6	4
PF00012.23	14	91	17	68	72	161	64	95	78	75	77	106
PF06100.14	0	0	1	0	0	0	0	0	1	0	2	1
PF00359.25	2	3	1	7	4	5	6	12	8	3	3	25
PF02302.20	3	8	3	5	9	9	3	13	10	5	34	32
PF02378.21	14	49	6	29	21	54	42	30	51	28	52	56
PF04167.16	0	1	1	1	0	3	0	0	0	1	1	0
PF00521.23	16	40	8	16	17	38	12	8	18	12	7	14
PF03989.16	87	206	45	72	83	194	60	48	95	58	42	84
PF01544.21	0	0	0	2	0	0	0	0	1	1	2	2
PF00471.23	1	1	1	3	4	5	2	2	1	1	0	3
PF00122.23	11	25	13	17	21	16	12	8	15	15	31	21
PF00702.29	12	24	11	19	11	16	12	9	15	16	30	21
PF10543.12	1	0	0	2	1	1	0	1	1	0	0	0
PF10552.12	0	0	0	0	1	0	0	0	0	0	0	0
PF00692.22	2	3	0	2	1	3	2	1	1	1	3	1
PF06605.14	0	0	0	0	0	5	0	0	0	0	0	0
PF18013.4	1	5	0	0	0	3	0	0	0	0	1	2
PF01551.25	9	42	2	8	9	40	2	3	12	11	5	15
PF01521.23	0	0	1	0	0	0	0	0	0	0	1	0
PF08282.15	5	14	10	4	21	18	3	1	16	4	11	13
PF01219.22	0	0	0	0	0	0	0	0	0	0	1	0
PF00654.23	1	2	0	0	3	0	0	0	1	1	1	0
PF17767.4	1	8	1	5	2	15	2	4	2	1	3	3
PF04095.19	1	8	1	5	2	15	2	4	2	1	3	3
PF17956.4	1	7	0	5	2	15	2	4	2	1	3	3
PF00583.28	6	23	4	17	2	29	6	13	7	7	7	13
PF00005.30	318	894	108	559	333	978	351	527	390	409	234	489
PF02687.24	89	42	30	165	119	58	63	95	184	284	69	209
PF12704.10	21	5	9	21	10	10	9	17	20	14	16	16
PF08245.15	10	24	4	15	19	26	6	6	16	15	7	12
PF08353.13	1	0	0	1	3	2	2	2	1	3	3	0
PF13328.9	3	11	4	16	9	19	6	14	7	10	7	12
PF04607.20	9	63	6	20	12	53	14	22	8	15	9	17
PF02824.24	5	21	5	15	22	26	8	15	9	20	15	20
PF19296.2	2	8	2	13	4	15	5	13	5	8	5	9
PF13291.9	3	9	4	14	8	17	6	13	6	10	7	10
PF13460.9	0	0	1	0	1	0	0	0	0	0	2	0
PF13520.9	3	1	6	4	1	1	0	1	0	0	4	6
PF00580.24	6	14	1	11	8	22	7	9	11	14	7	23
PF13361.9	9	18	1	15	8	26	7	10	11	13	7	18
PF00890.27	14	9	2	18	18	21	24	18	14	16	8	23
PF00056.26	8	9	3	14	14	2	6	6	18	10	6	22
PF02866.21	8	9	3	14	14	2	6	6	18	10	6	22
PF00478.28	4	18	2	12	7	18	7	17	21	11	8	13
PF00588.22	2	14	6	5	3	4	2	2	7	2	2	4
PF01288.23	0	0	0	1	1	0	1	0	0	0	0	0
PF01227.25	0	0	0	1	1	0	0	0	0	1	1	1
PF00528.25	70	255	2	129	93	269	83	95	87	108	35	127
PF01594.19	0	7	1	4	1	12	0	1	4	3	5	2
PF02776.21	3	12	2	8	10	15	5	1	11	3	4	8
PF00205.25	3	9	2	8	9	8	5	1	11	3	3	8
PF02775.24	131	236	23	254	132	394	149	185	179	167	73	317
PF07517.17	14	26	4	20	19	29	7	20	13	19	5	25
PF01043.23	13	26	4	20	19	29	7	20	11	18	5	25
PF07516.16	14	26	4	20	19	30	7	20	12	19	5	25
PF02810.18	15	27	6	24	18	36	10	24	12	20	6	32
PF00665.29	8	7	25	17	23	20	8	13	12	3	25	15
PF13333.9	1	3	10	3	7	5	0	1	4	0	10	5
PF00872.21	6	8	7	4	11	9	2	5	11	7	12	5
PF05524.16	12	63	0	15	13	91	13	31	21	9	24	46
PF00391.26	163	448	32	214	125	526	163	255	172	187	105	293
PF02896.21	162	449	31	212	124	523	164	256	173	186	104	292
PF00977.24	2	6	0	4	6	11	1	1	4	2	3	8
PF00180.23	3	17	0	5	4	17	0	4	6	3	6	8
PF00330.23	8	10	1	9	14	29	7	9	9	12	8	15
PF01195.22	0	0	1	0	0	2	0	0	1	0	1	0
PF01751.25	14	28	9	12	35	31	6	12	18	27	14	23
PF01131.23	8	12	6	8	17	16	2	9	5	16	11	13
PF01396.22	2	6	0	2	9	14	1	5	1	13	5	9
PF13495.9	0	5	1	0	2	4	3	0	1	2	1	0
PF00589.25	64	165	20	122	56	157	89	97	79	50	44	96
PF07690.19	11	12	11	12	15	16	5	6	13	14	20	11
PF00664.26	10	32	9	13	13	43	7	13	15	18	19	23
PF04079.19	1	1	1	2	0	0	1	1	1	0	1	1
PF12850.10	0	3	0	2	2	2	1	1	3	1	1	3
PF14691.9	14	11	4	24	16	28	16	24	30	22	7	21
PF07992.17	75	88	20	110	73	122	79	86	111	66	42	126
PF00310.24	0	1	3	2	1	1	1	0	2	3	2	1
PF04898.17	0	1	2	2	0	0	1	0	2	3	2	1
PF01645.20	0	11	2	5	0	11	1	0	3	4	2	3
PF01493.22	0	3	2	2	0	2	1	0	2	3	3	1
PF00282.22	0	4	0	0	0	3	0	0	1	0	1	1
PF13508.10	0	5	1	1	1	5	0	1	1	0	1	1
PF01321.21	10	11	1	9	5	19	8	2	7	10	6	13
PF03960.18	1	2	0	0	0	1	0	1	1	2	4	7
PF17757.4	7	4	2	5	11	20	5	2	9	10	11	14
PF02559.19	4	26	1	6	8	20	5	3	4	9	6	11
PF00270.32	14	23	11	16	29	37	8	14	15	17	22	24
PF03461.18	3	1	1	2	5	3	3	0	3	7	6	8
PF05833.14	0	5	2	3	0	2	1	1	3	4	1	3
PF05670.16	0	5	2	3	0	2	1	1	3	4	1	3
PF02653.19	28	133	1	48	14	135	37	33	38	32	10	32
PF00224.24	8	17	1	7	10	22	6	2	11	10	8	11
PF02887.19	8	17	0	7	8	18	6	2	9	10	6	11
PF01210.26	1	2	1	0	3	4	2	1	3	4	5	1
PF07479.17	1	2	1	0	3	4	2	1	3	4	5	1
PF20618.1	1	2	1	0	3	4	2	1	3	4	5	1
PF00483.26	120	472	14	215	75	433	136	188	146	115	70	200
PF00348.20	4	8	3	18	10	5	1	6	9	3	1	8
PF01180.24	2	4	1	0	2	6	2	7	3	0	2	1
PF13421.9	1	4	0	3	0	7	0	3	1	4	1	6
PF00849.25	9	16	0	8	11	10	2	5	8	7	5	14
PF00690.29	4	2	4	8	15	8	3	4	7	13	11	13
PF00689.24	4	2	4	8	15	8	3	4	7	13	11	13
PF06736.14	0	0	0	0	1	0	0	0	0	0	1	0
PF05382.16	0	0	0	0	0	0	1	0	0	0	0	0
PF05263.14	0	0	0	0	0	0	0	0	0	0	0	0
PF14657.9	6	2	3	5	3	4	3	1	0	3	2	5
PF14659.9	11	9	4	10	13	17	7	16	5	3	5	10
PF06146.15	0	0	0	0	0	0	0	0	0	0	0	0
PF00392.24	7	31	0	14	13	36	12	13	18	10	21	34
PF02080.24	9	17	6	8	34	24	6	5	10	7	4	7
PF00367.23	8	32	1	20	10	28	31	12	42	20	29	36
PF00358.23	5	12	1	5	10	27	2	4	8	5	18	19
PF01047.25	0	0	1	0	1	1	1	0	2	1	3	0
PF00881.27	4	9	8	0	10	13	4	2	9	3	5	11
PF00106.28	3	10	1	5	1	13	3	3	2	5	3	6
PF13292.9	0	8	1	5	8	6	2	4	5	0	4	7
