FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF08455.13	1	0	0	13	1	16	2	4	0	1	0	0	4	9	9	4	9	7	7	19	18	2	5	1	4	3	5	1	9	3
PF00176.26	3	5	1	20	2	22	3	7	2	2	0	0	16	83	110	48	160	160	29	171	140	29	33	7	21	80	29	42	88	17
PF00271.34	23	46	12	54	48	93	29	35	27	40	46	45	124	244	319	296	540	847	245	533	491	141	158	99	155	190	101	155	403	101
PF01565.26	10	18	3	4	8	20	7	7	5	6	5	2	16	13	16	8	15	13	13	9	8	15	12	6	18	20	12	23	10	9
PF04030.17	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
PF08447.15	18	44	4	7	5	55	7	11	10	16	1	3	58	47	50	20	23	45	72	47	50	63	35	30	36	7	29	50	48	38
PF00015.24	42	429	5	145	28	534	78	137	70	116	26	27	456	286	269	192	74	282	431	196	188	407	276	190	304	95	156	315	294	290
PF08448.13	14	38	1	4	7	44	5	7	9	15	2	3	40	20	36	19	21	23	39	42	36	34	16	14	24	6	17	17	43	27
PF00512.28	72	292	29	120	79	326	67	127	57	96	49	63	433	628	752	479	781	1413	650	800	853	394	342	163	352	364	250	439	779	241
PF02518.29	126	491	46	204	140	556	112	190	87	171	112	114	671	861	1055	686	1069	1834	986	1113	1125	652	498	276	545	507	397	675	1069	403
PF01025.22	0	5	4	3	2	4	7	3	2	6	9	5	10	8	13	12	16	12	21	9	13	5	7	5	82	16	20	13	14	16
PF00012.23	14	91	17	68	72	161	54	76	37	74	70	105	240	164	138	144	146	149	100	133	113	71	99	146	655	283	398	489	136	349
PF06100.14	0	0	1	0	0	0	0	2	0	1	1	1	5	13	10	15	9	40	9	18	30	1	8	1	22	9	11	6	7	6
PF00359.25	2	3	1	7	4	5	9	7	3	6	3	6	15	7	4	13	8	13	19	11	11	8	0	1	10	8	2	20	6	1
PF02302.20	3	8	3	5	9	9	6	12	9	36	35	54	26	16	13	17	10	15	29	10	13	23	3	0	44	9	11	22	4	1
PF02378.21	14	49	6	29	21	54	11	34	22	76	28	94	169	48	37	84	30	49	755	52	34	211	25	15	161	27	34	173	31	17
