#FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c	Name
PF08455.13	0.842	0.0	0.0	14.155	0.903	18.181	1.96	4.001	0.0	1.042	0.0	0.0	2.949	4.83	4.999	10.891	1.07	33.542	1.193	0.845	2.516	1.171	10.434	2.228	7.46	13.43	13.08	4.439	9.955	12.063	11.343	24.422	22.83	3.024	6.594	1.049	6.405	3.077	4.627	1.473	11.785	3.319	Bacterial SNF2 helicase associated
PF00176.26	3.178	4.114	0.519	20.815	1.953	28.673	3.139	7.621	2.47	2.333	0.0	0.0	9.146	10.255	4.999	12.389	2.357	33.87	2.58	0.845	4.029	7.642	17.482	2.228	68.633	189.745	260.409	59.573	280.375	409.136	73.602	297.809	253.695	68.069	73.17	9.48	42.44	125.685	54.812	79.818	161.484	21.358	SNF2-related domain
PF00271.34	25.88	72.931	25.806	68.832	54.307	139.576	38.551	54.926	36.947	59.221	71.404	76.191	30.007	50.525	102.173	68.398	60.911	129.791	36.023	45.664	58.249	95.385	42.248	26.207	278.027	434.436	598.92	361.787	641.638	1672.646	528.425	817.255	725.92	310.36	269.229	201.592	337.45	245.262	141.348	307.232	644.721	124.653	Helicase conserved C-terminal domain
PF01565.26	24.501	67.292	12.125	11.363	20.438	71.353	20.184	20.11	13.572	20.862	15.213	6.669	21.507	21.375	17.346	35.142	9.63	14.279	19.751	13.123	8.209	35.779	12.379	2.412	84.459	54.781	64.168	24.165	43.748	61.06	68.582	29.133	28.52	66.356	46.048	30.046	79.377	50.941	36.12	96.957	37.358	31.669	FAD binding domain
PF04030.17	0.0	0.0	0.0	0.0	4.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.037	0.0	2.996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-arabinono-1,4-lactone oxidase
PF08447.15	17.36	59.971	6.625	8.129	5.201	65.113	7.471	11.972	11.75	19.636	1.064	3.325	14.167	26.506	17.963	14.976	9.598	32.167	15.702	32.331	35.156	41.575	20.988	5.447	130.183	92.111	96.352	27.756	40.421	118.41	165.302	82.04	94.311	156.581	70.195	59.734	86.053	10.766	48.686	116.972	85.105	64.751	PAS fold
PF00015.24	65.142	943.055	11.094	301.667	44.233	1133.11	143.627	254.534	142.478	237.041	49.072	53.18	175.035	281.736	192.692	213.207	70.025	279.089	158.985	213.627	226.146	662.003	401.049	104.438	1672.688	789.296	797.43	419.523	168.45	961.246	1569.681	506.744	479.127	1503.262	798.104	537.643	995.468	202.106	367.407	954.426	839.96	651.545	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF08448.13	13.173	45.054	1.322	4.662	6.138	49.464	5.399	7.484	10.581	17.435	2.025	3.187	7.008	14.03	10.299	8.77	6.59	11.329	8.119	23.483	28.36	29.184	14.28	5.308	72.668	39.917	65.249	26.327	31.263	63.753	74.439	63.421	59.986	67.906	31.761	25.352	42.126	7.272	23.724	32.06	75.344	52.202	PAS fold
PF00512.28	109.496	532.777	63.909	241.839	125.832	589.638	113.13	210.309	114.932	178.67	98.356	122.769	127.709	159.193	160.727	193.971	112.381	236.778	112.163	161.459	214.096	410.83	190.246	87.146	1446.467	1853.78	2410.133	1205.086	1980.157	5387.946	2159.562	2193.633	2434.729	1305.428	966.003	363.459	1093.933	885.051	619.022	1388.656	2326.185	516.104	His Kinase A (phospho-acceptor) domain
PF02518.29	183.309	902.426	102.39	406.056	211.959	1004.563	187.003	320.372	178.344	316.735	210.229	217.687	194.323	345.898	276.041	323.297	190.165	368.283	227.395	316.359	385.677	760.951	393.32	137.783	2170.532	2558.344	3447.191	1711.889	2772.252	7175.226	3293.058	3139.597	3199.712	2177.614	1381.303	660.277	1652.764	1220.631	965.161	2112.956	3256.272	857.876	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF01025.22	0.0	28.45	27.955	15.224	9.375	22.305	32.369	16.523	11.352	35.215	49.968	27.715	0.0	15.603	30.472	0.0	32.827	21.669	0.0	17.51	23.475	29.242	9.102	0.0	98.574	57.276	108.006	68.744	97.51	107.941	173.772	58.273	85.728	48.152	50.554	37.12	760.185	88.486	120.851	102.354	97.787	86.588	GrpE
PF00012.23	20.212	179.046	39.418	128.248	110.467	306.176	95.975	153.503	72.817	147.884	127.08	200.884	105.954	187.056	127.933	162.158	137.868	166.802	32.542	203.741	120.946	137.605	148.278	45.487	747.218	426.419	388.524	285.49	309.374	473.581	314.54	320.808	265.412	249.623	252.495	364.981	2047.923	546.783	861.483	1443.123	352.91	722.063	Hsp70 protein
PF06100.14	0.0	0.0	2.346	0.0	0.0	0.0	0.0	3.575	0.0	1.916	1.878	1.937	0.0	0.0	1.726	0.0	3.697	1.654	0.0	0.0	0.0	0.0	1.622	1.727	16.026	29.935	26.223	27.306	18.005	123.318	26.456	44.057	75.676	3.306	23.333	2.209	66.599	17.555	23.994	16.107	21.953	11.946	MCRA family
