cluster index	parent mass	RTMean
69	185.02337939575017	0.3882833
31	216.15860118109333	0.3914097
79	167.0129188757491	0.39158285
78	323.6798382293966	0.393825
110	343.18298063235954	0.39495403
99	280.9933485295439	0.39524168
123	257.97722035959424	0.39529133
108	239.1558703899488	0.395486
147	212.12459542108635	0.39580315
120	265.015809839495	0.39624745
93	532.3101442894234	0.39630955
149	266.6583201516557	0.3964042
157	169.04597842245647	0.39643785
101	207.1110859267777	0.396548
106	412.2313875722052	0.39656395
137	218.9837518017264	0.39670712
109	239.9666758362288	0.39685822
133	241.99971028656807	0.396992
100	341.1503881716677	0.3971534
160	171.09826232115793	0.39784017
129	231.1397236045076	0.3981522
145	187.0756647846981	0.3982155
175	275.20807776124127	0.3982394
81	267.1592693591686	0.39847466
29	305.1488245055606	0.39857072
177	151.03552662105582	0.39877072
166	265.1759993639747	0.39906284
170	206.6190304137949	0.40068206
199	284.1720078550324	0.40090385
192	239.08544954132336	0.40110216
107	188.6315813086601	0.40119714
139	152.11085436859037	0.4020092
281	215.0879355288388	0.40341467
180	308.2181922625869	0.40355295
131	217.2024856103725	0.40511474
325	234.14501076800912	0.40664157
323	261.1559873615176	0.40695557
362	306.1539699997694	0.4082238
154	203.1870047867992	0.40831915
337	204.13454826730944	0.40960047
338	297.1901628111471	0.41068977
347	218.18650938191823	0.41204023
351	204.95727723918057	0.41254398
364	272.9445363493419	0.4137936
346	303.2143174223038	0.41738573
402	327.0517201760925	0.41860056
403	259.06434430123085	0.41894597
442	345.1486796069961	0.41947266
444	362.92659105989065	0.42006376
446	164.920788078657	0.42014194
437	155.0793130847155	0.4207695
200	246.22873406671047	0.42102116
438	169.09497869840934	0.42148226
407	359.1644332982572	0.42155933
452	294.93917262706185	0.42159098
443	177.0612363140952	0.42199126
345	231.2181942573364	0.4221248
441	337.1833906515531	0.42212948
455	226.951640652664	0.42308062
448	191.0769125340486	0.42348096
468	242.9256249175179	0.42525595
465	158.96430973960912	0.4256977
21	380.23531376976274	0.42670777
470	207.05086501672176	0.42680588
511	164.93025304946156	0.43081978
521	352.8977411474358	0.43086594
266	157.08124341360178	0.43138236
463	203.22332889583527	0.43226624
507	200.04089678168992	0.4323875
549	284.91029806107315	0.43251783
530	249.03545486367105	0.43337983
397	218.15018234783133	0.43357703
557	218.9198881637	0.4350176
546	216.922922349456	0.43539152
542	219.08302531555847	0.4368044
584	260.1241832715562	0.43690237
548	213.2075508256096	0.4379708
564	178.0588206313106	0.43806112
566	232.8968707174726	0.43824878
580	274.88150490232067	0.43873256
505	245.2337401175461	0.43873563
552	189.1600616932289	0.43966937
570	197.1012384858532	0.4398668
508	400.267094338948	0.4399773
58	426.222884570858	0.44069502
572	213.07501026580684	0.44182986
596	206.8941204056336	0.44195738
671	296.0660299441699	0.44346496
567	249.09593929623588	0.44361705
525	171.1493643069593	0.44643167
517	248.1605391393136	0.44718134
656	177.0247790015283	0.4478612
581	156.14978467512617	0.44788346
2258	188.17601263852723	0.4493766
724	305.2549729439483	0.45384908
728	219.0266967311956	0.45397538
636	210.1579767933327	0.45475426
708	164.0295597908892	0.45480806
716	203.05287394860483	0.45577237
722	292.198080189984	0.45659068
705	271.96507984146217	0.4570343
711	214.0064895734901	0.45771822
723	207.9985455469124	0.45891616
732	175.11919545784733	0.45960736
734	192.0245608090144	0.4605146
726	220.06721561399544	0.46076462
730	210.01723858068183	0.4607965
748	156.04234681876147	0.46289197
764	221.1861921764874	0.46396875
762	257.1473946847472	0.46463934
763	227.1139711065731	0.46473923
749	188.0354073510049	0.46501657
756	170.04257045528217	0.46591473
766	303.1780375569853	0.4671227
776	198.0856611746396	0.46918195
768	365.1056577135398	0.46953198
826	253.12846477682143	0.46961865
631	203.1506269508285	0.47061282
837	191.1504609246281	0.47109753
828	279.1914087452042	0.4712722
815	216.1344654435877	0.47332302
825	214.0591125075021	0.47391596
780	162.1126832197212	0.47425437
816	160.03472338939457	0.4747386
794	199.1318307063509	0.47558603
842	244.16561659720327	0.4756676
863	315.2027245018431	0.47578314
855	333.1771711082606	0.47612017
852	156.07701809578248	0.476363
820	316.187873898559	0.4764406
928	249.1080566070343	0.47682968
846	225.0983191783673	0.47714654
870	280.0911200613971	0.47757107
821	408.2223022465389	0.47762653
856	252.10913949800167	0.47882408
859	193.62391808918315	0.4792521
880	304.1627479376049	0.47949967
849	227.1253545649156	0.47971657
861	272.1721737305204	0.48032793
1681	329.1945039825787	0.48034343
868	259.1708590688068	0.4814209
893	263.19628246578947	0.48153132
886	231.6227535806605	0.48236835
897	358.12203016002746	0.4828174
1633	209.103448412721	0.4838175
929	249.15571355554115	0.48419195
905	386.2399536340527	0.48488766
1631	162.0503759828124	0.4857562
920	298.10117577338787	0.48578843
927	238.0800364631844	0.48585114
1695	214.1299204777126	0.48677307
934	285.1672185347807	0.4868843
967	246.1812729847112	0.48698837
836	243.10898324845783	0.4872828
966	573.2139191456616	0.48760048
908	517.3350624070662	0.48760635
910	462.2395139786472	0.48840666
958	274.18769645276564	0.48842975
973	244.1293470920297	0.48861545
1000	270.1197507175784	0.48932707
949	341.1431917559496	0.4895596
1010	430.24101364286827	0.48962298
986	231.145269905211	0.48978153
1031	223.6252074550082	0.4906912
1006	243.15782941774123	0.4911421
1039	286.15125976866136	0.49143675
1001	493.2745819460196	0.4918168
1085	257.1011084527745	0.49215382
1732	200.1395722209091	0.4929495
1740	319.1613566825446	0.4930243
1112	345.2246639764007	0.49356687
1071	373.1715411311204	0.49387312
1058	260.196915901388	0.49426103
915	289.1506387058062	0.49446523
1068	375.2230599293197	0.49471846
1101	331.1609829283826	0.49473986
1102	485.3087873442547	0.49484077
1043	205.08208328971563	0.49500027
1066	187.1078476601322	0.4950579
1099	239.06388118805967	0.49507686
1063	333.2130366813008	0.49512228
1070	645.1980495598692	0.4955021
1704	203.1139947057752	0.49602115
1126	383.1536780009345	0.4960588
1725	267.10887168697167	0.496237
1162	662.3188740192668	0.49627268
1737	258.14479543856635	0.49689224
1073	446.2395771380144	0.4971506
1080	288.20312531490606	0.4972641
1252	618.3113140372798	0.49757674
1150	512.1965053361048	0.49810186
1154	471.2930439335227	0.4984149
1287	268.127108719654	0.49881083
1147	321.14075210073844	0.49930465
1107	413.12731283333846	0.5000517
1184	275.13542396734914	0.5001383
1130	336.14022511933524	0.5004718
1110	534.2521901287832	0.5006255
1123	395.1690328084369	0.5012487
1188	525.3405164730442	0.5013917
1132	160.13335176610113	0.5016776
1670	263.1723157661151	0.50201064
1187	599.2291929090754	0.5021881
1140	347.22826649247844	0.50221395
1208	399.1112215205031	0.50226384
1177	317.2185804334528	0.50246495
1390	529.1757529546682	0.5028378
1069	174.01395631121756	0.50304574
1164	194.0225466523493	0.50316644
1216	498.1814337090418	0.503656
1240	369.1742604511247	0.50422215
1209	176.10337183802594	0.50433517
1215	276.1190938111835	0.504566
1217	230.1864495363334	0.5049239
1235	181.013037791926	0.50495636
1220	219.0976426716633	0.5053787
1244	179.01716969285616	0.50599545
1264	277.1030620017441	0.5068258
1129	178.99281903353776	0.5068488
1308	159.07655435972498	0.5071713
1236	366.1646569009857	0.5073104
1250	397.2204472590643	0.5075823
1260	158.0925461262238	0.5078108
1281	374.23895304984825	0.50827956
1312	631.2760048479732	0.50849247
1301	168.06907588909377	0.50905377
1652	247.1761025896189	0.50951976
1282	235.1190084559418	0.50969976
1370	258.109011385315	0.5099274
1338	644.3061356899901	0.5099676
1283	189.123492187555	0.5101963
1324	490.2139434527736	0.510218
1322	175.10795208695342	0.5103673
1227	623.2151012935706	0.51059693
1359	366.213596447879	0.5110132
1345	389.2392416863804	0.5111589
1316	361.1716369202006	0.511292
1374	269.16084221833376	0.51150495
1378	352.19795945397993	0.5115372
1271	344.181125533622	0.51159275
1325	233.11339045027628	0.5117142
1853	284.12173558394085	0.5119417
1356	262.10339606789114	0.5119854
1342	226.15502655111115	0.5121386
1307	343.1973663221004	0.5123389
1315	281.07468687472806	0.5123922
1339	259.12898955293304	0.51271415
1391	194.0847240784766	0.51275104
1536	411.221623094381	0.51277125
1383	166.05330884173878	0.5129308
1347	246.14474315677475	0.5134079
1333	262.1394175648475	0.5137704
1400	219.13408385549488	0.51392716
1373	577.2465270755653	0.514861
1371	334.16083916643856	0.51506996
1509	561.2518277796684	0.51529956
1327	188.091877282516	0.5155801
1392	347.19261854116763	0.5156543
1398	375.18684641010793	0.51665866
1388	476.1991551013626	0.5166487
1408	230.1134886826356	0.51735634
1367	507.193130473487	0.51753837
1414	235.1652270939628	0.5176961
1318	487.1470837340802	0.51827604
1385	247.12890468276825	0.5184117
1481	362.1553910718228	0.51905006
1442	348.1764506400837	0.5204531
1452	229.15489705866133	0.5208039
1488	260.1605841782305	0.5208034
1449	196.1003179017221	0.5209334
1443	182.08128601784867	0.52117914
1459	165.05472697000496	0.5215394
1472	371.2401952303626	0.52153367
1455	254.1609136785564	0.5215906
1475	414.1282827364876	0.5219819
1416	376.1712583831536	0.5221301
1571	360.1398504942708	0.5226823
1678	216.0978795260556	0.5230113
1514	233.14970766900447	0.5233763
1480	465.1652088232474	0.52438563
1499	284.09944717223857	0.5244041
2124	245.1133602616688	0.52452487
1521	236.12278135233936	0.5248774
1456	260.09586967182577	0.5276192
1522	176.06606840835107	0.5278375
1501	261.14436123160493	0.5287302
1512	460.2030882304519	0.5295579
1319	215.1391928484056	0.5298067
1438	223.0688537784929	0.5298907
1510	259.09245599897525	0.5301374
1746	186.0874113603832	0.53087133
1505	348.0702179673612	0.53267884
1528	318.16572827319004	0.53335446
1465	474.2190991381497	0.53546286
1534	212.1025577872745	0.53555197
1556	377.12999435156814	0.5372091
1550	201.0870498914243	0.5381115
