CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3671	7441	1	0.9357	-0.000
5434	7441	1	0.9784	-0.000
5939	7441	1	0.9752	-0.000
7441	9527	1	0.9866	-0.000
3671	8779	1	0.8971	-0.984
5370	8779	1	0.9678	-0.000
5434	8779	1	0.887	-0.984
5541	8779	1	0.8833	1.003
6044	8779	1	0.9196	-18.011
7133	8779	1	0.8862	45.058
7384	8779	1	0.9687	0.000
8685	8779	1	0.9015	-18.010
3671	5370	1	0.8975	-0.984
5370	6044	1	0.9221	18.010
5370	7133	1	0.9033	-45.058
5370	7384	1	0.982	-0.000
5370	7560	1	0.8837	18.010
5370	8080	1	0.8872	-45.058
5370	8685	1	0.9059	18.010
3671	4987	1	0.8828	17.026
4987	5434	1	0.8909	-17.026
4987	9527	1	0.8858	-17.027
3671	5434	1	0.97	-0.000
3671	5939	1	0.9282	-0.000
3671	6044	1	0.9188	17.026
3671	7384	1	0.9221	-0.985
3671	8685	1	0.8989	17.026
3671	9527	1	0.9525	-0.000
7384	12760	1	0.8893	-16.032
11682	12760	1	0.945	240.158
7133	8080	1	0.9599	0.000
7384	8080	1	0.8846	-45.058
6044	7560	1	0.9276	-0.000
7384	7560	1	0.9138	18.010
7560	8685	1	0.9323	-0.000
7560	9527	1	0.8864	-17.026
5541	8737	1	0.9654	-0.000
7389	8737	1	0.9738	0.000
5434	7384	1	0.8954	-0.984
6044	7384	1	0.9535	-18.011
7133	7384	1	0.907	45.058
7384	8685	1	0.9442	18.010
5434	8685	1	0.8895	17.026
6044	8685	1	0.9729	-0.000
5434	5939	1	0.9785	0.000
5434	6044	1	0.8996	17.026
5434	9527	1	0.988	-0.000
5541	7389	1	0.9662	-0.000
6044	9527	1	0.8928	-17.026
5939	9527	1	0.9817	-0.000
1633	2634	2	0.9139	-42.047
2062	2634	2	0.944	-16.031
2634	3635	2	0.9481	16.031
2634	4607	2	0.9905	-0.000
2634	5371	2	0.9859	0.000
2634	7408	2	0.97	-0.000
2634	8529	2	0.9848	-0.000
2634	8865	2	0.963	-33.985
2634	10657	2	0.9395	-0.000
2634	11426	2	0.9241	-33.984
2715	8157	2	0.9194	-14.016
4338	8157	2	0.8882	42.009
4723	8157	2	0.9788	-0.000
4854	8157	2	0.9084	-14.016
5342	8157	2	0.98	0.000
5673	8157	2	0.8937	42.010
6699	8157	2	0.8966	-14.016
8157	9882	2	0.9679	-0.000
2062	11426	2	0.8921	-50.016
4607	11426	2	0.9286	-33.984
5371	11426	2	0.929	-33.985
7408	11426	2	0.926	-33.984
8529	11426	2	0.9203	-33.984
8865	11426	2	0.9479	0.000
10657	11426	2	0.8893	-33.984
2715	4854	2	0.9943	0.000
4723	4854	2	0.9113	14.016
4854	5342	2	0.9264	-14.016
4854	6699	2	0.9752	-0.000
4854	9882	2	0.9278	-14.016
4854	13343	2	0.8968	-42.047
4854	13923	2	0.8828	-56.062
2062	10657	2	0.9283	-16.032
3635	10657	2	0.9344	-16.032
4607	10657	2	0.9357	-0.000
5371	10657	2	0.9463	-0.000
7408	10657	2	0.9573	-0.000
8514	10657	2	0.9155	-0.014
8529	10657	2	0.9489	-0.000
8865	10657	2	0.9175	33.984
4338	4723	2	0.8932	42.009
4338	5342	2	0.9018	42.009
4338	5673	2	0.9457	-0.001
4338	9882	2	0.9031	42.009
1282	1414	2	0.9632	-0.046
4723	5673	2	0.8944	-42.010
5342	5673	2	0.8955	-42.010
5673	9882	2	0.8977	42.010
1282	1521	2	0.8838	-1.004
1282	2062	2	0.9268	0.000
1282	3635	2	0.9095	0.000
2715	13923	2	0.8942	-56.062
9882	13923	2	0.8914	-42.047
13343	13923	2	0.9817	-14.015
13923	15535	2	0.9931	-0.000
1633	5371	2	0.9213	-42.046
2062	5371	2	0.9494	-16.031
3635	5371	2	0.9485	-16.031
4607	5371	2	0.9847	0.000
5371	7408	2	0.9819	-0.000
5371	8529	2	0.9883	-0.000
5371	8865	2	0.9577	-33.985
2062	8865	2	0.9254	-50.016
3635	8865	2	0.9186	-50.016
4607	8865	2	0.9648	-33.984
7408	8865	2	0.9451	-33.984
8529	8865	2	0.9562	-33.984
2715	4723	2	0.9225	-14.015
2715	5342	2	0.9373	-14.016
2715	6699	2	0.9795	-0.000
2715	9882	2	0.9356	-14.016
2715	13343	2	0.9023	-42.047
2715	15535	2	0.8852	-56.063
4723	9882	2	0.976	-0.000
5342	9882	2	0.9891	-0.000
6699	9882	2	0.9121	-14.016
9882	13343	2	0.9189	-28.031
1633	7408	2	0.9176	-42.047
2062	7408	2	0.9426	-16.032
3635	7408	2	0.9384	-16.032
4607	7408	2	0.9705	-0.000
7408	8529	2	0.9831	0.000
4723	13343	2	0.8875	-28.032
5342	13343	2	0.9074	-28.032
13343	15535	2	0.9866	-14.015
2062	3635	2	0.9862	0.000
