FeatureID	BSH_strain	t0hvt24h	t0hvt48h	t24hvt48h
5464	AZ-52	NA	NA	NA
33999	AZ-52	0.00223073954762065	0.00223073954762065	0.965318403499163
33793	AZ-52	NA	NA	NA
34879	AZ-52	NA	NA	NA
35194	AZ-52	NA	NA	NA
34801	AZ-52	NA	NA	NA
36411	AZ-52	0.831929754455102	0.831929754455102	0.831929754455102
36098	AZ-52	0.907642276447056	0.852496794375308	0.852496794375308
37356	AZ-52	0.9633672023972	0.9633672023972	0.9633672023972
38983	AZ-52	0.000397138788449631	0.000397138788449631	1
39149	AZ-52	0.718819089200914	0.718819089200914	0.718819089200914
39443	AZ-52	NA	NA	NA
40087	AZ-52	0.425304349964809	0.312737158589639	0.347787473488269
39742	AZ-52	0.803890356443124	0.591737451774446	0.591737451774446
42314	AZ-52	NA	NA	NA
43005	AZ-52	NA	NA	NA
43731	AZ-52	NA	NA	NA
43985	AZ-52	NA	NA	NA
44290	AZ-52	NA	NA	NA
43992	AZ-52	NA	NA	NA
44778	AZ-52	NA	NA	NA
44876	AZ-52	NA	NA	NA
44874	AZ-52	NA	NA	NA
44873	AZ-52	NA	NA	NA
44871	AZ-52	NA	NA	NA
44922	AZ-52	NA	NA	NA
44812	AZ-52	NA	NA	NA
45876	AZ-52	NA	NA	NA
45912	AZ-52	NA	NA	NA
45939	AZ-52	NA	NA	NA
45966	AZ-52	NA	NA	NA
46576	AZ-52	NA	NA	NA
46560	AZ-52	NA	NA	NA
46679	AZ-52	NA	NA	NA
46989	AZ-52	NA	NA	NA
47201	AZ-52	NA	NA	NA
48395	AZ-52	0.742875587865769	0.742875587865769	0.742875587865769
49085	AZ-52	NA	NA	NA
49865	AZ-52	NA	NA	NA
49584	AZ-52	0.720532070302507	0.438763245501531	0.438763245501531
49829	AZ-52	NA	NA	NA
50685	AZ-52	1.06624428147073e-09	1.06624428147073e-09	0.000961753970043776
51134	AZ-52	NA	NA	NA
50529	AZ-52	NA	NA	NA
53441	AZ-52	0.236599268977183	1	0.236599268977183
53468	AZ-52	1	0.345299461620748	0.345299461620748
51760	AZ-52	NA	NA	NA
54171	AZ-52	NA	NA	NA
54438	AZ-52	NA	NA	NA
54422	AZ-52	NA	NA	NA
54673	AZ-52	NA	NA	NA
55673	AZ-52	0.490850559800747	0.238053212973293	0.238053212973293
55757	AZ-52	NA	NA	NA
56239	AZ-52	NA	NA	NA
107_i	AZ-52	NA	NA	NA
11_i	AZ-52	0.404004419028431	0.246561811160601	0.27845323475861
110_i	AZ-52	0.555130720067769	0.555130720067769	0.889867977628437
119_i	AZ-52	NA	NA	NA
127_i	AZ-52	0.849110011673647	0.809796268706442	0.809796268706442
129_i	AZ-52	0.000336620464328288	0.000249691648811604	0.00659876519767319
138_i	AZ-52	1	0.345299461620748	0.345299461620748
144_i	AZ-52	NA	NA	NA
147_i	AZ-52	NA	NA	NA
148_i	AZ-52	NA	NA	NA
