File Name,Precursor Mz,Area,Retention Time,Start Time,End Time,Molecule,Analyte Concentration,Calculated Concentration
CA_aminoacids.mzML,466.3163,1876709,5.72,5.66,5.84,GCA,,#N/A
CA_DCA_LCA_aminoacids.mzML,466.3163,469079424,5.73,5.66,5.84,GCA,,#N/A
CDCA_aminoacids.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
DCA_aminoacids.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
DCA_aminoacids_2.mzML,466.3163,2362482,5.74,5.66,5.84,GCA,,#N/A
GCA_std.mzML,466.3163,350752704,5.74,5.66,5.84,GCA,,#N/A
GCDCA_std.mzML,466.3163,279242,5.83,5.66,5.84,GCA,,#N/A
GDCA_std.mzML,466.3163,36694,5.71,5.66,5.84,GCA,,#N/A
GLCA_std.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
GUDCA_std.mzML,466.3163,246,5.74,5.66,5.84,GCA,,#N/A
P1_A1_TLCA_Dny_BSH1_48h.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_A2_TDCA_Dny_BSH1_48h.mzML,466.3163,27335,5.76,5.66,5.84,GCA,,#N/A
P1_A3_TCDCA_Dny_BSH1_48h.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_A4_TUDCA_Dny_BSH1_48h.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_A5_TCA_Dny_BSH1_48h.mzML,466.3163,108301,5.75,5.66,5.84,GCA,,#N/A
P1_A6_GLCA_Dny_BSH1_48h.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_A7_GDCA_Dny_BSH1_48h.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_A8_GCDCA_Dny_BSH1_48h.mzML,466.3163,20136,5.83,5.66,5.84,GCA,,#N/A
P1_A9_GUDCA_Dny_BSH1_48h.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_A10_GCA_Dny_BSH1_48h.mzML,466.3163,509022,5.75,5.66,5.84,GCA,,#N/A
P1_A11_BHI_50MeOH.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_A12_BHI_50DMSO_25MeOH.mzML,466.3163,0,5.66,5.66,5.84,GCA,,#N/A
P1_B1_TLCA_Dny_BSH2_48h.mzML,466.3163,67524,5.74,5.66,5.84,GCA,,#N/A
P1_B2_TDCA_Dny_BSH2_48h.mzML,466.3163,76069,5.74,5.66,5.84,GCA,,#N/A
P1_B3_TCDCA_Dny_BSH2_48h.mzML,466.3163,67789,5.74,5.66,5.84,GCA,,#N/A
