File Name,Precursor Mz,Area,Retention Time,Start Time,End Time,Molecule,Analyte Concentration,Calculated Concentration
CA_aminoacids.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
CA_DCA_LCA_aminoacids.mzML,466.3163,1529178,6.21,6.15,6.34,GCA,,#N/A
CDCA_aminoacids.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
DCA_aminoacids.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
DCA_aminoacids_2.mzML,466.3163,58937,6.28,6.15,6.34,GCA,,#N/A
GCA_std.mzML,466.3163,453522,6.15,6.15,6.34,GCA,,#N/A
GCDCA_std.mzML,466.3163,4194,6.15,6.15,6.34,GCA,,#N/A
GDCA_std.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
GLCA_std.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
GUDCA_std.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A1_TLCA_Dny_BSH1_48h.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A2_TDCA_Dny_BSH1_48h.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A3_TCDCA_Dny_BSH1_48h.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A4_TUDCA_Dny_BSH1_48h.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A5_TCA_Dny_BSH1_48h.mzML,466.3163,353929,6.29,6.15,6.34,GCA,,#N/A
P6_A6_GLCA_Dny_BSH1_48h.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A7_GDCA_Dny_BSH1_48h.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A8_GCDCA_Dny_BSH1_48h.mzML,466.3163,12001,6.34,6.15,6.34,GCA,,#N/A
P6_A9_GUDCA_Dny_BSH1_48h.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A10_GCA_Dny_BSH1_48h.mzML,466.3163,277694,6.34,6.15,6.34,GCA,,#N/A
P6_A11_BHI_50MeOH.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_A12_BHI_50DMSO_25MeOH.mzML,466.3163,0,6.15,6.15,6.34,GCA,,#N/A
P6_B1_TLCA_Dny_BSH2_48h.mzML,466.3163,108295,6.29,6.15,6.34,GCA,,#N/A
P6_B2_TDCA_Dny_BSH2_48h.mzML,466.3163,104980,6.26,6.15,6.34,GCA,,#N/A
P6_B3_TCDCA_Dny_BSH2_48h.mzML,466.3163,115168,6.3,6.15,6.34,GCA,,#N/A
P6_B4_TUDCA_Dny_BSH2_48h.mzML,466.3163,115481,6.29,6.15,6.34,GCA,,#N/A
P6_B5_TCA_Dny_BSH2_48h.mzML,466.3163,106474,6.28,6.15,6.34,GCA,,#N/A
P6_B6_GLCA_Dny_BSH2_48h.mzML,466.3163,96385,6.28,6.15,6.34,GCA,,#N/A
P6_B7_GDCA_Dny_BSH2_48h.mzML,466.3163,163233,6.31,6.15,6.34,GCA,,#N/A
P6_B8_GCDCA_Dny_BSH2_48h.mzML,466.3163,168279,6.33,6.15,6.34,GCA,,#N/A
P6_B9_GUDCA_Dny_BSH2_48h.mzML,466.3163,49343,6.34,6.15,6.34,GCA,,#N/A
P6_B10_GCA_Dny_BSH2_48h.mzML,466.3163,527944480,6.34,6.15,6.34,GCA,,#N/A
P6_B11_BHI_50MeOH.mzML,466.3163,52865,6.34,6.15,6.34,GCA,,#N/A
P6_B12_BHI_50DMSO_25MeOH.mzML,466.3163,96729,6.32,6.15,6.34,GCA,,#N/A
P6_C1_TLCA_Lgasseri_BSH_48h.mzML,466.3163,92044,6.31,6.15,6.34,GCA,,#N/A
P6_C2_TDCA_Lgasseri_BSH_48h.mzML,466.3163,96479,6.28,6.15,6.34,GCA,,#N/A
P6_C3_TCDCA_Lgasseri_BSH_48h.mzML,466.3163,104587,6.25,6.15,6.34,GCA,,#N/A
P6_C4_TUDCA_Lgasseri_BSH_48h.mzML,466.3163,90338,6.25,6.15,6.34,GCA,,#N/A
P6_C5_TCA_Lgasseri_BSH_48h.mzML,466.3163,114954,6.27,6.15,6.34,GCA,,#N/A
P6_C6_GLCA_Lgasseri_BSH_48h.mzML,466.3163,91788,6.3,6.15,6.34,GCA,,#N/A
P6_C7_GDCA_Lgasseri_BSH_48h.mzML,466.3163,193551,6.26,6.15,6.34,GCA,,#N/A
P6_C8_GCDCA_Lgasseri_BSH_48h.mzML,466.3163,487593,6.28,6.15,6.34,GCA,,#N/A
P6_C9_GUDCA_Lgasseri_BSH_48h.mzML,466.3163,132722,6.29,6.15,6.34,GCA,,#N/A
P6_C10_GCA_Lgasseri_BSH_48h.mzML,466.3163,886080896,6.34,6.15,6.34,GCA,,#N/A
P6_C11_BHI_50MeOH.mzML,466.3163,119980,6.33,6.15,6.34,GCA,,#N/A
P6_C12_BHI_50DMSO_25MeOH.mzML,466.3163,133160,6.34,6.15,6.34,GCA,,#N/A
P6_D1_TLCA_LCAG-95_BSH1208_48h.mzML,466.3163,17426,6.33,6.15,6.34,GCA,,#N/A
P6_D2_TDCA_LCAG-95_BSH1208_48h.mzML,466.3163,14351,6.31,6.15,6.34,GCA,,#N/A
P6_D3_TCDCA_LCAG-95_BSH1208_48h.mzML,466.3163,23194,6.29,6.15,6.34,GCA,,#N/A
P6_D4_TUDCA_LCAG-95_BSH1208_48h.mzML,466.3163,28994,6.29,6.15,6.34,GCA,,#N/A
P6_D5_TCA_LCAG-95_BSH1208_48h.mzML,466.3163,409602,6.27,6.15,6.34,GCA,,#N/A
