Molecule	name_new	BA_suppl	BSH_strain	cult_plt	plate_location	0h	48h	baseline_chng	condition
GCA	TLCA-Dny-BSH1	TLCA	Dny-BSH1	P2	A1	96437	0	0	FT
GCA	TDCA-Dny-BSH1	TDCA	Dny-BSH1	P2	A2	111311	0	0	FT
GCA	TCDCA-Dny-BSH1	TCDCA	Dny-BSH1	P2	A3	126453	0	0	FT
GCA	TUDCA-Dny-BSH1	TUDCA	Dny-BSH1	P2	A4	90895	0	0	FT
GCA	TCA-Dny-BSH1	TCA	Dny-BSH1	P2	A5	349220	353929	1.01348143439255	FT
GCA	GLCA-Dny-BSH1	GLCA	Dny-BSH1	P2	A6	116911	0	0	FT
GCA	GDCA-Dny-BSH1	GDCA	Dny-BSH1	P2	A7	142099	0	0	FT
GCA	GCDCA-Dny-BSH1	GCDCA	Dny-BSH1	P2	A8	645965	12001	0.0185783771901308	FT
GCA	GUDCA-Dny-BSH1	GUDCA	Dny-BSH1	P2	A9	2755017	0	0	FT
GCA	GCA-Dny-BSH1	GCA	Dny-BSH1	P2	A10	1267302656	277694	0.000219122084583462	FT
GCA	TLCA-Dny-BSH2	TLCA	Dny-BSH2	P2	B1	141271	108295	0.766570870377711	FT
GCA	TDCA-Dny-BSH2	TDCA	Dny-BSH2	P2	B2	138735	104980	0.756688963210702	FT
GCA	TCDCA-Dny-BSH2	TCDCA	Dny-BSH2	P2	B3	129079	115168	0.892221877905175	FT
GCA	TUDCA-Dny-BSH2	TUDCA	Dny-BSH2	P2	B4	127624	115481	0.904846229187071	FT
GCA	TCA-Dny-BSH2	TCA	Dny-BSH2	P2	B5	135261	106474	0.787168606112582	FT
GCA	GLCA-Dny-BSH2	GLCA	Dny-BSH2	P2	B6	131339	96385	0.733858687376275	FT
GCA	GDCA-Dny-BSH2	GDCA	Dny-BSH2	P2	B7	243371	163233	0.670713968739214	FT
GCA	GCDCA-Dny-BSH2	GCDCA	Dny-BSH2	P2	B8	873672	168279	0.192610965429858	FT
GCA	GUDCA-Dny-BSH2	GUDCA	Dny-BSH2	P2	B9	1077746	49343	0.0457834723733863	FT
GCA	GCA-Dny-BSH2	GCA	Dny-BSH2	P2	B10	1084196224	527944480	0.486945506566397	FT
GCA	TLCA-Lgasseri-BSH	TLCA	Lgasseri-BSH	P2	C1	120599	92044	0.763217247097844	FA
GCA	TDCA-Lgasseri-BSH	TDCA	Lgasseri-BSH	P2	C2	128065	96479	0.753353739478082	FA
GCA	TCDCA-Lgasseri-BSH	TCDCA	Lgasseri-BSH	P2	C3	140555	104587	0.744094880332394	FA
GCA	TUDCA-Lgasseri-BSH	TUDCA	Lgasseri-BSH	P2	C4	136205	90338	0.663245378324009	FA
GCA	TCA-Lgasseri-BSH	TCA	Lgasseri-BSH	P2	C5	135131	114954	0.85067933576059	FA
GCA	GLCA-Lgasseri-BSH	GLCA	Lgasseri-BSH	P2	C6	148329	91788	0.618809411447448	FA
GCA	GDCA-Lgasseri-BSH	GDCA	Lgasseri-BSH	P2	C7	191543	193551	1.0104780102744	FA
GCA	GCDCA-Lgasseri-BSH	GCDCA	Lgasseri-BSH	P2	C8	420312	487593	1.16007118504543	FA
GCA	GUDCA-Lgasseri-BSH	GUDCA	Lgasseri-BSH	P2	C9	157931	132722	0.840374338322822	FA
GCA	GCA-Lgasseri-BSH	GCA	Lgasseri-BSH	P2	C10	492626272	886080896	1.79868785845289	FA
GCA	TLCA-LCAG-95-BSH1208	TLCA	LCAG-95-BSH1208	P2	D1	3657	17426	4.76380535811919	NA
GCA	TDCA-LCAG-95-BSH1208	TDCA	LCAG-95-BSH1208	P2	D2	116014	14351	0.123699521613584	NA
GCA	TCDCA-LCAG-95-BSH1208	TCDCA	LCAG-95-BSH1208	P2	D3	117323	23194	0.197691861852647	NA
GCA	TUDCA-LCAG-95-BSH1208	TUDCA	LCAG-95-BSH1208	P2	D4	113066	28994	0.256432027028222	NA
GCA	TCA-LCAG-95-BSH1208	TCA	LCAG-95-BSH1208	P2	D5	166235	409602	2.46397892153324	NA
GCA	GLCA-LCAG-95-BSH1208	GLCA	LCAG-95-BSH1208	P2	D6	122161	574708	4.70447438647042	NA
GCA	GDCA-LCAG-95-BSH1208	GDCA	LCAG-95-BSH1208	P2	D7	224123	63852	0.284895861219682	NA
GCA	GCDCA-LCAG-95-BSH1208	GCDCA	LCAG-95-BSH1208	P2	D8	744420	122999	0.165227740754224	NA
GCA	GUDCA-LCAG-95-BSH1208	GUDCA	LCAG-95-BSH1208	P2	D9	141118	33287	0.235878939051439	NA
GCA	GCA-LCAG-95-BSH1208	GCA	LCAG-95-BSH1208	P2	D10	982146560	267231600	0.272089330260354	NA
GCA	TLCA-Ep-BSH101	TLCA	Ep-BSH101	P2	E1	112084	75310	0.671900789579337	NA
GCA	TDCA-Ep-BSH101	TDCA	Ep-BSH101	P2	E2	107740	101541	0.942454590174585	NA
GCA	TCDCA-Ep-BSH101	TCDCA	Ep-BSH101	P2	E3	111575	76009	0.681230730623073	NA
GCA	TUDCA-Ep-BSH101	TUDCA	Ep-BSH101	P2	E4	120690	101460	0.840659204083155	NA
GCA	TCA-Ep-BSH101	TCA	Ep-BSH101	P2	E5	123005	113569	0.923280165195194	NA
GCA	GLCA-Ep-BSH101	GLCA	Ep-BSH101	P2	E6	125102	99486	0.795232728231937	NA
GCA	GDCA-Ep-BSH101	GDCA	Ep-BSH101	P2	E7	222973	200160	0.897683137944334	NA
GCA	GCDCA-Ep-BSH101	GCDCA	Ep-BSH101	P2	E8	824742	516826	0.626650968847265	NA
GCA	GUDCA-Ep-BSH101	GUDCA	Ep-BSH101	P2	E9	125387	143871	1.14740645037803	NA
GCA	GCA-Ep-BSH101	GCA	Ep-BSH101	P2	E10	430215232	1556881664	3.61884364982492	NA
GCA	TLCA-AZ-52	TLCA	AZ-52	P2	F1	111209	108912	0.979336390612355	NA
GCA	TDCA-AZ-52	TDCA	AZ-52	P2	F2	119956	98126	0.818009786840284	NA
GCA	TCDCA-AZ-52	TCDCA	AZ-52	P2	F3	124625	98235	0.788238409320687	NA
GCA	TUDCA-AZ-52	TUDCA	AZ-52	P2	F4	119218	100592	0.843758125802095	NA
GCA	TCA-AZ-52	TCA	AZ-52	P2	F5	120056	158709	1.32194707513931	NA
GCA	GLCA-AZ-52	GLCA	AZ-52	P2	F6	116607	102680	0.880557080131723	NA
GCA	GDCA-AZ-52	GDCA	AZ-52	P2	F7	187438	194667	1.0385618787979	NA
GCA	GCDCA-AZ-52	GCDCA	AZ-52	P2	F8	439267	402035	0.915238533196135	NA
GCA	GUDCA-AZ-52	GUDCA	AZ-52	P2	F9	127374	129634	1.0177350343474	NA
GCA	GCA-AZ-52	GCA	AZ-52	P2	F10	440722592	899525376	2.04102396901627	NA
GCA	TLCA-EcAZ-1-cat	TLCA	EcAZ-1-cat	P2	G1	131135	116220	0.886255490483163	NA
GCA	TDCA-EcAZ-1-cat	TDCA	EcAZ-1-cat	P2	G2	131121	108835	0.830028523054865	NA
GCA	TCDCA-EcAZ-1-cat	TCDCA	EcAZ-1-cat	P2	G3	114207	122012	1.06833146539647	NA
GCA	TUDCA-EcAZ-1-cat	TUDCA	EcAZ-1-cat	P2	G4	137261	115037	0.83808337340269	NA
GCA	TCA-EcAZ-1-cat	TCA	EcAZ-1-cat	P2	G5	141838	111371	0.785193071017139	NA
GCA	GLCA-EcAZ-1-cat	GLCA	EcAZ-1-cat	P2	G6	144214	104173	0.722345109731997	NA
GCA	GDCA-EcAZ-1-cat	GDCA	EcAZ-1-cat	P2	G7	186418	224040	1.20180882849924	NA
GCA	GCDCA-EcAZ-1-cat	GCDCA	EcAZ-1-cat	P2	G8	512718	473717	0.923931042149794	NA
GCA	GUDCA-EcAZ-1-cat	GUDCA	EcAZ-1-cat	P2	G9	148710	994915	6.69025828620613	NA
GCA	GCA-EcAZ-1-cat	GCA	EcAZ-1-cat	P2	G10	633843840	949709568	1.49833366922311	NA
GCA	TLCA-ctrl	TLCA	ctrl	P2	H1	140029	97728	0.697907591230451	NA
GCA	TDCA-ctrl	TDCA	ctrl	P2	H2	138838	122540	0.882605031727396	NA
GCA	TCDCA-ctrl	TCDCA	ctrl	P2	H3	136249	108507	0.796381651376147	NA
GCA	TUDCA-ctrl	TUDCA	ctrl	P2	H4	145678	121655	0.835089477549956	NA
GCA	TCA-ctrl	TCA	ctrl	P2	H5	130268	110616	0.849135250903899	NA
GCA	GLCA-ctrl	GLCA	ctrl	P2	H6	132174	97128	0.734843956875355	NA
GCA	GDCA-ctrl	GDCA	ctrl	P2	H7	229394	219797	0.958159506528041	NA
GCA	GCDCA-ctrl	GCDCA	ctrl	P2	H8	607658	535794	0.881734657102092	NA
GCA	GUDCA-ctrl	GUDCA	ctrl	P2	H9	123130	524197	4.25723010452282	NA
GCA	GCA-ctrl	GCA	ctrl	P2	H10	972195008	466728512	0.480077050056117	NA
GCA	TLCA-Dny-BSH1	TLCA	Dny-BSH1	P3	A1	95827	0	0	FT
GCA	TDCA-Dny-BSH1	TDCA	Dny-BSH1	P3	A2	84799	0	0	FT
GCA	TCDCA-Dny-BSH1	TCDCA	Dny-BSH1	P3	A3	91863	0	0	FT
GCA	TUDCA-Dny-BSH1	TUDCA	Dny-BSH1	P3	A4	83446	0	0	FT
GCA	TCA-Dny-BSH1	TCA	Dny-BSH1	P3	A5	224515	86324	0.384489301430633	FT
GCA	GLCA-Dny-BSH1	GLCA	Dny-BSH1	P3	A6	89443	0	0	FT
GCA	GDCA-Dny-BSH1	GDCA	Dny-BSH1	P3	A7	148099	0	0	FT
GCA	GCDCA-Dny-BSH1	GCDCA	Dny-BSH1	P3	A8	725888	39832	0.054873403509352	FT
GCA	GUDCA-Dny-BSH1	GUDCA	Dny-BSH1	P3	A9	165386	0	0	FT
GCA	GCA-Dny-BSH1	GCA	Dny-BSH1	P3	A10	1065558208	179803	0.000168740664265297	FT
GCA	TLCA-Dny-BSH2	TLCA	Dny-BSH2	P3	B1	107360	26390	0.245806205232813	FT
GCA	TDCA-Dny-BSH2	TDCA	Dny-BSH2	P3	B2	105893	33680	0.318053902959563	FT
GCA	TCDCA-Dny-BSH2	TCDCA	Dny-BSH2	P3	B3	121987	22924	0.187920123290815	FT
GCA	TUDCA-Dny-BSH2	TUDCA	Dny-BSH2	P3	B4	103456	18300	0.17688508269136	FT
GCA	TCA-Dny-BSH2	TCA	Dny-BSH2	P3	B5	95850	40221	0.419620035263065	FT
GCA	GLCA-Dny-BSH2	GLCA	Dny-BSH2	P3	B6	110976	24339	0.219315714066879	FT
GCA	GDCA-Dny-BSH2	GDCA	Dny-BSH2	P3	B7	291069	54341	0.186693922424159	FT
GCA	GCDCA-Dny-BSH2	GCDCA	Dny-BSH2	P3	B8	631987	278334	0.440410260954322	FT
GCA	GUDCA-Dny-BSH2	GUDCA	Dny-BSH2	P3	B9	1680718	44101	0.0262393654144447	FT
GCA	GCA-Dny-BSH2	GCA	Dny-BSH2	P3	B10	727450816	318757088	0.438183696479373	FT
GCA	TLCA-Lgasseri-BSH	TLCA	Lgasseri-BSH	P3	C1	101084	84146	0.832428154523421	FA
GCA	TDCA-Lgasseri-BSH	TDCA	Lgasseri-BSH	P3	C2	101152	48469	0.479165224956254	FA
GCA	TCDCA-Lgasseri-BSH	TCDCA	Lgasseri-BSH	P3	C3	137948	37043	0.268526774387636	FA
GCA	TUDCA-Lgasseri-BSH	TUDCA	Lgasseri-BSH	P3	C4	108186	62849	0.580929316831043	FA
GCA	TCA-Lgasseri-BSH	TCA	Lgasseri-BSH	P3	C5	111534	51913	0.465441341283005	FA
GCA	GLCA-Lgasseri-BSH	GLCA	Lgasseri-BSH	P3	C6	107113	36289	0.338788580390985	FA
GCA	GDCA-Lgasseri-BSH	GDCA	Lgasseri-BSH	P3	C7	186234	118906	0.638472897146079	FA
GCA	GCDCA-Lgasseri-BSH	GCDCA	Lgasseri-BSH	P3	C8	458571	517308	1.12808457559554	FA
GCA	GUDCA-Lgasseri-BSH	GUDCA	Lgasseri-BSH	P3	C9	231855	195230	0.842031260782555	FA
GCA	GCA-Lgasseri-BSH	GCA	Lgasseri-BSH	P3	C10	439435008	554033408	1.2607857741257	FA
GCA	TLCA-LCAG-95-BSH1208	TLCA	LCAG-95-BSH1208	P3	D1	79465	216265	2.72147836810711	NA
GCA	TDCA-LCAG-95-BSH1208	TDCA	LCAG-95-BSH1208	P3	D2	91007	6516	0.0715981012658228	NA
GCA	TCDCA-LCAG-95-BSH1208	TCDCA	LCAG-95-BSH1208	P3	D3	96163	11102	0.115448608626929	NA
GCA	TUDCA-LCAG-95-BSH1208	TUDCA	LCAG-95-BSH1208	P3	D4	100141	13383	0.133640230872162	NA
GCA	TCA-LCAG-95-BSH1208	TCA	LCAG-95-BSH1208	P3	D5	138488	310501	2.24206254648384	NA
GCA	GLCA-LCAG-95-BSH1208	GLCA	LCAG-95-BSH1208	P3	D6	260380	2041	0.00783851356281756	NA
GCA	GDCA-LCAG-95-BSH1208	GDCA	LCAG-95-BSH1208	P3	D7	167990	21368	0.12719729033103	NA
GCA	GCDCA-LCAG-95-BSH1208	GCDCA	LCAG-95-BSH1208	P3	D8	629764	219424	0.348422030439926	NA
