CHROMATOGRAM,
p6_b9_gudca_dny_bsh2_48h.raw,
Data points: 2443,
Time,Intensity
0.003698567,0
0.008304798,0
0.011450584,0
0.013773448,0
0.016098451,0
0.018421351,0
0.020744267,0
0.023069234,0
0.025392134,0
0.027715015,0
0.030040033,0
0.032362917,0
0.034687916,0
0.037010784,0
0.045891983,0
0.050125284,0
0.0524482,0
0.054773167,0
0.057096047,0
0.059418983,0
0.061743934,0
0.06406685,0
0.066389767,0
0.068714749,0
0.071037633,0
0.073362616,0
0.075685516,0
0.078008432,0
0.080333415,0
0.082656315,0
0.084979215,0
0.087304182,0
0.091806347,0
0.094129148,0
0.096454131,0
0.098777031,0
0.10110202,0
0.10342492,0
0.1057478,0
0.1080728,0
0.11039568,0
0.1127186,0
0.11504357,0
0.11736648,0
0.11969148,0
0.12201438,0
0.12433728,0
0.12666225,0
0.12898515,0
0.13130805,0
0.13363305,0
0.13595593,0
0.13828093,0
0.14060382,0
0.14292672,0
0.14525171,0
0.14757461,0
0.1498975,0
0.15222248,0
0.15454538,0
0.15687038,0
0.15919326,0
0.16151616,0
0.16384115,0
0.16616407,0
0.16848695,0
0.17081195,0
0.17532025,0
0.17764315,0
0.17996813,0
0.18229103,0
0.18461393,0
0.1869389,0
0.18926182,0
0.19158473,0
0.1939097,0
0.1962326,0
0.19855758,0
0.20088047,0
0.20320338,0
0.20552835,0
0.20785125,0
0.21335125,0
0.21758453,0
0.21990952,0
0.22223243,0
0.2245574,0
0.2268803,0
0.2292032,0
0.23152818,0
0.23385108,0
0.23617398,0
0.23849895,0
0.24082185,0
0.24976555,0
0.2539801,0
0.25881975,0
0.26114463,0
0.26346753,0
0.26579252,0
0.26811543,0
0.27043832,0
0.27276332,0
0.2750862,0
0.2774091,0
0.2797341,0
0.282057,0
0.28438196,0
0.28670487,0
0.28902777,0
0.29135278,0
0.29367565,0
0.29599856,0
0.29832355,0
0.30064645,0
0.30297142,0
0.30529433,0
0.3076172,0
0.30994222,0
0.3122651,0
0.314588,0
0.3201317,0
0.32436511,0
0.32668792,0
0.3290129,0
0.33133582,0
0.33365868,0
0.33598366,0
0.3383066,0
0.3428045,0
0.34512738,0
0.3474503,0
0.34977525,0
0.35209817,0
0.35442107,0
0.35674605,0
0.35906895,0
0.36139392,0
0.36371683,0
0.36603973,0
0.36836471,0
0.37068762,0
0.37301052,0
0.37533758,0
0.37766046,0
0.38655832,0
0.39003955,0
0.40144155,0
0.42049562,0
0.43134553,0
0.44622455,0
0.46516608,0
0.48315973,0
0.49935753,0
0.51667825,0
0.5331927,0
0.55225298,0
0.57136117,0
0.59047147,0
0.60964632,0
0.6287587,0
0.64737732,0
0.66349178,0
0.68178332,0
0.70270818,0
0.71907265,0
0.7316705,0
0.74695373,0
0.76344318,0
0.77793682,0
0.79553045,0
0.81192615,0
0.82726147,0
0.84648008,0
0.86791118,0
0.88421315,0
0.9023026,0
0.92152538,0
0.94309606,0
0.96212927,0
0.97954373,0
0.99866027,0
1.016633,0
1.0359891,0
1.0519349,0
1.0691535,0
1.0859805,0
1.1067032,0
1.1258406,0
1.1449905,0
1.1640883,0
1.1820757,0
1.2039359,0
1.2220878,0
1.2413502,0
1.2605167,0
1.2824562,0
1.3013123,0
1.3193434,0
1.3385224,0
1.3573702,0
1.3754659,0
1.3947658,0
1.4140053,0
1.4331843,0
1.4550175,0
1.4743548,0
1.4927589,0
1.5079421,0
1.5207045,0
1.5374585,0
1.5531189,0
1.5685604,0
1.5836436,0
1.5970123,0
1.6094622,0
1.621058,0
1.631935,0
1.6446036,0
1.6573056,0
1.6688326,0
1.6810347,0
1.6941075,0
1.7102865,0
1.7220823,0
1.7336989,0
1.7449592,0
1.7577612,0
1.7691548,0
1.783236,0
1.7988025,0
1.8126295,0
1.8250378,0
1.8384877,0
1.8508897,0
1.8652771,0
1.8807457,0
1.892754,0
1.9041685,0
1.9197954,0
1.9316141,0
1.9434974,0
1.9557931,0
1.9675326,0
1.9790242,0
1.9892429,0
2.0011199,0
2.0136386,0
2.0314738,0
2.0456862,0
2.0625965,0
2.079988,0
2.0978983,0
2.1183169,0
2.1349148,0
2.1484751,0
2.1650687,0
2.183104,0
2.2021393,0
2.2205891,0
2.2379557,0
2.2539764,0
2.2743763,0
2.2938949,0
2.3122114,0
2.3310259,0
2.3481487,0
2.3664465,0
2.3850192,0
2.4031628,0
2.4206044,0
2.4383647,0
2.4561812,0
2.4739603,0
2.4925622,0
2.5119913,0
2.5324203,0
2.5518785,0
2.5690763,0
2.5878637,0
2.6074573,0
2.6267488,0
2.6411112,0
2.6578673,0
2.6774255,0
2.6998587,0
2.7194231,0
2.7388917,0
2.758477,0
2.7787957,0
2.7959997,0
2.8129058,0
2.8283453,0
2.8476972,0
2.8685387,0
2.8881386,0
2.9075301,0
2.9265779,0
2.9489986,0
2.968561,0
2.9878733,0
3.0074774,0
3.0271814,0
3.0457667,0
3.0655603,0
3.0849997,0
3.1045142,0
3.1267286,0
3.145991,0
3.1653992,0
3.1848428,0
3.2071239,0
3.2254404,0
3.2449736,0
3.264411,0
3.2856671,0
3.3005212,0
3.3149981,0
3.3345397,0
3.3537499,0
3.3761977,0
3.3961329,0
3.4156932,0
3.4355972,0
3.4544721,0
3.4743178,0
3.4941323,0
3.4974698,0
3.5135821,0
3.5357445,0
3.5405174,0
3.5601401,0
3.5684276,0
3.5801004,0
3.5918233,0
3.6107689,0
3.622471,0
3.6364104,0
3.6411521,0
3.6447458,0
3.6478812,0
3.6561353,0
3.6594728,0
3.6627019,0
3.6660811,0
3.6692394,0
3.6728831,0
3.675781,0
3.6781039,0
3.6864184,0
3.7023975,0
3.716314,0
3.734691,0
3.7417597,0
3.7601866,0
3.7711762,0
3.7872031,0
3.7942719,0
3.7973364,0
3.8005613,0
3.803828,0
3.8085655,0
3.8157759,0
3.8227508,0
3.8263008,0
3.8295257,0
3.8411944,0
3.8517652,0
3.8554651,0
3.8601859,0
3.8649276,0
3.8687526,0
3.8719088,0
3.8766212,0
3.8803379,0
3.8833816,0
3.8951211,0
3.9022023,0
3.9128752,0
3.9161064,0
3.9300396,0
3.9374354,0
3.9513291,0
3.9618352,0
3.9724372,0
3.9830059,0
3.9936142,0
4.004212,0
4.0148057,0
4.036893,0
4.0526575,0
4.0721761,0
4.0920197,0
4.1143904,0
4.1249133,0
4.1390423,0
4.1471964,0
4.1660567,0
4.1693587,0
4.1767712,0
4.1804045,0
4.1837691,0
4.1869712,0
4.1892961,0
4.1940878,0
4.1975836,0
4.2008731,0
4.2125918,0
4.2285521,0
4.2392895,0
4.2556165,0
4.278258,0
4.2816455,0
4.2899058,0
4.3016579,0
4.3121349,0
4.322666,0
4.3366993,0
4.3550783,0
4.3772615,0
4.3967842,0
4.4161633,0
4.4355403,0
4.4580484,0
4.4698004,0
4.481542,0
4.488644,0
4.4957565,0
4.5028648,0
4.5062127,0
4.5097189,0
4.517873,0
4.528475,0
4.5355125,0
4.5460228,0
4.5529998,0
4.5563019,0
4.5594831,0
4.5628289,0
4.565981,0
4.570631,0
4.574108,0
4.5773892,0
4.5808163,0
4.5841184,0
4.5872933,0
4.5946537,0
4.5980808,0
4.6013911,0
4.6047078,0
4.6078849,0
4.6102098,0
4.6125327,0
4.6148577,0
4.6171806,0
4.6195035,0
4.6242993,0
4.6277868,0
4.6310764,0
4.6342659,0
4.64242,0
4.645595,0
4.6489075,0
4.6559866,0
4.6592678,0
4.6625136,0
4.6672699,0
4.6705156,0
4.6739719,0
4.6770948,0
4.6803427,0
4.6834343,0
4.6905384,0
4.6936905,0
4.7007946,0
4.70793,0
4.7113987,0
4.7145695,0
4.7193091,0
4.7228341,0
4.7260465,0
4.7283715,0
4.7306944,0
4.7330173,0
4.7377068,0
4.7423464,0
4.745786,0
4.7491131,0
4.7524568,0
4.7557755,0
4.760415,0
4.7639587,0
4.76714,0
4.7718462,0
4.7788378,0
4.7822774,0
4.7855898,0
4.790294,0
4.7934814,0
4.7967794,0
4.7999231,0
4.8105563,0
4.8138438,0
4.8244708,0
4.8277917,0
4.834927,0
4.8381186,0
4.8417145,0
4.8448186,0
4.8479436,0
4.8562644,0
4.8596997,0
4.8630393,0
4.866383,0
4.8695601,0
4.8743496,0
4.8780746,0
4.8812559,0
4.8835787,0
4.8859038,0
4.8882266,0
