CHROMATOGRAM,
p6_h9_gudca_ctrl_48h.raw,
Data points: 3109,
Time,Intensity
0.003702783,0
0.008306868,0
0.011450632,0
0.013775582,0
0.016098498,0
0.018423449,0
0.020746381,0
0.023069282,0
0.025394284,0
0.027717164,0
0.030040065,0
0.032365051,0
0.034687932,0
0.037012934,0
0.039335834,0
0.041658715,0
0.043983717,0
0.046306617,0
0.048629518,0
0.050954484,0
0.0532774,0
0.055602351,0
0.057925267,0
0.060248183,0
0.062573166,0
0.064896066,0
0.067218951,0
0.069543949,0
0.071866833,0
0.074191832,0
0.076514732,0
0.078837632,0
0.081162615,0
0.083485515,0
0.085808415,0
0.088133382,0
0.09263755,0
0.094960415,0
0.097283335,0
0.099608317,0
0.10193122,0
0.1042541,0
0.10657912,0
0.108902,0
0.111227,0
0.11354988,0
0.1158728,0
0.11819777,0
0.12052067,0
0.12284358,0
0.12516853,0
0.12749145,0
0.12981643,0
0.13213935,0
0.13446223,0
0.13678722,0
0.13911012,0
0.14143302,0
0.143758,0
0.1460809,0
0.1484059,0
0.15072878,0
0.15305168,0
0.15537668,0
0.15769957,0
0.16002248,0
0.16234743,0
0.16467037,0
0.16699537,0
0.16931823,0
0.17164115,0
0.1761453,0
0.17846817,0
0.18079315,0
0.18311607,0
0.18543897,0
0.18776395,0
0.19008685,0
0.19240975,0
0.19473472,0
0.19705763,0
0.19938262,0
0.20170553,0
0.20402841,0
0.2063534,0
0.2086763,0
0.2109992,0
0.21332418,0
0.21564706,0
0.21797208,0
0.22029498,0
0.22261787,0
0.22494285,0
0.22726577,0
0.22959073,0
0.23191363,0
0.23423655,0
0.23656152,0
0.23888443,0
0.24120732,0
0.24353232,0
0.2458552,0
0.24817808,0
0.2505031,0
0.25282601,0
0.25515098,0
0.25966345,0
0.26198633,0
0.26430923,0
0.26663422,0
0.26895712,0
0.27128003,0
0.27360502,0
0.27592792,0
0.27825288,0
0.28057578,0
0.2828987,0
0.28522367,0
0.28754658,0
0.28986948,0
0.29219448,0
0.29451737,0
0.29684235,0
0.29916525,0
0.30148813,0
0.30381313,0
0.30613603,0
0.30845892,0
0.31078392,0
0.31310682,0
0.31543182,0
0.3177547,0
0.3200776,0
0.32240257,0
0.32472548,0
0.32704838,0
0.32937338,0
0.33169627,0
0.33402125,0
0.33634418,0
0.33866703,0
0.34317953,0
0.3455024,0
0.34782532,0
0.3501503,0
0.3524732,0
0.35479817,0
0.35712108,0
0.35944398,0
0.36176898,0
0.36409186,0
0.36641476,0
0.36873975,0
0.37106265,0
0.37338765,0
0.37571051,0
0.37803345,0
0.38035842,0
0.38268133,0
0.38500632,0
0.38732922,0
0.38965208,0
0.39516876,0
0.3994041,0
0.40779988,0
0.42691643,0
0.44776835,0
0.46681405,0
0.48441602,0
0.50347212,0
0.52317198,0
0.5418781,0
0.55800507,0
0.57726743,0
0.59645483,0
0.61827132,0
0.63476287,0
0.65110442,0
0.66832928,0
0.68493545,0
0.7067061,0
0.72475808,0
0.74238085,0
0.76107447,0
0.78148265,0
0.80061795,0
0.81877615,0
0.83746143,0
0.85670297,0
0.87586533,0
0.89502562,0
0.91326298,0
0.93261705,0
0.9545002,0
0.97362298,0
0.9919166,0
1.0094269,0
1.0286893,0
1.047987,0
1.0670765,0
1.0862118,0
1.106997,0
1.1262406,0
1.1444301,0
1.1636425,0
1.1828632,0
1.2021943,0
1.2215754,0
1.2375107,0
1.2567877,0
1.2777083,0
1.2969811,0
1.3164122,0
1.3357767,0
1.355062,0
1.3744993,0
1.3937929,0
1.4131282,0
1.4324093,0
1.4531363,0
1.4724653,0
1.4917214,0
1.5108421,0
1.5301357,0
1.5492918,0
1.5685084,140379.4219
1.5876395,162500.0938
1.6029519,0
1.6197059,0
1.6385454,0
1.6550286,0
1.6716889,0
1.6912242,0
1.7062178,0
1.7214177,0
1.7348718,0
1.7524029,0
1.7695465,0
1.7875547,0
1.8036109,0
1.8193712,0
