CHROMATOGRAM,
p6_h4_tudca_ctrl_48h.raw,
Data points: 2671,
Time,Intensity
0.003738899,0
0.008351297,0
0.011501315,0
0.01382418,0
0.016149182,0
0.018472083,0
0.020794979,0
0.023119945,0
0.025442882,0
0.027765766,0
0.030090764,0
0.032413649,0
0.034738631,0
0.037061516,0
0.045940613,0
0.050171847,0
0.052494764,0
0.054819714,0
0.057142646,0
0.059465531,0
0.061790513,0
0.064113429,0
0.066438416,0
0.068761332,0
0.071084197,0
0.073409199,0
0.075732115,0
0.07805498,0
0.080379982,0
0.082702882,0
0.085027865,0
0.087350749,0
0.091844498,0
0.094167383,0
0.096492365,0
0.098815246,0
0.10113817,0
0.10346313,0
0.10578605,0
0.10810893,0
0.11043393,0
0.11275683,0
0.1150818,0
0.11740471,0
0.11972761,0
0.1220526,0
0.12437548,0
0.1266984,0
0.1290234,0
0.13134626,0
0.13367126,0
0.13599416,0
0.13831706,0
0.14064203,0
0.14296495,0
0.14528785,0
0.14761283,0
0.14993573,0
0.1522607,0
0.15458361,0
0.15690651,0
0.1592315,0
0.16155438,0
0.1638773,0
0.16620228,0
0.1685252,0
0.17084806,0
0.17534598,0
0.17766886,0
0.17999385,0
0.18231675,0
0.18464173,0
0.18696463,0
0.18928753,0
0.19161251,0
0.19393541,0
0.19625833,0
0.1985833,0
0.20090621,0
0.20322911,0
0.20555406,0
0.20787698,0
0.21338943,0
0.21888943,0
0.2231144,0
0.22543726,0
0.22776227,0
0.23008517,0
0.23240807,0
0.23473305,0
0.23705595,0
0.23938093,0
0.24170383,0
0.24402673,0
0.24635171,0
0.24867461,0
0.25099753,0
0.25332251,0
0.2556454,0
0.26014746,0
0.26247245,0
0.26479533,0
0.26711825,0
0.26944321,0
0.27176611,0
0.27408903,0
0.27641401,0
0.2787369,0
0.28105981,0
0.28338478,0
0.28570768,0
0.28803267,0
0.29035558,0
0.29267848,0
0.29500345,0
0.29732635,0
0.29964927,0
0.30197423,0
0.30429715,0
0.30662213,0
0.30894505,0
0.31126792,0
0.31359291,0
0.31591581,0
0.31823871,0
0.3205637,0
0.32288658,0
0.32521158,0
0.32753448,0
0.32985738,0
0.33218235,0
0.33450526,0
0.33682818,0
0.33915315,0
0.34366353,0
0.34598643,0
0.3483114,0
0.35063432,0
0.3529593,0
0.3552822,0
0.3576051,0
0.3599301,0
0.362253,0
0.36457588,0
0.36690088,0
0.36922378,0
0.37154876,0
0.37387166,0
0.37619455,0
0.37851953,0
0.38741113,0
0.39546527,0
0.41690883,0
0.4325921,0
0.45201485,0
0.4701897,0
0.48836666,0
0.50233323,0
0.51859978,0
0.53507258,0
0.55196621,0
0.5710765,0
0.59022636,0
0.60933248,0
0.62372825,0
0.6357969,0
0.64780515,0
0.66300918,0
0.67656953,0
0.69336315,0
0.70806095,0
0.7227921,0
0.73816075,0
0.75350646,0
0.77147301,0
0.7869479,0
0.80171655,0
0.81743725,0
0.83542463,0
0.85300788,0
0.87481185,0
0.8920055,0
0.91017203,0
0.9273011,0
0.948053,0
0.9650133,0
0.98409235,0
1.0033422,0
1.0225296,0
1.0415482,0
1.0605814,0
1.0786708,0
1.0979645,0
1.1178789,0
1.1360413,0
1.1551474,0
1.1730139,0
1.1921805,0
1.2102699,0
1.2286198,0
1.2478259,0
1.266932,0
1.2878256,0
1.3049776,60815.95703
1.3242316,124740.0078
1.3420732,107897.1797
1.3612043,82834.57031
1.380252,74483.10156
1.3995373,0
1.4176935,0
1.4330704,0
1.4538119,0
1.4731056,0
1.4923388,0
1.5115303,0
1.5298052,0
1.5465634,0
1.5651528,0
1.5781611,0
1.5892485,0
1.6017526,0
1.6130546,0
1.6234899,0
1.6357169,0
1.6479898,0
1.6622334,0
1.6738104,0
1.6860208,0
1.7009644,0
1.714058,0
1.7242767,0
1.7374058,0
1.749337,0
1.7611286,0
1.7764784,0
1.7917408,0
1.8047491,0
1.8196573,0
1.8351613,0
1.8499112,0
1.8623883,0
1.877834,0
1.8929693,0
1.9083108,0
1.9198191,0
1.9326586,0
1.9517522,0
1.9627792,0
1.9788083,0
1.9981123,0
2.0084497,0
2.0196101,0
2.0345974,0
2.0510452,0
2.0686222,0
2.0852867,0
2.1007282,0
2.1139052,0
2.1309405,0
2.14928,0
2.1685132,0
2.1858505,0
2.2048629,0
2.220369,0
2.2370273,0
2.2539438,0
2.2743562,0
2.2937498,0
2.3081101,0
2.3264558,0
2.3443182,0
2.3638201,0
2.3833117,0
2.400849,0
2.4196947,0
2.4399737,0
