CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\CDCA_aminoacids.raw
Data points: 3635
Time(min),Relative Abundance
0.003710265,0
0.008310166,0
0.011455948,0
0.013778884,0
0.016103867,0
0.018426767,0
0.020749667,0
0.023074634,0
0.025397566,0
0.027722517,0
0.030045401,0
0.032368333,0
0.034693284,0
0.037016184,0
0.042514101,0
0.046745419,0
0.0490682,0
0.051393198,0
0.053716083,0
0.056038967,0
0.058363965,0
0.060686866,0
0.063009782,0
0.065334748,0
0.067657669,0
0.069982651,0
0.072305531,0
0.074628452,0
0.076953418,0
0.079276334,0
0.081599235,0
0.083924217,0
0.086247082,0
0.088570018,0
0.093076351,0
0.095399133,0
0.097722033,0
0.10004702,0
0.1023699,0
0.10469282,0
0.1070178,0
0.1093407,0
0.11166569,0
0.11398858,0
0.11631147,0
0.11863647,0
0.12095937,0
0.12328226,0
0.12560724,0
0.12793015,0
0.13025513,0
0.13257805,0
0.13490093,0
0.13722593,0
0.1395488,0
0.14187172,0
0.1441967,0
0.1465196,0
0.14884458,0
0.15116748,0
0.1534904,0
0.15581537,0
0.15813825,0
0.16046118,0
0.16278613,0
0.16510907,0
0.16743403,0
0.16975695,0
0.17207983,0
0.1765799,0
0.1789027,0
0.1812277,0
0.1835506,0
0.1858735,0
0.18819845,0
0.19052138,0
0.19284635,0
0.19516925,0
0.19749217,0
0.19981713,0
0.20214003,0
0.20446295,0
0.20678792,0
0.21229833,0
0.21652961,0
0.21885243,0
0.22117742,0
0.22350032,0
0.2258232,0
0.2281482,0
0.23047108,0
0.232794,0
0.23511898,0
0.23744185,0
0.23976687,0
0.24208977,0
0.24441265,0
0.24673763,0
0.24906057,0
0.25138345,0
0.25370842,0
0.25603132,0
0.26053757,0
0.26286047,0
0.26518543,0
0.26750834,0
0.26983124,0
0.27215623,0
0.27447912,0
0.27680203,0
0.27912702,0
0.2814499,0
0.28377278,0
0.2860978,0
0.28842068,0
0.29074567,0
0.29306858,0
0.29539147,0
0.29771647,0
0.30003935,0
0.30236227,0
0.30468725,0
0.30701013,0
0.30933513,0
0.31165802,0
0.31398093,0
0.31630592,0
0.31862881,0
0.32095168,0
0.32327668,0
0.32559958,0
0.32792458,0
0.33024746,0
0.33257037,0
0.33489537,0
0.33721825,0
0.33954115,0
0.34403698,0
0.34635987,0
0.34868277,0
0.35100775,0
0.35333065,0
0.35565563,0
0.35797853,0
0.36030142,0
0.36262643,0
0.36494933,0
0.3672722,0
0.3695972,0
0.3719201,0
0.37424505,0
0.37895128,0
0.38359503,0
0.39398455,0
0.41322187,0
0.42852803,0
0.4467404,0
0.4621507,0
0.47946725,0
0.4941588,0
0.50984203,0
0.5268711,0
0.53007732,0
0.53311065,0
0.5363481,0
0.53960848,0
0.54272724,0
0.54607513,0
0.54926263,0
0.55966462,0
0.5700291,0
0.58148117,0
0.59186022,0
0.602706,0
0.60549762,0
0.6084601,0
0.61125382,0
0.6142038,0
0.61700793,0
0.62168084,0
0.62526205,0
0.63300993,0
0.64682023,0
0.65826809,0
0.66863465,0
0.68345955,0
0.69763032,0
0.70799483,0
0.71499895,0
0.71889685,0
0.7226989,0
0.72669058,0
0.72983213,0
0.7348238,0
0.73889875,0
0.74209042,0
0.7444133,0
0.74673828,0
0.7490612,0
0.75138407,0
0.75977987,0
0.76364648,0
0.76855065,0
0.7722881,0
0.77559432,0
0.78040055,0
0.78404217,0
0.78730882,0
0.79200463,0
0.796665,0
0.80134207,0
0.81173157,0
0.81544197,0
0.81871488,0
0.82103983,0
0.82569608,0
0.82912935,0
0.83718767,0
0.84026261,0
0.84370218,0
0.84674382,0
0.85817918,0
0.8651687,0
0.86817912,0
0.87516865,0
0.8783832,0
0.88534983,0
0.88858937,0
0.8921685,0
0.89527685,0
0.89856847,0
0.90168097,0
0.90498302,0
0.90829757,0
0.9114788,0
0.9148121,0
0.91817248,0
0.9213579,0
0.92504327,0
0.927987,0
0.93265992,0
0.93963692,0
0.94321193,0
0.94646399,0
0.94967438,0
0.95304723,0
0.95772013,0
0.96131383,0
0.96935342,0
0.97299502,0
0.97763458,0
0.9811908,0
0.98452203,0
0.98684492,0
0.98916992,0
0.99149281,0
0.9938157,0
0.99614068,0
0.9984636,0
1.0031385,0
1.0078969,0
1.0153781,0
1.0190676,0
1.0223801,0
1.0247051,0
1.0295863,0
1.0344384,0
1.0383716,0
1.0417258,0
1.0440487,0
1.0463736,0
1.0512508,0
1.0549611,0
1.0583007,0
1.0623798,0
1.0661902,0
1.0694881,0
1.071811,0
1.074136,0
1.0764589,0
1.0787818,0
1.0811068,0
1.0834297,0
1.0857547,0
1.0880775,0
1.0919588,0
1.0942817,0
1.0966067,0
1.0989296,0
1.1012545,0
1.1035774,0
1.1059004,0
1.1082253,0
1.1105482,0
1.1128711,0
1.1175294,0
1.121244,0
1.1248565,0
1.1287023,0
1.1369168,0
1.1407459,0
1.1457668,0
1.1500439,0
1.1532438,0
1.1555667,0
1.1578896,0
1.1602145,0
1.1625374,0
1.1679833,0
1.1722915,0
1.1805269,0
1.1860352,0
1.1900957,0
1.1924185,0
1.1947414,0
1.2002392,0
1.2044788,0
1.2068038,0
1.2091267,0
1.2114496,0
1.2137746,0
1.2160975,0
1.2184225,0
1.2207454,0
1.2230683,0
1.2253933,0
1.2277161,0
1.233214,0
1.2372807,0
1.2396036,0
1.2419286,0
1.2442514,0
1.2465743,0
1.2488994,0
1.2544701,0
1.258543,0
1.2635201,0
1.2667534,0
1.2690763,0
1.2714013,0
1.2737242,0
1.2760471,0
1.2783721,0
1.2806949,0
1.2830178,0
1.2853429,0
1.2876657,0
1.2899907,0
1.2923136,0
1.2946365,0
1.2969615,0
1.2992844,0
1.3016073,0
1.307151,0
1.3113885,0
1.3168884,0
