CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\DCA_std.raw
Data points: 4622
Time(min),Relative Abundance
0.003710233,0
0.008308183,0
0.011455968,0
0.013778868,0
0.016103851,0
0.018426735,0
0.020749652,0
0.023074618,0
0.025397534,0
0.027720435,0
0.030045417,0
0.032368317,0
0.0346933,0
0.0370162,0
0.0393391,0
0.041664099,0
0.043986983,0
0.046309899,0
0.048634866,0
0.050957766,0
0.053282733,0
0.055605649,0
0.057928549,0
0.0602535,0
0.062576432,0
0.064899332,0
0.067224319,0
0.069547219,0
0.071872202,0
0.074195102,0
0.076518002,0
0.078842985,0
0.081165901,0
0.083488801,0
0.085813784,0
0.088136652,0
0.09265745,0
0.094980382,0
0.097305349,0
0.099628249,0
0.10195117,0
0.10427614,0
0.10659903,0
0.10892193,0
0.11124693,0
0.1135698,0
0.11589482,0
0.11821772,0
0.1205406,0
0.1228656,0
0.12518848,0
0.1275114,0
0.12983637,0
0.13215928,0
0.13448425,0
0.13680717,0
0.13913007,0
0.14145502,0
0.14377795,0
0.14610083,0
0.14842583,0
0.15074875,0
0.15307372,0
0.15539664,0
0.1577195,0
0.1600445,0
0.1623674,0
0.16469028,0
0.16701527,0
0.16933819,0
0.17166315,0
0.17616938,0
0.1784923,0
0.18081729,0
0.18314015,0
0.18546517,0
0.18778805,0
0.19011097,0
0.19243594,0
0.19475882,0
0.19708175,0
0.1994067,0
0.20172963,0
0.2040546,0
0.20637749,0
0.20870042,0
0.21102538,0
0.21334828,0
0.21567118,0
0.21799618,0
0.22031905,0
0.22264407,0
0.22496695,0
0.22728987,0
0.22961485,0
0.23193775,0
0.23426063,0
0.23658562,0
0.23890853,0
0.2412335,0
0.24355642,0
0.24587932,0
0.24820428,0
0.2505272,0
0.25285007,0
0.25517507,0
0.25967714,0
0.26200212,0
0.264325,0
0.26664998,0
0.26897288,0
0.2712958,0
0.27362075,0
0.27594368,0
0.2782666,0
0.28059158,0
0.28291447,0
0.28523945,0
