CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\GCDCA_std.raw
Data points: 4499
Time(min),Relative Abundance
0.003710551,0
0.008312602,0
0.011460435,0
0.013783351,0
0.016108333,0
0.018431218,0
0.02075415,0
0.023079116,0
0.025402033,0
0.027726983,0
0.030049915,0
0.032372784,0
0.034697766,0
0.037020682,0
0.039343583,0
0.041668565,0
0.043991466,0
0.046314382,0
0.048639332,0
0.050962249,0
0.053287235,0
0.055610135,0
0.057933036,0
0.060258018,0
0.062580934,0
0.064905885,0
0.067228801,0
0.069551717,0
0.0718767,0
0.0741996,0
0.0765225,0
0.078847483,0
0.081170383,0
0.08349535,0
0.08581825,0
0.08814115,0
0.092643216,0
0.094968199,0
0.097291099,0
0.099613984,0
0.10193897,0
0.10426187,0
0.10658687,0
0.10890978,0
0.11123269,0
0.11355765,0
0.11588055,0
0.11820345,0
0.12052843,0
0.12285134,0
0.12517632,0
0.12749922,0
0.12982212,0
0.1321471,0
0.13447,0
0.1367929,0
0.13911787,0
0.14144077,0
0.14376577,0
0.14608865,0
0.14841158,0
0.15073655,0
0.15305945,0
0.15538235,0
0.15770733,0
0.16003023,0
0.16235522,0
0.16467812,0
0.16700103,0
0.16932602,0
0.1716489,0
0.17615305,0
0.17847802,0
0.18080093,0
0.18312592,0
0.18544878,0
0.1877717,0
0.1900967,0
0.19241957,0
0.19474247,0
0.19706748,0
0.19939038,0
0.20171537,0
0.20403827,0
0.20636117,0
0.20868613,0
0.21100903,0
0.21333193,0
0.21565694,0
0.21797984,0
0.22030482,0
0.22262772,0
0.2249506,0
0.22727559,0
0.2295985,0
0.2319214,0
0.23424638,0
0.23656928,0
0.23889427,0
0.24121717,0
0.24354007,0
0.24586503,0
0.24818793,0
0.25051087,0
0.25283585,0
0.25515872,0
0.25966912,0
0.261992,0
0.26431492,0
0.2666399,0
0.26896282,0
0.27128568,0
0.2736107,0
0.27593358,0
0.27825855,0
0.28058147,0
0.28290438,0
0.28522935,0
0.28755227,0
0.28987515,0
0.29220014,0
0.29452304,0
0.29684803,0
0.2991709,0
0.30149382,0
0.3038188,0
0.3061417,0
0.30846462,0
0.31078958,0
0.31311248,0
0.31543748,0
0.31776037,0
0.32008328,0
0.32240827,0
0.32473117,0
0.32705405,0
0.32937905,0
0.33170195,0
0.33402693,0
0.33634985,0
0.33867272,0
0.3431727,0
0.3454956,0
0.34782057,0
0.35014347,0
0.35246637,0
0.35479135,0
0.35711427,0
0.35943717,0
0.36176217,0
0.36408505,0
0.36641005,0
0.36873292,0
0.37105583,0
0.37338082,0
0.37570372,0
0.37802664,0
0.3803516,0
0.38267452,0
0.38499947,0
0.38732239,0
0.38964529,0
0.39197027,0
0.39429315,0
0.39661605,0
0.40551395,0
0.40893888,0
0.42623042,0
0.43795743,0
0.4421741,0
0.44449698,0
0.44682197,0
0.44914487,0
0.45146775,0
0.45702193,0
0.46126363,0
0.46358642,0
0.46914268,0
0.47338222,0
0.47570508,0
0.47803007,0
0.48035299,0
0.48267797,0
0.48500085,0
0.4905279,0
0.49476757,0
0.49709035,0
0.49941535,0
0.50173822,0
0.50406113,0
0.50889863,0
0.51122154,0
0.51354442,0
0.51586942,0
0.51819228,0
0.52051518,0
0.52284019,0
0.52516309,0
0.52748808,0
0.52981097,0
0.53213388,0
0.53445885,0
0.53678175,0
0.53910462,0
0.54142962,0
0.54375253,0
0.54607752,0
0.54840043,0
0.55072332,0
0.55304832,0
0.55537118,0
0.55769408,0
0.56001908,0
0.56234198,0
0.56466695,0
0.56698987,0
0.56931278,0
0.57163775,0
0.57396065,0
0.57628355,0
0.57860855,0
0.58093143,0
0.58325643,0
0.58557933,0
0.5879022,0
0.59240217,0
0.59472508,0
0.59705007,0
0.59937298,0
0.60169795,0
0.60402087,0
0.60634379,0
0.60866873,0
0.61099163,0
0.61331455,0
0.61563953,0
0.61796244,0
0.62028742,0
0.62261033,0
0.6249332,0
0.62725822,0
0.6295811,0
0.631904,0
0.63422898,0
0.63655188,0
0.63887687,0
0.64119977,0
0.64352265,0
0.64584763,0
0.64817053,0
0.65049345,0
0.65281843,0
0.65514135,0
0.6574663,0
0.65978924,0
0.6621121,0
0.66443712,0
0.66676,0
0.66908292,0
0.67140792,0
0.67623912,0
0.67856408,0
0.68088698,0
0.68320987,0
0.68553485,0
0.68785778,0
0.69018067,0
0.69250565,0
0.69482855,0
0.69715355,0
0.69947642,0
0.70179933,0
0.70412433,0
0.70644723,0
0.70877014,0
0.7110951,0
0.71341802,0
0.71574298,0
0.7180659,0
0.7203888,0
0.72271377,0
0.72503667,0
0.72736373,0
0.72968663,0
0.73201162,0
0.73433454,0
0.73665948,0
0.7389824,0
0.74130532,0
0.74363029,0
0.7459532,0
0.7482761,0
0.75060107,0
0.75292397,0
0.75524895,0
0.76007602,0
0.7623989,0
0.76472388,0
0.7670468,0
0.76936968,0
0.77169465,0
0.77401757,0
0.77634047,0
0.77866547,0
0.78098837,0
0.78331335,0
0.78563625,0
0.78795917,0
0.79028412,0
0.79260703,0
0.79492993,0
0.79725492,0
0.79957782,0
0.80190072,0
0.80422572,0
0.80654858,0
0.80887359,0
0.81119647,0
0.81351937,0
0.81584437,0
0.81816728,0
0.82049227,0
0.82281514,0
0.82513805,0
0.82746302,0
0.82978592,0
0.83210883,0
0.83443382,0
0.83675675,0
0.83908168,0
0.843915,0
0.84623792,0
0.84856079,0
0.85088577,0
0.85320868,0
0.85553158,0
0.85785655,0
0.86017947,0
0.86250447,0
0.86482735,0
0.86715025,0
0.86947525,0
0.87179813,0
0.87412105,0
0.87644604,0
0.87876893,0
0.88109388,0
0.8834168,0
0.8857397,0
0.8880647,0
0.89038758,0
0.89271048,0
0.89503545,0
0.89735838,0
0.89968337,0
0.90200623,0
0.90432913,0
0.90665415,0
0.90897707,0
0.91129995,0
0.91362493,0
0.91594783,0
0.9182728,0
0.92059572,0
0.92509577,0
0.92742067,0
0.92974357,0
0.93206648,0
0.93439143,0
0.93671433,0
0.93903933,0
0.94136223,0
0.94368513,0
0.94601012,0
0.94833302,0
0.95065593,0
0.95298092,0
0.95530378,0
0.95762877,0
0.9599517,0
0.96227458,0
0.96459958,0
0.96692247,0
0.96924539,0
0.97157033,0
0.97389325,0
0.97621823,0
0.97854113,0
0.98086402,0
0.98318902,0
0.98551192,0
0.98783482,0
0.9901598,0
0.99248269,0
0.99480767,0
0.99713058,0
0.9994535,0
1.0017785,0
1.0041014,0
1.0086035,0
1.0109284,0
1.0132513,0
1.0155742,0
1.0178992,0
1.0202221,0
1.0225471,0
1.02487,0
1.0271929,0
1.0295179,0
1.0318408,0
1.0341637,0
1.0364887,0
1.0388116,0
1.0411344,0
1.0434594,0
1.0457823,0
1.0481073,0
1.0504302,0
1.0527531,0
1.0550781,0
1.057401,0
1.0597239,0
1.0620489,0
1.0643718,0
1.0666968,0
1.0690197,0
1.0713426,0
1.0736675,0
1.0759904,0
1.0783133,0
1.0806383,0
1.0829612,0
1.0852862,0
1.0876091,0
1.0921153,0
1.0944382,0
1.0967632,0
1.0990861,0
1.101409,0
1.103734,0
1.1060569,0
1.1083798,0
1.1107048,0
1.1130277,0
1.1153526,0
1.1176755,0
1.1199985,0
1.1223234,0
1.1246485,0
