CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\GLCA_std.raw
Data points: 4542
Time(min),Relative Abundance
0.003747617,0
0.008351719,0
0.011503715,0
0.013826632,0
0.016149532,0
0.018474518,0
0.020797435,0
0.023120315,0
0.025445317,0
0.027768202,0
0.0300932,0
0.032416085,0
0.034739001,0
0.037063983,0
0.039386884,0
0.041709784,0
0.044034766,0
0.046357651,0
0.048682633,0
0.051005534,0
0.05332845,0
0.055653432,0
0.057976332,0
0.060299233,0
0.062624215,0
0.0649471,0
0.067272102,0
0.069594967,0
0.071917899,0
0.074242885,0
0.076565785,0
0.078888682,0
0.081213668,0
0.083536549,0
0.085861535,0
0.088184435,0
0.092690686,0
0.095015652,0
0.097338548,0
0.099661469,0
0.10198644,0
0.10430934,0
0.10663432,0
0.10895723,0
0.11128013,0
0.11360512,0
0.11592802,0
0.1182509,0
0.1205759,0
0.12289877,0
0.12522377,0
0.12754665,0
0.12986957,0
0.13219458,0
0.13451745,0
0.13684037,0
0.13916533,0
0.14148822,0
0.14381113,0
0.14613613,0
0.14845903,0
0.15078402,0
0.15310692,0
0.1554298,0
0.15775478,0
0.16007768,0
0.16240058,0
0.16472558,0
0.16704849,0
0.16937348,0
0.17169633,0
0.17620052,0
0.1785234,0
0.18084838,0
0.18317128,0
0.18549627,0
0.18781915,0
0.19014207,0
0.19246703,0
0.19478993,0
0.19711283,0
0.19943782,0
0.20176073,0
0.20408572,0
0.20640862,0
0.2087315,0
0.2110565,0
0.2133794,0
0.2157023,0
0.21802732,0
0.22035019,0
0.22267518,0
0.22499807,0
0.22732097,0
0.22964593,0
0.23196885,0
0.23429175,0
0.23661673,0
0.23893965,0
0.24126463,0
0.24358753,0
0.2459104,0
0.24823542,0
0.2505583,0
0.25288332,0
0.25520617,0
0.25970408,0
0.26202907,0
0.26435195,0
0.26667693,0
0.26899985,0
0.27132275,0
0.27364773,0
0.27597063,0
0.27829352,0
0.28061852,0
0.28294138,0
0.2852643,0
0.2875893,0
0.2899122,0
0.2922372,0
0.29456008,0
0.29688297,0
0.29920795,0
0.30153085,0
0.30385377,0
0.30617877,0
0.30850167,0
0.31082663,0
0.31314955,0
0.31547242,0
0.3177974,0
0.32012032,0
0.32244322,0
0.32476822,0
0.3270911,0
0.3294161,0
0.33173898,0
0.33406188,0
0.33638685,0
0.33870975,0
0.34321183,0
0.3455368,0
0.34785972,0
0.35018262,0
0.35250757,0
0.35483048,0
0.35715547,0
0.35947837,0
0.36180128,0
0.36412625,0
0.36644917,0
0.36877205,0
0.37109704,0
0.37341993,0
0.37574492,0
0.37806782,0
0.38039073,0
0.38271572,0
0.3850386,0
0.3873636,0
0.38968647,0
0.3920094,0
0.39433437,0
0.39665937,0
0.39898227,0
0.40130725,0
0.40363638,0
0.4091801,0
0.41321549,0
0.42540917,0
0.4302487,0
0.43310494,0
0.43542785,0
0.4377528,0
0.44007572,0
0.44239862,0
0.4447236,0
0.44704652,0
0.44937148,0
0.4516944,0
0.45401728,0
0.45634227,0
0.45866517,0
0.46100265,0
0.46656094,0
0.47063175,0
0.47295467,0
0.47527963,0
0.47760252,0
0.47992543,0
0.48225873,0
0.48779828,0
0.4918691,0
0.4941941,0
0.49651698,0
0.49884195,0
0.50116487,0
0.50348778,0
0.50581274,0
0.51065023,0
0.51297312,0
0.51529603,0
0.51762098,0
0.5199439,0
0.5222668,0
0.52459177,0
0.52691472,0
0.52923969,0
0.53156258,0
0.53388547,0
0.53621045,0
0.53853335,0
0.54085627,0
0.54318125,0
0.54550417,0
0.54782912,0
0.55015202,0
0.55247494,0
0.5547999,0
0.55712282,0
0.55944575,0
0.56177068,0
0.56409362,0
0.56641858,0
0.56874147,0
0.57106437,0
0.57338937,0
0.57571227,0
0.57804142,0
0.58036433,0
0.5826893,0
0.58501218,0
0.58733509,0
0.59183937,0
0.59416213,0
0.59648505,0
0.59881002,0
0.60113292,0
0.6034579,0
0.60578078,0
0.6081037,0
0.6104287,0
0.6127516,0
0.61507448,0
0.61739949,0
0.61972237,0
0.62204737,0
0.62437023,0
0.62669315,0
0.62901814,0
0.63134104,0
0.63366395,0
0.63598892,0
0.63831183,0
0.6406368,0
0.6429597,0
0.6452826,0
0.6476076,0
0.6499305,0
0.6522534,0
0.65457838,0
0.65690127,0
0.65922627,0
0.66154915,0
0.66387205,0
0.66619705,0
0.66851995,0
0.67084283,0
0.67568665,0
0.67800945,0
0.68033443,0
0.68265733,0
0.68498023,0
0.68730524,0
0.68962814,0
0.69195312,0
0.694276,0
0.69659892,0
0.6989239,0
0.70124679,0
0.7035697,0
0.70589468,0
0.7082176,0
0.71054257,0
0.71286545,0
0.71518835,0
0.71751333,0
0.71983625,0
0.72215915,0
0.72448413,0
0.72680703,0
0.72913204,0
0.7314549,0
0.7337778,0
0.7361028,0
0.7384257,0
0.74074862,0
0.74307358,0
0.7453965,0
0.74772147,0
0.75004437,0
0.75236725,0
0.75469227,0
0.75952558,0
0.76185055,0
0.76417345,0
0.76649843,0
0.76882132,0
0.77114422,0
0.7734692,0
0.77579212,0
0.77811502,0
0.78043998,0
0.78276292,0
0.78508578,0
0.78741077,0
0.78973365,0
0.79205865,0
0.79438157,0
0.79670447,0
0.79902942,0
0.80135235,0
0.80367525,0
0.80600023,0
0.80832312,0
0.8106481,0
0.81297102,0
0.8152939,0
0.81761888,0
0.8199418,0
0.82226468,0
0.82458968,0
0.82691259,0
0.82923757,0
0.83156048,0
0.83388337,0
0.83620837,0
0.83853124,0
0.84304993,0
0.84537495,0
0.84769785,0
0.85002908,0
0.85235198,0
0.85467697,0
0.85699989,0
0.85932277,0
0.86164773,0
0.86397065,0
0.86629563,0
0.86861855,0
0.87094352,0
0.87326643,0
0.87558932,0
0.87791428,0
0.8802372,0
0.8825601,0
0.8848851,0
0.88720798,0
0.88953298,0
0.89185587,0
0.89417878,0
0.89650375,0
0.89882663,0
0.90114957,0
0.90347453,0
0.90579745,0
0.90812244,0
0.91044533,0
0.91276822,0
0.91509322,0
0.9174161,0
0.9197411,0
0.92206398,0
0.92657232,0
0.92889518,0
0.93122018,0
0.93354309,0
0.93586805,0
0.93819098,0
0.94051387,0
0.94283885,0
0.94516172,0
0.94748465,0
0.9498096,0
0.95213253,0
0.95445752,0
0.95678042,0
0.95910332,0
0.9614283,0
0.96375118,0
0.9660741,0
0.96839907,0
0.97072198,0
0.97304488,0
0.97536987,0
0.97769277,0
0.98001775,0
0.98234065,0
0.98466355,0
0.9869885,0
0.98931143,0
0.99163433,0
0.99395932,0
0.99628223,0
0.9986072,0
1.0009301,0
1.003253,0
1.005578,0
1.0100905,0
1.0124155,0
1.0147384,0
1.0170612,0
1.0193862,0
1.0217091,0
1.0240341,0
1.026357,0
1.0286799,0
1.0310049,0
1.0333278,0
1.0356507,0
1.0379757,0
1.0402985,0
1.0426236,0
1.0449465,0
1.0472694,0
1.0495943,0
1.0519173,0
1.0542402,0
1.0565651,0
1.058888,0
1.061213,0
1.0635359,0
1.0658588,0
1.0681838,0
1.0705067,0
1.0728296,0
1.0751546,1828.85852050781
1.0774775,0
1.0798025,0
1.0821254,0
1.0844483,0
1.0867733,0
1.0890961,0
1.0936066,0
1.0959294,0
1.0982544,0
1.1005773,0
1.1029023,0
1.1052252,0
1.1075481,0
1.1098731,0
1.112196,0
1.1145189,0
1.1168439,0
1.1191668,0
1.1214918,0
1.1238147,0
1.1261375,0
1.1284625,0
1.1307854,0
1.1331083,0
1.1354333,0
1.1377562,0
1.1400812,0
1.1424041,0
1.144727,0
1.147052,0
1.1493749,0
1.1516978,0
1.1540228,0
1.1563457,0
1.1586707,0
1.1609936,0
1.1633165,0
1.1656414,0
1.1679644,0
1.1702873,0
1.1726122,0
1.177458,0
1.1797809,0
1.1821059,0
1.1844288,0
1.1867517,0
1.1890767,0
1.1913996,0
1.1937225,0
1.1960475,0
1.1983704,0
1.2006954,0
1.2030183,0
1.2053412,0
1.2076661,0
1.2099891,0
1.212312,0
1.2146369,0
1.2169598,0
1.2192827,0
1.2216077,0
1.2239306,0
1.2262556,0
1.2285785,0
1.2309014,0
1.2332264,0
1.2355493,0
1.2378722,0
1.2401971,0
1.2425201,0
1.2448451,0
1.247168,0
1.2494909,0
1.2518158,0
1.2541387,0
1.2586388,0
1.2609616,0
1.2632866,0
1.2656095,0
1.2679324,0
1.2702574,0
1.2725803,0
1.2749053,0
1.2772282,0
1.2795511,0
1.281876,0
1.284199,0
1.2865219,0
1.2888468,0
1.2911697,0
1.2934947,0
1.2958176,0
1.2981405,0
1.3004655,0
1.3027884,0
1.3051113,0
1.3074363,0
1.3097592,0
1.3120841,0
1.3144071,0
1.31673,0
1.3190549,0
1.3213778,0
1.3237007,0
1.3260257,0
1.3283486,0
1.3306736,0
1.3329965,0
1.3353194,0
1.3376444,0
1.3421486,0
1.3444714,0
1.3467943,0
1.3491193,0
1.3514422,0
1.3537672,0
1.3560901,0
1.358413,0
1.360738,0
1.3630609,0
1.3653838,0
1.3677088,0
1.3700317,0
1.3723566,0
1.3746796,0
1.3770024,0
1.3793274,0
1.3816503,0
1.3839733,0
1.3862982,0
1.3886211,0
1.3909461,0
1.393269,0
1.3955919,0
1.3979169,0
1.4002398,0
1.4025627,0
1.4048877,0
1.4072106,0
1.4095356,0
1.4118585,0
1.4141814,0
1.4165063,0
1.4188292,0
1.4211521,0
1.4256543,0
1.4279792,0
1.4303021,0
1.4326271,0
1.4349499,0
1.4372729,0
1.4395979,0
1.4419207,0
1.4442436,0
1.4465686,0
1.4488915,0
1.4512165,0
1.4535394,0
1.4558623,0
1.4581873,0
1.4605102,0
1.4628331,0
1.4651581,0
1.467481,0
1.469806,0
1.4721289,0
1.4744518,0
1.4767768,0
1.4790997,0
1.4814226,0
1.4837475,0
1.4860704,0
1.4883954,0
1.4907183,0
1.4930412,0
1.4953662,0
1.4976891,0
1.500012,0
1.502337,0
1.5046599,0
1.5095037,0
1.5118286,0
1.5141515,0
1.5164744,0
1.5187994,0
1.5211223,0
1.5234473,0
1.5257701,0
1.5280931,0
1.530418,0
1.5327409,0
1.5350639,0
1.5373888,0
1.5397117,0
1.5420367,0
1.5443596,0
1.5466825,0
1.5490075,0
1.5513304,0
1.5536533,0
1.5559783,0
1.5583012,0
1.5606261,0
1.5629491,0
1.565272,0
1.567597,0
1.5699199,0
1.5722428,0
1.5745677,0
1.5768907,0
1.5792156,0
1.5815385,0
1.5838614,0
1.5861864,0
1.5885093,0
1.593353,0
1.5956759,0
1.6011988,0
1.6052676,0
1.6075904,0
1.6099154,0
1.6122383,0
1.6145612,0
1.6168862,0
1.6192091,0
1.6215341,0
1.6238569,0
1.6261799,0
1.6285048,0
1.6374465,0
1.641686,0
1.6440089,0
1.6463318,0
1.6486568,0
1.6509797,0
1.6533047,0
1.6556276,0
1.6579505,0
1.6602755,0
1.6625984,0
1.6649213,0
1.6672462,0
1.6695691,0
1.6718941,0
1.6767274,0
1.6790524,0
1.6845503,0
1.6887837,0
1.6911065,0
1.6934315,0
1.6957544,0
1.6980773,0
1.7004023,0
1.7027252,0
1.7050481,0
1.707373,0
1.7096959,0
1.7120209,0
1.7143438,0
1.7166667,0
1.7189917,0
1.7213146,0
1.7236375,0
1.7259625,0
1.7282854,0
1.7306104,0
1.7329333,0
1.7352562,0
1.7375812,0
1.739904,0
1.742227,0
1.7445519,0
1.7468749,0
1.7491998,0
1.7515227,0
1.7538457,0
1.7561706,0
1.7610122,0
1.7633352,0
1.7656601,0
1.7711705,0
1.775404,0
1.7777267,0
1.7800517,0
1.7823746,0
1.7846975,0
1.7870225,0
1.7893454,0
1.7916683,0
1.7939933,0
1.7963162,0
1.7986411,0
1.8041619,0
1.8096807,0
1.8137619,0
1.8160848,0
1.8184077,0
1.8207473,0
1.8230702,0
1.8253931,0
1.827718,0
1.8300409,0
1.8323659,0
1.8346888,0
1.8401325,0
1.8449242,0
1.847772,0
1.8566095,0
1.8607741,0
1.863097,0
1.8654199,0
1.8677448,0
1.8700677,0
1.8723927,0
1.8747156,0
1.8770385,0
1.8793635,0
1.8816864,0
1.8840093,0
1.8863343,0
1.8886572,0
1.8909822,0
1.8933051,0
1.895628,0
1.897953,0
1.9002759,0
1.9025988,0
1.9049237,0
1.9072466,0
1.9095716,0
1.9118945,0
1.9142174,0
1.9165424,0
1.9188653,0
1.9211882,0
1.9259216,0
1.9282465,0
1.9305694,0
1.9328944,0
1.9352172,0
1.9405443,0
1.9448672,0
1.9479589,0
1.9502818,0
1.9526067,0
1.9549296,0
1.9572525,0
1.9595775,0
1.9619004,0
1.9642233,0
1.9665484,0
1.9688712,0
1.9711962,0
1.9735191,0
1.975842,0
1.978167,0
1.9804899,0
1.9828128,0
1.9851377,0
1.9874607,0
1.9897835,0
1.9921085,0
1.9944314,0
1.9967564,0
1.9990793,0
2.0014022,0
2.0037272,0
2.009223,0
2.0140563,0
2.0163792,0
2.0187146,0
2.0242125,0
2.0297083,0
2.0337833,0
2.0361061,0
2.038429,0
2.040754,0
2.0430769,0
2.0454019,0
2.0477248,0
2.0500581,0
2.052381,0
2.054706,0
2.0570289,0
2.0593518,0
2.0616768,0
2.0639997,0
2.0663372,0
2.0686601,0
2.0709851,0
2.073308,0
2.0756329,0
2.0779558,0
2.0802787,0
2.0826121,0
2.084935,0
2.08726,0
2.0895828,0
2.0944141,0
2.096737,0
2.0990744,0
2.1013974,0
2.1037328,0
2.1060557,0
2.1083806,0
2.1107036,0
2.1130265,0
2.1153514,0
2.1176743,0
2.1199972,0
2.1223222,0
2.1246534,0
2.1269764,0
2.1293013,0
2.1316242,0
2.1339471,0
2.1362721,0
2.138595,0
2.1409325,0
2.1432554,0
2.1455804,0
2.1479033,0
2.1502387,0
2.1525616,0
2.1548866,0
2.1572199,0
2.1595428,0
2.1618677,0
2.1641907,0
2.1665136,0
2.1688386,0
2.1711614,0
2.1760074,0
2.1783301,0
2.1838676,0
2.1879363,0
2.1934321,0
2.1975029,0
2.1998258,0
2.2021508,0
2.2044737,0
2.2067987,0
2.2091216,0
2.2114445,0
2.2137695,0
2.2160924,0
2.2184153,0
2.2207403,0
2.2230632,0
2.2253881,0
2.227711,0
2.2300339,0
2.2323589,0
2.2346818,0
2.2370047,0
2.2393297,0
2.2416526,0
2.2439776,0
2.2463005,0
2.2486234,0
2.2509484,0
2.2532713,0
2.2555942,0
2.2604233,0
2.2627483,0
2.2650712,0
2.2673941,0
2.2697191,0
2.272042,0
2.274367,0
2.2766899,0
2.2790128,0
2.2813378,0
2.2836606,0
2.2859835,0
2.2883086,0
