CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\GUDCA_std.raw
Data points: 4534
Time(min),Relative Abundance
0.003753117,0
0.008465563,0
0.01152588,0
0.013850883,0
0.016173783,0
0.018496683,0
0.020821666,0
0.023144566,0
0.025467482,0
0.027792433,0
0.030115365,0
0.032440348,0
0.034763232,0
0.037086132,0
0.039411115,0
0.041734031,0
0.044056931,0
0.046381914,0
0.048704798,0
0.051029781,0
0.053352681,0
0.055675581,0
0.058000564,0
0.060323464,0
0.06264638,0
0.064971331,0
0.067294267,0
0.069617163,0
0.07194213,0
0.07426503,0
0.076590033,0
0.078912949,0
0.081235813,0
0.083560816,0
0.085883716,0
0.088208683,0
0.092710748,0
0.095033665,0
0.097356533,0
0.099681532,0
0.10200443,0
0.10432732,0
0.10665231,0
0.1089752,0
0.1113002,0
0.1136231,0
0.115946,0
0.11827096,0
0.12059388,0
0.12291678,0
0.12524176,0
0.12756466,0
0.12988756,0
0.13221257,0
0.13453543,0
0.13686043,0
0.13918333,0
0.14150621,0
0.14383122,0
0.14615412,0
0.14847701,0
0.150802,0
0.1531249,0
0.15544988,0
0.15777278,0
0.16009568,0
0.16242067,0
0.16474357,0
0.16706855,0
0.16939146,0
0.17171433,0
0.17621016,0
0.17853515,0
0.18085803,0
0.18318095,0
0.18550593,0
0.18782881,0
0.19015173,0
0.19247672,0
0.1947996,0
0.19712458,0
0.19944748,0
0.2017704,0
0.20409537,0
0.20641828,0
0.20874118,0
0.21106617,0
0.21338903,0
0.21571405,0
0.21803695,0
0.22035983,0
0.22268482,0
0.22500772,0
0.22733271,0
0.22965561,0
0.23197851,0
0.23430351,0
0.2366264,0
0.2389493,0
0.24127426,0
0.24359718,0
0.24592008,0
0.24824505,0
0.25056796,0
0.25289293,0
0.25521583,0
0.25972625,0
0.26204913,0
0.26437201,0
0.26669702,0
0.26901992,0
0.27134281,0
0.2736678,0
0.27599068,0
0.27831568,0
0.28063858,0
0.28296148,0
0.28528648,0
0.28760937,0
0.28993228,0
0.29225725,0
0.29458015,0
0.29690515,0
0.29922803,0
0.30155092,0
0.30387591,0
0.30619881,0
0.30852171,0
0.31084671,0
0.31316961,0
0.31549456,0
0.31781748,0
0.3201404,0
0.32246538,0
0.32478828,0
0.32711118,0
0.32943617,0
0.33175905,0
0.33408405,0
0.33640697,0
0.33872985,0
0.34323606,0
0.34555898,0
0.34788393,0
0.35020683,0
0.35252975,0
0.35485471,0
0.35717765,0
0.35950051,0
0.36182552,0
0.3641484,0
0.36647131,0
0.3687963,0
0.37111918,0
0.37344418,0
0.37576708,0
0.37809,0
0.38041497,0
0.38273788,0
0.38506075,0
0.38738575,0
0.38970865,0
0.39203365,0
0.39435653,0
0.39667943,0
0.39900443,0
0.4013273,0
0.41025433,0
0.41399805,0
0.43129382,0
0.44306243,0
0.44729993,0
0.44962282,0
0.45194573,0
0.45427068,0
0.4565936,0
0.45891858,0
0.46124148,0
0.46356436,0
0.46911642,0
0.4733539,0
0.47567678,0
0.4779997,0
0.48032468,0
0.48264757,0
0.4881767,0
0.49224543,0
0.49456835,0
0.4968933,0
0.49921621,0
0.50153911,0
0.50386408,0
0.50837455,0
0.51069948,0
0.51302235,0
0.51534733,0
0.51767027,0
0.51999315,0
0.52231813,0
0.52464103,0
0.52696393,0
0.52928891,0
0.53161182,0
0.5339368,0
0.5362597,0
0.5385826,0
0.54090758,0
0.5432305,0
0.54555338,0
0.54787838,0
0.55020125,0
0.55252625,0
0.55484917,0
0.55717206,0
0.55949703,0
0.56181995,0
0.56414285,0
0.56646782,0
0.56879073,0
0.57111572,0
0.57343862,0
0.5757615,0
0.57808651,0
0.5804094,0
0.58273228,0
0.58505727,0
0.58738017,0
0.59189068,0
0.59421347,0
0.59653845,0
0.59886133,0
0.60118631,0
0.6035092,0
0.60583213,0
0.60815711,0
0.61048001,0
0.61280291,0
0.6151279,0
0.61745082,0
0.61977368,0
0.62209868,0
0.62442158,0
0.62674657,0
0.62906945,0
0.63139237,0
0.63371735,0
0.63604025,0
0.63836315,0
0.64068813,0
0.64301103,0
0.64533602,0
0.64765892,0
0.64998182,0
0.6523068,0
0.6546297,0
0.65695258,0
0.65927758,0
0.66160048,0
0.66392546,0
0.66624836,0
0.66857126,0
0.67089626,0
0.6754108,0
0.67773371,0
0.68005868,0
0.6823816,0
0.68470448,0
0.68702946,0
0.68935236,0
0.69167526,0
0.69400026,0
0.69632315,0
0.69864813,0
0.70097105,0
0.70329395,0
0.70561891,0
0.70794183,0
0.7102647,0
0.71258972,0
0.71491262,0
0.7172376,0
0.7195605,0
0.7218834,0
0.7242084,0
0.72653127,0
0.72885417,0
0.73117918,0
0.73350205,0
0.73582705,0
0.73814995,0
0.74047285,0
0.74279781,0
0.74512075,0
0.74744365,0
0.7497686,0
0.75209153,0
0.7544144,0
0.75891438,0
0.76123728,0
0.76356016,0
0.76588517,0
0.76820807,0
0.77053306,0
0.77285595,0
0.77517883,0
0.77750385,0
0.77982672,0
0.78214963,0
0.78447463,0
0.78679751,0
0.7891225,0
0.7914454,0
0.79376831,0
0.79609328,0
0.79841618,0
0.80073908,0
0.80306406,0
0.80538696,0
0.80771195,0
0.81003483,0
0.81235775,0
0.81468275,0
0.81700565,0
0.81932853,0
0.82165352,0
0.82397642,0
0.82630141,0
0.8286243,0
0.83094722,0
0.83327218,0
0.83559508,0
0.837918,0
0.84241798,0
0.84474295,0
0.84706585,0
0.84939082,0
0.85171372,0
0.85403663,0
0.8563616,0
0.85868452,0
0.86100743,0
0.86333241,0
0.8656553,0
0.86798028,0
0.87030317,0
0.87262608,0
0.87495106,0
0.87727396,0
0.87959685,0
0.88192185,0
0.88424477,0
0.88656973,0
0.88889263,0
0.89121553,0
0.89354052,0
0.89586342,0
0.89818631,0
0.90051132,0
0.90283418,0
0.90515712,0
0.9074821,0
0.90980498,0
0.91212998,0
0.91445287,0
0.91677577,0
0.91910075,0
0.92142365,0
0.92592362,0
0.9282486,0
0.9305715,0
0.9328965,0
0.9352194,0
0.93754228,0
0.93986727,0
0.94219017,0
0.94451308,0
0.94683805,0
0.94916095,0
0.95148595,0
0.95380885,0
0.95613173,0
0.95845675,0
0.96077963,0
0.96310253,0
0.9654275,0
0.96775041,0
0.9700754,0
0.9723983,0
0.9747212,0
0.97704617,0
0.97936906,0
0.98169198,0
0.98401697,0
0.98633987,0
0.98866485,0
0.99098775,0
0.99331063,0
0.99563563,0
0.99795853,0
1.0002814,0
1.0026064,0
1.0049293,0
1.0094293,0
1.0117522,0
1.0140772,0
1.0164001,0
1.018723,0
1.0210479,0
1.0233708,0
1.0256938,0
1.0280187,0
1.0303416,0
1.0326666,0
1.0349895,0
1.0373124,0
1.0396374,0
1.0419603,0
1.0442832,0
1.0466082,0
1.0489311,0
1.0512561,0
1.053579,0
1.0559019,0
1.0582269,0
1.0605497,0
1.0628726,0
1.0651976,0
1.0675206,0
1.0698455,0
1.0721684,0
1.0744913,0
1.0768163,0
1.0791392,0
1.0814621,0
1.0837871,0
1.08611,0
1.088435,0
1.0929433,0
1.0952683,0
1.0975912,0
1.0999161,0
1.102239,0
1.1045619,0
1.1068869,0
1.1092098,0
1.1115327,0
1.1138577,0
1.1161806,0
1.1185056,0
1.1208285,0
1.1231514,0
1.1254764,0
1.1277993,0
1.1301222,0
1.1324472,0
1.1347701,0
1.1370929,0
1.1394179,0
1.1417408,0
1.1440658,0
1.1463887,0
1.1487116,0
1.1510366,0
1.1533595,0
1.1556824,0
1.1580074,0
1.1603303,0
1.1626553,0
1.1649782,0
1.1673011,0
1.1696261,0
1.171949,0
1.1764531,0
1.1787781,0
1.181101,0
1.183426,0
1.1857489,0
1.1880718,0
1.1903967,0
1.1927197,0
1.1950426,0
1.1973675,0
1.1996905,0
1.2020154,0
1.2043383,0
1.2066612,0
1.2089862,0
1.2113091,0
1.213632,0
1.215957,0
1.2182799,0
1.2206049,0
1.2229278,0
1.2252507,0
1.2275756,0
1.2298986,0
1.2322215,0
1.2345465,0
1.2368694,0
1.2391943,0
1.2415172,0
1.2438401,0
1.2461651,0
1.248488,0
1.2508109,0
1.2531359,0
1.2554588,0
1.259965,0
1.26229,0
1.2646129,0
1.2669358,0
1.2692608,0
1.2715837,0
1.2739087,0
1.2762316,0
1.2785545,0
1.2808795,0
1.2832023,0
1.2855253,0
1.2878502,0
1.2901731,0
1.2924981,0
1.294821,0
1.2971439,0
1.2994689,0
1.3017918,0
1.3041147,0
1.3064397,0
1.3087626,0
1.3110855,0
1.3134105,0
1.3157334,0
1.3180584,0
1.3203812,0
1.3227042,0
1.3250291,0
1.3273521,0
1.3296749,0
1.3319999,0
1.3343228,0
1.3366478,0
1.3389707,0
1.3434728,0
1.3457957,0
1.3481186,0
1.3504435,0
1.3527664,0
1.3550893,0
1.3574143,0
1.3597372,0
1.3620622,0
1.3643851,0
1.366708,0
1.369033,0
1.3713559,0
1.3736788,0
1.3760038,0
1.3783267,0
1.3806517,0
1.3829746,0
1.3852975,0
1.3876224,0
1.3899453,0
1.3922682,0
1.3945932,0
1.3969161,0
1.3992411,0
1.401564,0
1.4038869,0
1.4062119,0
1.4085348,0
1.4108577,0
1.4131827,0
1.4155056,0
1.4178306,0
1.4201535,0
1.4224764,0
1.4269805,0
1.4293034,0
1.4316284,0
1.4339513,0
1.4362763,0
1.4385992,0
1.4409221,0
1.443247,0
1.44557,0
1.4478929,0
1.4502179,0
1.4525407,0
1.4548657,0
1.4571886,0
1.4595115,0
1.4618365,0
1.4641594,0
1.4664823,0
1.4688073,0
1.4711302,0
1.4734552,0
1.4757781,0
1.478101,0
1.4804259,0
1.4827489,0
1.4850738,0
1.4873988,0
1.4897217,0
1.4920446,0
1.4943696,0
1.4966925,0
1.4990154,0
1.5013404,0
1.5036633,0
1.5059862,0
1.5104987,0
1.5128216,0
1.5151465,0
1.5174694,0
1.5197924,0
1.5221173,0
1.5244402,0
1.5267631,0
1.5290881,0
1.531411,0
1.5337339,0
1.5360589,0
1.5383818,0
1.5407068,0
1.5430297,0
1.5453526,0
1.5476775,0
1.5500005,0
1.5523234,0
1.5546483,0
1.5569713,0
1.5592962,0
1.5616192,0
1.563942,0
1.566267,0
1.5685899,0
1.5709128,0
1.5732378,0
1.5755607,0
1.5778857,0
1.5802086,0
1.5825315,0
1.5848565,0
1.5871794,0
1.5895023,0
1.5943377,0
1.5966626,0
1.6022022,0
1.6062647,0
1.6085876,0
1.6109105,0
1.6132354,0
1.6155583,0
1.6178833,0
1.6202062,0
1.6225291,0
1.6248541,0
1.627177,0
1.6294999,0
1.6318249,0
1.6341478,0
1.6431186,0
1.6473394,0
1.6496623,0
1.6519873,0
1.6543102,0
1.6566331,0
1.658958,0
1.6612809,0
1.6636038,0
1.6659288,0
1.6714288,0
1.6754975,0
1.6803308,0
1.6826558,0
1.6849787,0
1.6873037,0
1.6896266,0
1.6919495,0
1.6942745,0
1.6965974,0
1.6989202,0
1.7012452,0
1.7035681,0
1.7058931,0
1.708216,0
1.7105389,0
1.7128639,0
1.7151868,0
1.7175097,0
1.7198347,0
1.7221576,0
1.7244826,0
1.7268055,0
1.7291284,0
1.7314534,0
1.7337763,0
1.7360992,0
1.7384241,0
1.740747,0
1.743072,0
1.7453949,0
1.7477178,0
1.7500428,0
1.7523657,0
1.7546886,0
1.7629448,0
1.7670135,0
1.7725135,0
1.776578,0
1.778901,0
1.7812239,0
1.7835488,0
1.7858717,0
1.7881967,0
1.7905196,0
1.7928425,0
1.7951675,0
1.7974904,0
1.7998133,0
1.8021383,0
1.8044612,0
1.8099757,0
1.8189195,0
1.8231611,0
1.8254839,0
1.8278089,0
1.8301318,0
1.8324547,0
1.8347797,0
1.8402776,0
1.8451194,0
1.8474442,0
1.8529733,0
1.8570358,0
1.8593587,0
1.8616816,0
1.8640066,0
1.8663295,0
1.8719232,0
1.8761565,0
1.8784794,0
1.8808023,0
1.8831273,0
1.8854502,0
1.8877731,0
1.8900981,0
1.892421,0
1.8947459,0
1.8970689,0
1.8993918,0
1.9017167,0
1.9040397,0
1.9063625,0
1.9086875,0
1.9110104,0
1.9133354,0
1.9156583,0
1.9179812,0
1.9203062,0
1.9258687,0
1.930702,0
1.933027,0
1.9353498,0
1.940854,0
1.945079,0
1.9474018,0
1.9497247,0
1.9520497,0
1.9543726,0
1.9566976,0
1.9590205,0
1.9613434,0
1.9636684,0
1.9659913,0
1.9683142,0
