CHROMATOGRAM,
p6_b4_tudca_dny_bsh2_48h.raw,
Data points: 2464,
Time,Intensity
0.003713985,0
0.008343068,0
0.011488902,0
0.013811766,0
0.016136769,0
0.018459669,0
0.020782565,0
0.023107552,0
0.025430452,0
0.027755434,0
0.030078335,0
0.032401235,0
0.034726202,0
0.037049102,0
0.049313616,0
0.053549118,0
0.055873965,0
0.058196901,0
0.060519786,0
0.062844784,0
0.065167669,0
0.067492651,0
0.069815551,0
0.072138436,0
0.074463418,0
0.076786334,0
0.079109251,0
0.081434217,0
0.083757133,0
0.0860821,0
0.088405,0
0.093240519,0
0.095563268,0
0.097888266,0
0.10021118,0
0.10253407,0
0.10485907,0
0.10718195,0
0.10950483,0
0.11182983,0
0.11415273,0
0.11647774,0
0.11880062,0
0.12112354,0
0.12344852,0
0.1257714,0
0.1280943,0
0.1304193,0
0.1327422,0
0.13506717,0
0.13739007,0
0.13971297,0
0.14203797,0
0.14436085,0
0.14668374,0
0.14900873,0
0.15133163,0
0.15365663,0
0.15597953,0
0.15830243,0
0.16062742,0
0.1629503,0
0.1652732,0
0.1675982,0
0.16992112,0
0.17224609,0
0.17708363,0
0.17940644,0
0.18173142,0
0.1840543,0
0.1863793,0
0.18870222,0
0.19102512,0
0.19335008,0
0.195673,0
0.19799798,0
0.20032087,0
0.20264377,0
0.20496877,0
0.20729165,0
0.21278953,0
0.22167077,0
0.22589988,0
0.2282228,0
0.23054775,0
0.23287065,0
0.23519563,0
0.23751852,0
0.23984143,0
0.24216642,0
0.24448932,0
0.24681224,0
0.2491372,0
0.2514601,0
0.25378508,0
0.25610797,0
0.26094347,0
0.26326837,0
0.26559125,0
0.26791623,0
0.27023913,0
0.27256203,0
0.274887,0
0.27720992,0
0.27953283,0
0.2818578,0
0.2841807,0
0.28650568,0
0.28882858,0
0.29115148,0
0.29347647,0
0.29579937,0
0.29812228,0
0.30044725,0
0.30277013,0
0.30509515,0
0.30741804,0
0.30974095,0
0.3120659,0
0.31438883,0
0.31671172,0
0.31903672,0
0.32135963,0
0.3236846,0
0.3260075,0
0.32833038,0
0.33065538,0
0.33297828,0
0.3353012,0
0.33762613,0
0.3421303,0
0.34445318,0
0.3467761,0
0.34910109,0
0.351424,0
0.3537469,0
0.35607188,0
0.35839477,0
0.36071975,0
0.36304265,0
0.36536552,0
0.36769053,0
0.37001343,0
0.37233635,0
0.37466132,0
0.3769842,0
0.3824821,0
0.3867196,0
0.39221742,0
0.39628825,0
0.4051403,0
0.40838188,0
0.41640475,0
0.43540254,0
0.4542524,0
0.4710127,0
0.48915632,0
0.50583955,0
0.52172072,0
0.53839557,0
0.55389962,0
0.57296407,0
0.59205145,0
0.61109922,0
0.62648663,0
0.63978445,0
0.65636347,0
0.67204463,0
0.68941115,0
0.70718188,0
0.719336,0
0.73433587,0
0.74942742,0
0.76490023,0
0.7842709,0
0.80157497,0
0.82078107,0
0.83994343,0
0.86142245,0
0.8806244,0
0.8998722,0
0.91799082,0
0.93612192,0
0.95799677,0
0.97698205,0
0.99261529,0
1.0104485,0
1.0312379,0
1.049292,0
1.0684773,0
1.087625,0
1.1064686,0
1.1256248,0
1.1437767,0
1.1629974,0
1.1812973,0
1.2031846,0
1.222372,0
1.2415802,0
1.2608363,0
1.2801258,0
1.2993298,0
1.3186172,0
1.3368816,0
1.3589544,0
1.3781626,0
1.3974166,0
1.4166144,0
1.4358434,0
1.4542516,0
1.4734119,0
1.4926201,0
1.5119825,0
1.5326094,0
1.5508926,0
1.5679508,0
1.584459,0
1.600936,0
1.6133463,0
1.6245338,0
1.6380504,0
1.6496794,0
1.6641085,0
1.6788126,0
1.6911583,0
1.7037873,0
1.7164519,0
1.7258476,0
1.7391059,0
1.7508537,0
1.7640578,0
1.7795243,0
1.7941034,0
1.8043492,0
1.8159074,0
1.8312177,0
1.8442676,0
1.8577196,0
1.8728008,0
1.8849861,0
1.9002985,0
1.9104755,0
1.9235462,0
1.9386149,0
1.9488044,0
1.9629314,0
1.9746021,0
1.9864687,0
2.0019811,0
2.0195997,0
2.0333976,0
2.0452537,0
2.0575974,0
2.0698494,0
2.0836222,0
2.0993492,0
2.1146407,0
2.1305552,0
2.1460343,0
2.1649841,0
2.1802528,0
2.1946735,0
2.2099275,0
2.2249212,0
2.2418981,0
2.2570231,0
2.274175,0
2.290677,0
2.3101018,0
2.3280663,0
2.3447287,0
2.3665139,0
2.3859076,0
2.401672,0
2.4151886,0
2.4339718,0
2.4527113,0
2.4686528,0
2.4870048,0
2.5052171,0
2.5254128,0
2.5431648,0
2.558548,0
2.5783833,0
2.5979124,0
2.6163101,0
2.6334808,0
2.6531077,0
2.666941,0
2.6852304,0
2.7070616,0
2.7251031,0
2.7447425,0
2.7642216,0
2.786661,0
2.8061712,0
2.8257607,0
2.8453814,0
2.8676125,0
2.8871749,0
2.9066081,0
2.9262496,0
2.9485661,0
2.9682639,0
2.9764492,0
2.9951074,0
3.0069157,0
3.0295947,0
3.0494133,0
3.0690382,0
3.0886443,0
3.0960963,0
3.1153628,0
3.1347586,0
3.1535042,0
3.1582354,0
3.1699729,0
3.1731958,0
3.176752,0
3.1814082,0
3.189729,0
3.1968061,0
3.2038414,0
3.2178996,0
3.2285225,0
3.2316037,0
3.2421724,0
3.2537952,0
3.2733284,0
3.2955074,0
3.3145343,0
3.3341259,0
3.3520945,0
3.3698485,0
3.3870026,0
3.4013983,0
3.4182128,0
3.4376564,0
3.4600042,0
3.4797853,0
3.4993518,0
3.5189537,0
3.5408786,0
3.5603722,0
3.5800075,0
3.5995052,0
3.6190197,0
3.6386592,0
3.6581715,0
3.6777401,0
3.6852171,0
3.7046316,0
3.7240773,0
3.7440792,0
3.7557667,0
3.7591646,0
3.762452,0
3.7741415,0
3.7856102,0
3.7996934,0
3.8193516,0
3.8356994,0
3.8473515,0
3.8579388,0
3.8696742,0
3.8744304,0
3.8777742,0
3.8810741,0
3.8843387,0
3.9003532,0
3.9074385,0
3.9257467,0
3.9400925,0
3.9540986,0
3.973711,0
3.9819859,0
3.9890984,0
3.9923629,0
3.9956796,0
3.9988316,0
4.0035545,0
4.0069274,0
4.0105878,0
4.022294,0
4.0293335,0
4.0434688,0
4.0540375,0
4.0701749,0
4.0735186,0
4.076829,0
4.0800561,0
4.0833685,0
4.0867664,0
4.0906185,0
4.0929414,0
4.0952664,0
4.0975892,0
4.0999122,0
4.1022371,0
4.10456,0
4.1068829,0
4.1118163,0
4.1158308,0
4.1191912,0
4.1215141,0
4.1238391,0
4.1288828,0
4.1331161,0
4.1364577,0
4.1387806,0
4.1411035,0
4.1434285,0
4.1457514,0
4.1480743,0
4.1503993,0
4.1527222,0
4.1550472,0
4.1573701,0
4.159693,0
4.164793,0
4.168645,6542.976563
4.1717387,0
4.190772,0
4.1940865,0
4.197399,0
4.2092864,0
4.2210551,0
4.2242363,0
4.2288842,0
4.2322758,0
4.2354675,0
4.2387737,0
4.2421633,0
4.245507,0
4.2488778,0
4.2522465,0
4.2554173,0
4.259261,0
4.261584,0
4.2639089,0
4.2662318,0
4.2685568,0
4.2708797,0
4.2732026,0
4.2755276,0
4.2778505,0
4.2801734,0
4.2824984,0
4.2848213,0
4.2871463,0
4.2894691,0
4.2917921,0
4.294117,0
4.2987608,0
4.3093774,0
4.313044,0
4.3163648,0
4.3186877,0
4.3210106,0
4.3233356,0
4.3256585,0
4.3279835,0
4.3303064,0
4.3326293,0
4.3349542,0
4.3396875,0
4.3471708,0
4.3542583,0
4.3575562,0
4.3715144,0
4.3899435,0
4.4004663,0
4.4121037,0
4.4261307,0
4.4294828,0
4.4326119,0
4.4408472,0
4.4440348,0
4.4624179,0
4.4741199,0
4.4822428,0
4.4963427,0
4.5103884,0
4.5262675,0
4.5458923,0
4.5657443,0
4.5854504,0
4.5900941,0
4.6009815,0
4.6042149,0
4.6147231,0
4.6177169,0
4.6395146,0
4.6466479,0
4.6583332,0
4.6688978,0
4.6759831,0
4.6834685,0
4.6905559,0
4.6936205,0
4.6968288,0
4.7000184,0
4.7030329,0
4.7100808,0
4.720637,0
4.723589,0
4.7340785,0
4.7446576,0
4.7479139,0
4.7550305,0
4.762395,0
4.7728783,0
4.7870282,0
4.7975823,0
4.8082571,0
4.8244195,0
4.8406965,0
4.8482069,0
4.8588922,0
4.8623547,0
4.8656755,0
4.8688193,0
4.8720442,0
4.8750796,0
4.8833358,0
4.8974732,0
4.9194126,0
4.9241689,0
4.9368229,0
4.9564582,0
4.9759039,0
4.9876121,0
