CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_A3_TCDCA_Dny_BSH1_48h.raw
Data points: 3097
Time(min),Relative Abundance
0.003713682,0
0.008082349,0
0.011324,0
0.013648982,0
0.015971882,0
0.018294799,0
0.020619797,0
0.022942681,0
0.025265582,0
0.027590532,0
0.029913464,0
0.032238447,0
0.034561347,0
0.036884232,0
0.049025797,0
0.053317467,0
0.056644514,0
0.058969517,0
0.061292397,0
0.063615313,0
0.06594028,0
0.0682632,0
0.070588167,0
0.072911083,0
0.075233963,0
0.07755895,0
0.07988185,0
0.082204766,0
0.084529749,0
0.086852633,0
0.089177632,0
0.0938964,0
0.096221331,0
0.098544231,0
0.10086921,0
0.10319211,0
0.10551501,0
0.10783998,0
0.1101629,0
0.1124858,0
0.11481076,0
0.11713368,0
0.11945867,0
0.12178157,0
0.12410445,0
0.12642948,0
0.12875231,0
0.13107523,0
0.13340023,0
0.13572313,0
0.13804815,0
0.14037102,0
0.1426939,0
0.14501888,0
0.14734181,0
0.1496647,0
0.15198968,0
0.15431258,0
0.15663756,0
0.15896048,0
0.16128335,0
0.16360836,0
0.16593125,0
0.16825413,0
0.17057913,0
0.17528118,0
0.17760616,0
0.17992905,0
0.18225195,0
0.18457696,0
0.18689985,0
0.18922276,0
0.19154773,0
0.19387063,0
0.19619563,0
0.19851851,0
0.20084143,0
0.20316642,0
0.20548928,0
0.2078122,0
0.21316215,0
0.22197253,0
0.22628083,0
0.22955373,0
0.23187872,0
0.23420161,0
0.2365245,0
0.23884952,0
0.24117238,0
0.24349738,0
0.24582028,0
0.24814315,0
0.25046817,0
0.25279107,0
0.25511393,0
0.25986603,0
0.26219096,0
0.2645139,0
0.2668368,0
0.26916178,0
0.27148468,0
0.27380967,0
0.27613257,0
0.27845545,0
0.28078045,0
0.28310335,0
0.28542625,0
0.28775122,0
0.29007413,0
0.29239912,0
0.29472202,0
0.2970449,0
0.29936987,0
0.30169278,0
0.3040157,0
0.3063407,0
0.30866357,0
0.31098648,0
0.31331148,0
0.31563435,0
0.31795935,0
0.32028225,0
0.32260515,0
0.32493013,0
0.32725303,0
0.32957593,0
0.33190091,0
0.33422383,0
0.33654878,0
0.33887168,0
0.34365502,0
0.34597791,0
0.34830288,0
0.3506258,0
0.35294866,0
0.35527368,0
0.35759656,0
0.35992155,0
0.36224445,0
0.36456735,0
0.36689233,0
0.37526728,0
0.389038,0
0.40806703,0
0.42554193,0
0.44650218,0
0.46546245,0
0.4813686,0
0.50042471,0
0.51953708,0
0.53875778,0
0.55791596,0
0.57700125,0
0.5947928,0
0.61210518,0
0.63109463,0
0.64836743,0
0.66370067,0
0.68021095,0
0.70150038,0
0.71957317,0
0.73720637,0
0.75530833,0
0.77627693,0
0.79425597,0
0.81352043,0
0.83274112,0
0.84969727,0
0.8705721,0
0.8885928,0
0.907701,0
0.92688213,0
0.94867155,0
0.96795475,0
0.9872671,0
1.0065086,0
1.0257731,0
1.0440063,0
1.0631728,0
1.0823977,0
1.1016351,0
1.1230537,0
1.1423077,0
1.1616846,0
1.1809116,0
1.2028843,0
1.2221134,0
1.2404716,0
1.2597214,0
1.2817171,0
1.3010503,0
1.3203627,0
1.3397417,0
1.3589812,0
1.3782248,0
1.3975101,0
1.4156933,0
1.4348911,0
1.4568867,0
1.4740449,0
1.4911719,0
1.5086989,0
1.5274883,0
1.5456673,0
1.5629922,0
1.5761609,0
1.5945087,0
1.607369,0
1.6203585,0
1.6368625,0
1.6536832,0
1.6704894,0
1.6879643,0
1.7037391,0
1.7213849,0
1.734991,0
1.7505888,0
1.7659345,0
1.785499,0
1.7999135,0
1.8177071,0
1.8340674,0
1.8507277,0
1.8669172,0
1.8781983,0
1.8944753,0
1.9099231,0
1.9251564,0
1.9428062,0
1.9572207,0
1.9745226,0
1.9919704,0
2.0103786,0
2.0322223,0
2.0479076,0
2.0636241,0
2.0797552,0
2.0972801,0
2.1196466,0
2.1392653,0
2.1585047,0
2.1778754,0
2.195944,0
2.2153772,0
2.2341083,0
2.2511207,0
2.2706623,0
2.2914683,0
2.3110015,0
2.3304681,0
2.34972,0
2.3709324,0
2.3890885,0
2.40793,0
2.4277361,0
2.4500068,0
2.4685525,0
2.4857545,0
2.5052981,0
2.5274646,0
2.5468415,0
2.566481,0
2.5862559,0
2.5937975,0
2.6135557,0
2.621741,0
2.6376013,0
2.6481054,0
2.6677886,0
2.6793927,0
2.693803,0
2.7077654,0
2.719382,0
2.7298465,0
2.7415173,0
2.7485776,0
2.7591817,0
2.7737566,0
2.7854878,0
2.7996148,0
2.8067564,0
2.8182313,0
2.837902,0
2.848904,0
2.8595081,0
2.879008,0
2.898612,0
2.9179431,0
2.9376659,0
2.9586095,0
2.9768427,0
2.9815302,0
2.997655,0
3.0057779,0
3.0244903,0
3.0352277,0
3.0527921,0
3.0728316,0
3.0846169,0
3.1008439,0
3.1152292,0
3.1186313,0
3.1219687,0
3.126775,0
3.1338645,0
3.1445373,0
3.1551435,0
3.1598331,0
3.1738413,0
3.1961057,0
3.2157785,0
3.2354075,0
3.243595,0
3.2518012,0
3.2635198,0
3.2743281,0
3.2778718,0
3.2812551,0
3.2928426,0
3.2963384,0
3.2996362,0
3.3043612,0
3.3080799,0
3.3113779,0
3.3137028,0
3.3160257,0
3.3183486,0
3.3206736,0
3.3229965,0
3.3253194,0
3.3301485,0
3.3338464,0
3.3371485,0
3.3412026,0
3.3435255,0
3.3458505,0
3.3481734,0
3.3504984,0
3.3528213,0
3.3551442,0
3.3574692,0
3.3597921,0
3.362115,0
3.36444,0
3.3667629,0
3.3690879,0
3.3714108,0
3.3737336,0
3.378594,0
3.3822794,0
3.3870669,0
3.3917064,0
3.3954418,0
3.3987459,0
3.406898,0
3.4105771,0
3.413673,0
3.4159958,0
3.4183209,0
3.4206437,0
3.4244937,0
3.4268166,0
3.4291395,0
3.4337999,0
3.4384519,0
3.4422707,0
3.4455123,0
3.4478352,0
3.4501602,0
3.4524831,0
3.454806,0
3.457131,0
3.4594539,0
3.4617789,0
3.4641017,0
3.4664247,0
3.4687496,0
3.4710725,0
3.4733975,0
3.4757204,0
3.4806996,0
3.4913578,0
3.4983994,0
3.503089,0
3.5101285,0
3.5140118,0
3.5170368,0
3.5193618,0
3.5241951,0
3.5346804,0
3.5382366,0
3.5413387,0
3.5530594,0
3.5600636,0
3.5647031,0
3.5680011,0
3.5712989,0
3.5746635,0
3.5777906,0
3.581153,0
3.5843614,0
3.5876217,0
3.5913738,0
3.5943467,0
3.5966696,0
3.5989925,0
3.6036341,0
3.6082758,0
3.6119486,0
3.6152799,0
3.6199694,0
3.6237006,0
3.6268798,0
3.6315693,0
3.6352901,0
3.6385672,0
3.646788,0
3.6504796,0
3.6536504,0
3.6620587,0
3.6658295,0
3.6690066,0
3.6737711,0
3.6778857,0
3.6810128,0
3.6833377,0
3.688421,0
3.6924106,0
3.6956085,0
3.6979314,0
3.7002564,0
3.7025792,0
3.7049042,0
3.7072271,0
3.70955,0
3.711875,0
3.7141979,0
3.7165208,0
3.7188458,0
3.7211687,0
3.7234916,0
3.7258166,0
3.7281395,0
3.7331082,0
3.7378978,0
3.7417853,0
3.7448186,0
3.7471414,0
3.7554497,0
3.7629309,0
3.7700184,0
3.7746579,0
3.7862995,0
3.7898245,0
3.7932078,0
3.7979661,0
3.8014494,0
3.8046723,0
3.8094285,0
3.8129306,0
3.8162826,0
3.8194764,0
3.8217992,0
3.8241221,0
3.8264471,0
3.82877,0
3.831095,0
3.8358595,0
3.8429428,0
3.8503616,0
3.8608781,0
3.8749405,0
3.8912425,0
3.8946216,0
3.9107673,0
3.9188715,0
3.9259693,0
3.9295568,0
3.9326776,0
3.9358255,0
3.939188,0
3.9473338,0
3.9519754,0
3.9590087,0
3.9624691,0
3.965792,0
3.9704815,0
3.9739961,0
3.9772336,0
3.9795586,0
3.9818814,0
3.9865877,0
3.9900794,0
3.9934335,0
3.9957563,0
3.9980792,0
4.0004042,0
4.0027271,0
4.0050521,0
4.007375,0
4.0096979,0
4.0120229,0
4.0167229,0
4.0203603,0
4.0237437,0
4.0260665,0
4.0283895,0
4.0307144,0
4.0330373,0
4.0353602,0
4.0376852,0
4.0400081,0
4.042331,0
4.044656,0
4.0469789,0
4.051933,0
4.0559018,0
4.059058,0
4.0613809,0
4.0637038,0
4.0660288,0
4.0683517,0
4.0706746,0
4.0755266,0
4.0792412,0
4.0839099,0
4.0909703,0
4.094939,0
4.0980931,0
4.100416,0
4.102741,0
4.1050639,0
4.1073868,0
4.1097118,0
4.1143847,0
4.118068,0
4.1227596,0
4.1266033,0
4.1298992,0
4.1322221,0
4.134547,0
4.13687,0
