CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_A4_TUDCA_Dny_BSH1_48h.raw
Data points: 2930
Time(min),Relative Abundance
0.003719635,0
0.008065382,0
0.01146955,0
0.013792415,0
0.016117401,0
0.018440301,0
0.020763218,0
0.023088184,0
0.0254111,0
0.027733985,0
0.030058983,0
0.032381868,0
0.03470685,0
0.03702975,0
0.049344233,0
0.053546332,0
0.055869217,0
0.058192117,0
0.060517084,0
0.062839984,0
0.065164967,0
0.067487883,0
0.069810767,0
0.07213575,0
0.07445865,0
0.076781566,0
0.079106549,0
0.081429433,0
0.083754415,0
0.086077332,0
0.088400216,0
0.093233648,0
0.095558499,0
0.0978814,0
0.10020435,0
0.10252928,0
0.1048522,0
0.10717719,0
0.10950007,0
0.11182298,0
0.11414795,0
0.11971042,0
0.12377288,0
0.1260958,0
0.12842079,0
0.13074368,0
0.13306658,0
0.13539157,0
0.13771445,0
0.14003735,0
0.14236235,0
0.14468525,0
0.14701023,0
0.14933313,0
0.15165603,0
0.15398103,0
0.15630392,0
0.15862683,0
0.16095177,0
0.16327472,0
0.1655976,0
0.16792258,0
0.17024552,0
0.17257045,0
0.1773975,0
0.1797204,0
0.18204332,0
0.18436828,0
0.1866912,0
0.18901618,0
0.19133908,0
0.19366198,0
0.19598697,0
0.19830985,0
0.20063277,0
0.20295777,0
0.20528065,0
0.20760562,0
0.21294308,0
0.22184927,0
0.22605143,0
0.22837632,0
0.23069922,0
0.23302423,0
0.23534712,0
0.23767,0
0.239995,0
0.2423179,0
0.24464082,0
0.24696577,0
0.24928868,0
0.25161365,0
0.25393655,0
0.25877613,0
0.26109902,0
0.26342193,0
0.2657469,0
0.26806978,0
0.27039272,0
0.27271768,0
0.27504057,0
0.27736557,0
0.27968846,0
0.28201137,0
0.28433635,0
0.28665925,0
0.28898213,0
0.29130713,0
0.29363003,0
0.29595502,0
0.29827792,0
0.30060083,0
0.30292578,0
0.30524868,0
0.30757162,0
0.30989658,0
0.31221947,0
0.31454447,0
0.31686737,0
0.31919027,0
0.32151525,0
0.32383815,0
0.32616107,0
0.32848603,0
0.33080893,0
0.33313394,0
0.3354568,0
0.33777972,0
0.34261719,0
0.34494217,0
0.34726508,0
0.34959003,0
0.35515667,0
0.35939625,0
0.36171915,0
0.36404412,0
0.36636703,0
0.36869202,0
0.37101488,0
0.37917525,0
0.39495222,0
0.41398333,0
0.43171238,0
0.45344972,0
0.47244333,0
0.48841407,0
0.50748267,0
0.52660755,0
0.5457199,0
0.56481143,0
0.58383633,0
0.59954455,0
0.61839232,0
0.63458178,0
0.65142333,0
0.66923987,0
0.68871057,0
0.70668545,0
0.72306658,0
0.74087062,0
0.75657258,0
0.77383914,0
0.79129525,0
0.81049303,0
0.82973042,0
0.84780945,0
0.86879682,0
0.88768417,0
0.90675903,0
0.92476307,0
0.94384835,0
0.96298988,0
0.9822085,0
1.0015729,0
1.0208478,0
1.0410081,0
1.0593309,0
1.0770224,0
1.096239,0
1.1181534,0
1.1361886,0
1.1554718,0
1.1747801,0
1.1967986,0
1.2159298,0
1.2352234,0
1.2545295,0
1.2730502,0
1.2922896,0
1.3114937,0
1.3308102,0
1.3500726,0
1.3720953,0
1.3912494,0
1.4088618,0
1.4281241,0
1.4500198,0
1.4678384,0
1.4854216,0
1.5023382,0
1.5170943,0
1.5362567,0
1.5502733,0
1.5648086,0
1.5780751,0
1.5942542,0
1.6094228,0
1.621779,0
1.6358102,0
1.6517517,0
1.6681141,0
1.6825182,0
1.6982889,0
1.7158658,0
1.7331345,0
1.7429511,0
1.759153,0
1.7796883,0
1.796434,0
1.8114485,0
1.8288629,0
1.8436379,0
1.8562857,0
1.8712793,501141.375
1.8886709,0
1.8996625,0
1.9130957,0
1.9283248,0
1.9420809,0
1.9560995,476775.34375
1.9724015,1108773.5
1.9883327,927046.125
2.0076659,733735.75
2.026372,0
2.041501,0
2.0588134,0
2.0771612,0
2.0932715,0
2.1139547,0
2.1333546,0
2.1527711,0
2.1720668,0
2.1889229,0
2.2069269,0
2.2229498,0
2.2390684,0
2.258585,0
2.2792702,0
2.2984388,0
2.3175303,0
2.3370719,0
2.359153,0
2.3785924,0
2.3933444,0
2.4129401,0
2.4323733,0
2.4520961,0
2.4686022,0
2.4877021,0
2.5073207,0
2.5294289,0
2.5486829,0
2.5682098,0
2.587818,0
2.6102866,0
2.6297406,0
2.6495322,0
2.6691091,0
2.6916173,0
2.711313,0
2.731017,0
2.7508461,0
2.7705688,0
2.7929937,0
2.812506,0
2.8172623,0
2.8367475,0
2.8590974,0
2.8672973,0
2.8867722,0
2.9063012,0
2.9256178,0
2.9424301,0
2.9619925,0
2.9815319,0
3.0012381,0
3.0128901,0
3.0351732,0
3.0548168,0
3.072723,0
3.0925603,0
3.1122039,0
3.1287642,0
3.1320767,0
3.1403141,0
3.1600307,0
3.1817992,0
3.2040929,0
3.2236594,0
3.2432842,0
3.2631674,0
3.2826756,0
3.2989464,0
3.3020547,0
3.3222816,0
3.3255858,0
3.3279107,0
3.3302336,0
3.3325566,0
3.3348815,0
3.3372045,0
3.3401086,0
3.3424336,0
3.3447565,0
3.3470794,0
3.3494044,0
3.3517273,0
3.3540501,0
3.3623126,0
3.3658605,0
3.3690979,0
3.377252,0
3.3806333,0
3.3839562,0
3.3921082,0
3.395604,0
3.3988852,0
3.4070956,0
3.4105956,0
3.4137226,0
3.4218267,0
3.4255892,0
3.4287288,0
3.4310538,0
3.4333767,0
3.4380162,0
3.446087,0
3.4499328,0
3.4532119,0
3.4579744,0
3.4616431,0
3.4649139,0
3.473268,0
3.4803284,0
3.4839034,0
3.4870513,0
3.4952075,0
3.4985304,0
3.5018658,0
3.5065637,0
3.5209052,0
3.5279719,0
3.5311947,0
3.5345218,0
3.550805,0
3.5578091,0
3.5626654,0
3.5660382,0
3.5693549,0
3.5724778,0
3.5758694,0
3.5789736,0
3.5823402,0
3.5856943,0
3.5888651,0
3.5925443,0
3.5955463,0
3.6002359,0
3.603765,0
3.6084025,0
3.6165337,0
3.6281482,0
3.6362378,0
3.6469939,0
3.6586813,0
3.6622897,0
3.6656104,0
3.6688584,0
3.6711833,0
3.6735062,0
3.6774021,0
3.6797249,0
3.6820499,0
3.6869207,0
3.6941894,0
3.6981123,0
3.701304,0
3.7036289,0
3.7059518,0
3.7082747,0
3.7105997,0
3.7129226,0
3.7152455,0
3.7201622,0
3.7238538,0
3.7271267,0
3.7294496,0
3.7342204,0
3.7413328,0
3.7484453,0
3.7519911,0
3.7553453,0
3.7698139,0
3.7769221,0
3.7815617,0
3.7920971,0
3.8002345,0
3.8048762,0
3.8081116,0
3.8113907,0
3.8147177,0
3.817949,0
3.8212614,0
3.8243281,0
3.8290677,0
3.836153,0
3.8393842,0
3.842955,0
3.8546196,0
3.8686715,0
3.876909,0
3.8874381,0
3.9035317,0
3.9141274,0
3.9338065,0
3.9373064,0
3.9403669,0
3.9436501,0
3.9468397,0
3.9514793,0
3.9548313,0
3.9595188,0
3.9627271,0
3.9673667,0
3.9720604,0
3.9766999,0
3.9801978,0
3.9833582,0
3.9880645,0
3.9951686,0
3.9986914,0
4.0020018,0
4.0053393,0
4.0087081,0
4.0120184,0
4.0151455,0
4.0174684,0
4.0197913,0
4.0245954,0
4.0282808,0
4.0314287,0
4.0337516,0
4.0360745,0
4.0383995,0
4.0431557,0
4.046864,0
4.0501682,0
4.0524911,0
4.0548139,0
4.057139,0
4.0594618,0
4.0617868,0
4.0641097,0
4.0664326,0
4.0711972,0
4.0746534,0
4.07797,0
4.0860929,0
4.0895116,0
4.0932553,0
4.0961283,0
4.0984532,0
4.1007761,0
4.1055865,0
4.1091323,0
4.1123219,0
4.1146448,0
4.1169677,0
4.1216073,0
4.1252551,0
4.1283926,0
4.1364821,0
4.1411217,0
4.1457633,0
4.1563382,0
4.1598466,0
4.1630986,0
4.1654236,0
4.1677465,0
4.1700694,0
4.181763,0
4.1854609,0
4.1883526,0
4.1930422,0
4.1963213,0
4.1996504,0
4.2028296,0
4.206215,0
4.2095358,0
4.2143233,0
4.2177003,0
4.2210212,0
4.2242107,0
4.2265357,0
4.2288586,0
4.2371856,0
4.2406668,0
4.2439731,0
4.2462959,0
4.2486209,0
4.2509438,0
4.2532667,0
4.2555917,0
4.2594104,0
4.2617354,0
4.2640583,6448.708984375
4.2663812,0
4.2687062,0
4.2734582,0
4.276977,0
4.2803207,0
4.2850269,0
4.2883915,0
4.2930332,0
4.2965185,0
4.2998393,0
4.3045289,0
4.3080184,0
4.312658,0
4.3172975,0
4.3206267,0
4.324012,0
4.3273245,0
4.3305495,0
4.3328745,0
4.3351974,0
4.3375224,0
4.3413995,0
4.3437223,0
4.3485119,0
4.3520306,0
4.3554452,0
4.3577681,0
4.360091,0
4.362416,0
4.3647389,0
4.3670617,0
4.3693867,0
4.3717096,0
4.3799179,0
4.3870575,0
4.3942157,0
4.3976907,0
4.4008428,0
4.4041615,0
4.4124989,0
4.4195593,0
4.4229426,0
4.4264863,0
4.4311259,0
4.4453758,30653.26171875
4.452507,75945.9296875
4.459634,474217.09375
4.4756527,9503402
4.4917296,22193408
4.5112191,24592432
4.5272669,20217634
4.5459605,20946328
4.5654062,17884408
4.5735853,13323022
4.5853269,12935434
4.6047955,8585388
4.6270411,6599061
4.6433619,4685997.5
4.6594701,3658918.5
4.6678242,3791843.5
4.6761117,3615946.5
4.6984719,2365759
4.7062656,2371097
4.714426,2076993
4.7261134,1924813.125
4.7378133,1993919.875
4.7459862,1642959
4.7507424,1533100.75
4.7553819,1371630.75
4.758784,1341456
4.7619006,1347869
4.7702068,1177746.5
4.7732589,1211417.875
4.7764902,1190580.125
4.7797151,1117512.5
4.7827734,986201.1875
4.7898733,1015328.25
4.8017337,829877.6875
4.8065733,794058.5
4.8183169,737948.375
4.8264565,736779.5625
4.8335231,630186.4375
4.8368501,630334.5625
4.8404501,608789.1875
4.8435355,546025.25
4.8482396,558590.75
4.8516792,491910.3125
4.8550208,472887.40625
4.8582041,517251.9375
4.8628937,488347.78125
4.8664895,454881.25
4.8711957,485004.875
4.8759019,444613.34375
4.879279,403920.875
4.8826998,373797.40625
4.8875393,396660.1875
4.8910269,378044.15625
4.8943476,375082.1875
4.8966705,368873.28125
4.8989955,361418.53125
4.9013184,350630.9375
4.9036413,344058
4.9059663,312167.4375
4.9107038,320558.5625
4.9153433,312325.875
4.9190183,296826.15625
4.9236578,309470.3125
4.9272161,289600.25
4.9304932,289456.0625
4.9352161,292033.84375
4.9387723,303970.75
4.9421077,315432.4375
4.9444327,285966.40625
4.9467556,273473.5
4.9490785,282605.21875
4.9514035,244873.84375
4.9537264,234283.5
4.9560493,258808.921875
4.9583743,243282.46875
4.9606972,240258.0625
4.9630221,253929.09375
4.965345,250737.5
4.967668,255904.109375
4.969993,231232.578125
4.9723158,228323.953125
4.9746387,261443.453125
4.9769637,225410.125
4.9792866,239552.328125
4.9816116,224917.15625
4.9839345,229308.328125
4.9862574,216192.578125
4.9885824,226375.578125
4.9933115,217808.875
5.0005157,197544.09375
5.0076447,211343.375
5.0220884,198979.6875
5.0292446,212091.734375
5.0373674,183035.828125
5.045557,185754.578125
5.0490528,188820.0625
5.0523527,206572.125
5.0555423,162719.65625
5.0603486,191902.890625
5.0673861,214658.828125
5.0707631,194693.03125
5.0740755,182370.40625
5.0772297,156503.296875
5.0805442,179109.484375
5.0851838,205057.9375
5.0883088,158008.59375
5.0956775,187528.734375
5.0987983,164911.984375
5.1021087,165205.796875
5.1054086,185900.296875
5.1125336,164554.53125
5.119669,186485.640625
5.1229689,162430
5.1300147,151625.265625
5.1333689,137670.03125
5.1364918,133616.421875
5.1398355,159346.03125
5.1431188,154990.53125
5.1502667,133929.25
5.1536604,125845.203125
5.156827,142391.046875
5.1684978,134640.578125
5.173304,123949.078125
5.1808769,150699.75
5.1916497,136135.796875
5.1948809,125386.9921875
5.203185,112850.734375
5.2150225,116931.78125
5.234564,123943.4375
5.2452014,146157.609375
5.2592638,112847.59375
5.2708429,106191.4453125
5.2814199,125827.78125
5.2862074,117999.8046875
5.2892365,97426.6171875
5.2998135,88530.2578125
5.3067947,98040.0078125
5.3100114,83576.3671875
5.314828,89519.6015625
5.3179217,97249.5234375
5.325105,66940.625
5.3282404,84114.359375
5.33288,92504.421875
5.3411341,85273.5
5.3446903,69938.4296875
5.3476465,73685.234375
5.3499694,83928.21875
5.3522944,74755.6796875
5.3546173,75772.5546875
5.359459,74883.15625
5.3628985,81408.2265625
5.3662214,80119.53125
5.369563,56768.84375
5.3729401,72879.4453125
5.3776296,69910.546875
5.3810463,61329.1484375
5.3843462,67274.140625
5.3891941,64117.05859375
5.3925941,55973.265625
5.39599,70005.8828125
5.3993461,58845.125
5.4016712,60994.90625
5.4039941,61340.6171875
5.406319,57916.16796875
5.4086419,57428.7265625
5.4109648,57697.98046875
5.4132898,63835.54296875
5.4156127,60619.4765625
5.4179356,52798.54296875
5.4202606,52973.98046875
5.4225835,64992.98046875
5.4268584,66727.03125
5.4300501,63172.828125
5.4382584,43989.6328125
5.4422459,49359.2734375
5.4453834,45258.5859375
5.4477062,54382.21484375
5.4500312,51856.171875
5.4523541,56161.95703125
5.454677,51784.4921875
5.457002,56883.0703125
5.4593249,50801.7109375
5.4616499,55389.91015625
5.4639728,60878.140625
5.4662957,58027.26953125
5.4686207,50328.85546875
5.4709436,55555.38671875
5.4732665,60142.38671875
5.4755914,51642.44140625
5.4779144,54282.94921875
5.4802393,55832.96484375
5.4825623,52904.7890625
5.4848852,54060
5.4872101,52135.7578125
5.489533,57869.6640625
5.4918559,0
5.4941809,43154.5625
5.4965038,46104.66796875
5.4988288,38975.59375
5.5038663,45627.30078125
5.5080726,44871.2890625
5.5125016,41797.69140625
5.5148245,49546.71484375
5.5171495,50252.83203125
5.5194724,44634.58203125
5.5217953,43429.94140625
5.5241203,42166.6171875
5.5264432,53048.65625
5.5287681,45593.3671875
5.5310911,43045.359375
5.533414,45224.015625
5.5357389,38086.46484375
5.5380618,39342.09375
5.5403847,49130.7109375
5.5427097,41350.1171875
5.547918,47277.8984375
5.5519993,46177.9765625
5.555393,44354.09765625
5.5577159,35556.390625
5.5600409,45776.359375
5.5623638,35830.80078125
5.5646867,41790.33203125
5.5670116,36855.19921875
5.5693345,40786.328125
5.5716574,42919.78515625
5.5739824,39918.73046875
5.5763053,0
5.5786303,44772.14453125
5.5809532,35316.4765625
5.5832761,41875.3203125
5.5856011,37216.6796875
5.587924,44112.31640625
5.5925469,39238.578125
5.5948698,45582.13671875
5.5971948,34875.0234375
5.5995177,39392.87109375
5.6047635,35849.68359375
5.6100322,41023.484375
5.6142196,41456.625
5.6174426,30742.458984375
5.6197654,42957.5
5.6220904,36590.80859375
5.6244133,34912.1953125
5.6267383,41279.109375
5.6290612,45165.140625
5.6313841,0
5.6337091,34782.30859375
5.636032,30833.986328125
5.6383549,40260.546875
5.6406799,44611.91015625
5.6430028,35197.48046875
5.6453278,28278.001953125
5.6476507,39366.5703125
5.6499736,0
5.6522985,40142.40234375
5.6546214,0
5.6569443,43398.9140625
5.6592693,38271.38671875
5.6615922,36571.8671875
5.6639172,28965.400390625
5.6662401,32350.060546875
5.668563,35893.28125
5.6738776,33146.7265625
5.6785443,0
5.6814754,39502.984375
5.6837983,37559.12109375
5.6861233,40553.078125
5.6884462,32026.271484375
5.6907691,32740.68359375
5.6930941,34689.57421875
5.695417,0
