CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_A6_GLCA_Dny_BSH1_48h.raw
Data points: 3016
Time(min),Relative Abundance
0.00375473,0
0.008315066,0
0.011485898,0
0.013808782,0
0.016131682,0
0.018456665,0
0.020779549,0
0.023104548,0
0.025427464,0
0.027750348,0
0.030075351,0
0.032398247,0
0.034721131,0
0.037046098,0
0.049362698,0
0.053602265,0
0.05592515,0
0.05824805,0
0.060573033,0
0.062895933,0
0.0652209,0
0.067543832,0
0.069866748,0
0.072191699,0
0.074514599,0
0.076837515,0
0.079162497,0
0.081485382,0
0.08381038,0
0.086133281,0
0.088456181,0
0.093295732,0
0.095620715,0
0.097943599,0
0.1002686,0
0.10259148,0
0.10491438,0
0.10723938,0
0.10956227,0
0.11188517,0
0.11421016,0
0.11653306,0
0.11885803,0
0.12118097,0
0.12350383,0
0.12582883,0
0.12815173,0
0.13047463,0
0.13279962,0
0.13512252,0
0.1374475,0
0.1397704,0
0.14209328,0
0.1444183,0
0.14674117,0
0.14906408,0
0.15138907,0
0.15371197,0
0.15603693,0
0.15835986,0
0.16068275,0
0.16300773,0
0.16533063,0
0.16765355,0
0.16997853,0
0.1723014,0
0.17713681,0
0.1794597,0
0.1817826,0
0.18410758,0
0.18643048,0
0.18875548,0
0.19107838,0
0.19340125,0
0.19572627,0
0.19804915,0
0.20037205,0
0.20269703,0
0.20501993,0
0.20734492,0
0.2128407,0
0.22177815,0
0.22601563,0
0.22833851,0
0.2306635,0
0.23298641,0
0.2353093,0
0.23763428,0
0.23995718,0
0.2422801,0
0.24460508,0
0.24692795,0
0.24925297,0
0.25157587,0
0.25389877,0
0.25622373,0
0.26106135,0
0.26338411,0
0.2657091,0
0.268032,0
0.27035488,0
0.27267988,0
0.27500278,0
0.27732568,0
0.27965066,0
0.28197358,0
0.28429853,0
0.28662147,0
0.28894435,0
0.29126933,0
0.29359223,0
0.29591513,0
0.29824013,0
0.300563,0
0.302888,0
0.30521088,0
0.3075338,0
0.3098588,0
0.31218167,0
0.31776496,0
0.32200035,0
0.32432326,0
0.32664823,0
0.32897115,0
0.33129405,0
0.33361901,0
0.33594195,0
0.33826481,0
0.34309812,0
0.34542311,0
0.34774601,0
0.35006891,0
0.3523939,0
0.35471678,0
0.3570397,0
0.3593647,0
0.36168758,0
0.36401255,0
0.36633545,0
0.37497082,0
0.37843953,0
0.38646033,0
0.405481,0
0.42212673,0
0.44215365,0
0.45934937,0
0.47484302,0
0.49305955,0
0.5058803,0
0.52113645,0
0.54013007,0
0.55805702,0
0.57712146,0
0.5952026,0
0.61456078,0
0.63168983,0
0.6495543,0
0.66693333,0
0.6839707,0
0.70095185,0
0.71786213,0
0.7352516,0
0.75188692,0
0.7703618,0
0.79146161,0
0.81067398,0
0.82989677,0
0.8490133,0
0.86997567,0
0.8861672,0
0.90523373,0
0.92437943,0
0.94073765,0
0.95998127,0
0.97910405,0
0.99838308,0
1.0175767,0
1.0395286,0
1.0576556,0
1.0754679,0
1.0947032,0
1.1166844,0
1.1349404,0
1.1542841,0
1.1735381,0
1.1955275,0
1.2145753,0
1.2331481,0
1.2524126,0
1.2743832,0
1.2936935,0
1.3129517,0
1.3322599,0
1.3516535,0
1.3708617,0
1.390047,0
1.408326,0
1.4276176,0
1.4494591,0
1.4671944,0
1.4864984,0
1.5035858,0
1.518644,0
1.5374397,0
1.5494959,0
1.5614875,0
1.5768498,0
1.5943393,0
1.6086913,0
1.6237037,0
1.6380223,0
1.6550222,0
1.672645,0
1.6878032,0
1.7029885,0
1.7176593,0
1.7317154,0
1.7469695,0
1.7623402,0
1.7760735,0
1.7917379,0
1.8094732,0
1.8268731,0
1.8411584,0
1.8571624,0
1.8701686,0
1.8830039,0
1.8992809,0
1.9139808,0
1.9253682,0
1.9412764,0
1.9585638,0
1.9748325,0
1.9911115,0
2.0104822,0
2.0319925,0
2.046609,0
2.0637902,0
2.0785609,0
2.0944754,0
2.1162461,0
2.1356459,0
2.1549958,0
2.1743206,0
2.1930955,0
2.2124079,0
2.2287702,0
2.2473284,0
2.2667325,0
2.2867553,0
2.306278,0
2.3259362,0
2.3455632,0
2.3675693,0
2.3856441,0
2.4024128,0
2.4212418,0
2.4434437,0
2.4628374,0
2.4791872,0
2.4989871,0
2.5183661,0
2.5406139,0
2.5601262,0
2.5796928,0
2.5994447,0
2.61898,0
2.6385382,0
2.6582006,0
2.6779213,0
2.7003877,0
2.7085606,0
2.7283084,0
2.7480833,0
2.7678664,0
2.7867892,0
2.8029891,0
2.8224807,0
2.8409222,0
2.8632824,0
2.8828073,0
2.9024863,0
2.9207237,0
2.9428694,0
2.9590589,0
2.97849,0
2.998144,0
3.0098314,0
3.0286042,0
3.044902,0
3.0626685,0
3.0825996,0
3.0988579,0
3.1153265,0
3.1318972,0
3.1484805,0
3.1515617,0
3.1597949,0
3.1793177,0
3.2017009,0
3.2213653,0
3.2411527,0
3.2458589,0
3.265715,0
3.2739712,0
3.277542,0
3.2939252,0
3.301996,0
3.3067356,0
3.3104939,0
3.3138355,0
3.3185793,0
3.3222834,0
3.3256563,0
3.3279813,0
3.3303042,0
3.3326271,0
3.334952,0
3.337275,0
3.3403457,0
3.3426687,0
3.3449916,0
3.3473166,0
3.3496395,0
3.3519644,0
3.3542873,0
3.3566102,0
3.3589352,0
3.3612581,0
3.363581,0
3.3720393,0
3.3791767,0
3.382935,0
3.3860288,0
3.3941829,0
3.39761,0
3.4009745,0
3.4042828,0
3.4074015,0
3.412114,0
3.4157577,0
3.4189285,0
3.4235681,0
3.4275014,0
3.430593,0
3.4386638,0
3.4433679,0
3.4473013,0
3.4504804,0
3.4528033,0
3.4551262,0
3.4574512,0
3.4597741,0
3.4620991,0
3.4739948,0
3.4776865,0
3.4810239,0
3.4891947,0
3.4926885,0
3.4959905,0
3.5041467,0
3.5075821,0
3.5114216,0
3.5161633,0
3.5231695,0
3.5302465,0
3.5337486,0
3.537034,0
3.5488464,0
3.5520735,0
3.5553818,0
3.5635859,0
3.5705858,0
3.5738129,0
3.5772004,0
3.5805211,0
3.5836712,0
3.5870565,0
3.594419,0
3.5979544,0
3.6013418,0
3.6060314,0
3.6130688,0
3.6177084,0
3.6247479,0
3.6318458,0
3.6389353,0
3.6435749,0
3.6543311,0
3.6578685,0
3.6612789,0
3.6636018,0
3.6659247,0
3.6682497,0
3.6705726,0
3.6728955,0
3.6769017,0
3.6792246,0
3.6815475,0
3.6838725,0
3.6861954,0
3.6913183,0
3.6953579,0
3.6988037,0
3.7011265,0
3.7034515,0
3.7057744,0
3.7080994,0
3.7104223,0
3.7127452,0
3.7150702,0
3.7173931,0
3.719716,0
3.7247868,0
3.7286743,0
3.7318847,0
3.7342076,0
3.7390513,0
3.7429033,0
3.74622,0
3.754497,0
3.7581949,0
3.7690469,0
3.7796468,0
3.7878363,0
3.7924759,0
3.7958488,0
3.7991842,0
3.8022738,0
3.8045987,0
3.8069216,0
3.8117029,0
3.8163424,0
3.8197966,0
3.8229674,0
3.8263111,0
3.829384,0
3.8376048,0
3.8446901,0
3.8484047,0
3.8514359,0
3.8631129,0
3.8771774,0
3.8854148,0
3.8993773,0
3.9064459,0
3.9204937,0
3.9402978,0
3.9476623,0
3.9510644,0
3.9544414,0
3.9576747,0
3.9657455,0
3.9692893,0
3.9724622,0
3.9747871,0
3.9829329,0
3.9875725,0
3.9911724,0
3.9943432,0
3.9990974,0
4.0027078,0
4.0059265,0
4.0082515,0
4.0105744,0
4.0128973,0
4.0152223,0
4.0175452,0
4.0198701,0
4.022193,0
4.0245159,0
4.0268409,0
4.0291638,0
4.0314867,0
4.0338117,0
4.0361346,0
4.0384596,0
4.0407825,0
4.0431054,0
4.0454304,0
4.0477533,0
4.0525887,0
4.0564428,0
4.0595241,0
4.0618469,0
4.0641719,0
4.0664948,0
4.0712927,0
4.0749343,0
4.0782031,0
4.0805259,0
4.0852614,0
4.0889405,0
4.0927842,0
4.0951092,0
4.0974321,0
4.099755,0
4.10208,0
4.1044029,0
4.1067258,0
4.1090507,0
4.1136903,0
4.1172154,0
4.1205444,0
4.1252006,0
4.1287652,0
4.1368464,0
4.1406255,0
4.1437589,0
4.1460817,0
4.1484068,0
4.1507296,0
4.1590067,0
4.1636441,0
4.1707837,0
4.1744461,0
4.1782753,0
4.1864294,0
4.1899835,0
4.1932877,0
4.1964772,0
4.1988001,0
4.2011251,0
4.203448,0
4.2057709,0
4.2080959,0
4.2129459,0
4.2165792,0
4.2199021,0
4.2231104,0
4.2254333,0
4.2277583,0
4.2300812,0
4.232404,0
4.2372145,0
4.2407561,0
4.2441186,0
4.2464415,0
4.2487664,0
4.2510893,0
4.2534122,0
4.2557372,0
4.2595872,0
4.2619101,0
4.2642351,0
4.266558,0
4.2688809,0
4.2770871,0
4.2807245,0
4.2853641,0
4.2887912,0
4.2921432,0
4.2954765,0
4.298639,0
4.3032827,0
4.3069431,0
4.3101077,0
4.3124326,0
4.3147556,0
4.3195056,0
4.3232034,0
4.3263493,0
4.3286721,0
4.3333158,0
4.3381304,0
4.3421867,0
4.3450762,0
4.3473991,0
4.3497241,0
4.352047,0
4.3543699,0
4.3566949,0
4.3590177,0
4.3613407,0
4.3636656,0
4.3659885,0
4.3683135,0
4.3706364,0
4.3729593,0
4.3752843,0
4.3870176,0
4.3941717,0
4.4013258,0
4.4083924,0
4.4117945,0
4.4149799,0
4.418234,0
4.4264215,0
4.4340339,0
4.4370901,0
4.4402964,0
4.4435068,0
4.4465713,0
4.4497525,0
4.4579233,0
4.4650649,0
4.4757232,0
4.4874481,0
4.4991209,0
4.5107583,0
4.5142208,0
4.5173292,0
4.5278478,0
4.5311332,0
4.5382624,0
4.5415748,0
4.5485685,0
4.5519101,0
4.5550997,0
4.5584413,0
4.561758,0
4.5665455,0
4.5697704,0
4.5744912,0
4.57791,0
4.5810391,0
4.5857453,0
4.5904516,0
4.5940786,0
4.6023827,0
4.6095681,0
4.6127868,0
4.6161847,0
4.6210326,0
4.6256742,0
4.6289013,0
4.6337054,0
4.644422,0
4.658549,0
4.6666385,0
4.6772363,0
4.6934258,0
4.7052632,0
4.7157715,0
4.7275756,0
4.7306901,0
4.7339255,0
4.7371526,0
4.740213,0
4.7434463,0
4.7465296,0
4.7497921,0
4.7530171,0
4.7565191,0
4.7594191,0
4.7641733,0
4.7673128,0
4.772069,0
4.7769086,0
4.780219,0
4.7833543,0
4.7881981,0
4.7914939,0
4.7996397,0
4.8029771,0
4.806275,0
4.8144291,0
4.8177645,0
4.8209333,0
4.8242853,0
4.8276769,0
4.8323165,0
4.8393456,0
4.8430768,0
4.8460289,0
4.8506726,0
4.8540976,0
4.8574976,0
4.8608559,0
4.8631809,0
4.8655038,0
4.8678267,0
4.8701517,0
4.8724746,0
4.8747975,0
4.8771224,0
4.8794453,0
4.8817703,0
4.8840932,0
4.8864161,0
4.8887411,0
4.891064,0
4.8933869,0
4.8957119,0
4.8980348,0
4.9003598,0
4.9026827,0
4.9050056,0
4.9098243,0
4.9137034,0
4.9167513,0
4.9190742,0
4.9213971,0
4.9254033,0
4.9277262,0
4.9300512,0
4.9323741,0
4.934697,0
4.937022,0
4.9393449,0
4.9416699,0
4.9439928,0
4.9463157,0
4.9486407,0
4.9509636,0
4.9532865,0
4.9556115,0
4.9579344,0
4.9602573,0
4.9651885,0
4.9692427,0
4.9725572,0
4.9748822,0
4.9772051,0
4.979528,0
4.981853,0
4.9841758,0
4.9865009,0
4.9888237,0
4.9911466,0
4.9934716,0
4.9957945,0
4.9981174,0
5.0099215,0
5.0207652,0
5.0254048,0
5.0360547,0
5.0395484,0
5.0427796,0
5.0475171,0
5.054665,0
5.0652586,0
5.0724065,0
5.0758065,0
5.0791252,0
5.0839293,0
5.0871001,0
5.0906543,0
5.0937709,0
5.0970896,0
5.1003917,0
5.1035334,0
5.10685,0
5.1115395,0
5.1147646,0
5.1180728,0
5.1213728,0
5.1245624,0
5.1278644,0
5.132504,0
5.1395331,0
5.142931,0
5.1461434,0
5.150933,0
5.154383,0
5.1575184,0
5.16581,0
5.1692725,0
5.1766349,0
5.1874119,0
5.1956015,0
5.2072368,0
5.2144388,0
5.2214637,0
5.22627,0
5.2369491,0
5.244074,0
5.251099,0
5.2559052,0
5.2589531,0
5.2660468,0
5.2690863,0
5.2762801,0
5.2793238,0
5.2899654,0
5.2931758,0
5.300259,0
5.3082861,0
5.3116111,0
5.3149152,0
5.3180298,0
5.3213193,0
5.3246568,0
5.3277922,0
5.3325484,0
5.3359004,0
5.3395233,0
5.3441629,0
5.3476025,0
5.3524441,0
5.355892,0
5.3592274,0
5.3639169,0
5.3674273,0
5.372069,0
5.3754919,0
5.3787939,0
5.3820043,0
5.3843272,0
5.3866522,0
5.3889751,0
5.3913001,0
5.393623,0
5.3959459,0
5.3982709,0
5.4005937,0
5.4029187,0
5.4052416,0
5.4075645,0
5.4098895,0
5.4122124,0
5.4145353,0
5.4168603,0
5.4191832,0
5.4215061,0
5.4238311,0
5.426154,0
5.428479,0
5.4308019,0
5.4331248,0
5.4354498,0
5.4377726,0
5.4400955,0
5.4424205,0
5.4447434,0
5.4470684,0
5.4493913,0
5.4517142,0
5.4540392,0
5.4563621,0
5.458685,0
5.46101,0
5.4633329,0
5.4656579,0
5.4679808,0
5.4703037,0
5.475462,0
5.4796662,0
5.4828495,0
5.4851744,0
5.4874973,0
5.4898223,0
5.4921452,0
5.4944681,0
5.4967931,0
5.499116,0
5.5014389,0
5.5037639,0
5.5060868,0
5.5093951,0
5.5145784,0
5.5187721,0
5.5221116,0
5.5244346,0
5.5267595,0
5.5290824,0
5.5342907,0
5.5386032,0
5.543849,0
5.547949,0
5.551301,0
5.553626,0
5.5559489,0
5.5582718,0
5.5605968,0
5.5629197,0
5.5652426,0
5.5675676,0
5.5698905,0
5.5722155,0
5.5745384,0
5.5768613,0
5.5791862,0
5.5815091,0
5.583832,0
5.586157,0
5.5884799,0
5.5932008,0
5.5955257,0
5.5978486,0
5.6001715,0
5.6024965,0
5.6048194,0
5.6071444,0
5.6094673,0
5.6117902,0
5.6141152,0
5.6164381,0
5.618761,0
5.621086,0
5.6234088,0
5.6257338,0
5.6280567,0
5.6303796,0
5.6327046,0
5.6350275,0
5.6373504,0
5.6396754,0
5.6451045,0
5.6491775,0
5.6515024,0
5.6538253,0
5.6561503,0
5.6584732,0
5.6607961,0
5.6631211,0
5.665444,0
5.6677669,0
