CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_A8_GCDCA_Dny_BSH1_48h.raw
Data points: 3040
Time(min),Relative Abundance
0.003712983,0
0.00831288,0
0.011462882,0
0.013785763,0
0.016108663,0
0.01843365,0
0.020756566,0
0.023079466,0
0.025404448,0
0.027727349,0
0.030052315,0
0.032375247,0
0.034698116,0
0.037023098,0
0.049339663,0
0.053573015,0
0.0558959,0
0.05821878,0
0.060543763,0
0.062866683,0
0.065191665,0
0.067514566,0
0.069837446,0
0.072162433,0
0.074485349,0
0.076810315,0
0.079133232,0
0.081456132,0
0.08378113,0
0.086104031,0
0.088426883,0
0.093264464,0
0.095589363,0
0.097912263,0
0.10023727,0
0.10256015,0
0.10488307,0
0.10720803,0
0.10953093,0
0.11185385,0
0.1141788,0
0.11650172,0
0.1188267,0
0.1211496,0
0.1234725,0
0.12579748,0
0.12812038,0
0.13044328,0
0.13276828,0
0.13509115,0
0.13741407,0
0.13973906,0
0.14206195,0
0.14438693,0
0.14670985,0
0.14903275,0
0.15135771,0
0.15368063,0
0.15600351,0
0.1583285,0
0.1606514,0
0.16297638,0
0.1652993,0
0.16762218,0
0.1699472,0
0.17227005,0
0.17710963,0
0.17943251,0
0.18175751,0
0.18408041,0
0.18640331,0
0.18872828,0
0.1910512,0
0.19337616,0
0.19569906,0
0.19802198,0
0.20034695,0
0.20266987,0
0.20499275,0
0.20731773,0
0.21281561,0
0.22174268,0
0.22598226,0
0.22830512,0
0.23063006,0
0.232953,0
0.23527588,0
0.23760085,0
0.23992377,0
0.24224665,0
0.24457165,0
0.24689455,0
0.24921747,0
0.25154243,0
0.25386533,0
0.2561903,0
0.26102363,0
0.26334858,0
0.26567151,0
0.26799648,0
0.27031938,0
0.27264228,0
0.27496726,0
0.27729016,0
0.27961305,0
0.28193805,0
0.28426095,0
0.28658593,0
0.28890883,0
0.29123173,0
0.29355671,0
0.29587963,0
0.29820253,0
0.30052748,0
0.3028504,0
0.30517538,0
0.30749828,0
0.30982118,0
0.31214617,0
0.31446907,0
0.31679196,0
0.31911697,0
0.32143985,0
0.32376483,0
0.32608773,0
0.32841063,0
0.33073562,0
0.33305852,0
0.33538145,0
0.33770638,0
0.34254188,0
0.3448647,0
0.34718968,0
0.34951256,0
0.35183755,0
0.35416045,0
0.35648336,0
0.35880835,0
0.36113125,0
0.36345415,0
0.36577911,0
0.36810201,0
