CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B10_GCA_Dny_BSH2_48h.raw
Data points: 2907
Time(min),Relative Abundance
0.003714986,0
0.008346183,0
0.011494067,0
0.013819018,0
0.016141918,0
0.018464819,0
0.020789785,0
0.023112702,0
0.025435618,0
0.0277606,0
0.030083485,0
0.032408483,0
0.034731383,0
0.037054252,0
0.049316684,0
0.053545816,0
0.055868716,0
0.058193683,0
0.060516603,0
0.062839519,0
0.065164502,0
0.067487386,0
0.069810302,0
0.072135253,0
0.074458169,0
0.076783167,0
0.079106068,0
0.081428984,0
0.083753951,0
0.086076851,0
0.088399751,0
0.093237216,0
0.095560101,0
0.097885083,0
0.10345172,0
0.10752253,0
0.10984542,0
0.11217042,0
0.11449332,0
0.1168162,0
0.1191412,0
0.1214641,0
0.12378908,0
0.12611197,0
0.12843488,0
0.13075987,0
0.13308277,0
0.13540567,0
0.13773065,0
0.14005355,0
0.14237855,0
0.14470144,0
0.14702433,0
0.14934932,0
0.15167222,0
0.1539951,0
0.1563201,0
0.158643,0
0.16096798,0
0.16329089,0
0.1656138,0
0.16793877,0
0.17026165,0
0.17258458,0
0.17741372,0
0.17973662,0
0.18205952,0
0.18438448,0
0.1867074,0
0.18903028,0
0.19135525,0
0.19367817,0
0.19600315,0
0.19832607,0
0.20064895,0
0.20297393,0
0.20529683,0
0.20761972,0
0.2131176,0
0.2219988,0
0.2262342,0
0.22855707,0
0.23088207,0
0.23320498,0
0.23552787,0
0.23785285,0
0.24017575,0
0.24249865,0
0.24482363,0
0.24714653,0
0.24947154,0
0.25179443,0
0.2541173,0
0.25895487,0
0.26127977,0
0.2636027,0
0.26592557,0
0.26825055,0
0.27057347,0
0.27289635,0
0.27522134,0
0.27754427,0
0.27986923,0
0.28219212,0
0.28451503,0
0.28684002,0
0.28916292,0
0.2914858,0
0.2938108,0
0.29613368,0
0.29845868,0
0.30078158,0
0.30310448,0
0.30542947,0
0.30775237,0
0.31007527,0
0.31240025,0
0.31472315,0
0.31704812,0
0.322596,0
0.3266585,0
0.3289814,0
0.33130639,0
0.33362925,0
