CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B11_BHI_50MeOH.raw
Data points: 2855
Time(min),Relative Abundance
0.003716615,0
0.008347832,0
0.011495681,0
0.013820631,0
0.016143548,0
0.018468514,0
0.02079143,0
0.023114331,0
0.025439313,0
0.027762214,0
0.030085114,0
0.032410096,0
0.034732981,0
0.037055881,0
0.045934982,0
0.050168331,0
0.052493297,0
0.054816198,0
0.057141164,0
0.05946408,0
0.061786949,0
0.067370263,0
0.071597349,0
0.073920229,0
0.07624313,0
0.078568096,0
0.080891016,0
0.083215983,0
0.085538863,0
0.087861779,0
0.092705515,0
0.0950284,0
0.097351316,0
0.099676298,0
0.10199918,0
0.10432417,0
0.10664708,0
0.10896998,0
0.11129496,0
0.11361785,0
0.11594076,0
0.11826575,0
0.12058865,0
0.12291365,0
0.12523651,0
0.12755941,0
0.12988441,0
0.13220731,0
0.13453023,0
0.13685518,0
0.1391781,0
0.14150306,0
0.14382598,0
0.14614886,0
0.14847388,0
0.15079677,0
0.15311968,0
0.15544465,0
0.15776753,0
0.16009045,0
0.16241542,0
0.16473832,0
0.16706331,0
0.16938622,0
0.17170912,0
0.17655077,0
0.17887363,0
0.18119863,0
0.18352153,0
0.18584443,0
0.18816943,0
0.19049233,0
0.1928173,0
0.1951402,0
0.1974631,0
0.19978806,0
0.202111,0
0.20443388,0
0.20675885,0
0.21225465,0
0.21775253,0
0.22198168,0
0.22430458,0
0.22662955,0
0.22895246,0
0.23127535,0
0.23682531,0
0.24089206,0
0.24321485,0
0.24553985,0
0.24786273,0
0.25018566,0
0.25251061,0
0.25483353,0
0.25967308,0
0.26199598,0
0.26431888,0
0.26664387,0
0.26896677,0
0.27128968,0
0.27361465,0
0.27593756,0
0.27826253,0
0.28058545,0
0.28290833,0
0.2852333,0
0.28755621,0
0.28987911,0
0.29220411,0
0.29452701,0
0.296852,0
0.2991749,0
0.30149778,0
0.30382276,0
0.30614568,0
0.30846856,0
0.31079358,0
0.31311648,0
0.31544145,0
0.31776433,0
0.32008725,0
0.32241222,0
0.32473513,0
0.32705803,0
0.32938303,0
0.33170592,0
0.3340309,0
0.3363538,0
0.33867668,0
0.3435225,0
0.34584542,0
0.34817038,0
0.35049326,0
0.35281618,0
0.35514115,0
0.35746407,0
0.35978903,0
0.36211195,0
0.36443485,0
0.36675982,0
0.37493478,0
0.38872425,0
0.40775535,0
0.42579276,0
0.44604466,0
0.46374455,0
0.47959443,0
0.49806096,0
0.51710041,0
0.53616903,0
0.55523973,0
0.57427085,0
0.58892492,0
0.60160608,0
0.61781638,0
0.63484125,0
0.65304321,0
0.67054516,0
0.68958463,0
0.70188246,0
0.71957606,0
0.73838843,0
0.75243626,0
0.76701535,0
0.78226313,0
0.8007526,0
0.81763372,0
0.83453151,0
0.85247306,0
0.87092708,0
0.89006238,0
0.90909973,0
0.92828087,0
0.94977445,0
0.96895765,0
0.9881846,0
1.0074282,0
1.0274677,0
1.0456321,0
1.0642507,0
1.0834589,0
1.1026255,0
1.1207837,0
1.1400773,0
1.1593709,0
1.1785166,0
1.2002519,0
1.2178746,0
1.2359724,0
1.255264,0
1.2771638,0
1.2963158,0
1.3156406,0
1.3349488,0
1.3541841,0
1.3760923,0
1.3954817,0
1.4147566,0
1.4338856,0
1.4536042,0
1.4724562,0
1.4894602,0
1.5075684,0
1.5236308,0
1.5379495,0
1.5517598,0
1.5640952,0
1.5760513,0
1.5889304,0
1.603299,0
1.6166343,0
1.6281843,0
1.6442571,0
1.6608444,0
1.6748339,0
1.6905963,0
1.7046462,0
1.7210503,0
1.7362231,0
1.75155,0
1.7684458,0
1.786704,0
1.8001393,0
1.8135642,0
1.8304016,0
1.8462119,0
1.8591347,447963.40625
1.8726325,0
1.8878033,0
1.9001719,0
1.9120093,0
1.9282884,327192.90625
1.9408633,341106.46875
1.9569486,853282.125
1.9724277,1175394
1.9883317,1088005.125
2.0055608,0
2.0258648,359179
2.0421168,0
2.0578458,0
2.0747124,0
2.0895435,0
2.1094663,0
2.1288474,0
2.1481014,0
2.1658034,0
2.1840053,0
2.2027448,0
2.2197801,0
2.2353842,0
2.2537986,0
2.2736547,0
2.2931775,0
2.3112815,0
2.3306293,0
2.3503,0
2.3708123,0
2.3867768,0
2.4059621,0
2.4254578,0
2.4472806,0
2.4629409,0
2.4827678,0
2.5020593,0
2.5214072,0
2.5437549,0
2.563536,0
2.5832567,0
2.6028149,0
2.6248481,0
2.6446771,0
2.6642707,0
2.6838435,0
2.7061954,0
2.7259953,0
2.7456806,0
2.7654388,0
2.7876719,0
2.8072301,0
2.8265571,0
2.8460278,0
2.8683047,0
2.8876733,0
2.9072336,0
2.9248168,0
2.9403708,0
2.960002,0
2.9793935,0
2.998935,0
3.0184995,0
3.0408993,0
3.0587346,0
3.0784428,0
3.0979572,0
3.1060613,0
3.1259841,0
3.1458632,0
3.1540839,0
3.1735609,0
3.1947232,0
3.2141897,0
3.233775,0
3.2534561,0
3.2642915,0
3.2726143,0
3.2842059,0
3.295758,0
3.306262,0
3.3180328,0
3.321489,0
3.3248202,0
3.3279265,0
3.3362306,0
3.3399055,0
3.3437951,0
3.3461201,0
3.3508826,0
3.354318,0
3.3576033,0
3.3622908,0
3.3656283,0
3.3688866,0
3.3722407,0
3.388524,0
3.3916406,0
3.4032635,0
3.4064634,0
3.4144946,0
3.4179071,0
3.4211987,0
3.4285653,0
3.4320424,0
3.4352341,0
3.4386215,0
3.4418861,0
3.4450611,0
3.447386,0
3.4557402,0
3.4593338,0
3.4674276,0
3.470788,0
3.47404,0
3.4771775,0
3.4853649,0
3.4970565,0
3.5003794,0
3.5109481,0
3.5253147,0
3.5358792,0
3.5465604,0
3.5604873,0
3.5710935,0
3.574331,0
3.5824705,0
3.5857538,0
3.5932559,0
3.5978954,0
3.6012266,0
3.6043829,0
3.6077016,0
3.6238577,0
3.6270306,0
3.6469284,0
3.6551325,0
3.6584012,0
3.6617553,0
3.6651054,0
3.6683074,0
3.6706303,0
3.6729553,0
3.6840865,0
3.6877614,0
3.6910051,0
3.6994468,0
3.7033717,0
3.7065738,0
3.7113654,0
3.7184779,0
3.7221779,0
3.7254528,0
3.7336403,0
3.7442402,0
3.7558797,0
3.7633421,0
3.7714838,0
3.7785962,0
3.7818566,0
3.7888857,0
3.7919961,0
3.7953002,0
3.7985502,0
3.803194,0
3.8102877,0
3.8173668,0
3.8279354,0
3.8360583,0
3.8501228,0
3.8645623,0
3.8750622,0
3.8946683,0
3.8994287,0
3.9190827,0
3.9351638,0
3.9467513,0
3.9500471,0
3.9571283,0
3.9604533,0
3.9638241,0
3.9670219,0
3.9831948,0
3.986451,0
3.9896885,0
3.9978967,0
4.0012822,0
4.0046425,0
4.0083425,0
4.0113362,0
4.0160925,0
4.0231966,0
4.0266528,0
4.0299715,0
4.0382256,0
4.041659,0
4.0450297,0
4.0482256,0
4.0505485,0
4.0528735,0
4.0551963,0
4.0575213,0
4.0598442,0
4.0714129,0
4.0747046,0
4.078017,0
4.0812858,0
4.0845961,0
4.0893524,0
4.0967127,0
4.1001252,0
4.1034606,0
4.1081001,0
4.1114085,0
4.1147459,0
4.1194022,0
4.1227459,0
4.1261125,0
4.1294896,0
4.132602,0
4.1408228,0
4.149002,0
4.1524956,0
4.1557477,0
4.1605373,0
4.1687872,0
4.1759205,0
4.1834329,0
4.1881892,0
4.1952412,0
4.1985662,0
4.2017224,0
4.2064119,0
4.2098099,0
4.2129619,0
4.2177015,0
4.2211264,0
4.2244473,0
4.2278076,0
4.2311743,0
4.2343222,0
4.2366451,0
4.238968,0
4.2412929,0
4.2436158,0
4.2484096,0
4.2518929,0
4.2550345,0
4.2573595,0
4.2596824,0
4.2712198,0
4.2746698,0
4.2793094,0
4.2827135,0
4.2860197,0
4.289378,0
4.2925009,0
4.2958425,0
4.3005134,0
4.3076446,0
4.3111529,0
4.3157924,0
4.3191778,0
4.3224882,0
4.3256215,0
4.3304111,0
4.3340027,0
4.3374048,0
4.3449172,0
4.3485338,0
4.3516338,0
4.3564234,0
4.3600338,0
4.37174,0
4.3788941,0
4.3896023,0
4.3967356,0
4.4107793,0
4.417923,0
4.4321312,0
4.4465769,0
4.4625206,0
4.4732101,0
4.4837808,0
4.4920495,0
4.5081515,0
4.5226097,0
4.5365284,0
4.5471762,0
4.554172,0
4.5647803,0
4.5755093,0
4.5836656,0
4.5942926,0
4.6087133,0
4.628509,0
4.6446901,0
4.6564984,0
4.6635941,0
4.6753503,0
4.6787086,0
4.6818252,0
4.6935606,0
4.7041689,0
4.7112605,0
4.7183646,0
4.7255041,0
4.7286353,0
4.7333916,0
4.7404832,0
4.7453227,0
4.7500477,0
4.7571726,0
4.7605914,0
4.7724205,0
4.7795162,0
4.7911412,0
4.807366,0
4.8189035,0
4.8220326,0
4.8292117,0
4.8325638,0
4.8372034,0
4.8406221,0
4.8443137,0
4.8473407,0
4.8521803,0
4.8557574,0
4.859099,0
4.8624615,0
4.865824,0
4.8689698,0
4.873726,0
4.8774155,0
4.8805531,0
4.882878,0
4.8852009,0
4.8899426,0
4.8935592,0
4.8966884,0
4.8990112,0
4.9037904,0
4.9071904,0
4.9106278,0
4.9153632,0
4.919009,0
4.9222423,0
4.9261798,0
4.9285048,0
4.9308277,0
4.9331527,0
4.9354756,0
4.9377985,0
4.9401234,0
4.9424463,0
4.9447692,0
4.9470942,0
4.9494171,0
4.9541109,0
4.9579546,0
4.9611358,0
4.9634608,0
4.9657837,0
4.9681066,0
4.9704316,0
4.9727545,0
4.9812023,0
4.9893398,0
4.9964272,0
5.0070167,0
5.0214124,0
5.0411332,0
5.0482477,0
5.0552768,0
5.0659809,0
5.0692163,0
5.07636,0
5.0795766,0
5.0902391,0
5.1008848,0
5.1113618,0
5.1184909,0
5.1217388,0
5.1263763,0
5.1294867,0
5.1327471,0
5.135895,0
5.1429929,0
5.1463387,0
5.1496303,0
5.1614052,0
5.1720885,0
5.1831676,0
5.1992591,0
5.2109549,0
5.2214965,0
5.2285881,0
5.2368297,0
5.2510379,0
5.2581816,0
5.2691003,0
5.2774982,0
5.288221,0
5.2999459,0
5.3115041,0
5.3162604,0
5.3195187,0
5.3277395,0
5.3310686,0
5.3344061,0
5.3391602,0
5.3428768,0
5.3458685,0
5.3542351,0
5.357683,0
5.3623226,0
5.365558,0
5.3689954,0
5.373687,0
5.377085,0
5.3802474,0
5.3825703,0
5.3848953,0
5.3872182,0
5.3895411,0
5.3918661,0
5.394189,0
5.3965119,0
5.3988369,0
5.4036598,0
5.4073743,0
5.4106889,0
5.4130138,0
5.4153368,0
5.4176597,0
5.4199846,0
5.4223075,0
5.4246325,0
5.4269554,0
5.4292783,0
5.4316033,0
5.4339262,0
5.4362491,0
5.4385741,0
5.440897,0
5.443222,0
5.4455449,0
5.4478678,0
5.4501928,0
5.4525157,0
5.4548386,0
5.4571635,0
5.4594864,0
5.4618114,0
5.4641343,0
5.4664573,0
5.4687822,0
5.4738468,0
5.4778697,0
5.48123,0
5.483555,0
5.4858779,0
5.4882008,0
5.4905258,0
5.4956321,0
5.499857,0
5.503282,0
5.505607,0
5.5100799,0
5.5124027,0
5.5147256,0
5.5170506,0
5.5193736,0
5.5216985,0
5.5240214,0
5.5263443,0
5.5315297,0
5.5357568,0
5.5390192,0
5.5413421,0
5.543665,0
5.54599,0
5.5483129,0
5.5506379,0
5.5529608,0
5.5584129,0
5.562665,0
5.5659607,0
5.5682836,0
5.5706086,0
5.5729315,0
5.5752565,0
5.5775794,0
5.5799023,0
5.5822273,0
5.5845502,0
5.586873,0
5.5891981,0
5.5940084,0
5.5963313,0
5.5986563,0
5.6009792,0
5.6033021,0
5.6056271,0
5.60795,0
5.610275,0
5.6125979,0
5.6149208,0
5.6172458,0
5.6195687,0
5.6218915,0
5.6242165,0
5.6265394,0
5.6288623,0
5.6311873,0
5.6335102,0
5.6358352,0
5.6381581,0
5.6436164,0
5.6478997,0
5.6502226,0
5.6525476,0
5.6548705,0
5.6571934,0
5.6595184,0
5.6650163,0
5.6692246,0
5.6715475,0
5.6738724,0
5.678712,0
5.6810349,0
5.6833599,0
5.6856828,0
5.6880078,0
5.6903307,0
5.6926536,0
5.6949786,0
5.6973014,0
5.7027244,0
5.7069847,0
5.7101618,0
5.7124847,0
5.7148076,0
5.7171326,0
5.7194555,0
5.7217805,0
5.7241034,0
5.7264262,0
5.7287512,0
5.7310741,0
5.733397,0
5.735722,0
5.7380449,0
5.7403699,0
5.7426928,0
5.7450157,0
5.7473407,0
5.7496636,0
5.7519907,0
5.7543156,0
5.7591157,0
5.7614406,0
5.7637635,0
5.7660864,0
5.7684113,0
5.7707343,0
5.7730592,0
5.7785488,0
5.7826093,0
5.7849321,0
5.787255,0
5.78958,0
5.7919029,0
5.7942278,0
5.7965508,0
5.7988736,0
5.8011986,0
5.8035215,0
5.8058444,0
5.8081694,0
5.8135611,0
5.8179069,0
5.8211527,0
5.8234756,0
5.8258005,0
5.8281234,0
5.8304463,0
5.8359442,0
5.8400546,0
5.844765,0
5.8470879,0
5.8494129,0
5.8517358,0
5.8540587,0
5.8563837,0
5.8587065,0
5.863994,0
5.8679815,0
5.8731856,0
5.8773731,0
5.8808043,0
5.8831293,0
5.8854522,0
5.8877772,0
5.8901001,0
5.892423,0
5.894748,0
5.8970709,0
5.8993938,0
5.9017187,0
5.9040417,0
5.9063666,0
5.9086895,0
5.9110124,0
5.9133374,0
5.9156603,0
5.9179832,0
5.9203082,0
5.9226394,0
5.9273936,0
5.9297186,0
5.9320415,0
5.9343644,0
5.9366894,0
5.9390122,0
5.9413372,0
5.9436601,0
5.945983,0
5.948308,0
5.9506309,0
5.9529538,0
5.9552788,0
5.9576017,0
5.9599267,0
5.9622496,0
5.9645725,0
5.9668975,0
5.9692204,0
5.9715433,0
5.9738682,0
5.9761911,0
5.978514,0
5.9837995,0
5.9881432,0
5.9914077,0
5.9937327,0
5.9960556,0
5.9983806,0
6.0007035,0
6.0061847,0
6.0110201,0
6.0133451,0
6.015668,0
6.0179909,0
6.0203159,0
6.0226387,0
6.0249616,0
6.0272866,0
6.0296095,0
6.0319345,0
6.0342574,0
6.0365803,0
6.041824,0
6.0461115,0
6.0491594,0
6.0514823,0
6.0566947,0
6.0609218,0
6.0640093,0
6.0691363,0
6.0732821,0
6.076603,0
6.0789279,0
6.0874112,0
6.0913695,0
6.0957487,0
6.0980736,0
6.1003965,0
6.1027215,0
6.1050444,0
6.1073673,0
6.1096923,0
6.1120152,0
6.1143402,0
6.1166631,0
6.118986,0
6.121311,0
6.1236339,0
6.1259568,0
6.1282817,0
6.1306046,0
6.1329296,0
6.1352525,0
6.1375754,0
6.1399004,0
6.1422233,0
6.1445462,0
6.1468712,0
6.1491941,0
6.1543691,0
6.1585482,0
6.1617149,0
6.1640378,0
6.1663606,0
6.1686856,0
6.1710085,0
6.1789335,0
6.1829564,0
6.186223,0
6.188548,0
6.1908709,0
6.1931938,0
6.1955188,0
6.1978417,0
6.2001646,0
6.2024896,0
6.2048125,0
6.2071374,0
6.2123062,0
6.2165124,0
6.2197165,0
6.2220394,0
6.2243623,0
6.2266873,0
6.2290102,0
6.2313331,0
6.2336581,0
6.235981,0
6.238306,0
6.2406289,0
6.2429518,0
6.2452768,0
6.2475997,0
6.2499225,0
6.2522475,0
6.2545704,0
6.2591537,0
6.2614787,0
6.2638016,0
6.2661245,0
6.2714724,0
6.2756057,0
6.2786244,0
6.2809473,0
6.2860952,0
6.2904764,0
6.2934889,0
6.2958118,0
6.2981368,0
6.3004597,0
6.3027847,0
6.3051076,0
6.3074305,0
6.3097555,0
6.3120784,0
6.3144013,0
6.3167263,0
6.3190491,0
6.3244012,0
6.3284824,0
6.3317241,0
6.334049,0
6.336372,0
6.3386969,0
6.343297,0
6.3485823,0
6.3525719,0
6.3559572,0
6.3582822,0
6.3606051,0
6.362928,0
6.365253,0
6.3675759,0
6.3698988,0
6.37513,0
6.3792259,0
6.3844091,0
6.3886174,0
6.3919049,0
6.3942299,0
6.3965528,0
6.3988778,0
6.4012007,0
6.4035235,0
6.4058485,0
6.4081714,0
6.4104944,0
6.4128193,0
6.4151422,0
6.4174672,0
6.4197901,0
6.422113,0
6.4265485,0
6.4288734,0
6.4311963,0
6.4335192,0
6.4358442,0
6.4381671,0
6.4404899,0
6.4428149,0
6.4451378,0
6.4474608,0
6.4497857,0
6.4521086,0
6.4544336,0
6.4567565,0
6.4590794,0
6.4614044,0
6.4637273,0
6.4660502,0
6.4683752,0
6.4736314,0
6.4778918,0
6.4809605,0
6.4832834,0
6.4856084,0
6.4879313,0
6.4931834,0
6.4972333,0
6.4995562,0
6.5018791,0
6.5042041,0
6.5088062,0
6.5111311,0
6.513454,0
6.518704,0
6.522802,0
6.5260852,0
6.5284102,0
6.5307331,0
6.5330581,0
6.535381,0
6.5377039,0
6.5400288,0
6.5423517,0
6.5446747,0
6.5469996,0
6.55221,0
6.556283,0
6.5596683,0
6.5619933,0
6.5643162,0
6.5666391,0
6.5689641,0
6.571287,0
6.5736099,0
6.5759349,0
6.5782577,0
6.5805827,0
6.5829056,0
6.5852285,0
6.5875535,0
6.5921514,0
6.5944764,0
6.5967993,0
6.5991243,0
6.6014472,0
6.6037701,0
6.606095,0
6.608418,0
6.6107408,0
6.6130658,0
6.6153887,0
6.6177137,0
6.6200366,0
6.6223595,0
6.6246845,0
6.6270074,0
6.6293303,0
6.6316553,0
6.6339782,0
6.6363032,0
6.6386261,0
6.640949,0
6.6432739,0
6.6455969,0
6.6479197,0
6.6502448,0
6.6525676,0
6.6548926,0
6.6572155,0
6.6623863,0
6.6666488,0
6.6699675,0
6.6722925,0
6.6767072,0
6.679032,0
6.6813549,0
6.6836799,0
6.6922715,0
6.6964153,0
6.6996361,0
6.7019589,0
6.7042818,0
6.7066068,0
6.7089297,0
6.7112547,0
6.7135776,0
6.7159005,0
6.7209838,0
6.7251859,0
6.7285921,0
6.730915,0
6.73324,0
6.7355629,0
6.7378879,0
6.7402108,0
6.7425337,0
6.7448586,0
6.7471816,0
6.7495045,0
6.7518294,0
6.7541523,0
6.758596,0
6.760919,0
6.7632439,0
6.7655668,0
6.7678897,0
6.7702147,0
6.7725376,0
6.7748626,0
6.7771855,0
6.7795084,0
6.7818334,0
6.7841563,0
6.7864792,0
6.7888042,0
6.7911271,0
6.793452,0
6.795775,0
6.7980978,0
6.8004228,5336.1611328125
6.8027457,0
6.8050686,0
6.8073936,0
6.8097165,0
6.8120415,0
6.8143644,0
6.8166873,0
6.8190123,0
6.8213352,0
6.8236581,0
6.8259831,0
6.828306,0
6.8334622,0
6.8374517,0
6.8419309,0
6.8442538,0
6.8465767,0
6.8489017,0
6.8512245,0
6.8535475,0
6.8586766,0
6.862835,0
6.8662057,0
6.8685286,0
6.8708536,0
6.8731765,0
6.8755015,0
6.8778244,0
6.8801473,0
6.8852576,0
6.8903222,0
6.8945388,0
6.8975659,0
6.8998888,0
6.9022117,0
6.9045367,0
6.9068596,0
6.9091825,0
6.9115075,0
6.9138304,0
6.9161554,0
6.9184783,0
6.9208011,0
6.9251949,0
6.9275178,0
6.9298407,0
6.9321657,0
6.9344886,0
6.9368135,0
6.9391364,0
6.9414593,0
6.9437843,0
6.9489531,0
6.9531073,0
6.9563009,0
6.9586238,0
6.9609488,0
6.9632717,0
6.9655946,0
6.9679196,0
6.9702425,0
6.9725654,0
6.9748904,0
6.9772133,0
6.9795361,0
6.9818611,0
6.9841841,0
6.986509,0
6.9888319,0
6.9911548,0
