CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B12_BHI_50DMSO_25MeOH.raw
Data points: 2875
Time(min),Relative Abundance
0.003880198,0
0.00847808,0
0.011625933,0
0.013948813,0
0.0162738,0
0.01859668,0
0.0209196,0
0.023244567,0
0.025567499,0
0.027892466,0
0.030215366,0
0.032538266,0
0.034863233,0
0.037186149,0
0.046071548,0
0.05030895,0
0.055856831,0
0.059917246,0
0.062240147,0
0.064565113,0
0.066888014,0
0.069210914,0
0.071535916,0
0.073858832,0
0.076183799,0
0.078506699,0
0.0808296,0
0.083154566,0
0.085477447,0
0.087800367,0
0.092642132,0
0.094966999,0
0.097289899,0
0.099612815,0
0.10193778,0
0.10426068,0
0.10658357,0
0.10890857,0
0.11123148,0
0.11355645,0
0.11587936,0
0.11820225,0
0.12052723,0
0.12285013,0
0.12517303,0
0.127498,0
0.12982091,0
0.1321459,0
0.1344688,0
0.1367917,0
0.13911668,0
0.14143958,0
0.14376248,0
0.14608747,0
0.14841036,0
0.15073535,0
0.15305827,0
0.15538117,0
0.15770612,0
0.16002903,0
0.16235195,0
0.16467692,0
0.16699982,0
0.16932273,0
0.1716477,0
0.17648727,0
0.17881015,0
0.18113513,0
0.18345805,0
0.18578093,0
0.18810592,0
0.19042883,0
0.19275381,0
0.19507668,0
0.19739958,0
0.19972458,0
0.2020475,0
0.2043704,0
0.20669537,0
0.21219533,0
0.21771403,0
0.22192031,0
0.2274661,0
0.23170781,0
0.23403268,0
0.23635558,0
0.23868058,0
0.24100346,0
0.24332637,0
0.24565135,0
0.24797423,0
0.25029715,0
0.25262213,0
0.25494503,0
0.25978877,0
0.26211165,0
0.26443455,0
0.26675953,0
0.26908243,0
0.27140535,0
0.27373032,0
0.27605323,0
0.27837822,0
0.2807011,0
0.283024,0
0.28534897,0
0.28767188,0
0.28999478,0
0.29231977,0
0.29464267,0
0.29696766,0
0.29929055,0
0.30161343,0
0.30393845,0
0.30626133,0
0.30858425,0
0.31090921,0
0.31323215,0
0.3155571,0
0.31788,0
0.32020291,0
0.3225279,0
0.3248508,0
0.3271737,0
0.32949868,0
0.33182158,0
0.33414655,0
0.33646947,0
0.33879235,0
0.34362568,0
0.34594856,0
0.34827355,0
0.35059647,0
0.35291935,0
0.35524431,0
