CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B2_TDCA_Dny_BSH2_48h.raw
Data points: 2853
Time(min),Relative Abundance
0.0037104,0
0.0083353,0
0.011481149,0
0.013804014,0
0.016129,0
0.018451916,0
0.020774817,0
0.023099799,0
0.025422715,0
0.0277456,0
0.030070582,0
0.032393482,0
0.034716383,0
0.037041349,0
0.049303765,0
0.053541298,0
0.059087033,0
0.063320433,0
0.06564325,0
0.067968233,0
0.070291133,0
0.072614013,0
0.074939016,0
0.077261932,0
0.079586867,0
0.081909799,0
0.084232715,0
0.086557697,0
0.088880582,0
0.093726447,0
0.096051366,0
0.098374267,0
0.10069925,0
0.10302215,0
0.10534505,0
0.10767003,0
0.10999293,0
0.11231582,0
0.11464082,0
0.11696372,0
0.1192887,0
0.12161161,0
0.1239345,0
0.12625948,0
0.12858238,0
0.13090527,0
0.13323026,0
0.13555316,0
0.13787606,0
0.14020105,0
0.14252396,0
0.14484893,0
0.14717181,0
0.14949473,0
0.15181972,0
0.15414263,0
0.15646553,0
0.1587905,0
0.1611134,0
0.16343838,0
0.16576128,0
0.1680842,0
0.17040918,0
0.17273207,0
0.17755923,0
0.17988203,0
0.182207,0
0.1845299,0
0.1868528,0
0.18917778,0
0.1915007,0
0.19382567,0
0.19614858,0
0.19847148,0
0.20079643,0
0.20311936,0
0.20544225,0
0.20776722,0
0.21326718,0
0.2221547,0
0.22639838,0
0.22872126,0
0.23104625,0
0.23336915,0
0.23569203,0
0.23801701,0
0.24033993,0
0.24266493,0
0.24498782,0
0.24731072,0
0.2496357,0
0.2519586,0
0.25428146,0
0.25911893,0
0.26144185,0
0.26376685,0
0.26608975,0
0.26841473,0
0.27073763,0
0.27306053,0
0.2753855,0
0.28095006,0
0.28518963,0
0.2875125,0
0.2898375,0
0.2921604,0
0.2944833,0
0.29680828,0
0.29913118,0
0.30145407,0
0.30377906,0
0.30610197,0
0.30842488,0
0.31074986,0
0.31307275,0
0.31539773,0
0.3177206,0
0.32004353,0
0.32236851,0
0.32469141,0
0.32701431,0
0.32933928,0
0.3316622,0
0.33398716,0
0.33631006,0
0.33863296,0
0.34347056,0
0.34579337,0
0.34811833,0
0.35044125,0
0.35276621,0
0.3550891,0
0.35741202,0
0.359737,0
0.3620599,0
0.3643828,0
0.36670777,0
0.37184733,0
0.38225142,0
0.39795546,0
0.41692825,0
0.43473022,0
0.45641132,0
0.47445075,0
0.49026107,0
0.5084026,0
0.52746082,0
0.54656066,0
0.56560637,0
0.58463123,0
0.59916238,0
0.61201856,0
0.62906633,0
0.6471204,0
0.66482025,0
0.6839347,0
0.69667628,0
0.71349493,0
0.73061355,0
0.74853841,0
0.76443831,0
0.78187983,0
0.7982214,0
0.8168671,0
0.83530655,0
0.85141478,0
0.87097505,0
0.88789783,0
0.90700813,0
0.92617466,0
0.94737867,0
0.9665598,0
0.98574298,0
1.0049554,0
1.0268636,0
1.044853,0
1.0636633,0
1.0828631,0
1.1021505,0
1.1240899,0
1.1422127,0
1.161523,0
1.180777,0
1.202704,0
1.2212809,0
1.2393933,0
1.2573265,0
1.2792659,0
1.2984429,0
1.3176761,0
1.3369655,0
1.3589425,0
1.3781673,0
1.395888,0
1.4151316,0
1.4329919,0
1.4549355,0
1.47425,0
1.4930957,0
1.5097518,0
1.5262183,0
1.541037,0
1.5532723,0
1.566866,0
1.582468,0
1.5985762,0
1.611499,0
1.6236656,0
1.6373051,0
1.6508237,0
1.6672799,0
1.6812319,0
1.6934172,0
1.7104525,0
1.7260711,0
1.7413314,0
1.7545438,0
1.7716833,0
1.7875665,0
1.8012477,0
1.8181475,0
1.8328058,0
1.8463453,0
1.8619264,0
1.8732097,0
1.8892283,0
1.9026949,0
1.9162135,0
1.9285926,0
1.9423654,0
1.9562799,0
1.973109,0
1.9890672,0
2.0065254,0
2.0248044,0
2.0413043,0
2.0565021,0
2.0730145,0
2.0903936,0
2.109308,0
2.1287329,0
2.1481994,0
2.1676243,0
2.1843179,0
2.2030386,0
2.2190406,0
2.2365675,0
2.2561986,0
2.2768027,0
2.2957171,0
2.3146941,0
2.3341168,0
2.3536355,0
2.3738228,0
2.3916331,0
2.4113288,0
2.4308099,0
2.4527681,0
2.4678638,0
2.4874282,0
2.5071052,0
2.5292217,0
2.5485695,0
2.567586,0
2.5872234,0
2.609292,0
2.6287294,0
2.6485646,0
2.6682249,0
2.6878331,0
2.7102558,0
2.7298724,0
2.7496347,0
2.7693284,0
2.7917198,0
2.8112926,0
2.8160822,0
2.8343925,0
2.853884,0
2.8761609,0
2.8956045,0
2.9150961,0
2.9345084,0
2.9505437,0
2.9702186,0
2.9896726,0
3.0014121,0
3.0174953,0
3.0398577,0
3.048116,0
3.0658033,0
3.085624,0
3.1054176,0
3.1279258,0
3.1311112,0
3.1509986,0
3.159286,0
3.178738,0
3.2008628,0
3.2203127,0
3.2399792,0
3.2597103,0
3.2761498,0
3.2923559,0
3.3038975,0
3.3120558,0
3.3203787,0
3.3240349,0
3.3272599,0
3.3295848,0
3.3377764,0
3.3415535,0
3.3456431,0
3.347968,0
3.3502909,0
3.3550909,0
3.3588304,0
3.3621263,0
3.3668158,0
3.3704679,0
3.3737533,0
3.3854261,0
3.3889074,0
3.3920281,0
3.4083697,0
3.4117176,0
3.4233071,0
3.4306779,0
3.4342279,0
3.4375362,0
3.4407591,0
3.443084,0
3.4454069,0
3.4477298,0
3.4523694,0
3.4595339,0
3.4631985,0
3.4748526,0
3.4782463,0
3.4815087,0
3.4896629,0
3.4944024,0
3.501442,0
3.5085294,0
3.5159939,0
3.5230647,0
3.5312418,0
3.5418,0
3.5490021,0
3.5561041,0
3.5666519,0
3.5736498,0
3.5768831,0
3.5839747,0
3.5886142,0
3.5960934,0
3.5994517,0
3.6027663,0
3.6059704,0
3.609312,0
3.6126161,0
3.6207411,0
3.6323452,0
3.6393993,0
3.655945,0
3.6641575,0
3.6677137,0
3.6711074,0
3.6749782,0
3.6773011,0
3.6796261,0
3.6880927,0
3.6987385,0
3.7025322,0
3.705851,0
3.7081738,0
3.7104988,0
3.7128217,0
3.7151446,0
3.7174696,0
3.7224529,0
3.7263674,0
3.7295987,0
3.7379007,0
3.7416152,0
3.7447006,0
3.7611609,0
3.7685213,0
3.7791213,0
3.7825337,0
3.785867,0
3.7891316,0
3.797269,0
3.8006211,0
3.8038815,0
3.8086377,0
3.8167772,0
3.8273251,0
3.8390437,0
3.8465125,0
3.8605269,0
3.872231,0
3.8827393,0
3.9012725,0
3.9174473,0
3.9372077,0
3.9480597,0
3.9550888,0
3.9584512,0
3.9630929,0
3.9701762,0
3.9806906,0
3.9853302,0
3.999403,0
4.0075738,0
4.0111405,0
4.0144987,0
4.0178716,0
4.0261257,0
4.030882,0
4.0345673,0
4.0379215,0
4.0402465,0
4.0425694,0
4.0448944,0
4.0472173,0
4.0495402,0
4.0518651,0
4.054188,0
4.056511,0
4.0588359,0
4.0611588,0
4.0634838,0
4.0658067,0
4.0705317,0
4.0739483,0
4.0772504,0
4.0853712,0
4.0888815,0
4.0927065,0
4.0955232,0
4.0978482,0
4.1001711,0
4.102494,0
4.1048189,0
4.1071418,0
4.1118085,0
4.1153751,0
4.1187105,0
4.1220167,0
4.1253855,0
4.1285917,0
4.1332313,0
4.1368583,0
4.1401542,0
4.148377,0
4.152029,0
4.1601998,0
4.163706,0
4.1670581,0
4.1701393,0
4.1738226,0
4.1820705,0
4.1867767,0
4.1902038,0
4.1934704,0
4.2017933,0
4.2051891,0
4.2083557,0
4.2117182,0
4.2149953,0
4.2196848,0
4.2267723,0
4.2301264,0
4.2334785,0
4.2368055,0
4.2399389,0
4.2422617,0
4.2445867,0
4.2469096,0
4.2492325,0
4.2515575,0
4.2538804,0
4.2562033,0
4.2599804,0
4.2623032,0
4.2646283,0
4.269447,0
4.2728011,0
4.2760927,0
4.2841802,0
4.2876448,0
4.2909697,0
4.2956843,0
4.2989446,0
4.3035884,0
4.307053,0
4.3102363,0
4.3136092,0
4.3169278,0
4.3215987,0
4.3262382,0
4.3310278,0
4.334659,0
4.3378986,0
4.3417527,0
4.3440756,0
4.3463985,0
4.3487235,0
4.3535401,0
4.3570255,0
4.3603088,0
4.3635046,0
4.3658296,0
4.3681525,0
4.3729712,0
4.3765649,0
4.3929961,0
4.396294,0
4.4045731,0
4.4078856,0
4.4110314,0
4.4143376,0
4.4214876,0
4.4286167,0
4.4395124,0
4.4537352,0
4.4698455,0
4.478033,0
4.4886996,0
4.5047619,0
4.515641,0
4.526241,0
4.5293972,0
4.5323826,0
4.5355722,0
4.5385846,0
4.5466492,0
4.5536804,0
4.5569095,0
4.5599866,0
4.5632657,0
4.5664969,0
4.5747677,0
4.5818635,0
4.5923614,0
4.5999363,0
4.6118529,0
4.6235903,0
4.6342694,0
4.6459505,0
4.6505901,0
4.6538318,0
4.6645067,0
4.6716816,0
4.6942231,0
4.7023939,0
4.712998,0
4.7246083,0
4.7317125,0
4.7387353,0
4.7417207,0
4.7448665,0
4.7531706,0
4.7602976,0
4.7636831,0
4.7685247,0
4.7756684,0
4.7805142,0
4.78761,0
4.7908308,0
4.7938974,0
4.8010057,0
4.8127015,0
4.8287722,0
4.8368076,0
4.8401388,0
4.8437388,0
4.8468929,0
4.8502533,0
4.8534324,0
4.858272,0
4.8654552,0
4.8700948,0
4.8735323,0
4.8768406,0
4.8816843,0
4.8851197,0
4.8885093,0
4.8916884,0
4.8940134,0
4.8963363,0
4.8986592,0
4.9009842,0
4.9091445,0
4.9126445,0
4.9159403,0
4.9182653,0
4.9205882,0
4.9229111,0
4.9252361,0
4.927559,0
4.9298819,0
4.9322069,0
4.9345298,0
4.9368527,0
4.9391777,0
4.9415005,0
4.9438256,0
4.9461484,0
4.9484713,0
4.9507963,0
4.9531192,0
4.9554421,0
4.9577671,0
4.96009,0
4.962415,0
4.9647379,0
4.9670608,0
4.9693858,0
4.9717087,0
4.9740316,0
4.9763566,0
4.9786795,0
4.9810045,0
4.9833273,0
4.9880794,0
4.9988814,0
5.0105022,0
5.018025,0
5.0250687,0
5.0285625,0
5.0318583,0
5.0350291,0
5.0431561,0
5.0465561,0
5.0497123,0
5.0530039,0
5.0613601,0
5.0719413,0
5.0751976,0
5.0823433,0
5.0928932,0
5.1039431,0
5.1157973,0
5.1228264,0
5.1259159,0
5.1291701,0
5.1362784,0
5.1395554,0
5.1428908,0
5.1460012,0
5.1493741,0
5.1524803,0
5.1606199,0
5.1639907,0
5.167151,0
5.1753781,0
5.1789364,0
5.1818655,0
5.1937905,0
5.2009883,0
5.2172361,0
5.2287568,0
5.2450817,0
5.2570171,0
5.2681066,0
5.2762316,0
5.2869273,0
5.3032064,0
5.3101813,0
