CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B4_TUDCA_Dny_BSH2_48h.raw
Data points: 2974
Time(min),Relative Abundance
0.003708548,0
0.008548032,0
0.011637615,0
0.01396048,0
0.016285466,0
0.018608383,0
0.020931247,0
0.02325623,0
0.025579166,0
0.027904148,0
0.030227032,0
0.032549949,0
0.034874915,0
0.0371978,0
0.049464396,0
0.053699814,0
0.056022699,0
0.058347665,0
0.06391015,0
0.068143446,0
0.070466347,0
0.072791297,0
0.075114214,0
0.077437114,0
0.079762096,0
0.082085013,0
0.084407897,0
0.086732899,0
0.0890558,0
0.093893249,0
0.096216149,0
0.098539065,0
0.10086403,0
0.10318695,0
0.10550985,0
0.10783482,0
0.11015772,0
0.1124827,0
0.11480558,0
0.11712851,0
0.11945348,0
0.12177641,0
0.1240993,0
0.12642426,0
0.1287472,0
0.13107215,0
0.13339506,0
0.13571796,0
0.13804295,0
0.14036587,0
0.14268877,0
0.14501373,0
0.14733661,0
0.14966162,0
0.15198452,0
0.15430742,0
0.1566324,0
0.15895531,0
0.1612782,0
0.16360317,0
0.16592608,0
0.16825105,0
0.17057398,0
0.17289685,0
0.17773435,0
0.18005931,0
0.18238221,0
0.18470511,0
0.1870301,0
0.189353,0
0.1916759,0
0.19400088,0
0.1963238,0
0.19864878,0
0.20097167,0
0.20329457,0
0.20561955,0
0.20794243,0
0.21344033,0
0.22233613,0
0.2265736,0
0.22889647,0
0.23122146,0
0.23354436,0
0.23586728,0
0.2414318,0
0.24549847,0
0.24782138,0
0.25014633,0
0.25246925,0
0.25479213,0
0.2596234,0
0.26194625,0
0.26426913,0
0.26659412,0
0.26891703,0
0.27123993,0
0.27356491,0
0.2758878,0
0.2782128,0
0.2805357,0
0.2828586,0
0.28518358,0
0.28750646,0
0.28982938,0
0.29215436,0
0.29447726,0
0.29680223,0
0.29912515,0
0.30144803,0
0.30377303,0
0.30609593,0
0.30841885,0
0.31074382,0
0.31306672,0
0.3153917,0
0.3177146,0
0.32003752,0
0.3223625,0
0.32468538,0
0.3270083,0
0.32933326,0
0.33165617,0
0.33398113,0
0.33630405,0
0.33862695,0
0.34346036,0
0.34578317,0
0.34810605,0
0.35043103,0
0.35275393,0
0.35507891,0
0.35740182,0
0.35972472,0
0.36204971,0
0.36437261,0
0.3666976,0
0.36902047,0
0.37719545,0
0.38758492,0
0.40660353,0
0.42381178,0
0.4442241,0
0.46246356,0
0.4788322,0
0.49576333,0
0.51480903,0
0.53388806,0
0.55300458,0
0.57202736,0
0.59102308,0
0.60782506,0
0.62445825,0
0.64161648,0
0.65753721,0
0.67432458,0
0.69313068,0
0.7109764,0
0.72779503,0
0.74566158,0
0.76142813,0
0.78019675,0
0.7957508,0
0.81500273,0
0.83263597,0
0.85009625,0
0.86850445,0
0.88761265,0
0.90672293,0
0.92591031,0
0.94741848,0
0.9667621,0
0.98589113,0
1.0050994,0
1.0231909,0
1.0423116,0
1.0602677,0
1.079555,0
1.0987757,0
1.1196444,0
1.1389005,0
1.1581649,0
1.1773377,0
1.1992667,0
1.216427,0
1.2353789,0
1.2537122,0
1.2756516,0
1.2948952,0
1.3141534,0
1.3335032,0
1.3527198,0
1.3746488,0
1.3938195,0
1.4120048,0
1.4313443,0
1.451992,0
1.4702731,0
1.487573,0
1.504727,0
1.5229332,0
1.5377997,0
1.5525267,0
1.5645767,0
1.5780495,0
1.5919244,0
1.6043243,0
1.61427,0
1.6294095,0
1.6429136,0
1.6592885,0
1.67358,0
1.6916028,0
1.7072756,0
1.7212714,0
1.7365525,0
1.7523253,0
1.7700023,0
1.7868001,0
1.7996979,0
1.8153915,0
1.8308789,0
1.8450455,0
1.8588662,356864.375
1.8739474,433573.65625
1.8896014,0
1.9042701,0
1.9167763,0
1.9315386,0
1.9443823,0
1.9603863,893740.0625
1.9761321,1009101.1875
1.9930986,1226030.25
2.0091714,483618.5
2.02759,0
2.0423587,0
2.0613398,0
2.0775626,0
2.0934604,0
2.114229,0
2.1327559,0
2.1522183,0
2.1716619,0
2.190991,0
2.2091137,0
2.226624,0
2.2454218,0
2.2649092,0
2.2867528,0
2.3062735,0
2.32569,0
2.3452045,0
2.3651856,0
2.3814167,0
2.4011395,0
2.4208081,0
2.4410538,0
2.4586724,0
2.4765931,0
2.4961638,0
2.5155866,0
2.5379385,0
2.5576009,0
2.5772841,0
2.5970298,0
2.6167192,0
2.6363524,0
2.656121,0
2.675723,0
2.6978686,0
2.7177622,0
2.7374746,0
2.7571724,0
2.7796451,0
2.7993054,0
2.8039929,0
2.8235219,0
2.8431114,0
2.8651216,0
2.8846111,0
2.9027068,0
2.9221296,0
2.9400398,0
2.9595793,0
2.9790104,0
2.9986145,0
3.0182206,0
3.0290121,0
3.0467058,0
3.066441,0
3.0863263,0
3.106272,0
3.1110282,0
3.1309885,0
3.1392426,0
3.1589008,0
3.1783424,0
3.1995172,0
3.2189379,0
3.238719,0
3.2584855,0
3.2665772,0
3.2736563,0
3.2852562,0
3.2934478,0
3.3006415,0
3.304331,0
3.3075769,0
3.3098998,0
3.3122227,4441.43701171875
3.3145476,0
3.3168705,0
3.3191934,0
3.3242018,0
3.3278809,0
3.33121,0
3.3360267,0
3.3397537,0
3.3430183,0
3.3477578,0
3.3515057,0
3.354637,0
3.3569598,0
3.3651577,0
3.368791,0
3.3803618,0
3.3874263,0
3.3979533,0
3.40132,0
3.4046575,0
3.4078303,0
3.4192907,0
3.422926,0
3.4268657,0
3.4315052,0
3.4350843,0
3.4384197,0
3.4407426,0
3.4455967,0
3.4493779,0
3.4526571,0
3.45498,0
3.4632445,0
3.4679841,0
3.4750278,0
3.4786194,0
3.4818694,0
3.4851631,0
3.4882902,0
3.4965297,0
3.5000526,0
3.5031317,0
3.517542,0
3.5372378,0
3.5512689,0
3.5594147,0
3.5624834,0
3.5657375,0
3.57285,0
3.5799458,0
3.5845916,0
3.587777,0
3.5914207,0
3.5944436,0
3.6025248,0
3.6057602,0
3.6091289,0
3.6174017,0
3.6255892,0
3.6361412,0
3.6503766,0
3.6537932,0
3.6571619,0
3.6605035,0
3.663639,0
3.6659618,0
3.670868,0
3.6749368,0
3.6779576,0
3.6802805,0
3.6826055,0
3.6849284,0
3.6872513,0
3.6895763,0
3.6918992,0
3.6942242,0
3.696547,0
3.6988699,0
3.7011949,0
3.7035178,0
3.7058407,0
3.7081657,0
3.713124,0
3.7203115,0
3.7274843,0
3.7390593,0
3.7461675,0
3.7495758,0
3.7611591,0
3.7721382,0
3.7767861,0
3.7799735,0
3.783236,0
3.786436,0
3.7896777,0
3.7930255,0
3.7961463,0
3.7995109,0
3.802563,0
3.8166108,0
3.8306545,0
3.8412294,0
3.8556709,0
3.8661896,0
3.8857457,0
3.9053685,0
3.9214288,0
3.9330371,0
3.9361141,0
3.9394453,0
3.9427807,0
3.9474203,0
3.9506348,0
3.9539557,0
3.9571535,0
3.9688514,0
3.9735597,0
3.977068,0
3.9804138,0
3.9837825,0
3.9871096,0
3.9902221,0
3.992545,0
3.9948678,0
3.9971928,0
3.9995157,0
4.0018407,0
4.0041636,0
4.0080157,0
4.0103386,0
4.0126615,0
4.0149864,0
4.0197468,0
4.0234093,0
4.0265031,0
4.0288259,0
4.0311488,0
4.0334738,0
4.0357967,0
4.0381217,0
4.0404446,0
4.0427675,0
4.0450925,0
4.0474154,0
4.0497383,0
4.0520633,0
4.0543862,0
4.0567112,0
4.0590341,0
4.0672153,0
4.0708111,0
4.0738923,0
4.0819798,0
4.0854193,0
4.088688,0
4.0960526,0
4.0996421,0
4.1029733,0
4.1060879,0
4.1084108,0
4.1107358,0
4.1130587,0
4.1210961,0
4.1247753,0
4.1278669,0
4.1301898,0
4.1325148,0
4.140771,0
4.1441835,0
4.1474626,0
4.1507792,0
4.1555688,0
4.1588688,0
4.1621688,0
4.1653375,0
4.1700479,0
4.1734749,0
4.1771082,0
4.1818145,0
4.1852603,0
4.1885311,0
4.2002935,0
4.2037831,0
4.2070143,0
4.2118059,0
4.2224267,0
4.2260079,0
4.2291683,0
4.2314933,0
4.2338162,0
4.2361391,0
4.238464,0
4.240787,0
4.2431098,0
4.2477494,0
4.2511473,0
4.2544348,0
4.2581785,0
4.2628243,0
4.2661743,0
4.2694888,0
4.277643,0
4.2809512,0
4.2855908,0
4.2891387,0
4.2922012,0
4.2945262,0
4.2968491,0
4.299172,0
4.3038803,0
4.3074219,0
4.3107782,0
4.3140906,0
4.3173677,0
4.3205676,0
4.3253551,0
4.3289676,0
4.3322863,0
4.3354384,0
4.3377613,0
4.3400842,0
4.3439926,0
4.3463154,0
4.3486404,0
4.3509633,0
4.3532862,0
4.3556112,0
4.357934,0
4.360259,0
4.3625819,0
4.3674236,0
4.3710069,0
4.3741381,0
4.3858443,0
4.3930067,0
4.4000796,0
4.4034587,0
4.4067191,0
4.4184565,0
4.4300752,0
4.4445147,0
4.4551958,83902.3203125
4.4669478,947539.4375
4.4787353,7820205.5
4.4894248,15546573
4.5090705,20743908
4.528512,22266110
4.5479869,18441228
4.5674971,14955205
4.5722367,14028326
4.5920761,9704768
4.6146697,7333768
4.6341383,4380089.5
4.6504382,4444101
4.6695569,2987960
4.6882442,2622561.5
4.6964817,2071937.5
4.7161378,1724843.375
4.7278127,1450655.625
4.7349397,1292786.875
4.7420334,1275284.125
4.7452146,1236251.625
4.7483813,1095278.625
4.7513917,1015871.6875
4.7585729,934577.25
4.7731644,908400.25
4.781504,723229.4375
4.7897747,678961.5625
4.7977976,568338.6875
4.8026372,591781.125
4.8057413,589152.875
4.8161683,514787.84375
4.8194829,521711.59375
4.824187,492619.40625
4.8273828,445643
4.8307536,420299.71875
4.8340745,449526.875
4.8372473,435393.5
4.8446785,390369.9375
4.8493181,385661.21875
4.8526764,384210.90625
4.8560035,422047.4375
4.8591597,350166.4375
4.8638659,317795.96875
4.8674721,366580.1875
4.8707908,363780.25
4.8739283,317729.25
4.8762533,319021.71875
4.8785762,334642.5
4.8808991,316878.5
4.8832241,302724.40625
4.885547,318016.5625
4.887872,297312.53125
4.8901949,322269.625
4.8925178,286684.75
4.8972678,270504.65625
4.9008032,269792.6875
4.9041011,298593.875
4.9064239,256807.203125
4.9087489,288719.375
4.9110718,279354.03125
4.9133968,269780.75
4.9157197,266858.71875
4.9180426,265090.59375
4.9203676,271671.8125
4.9226905,243165.28125
4.9250134,208460.203125
4.9273384,228132.65625
4.9296613,249805.796875
4.9319862,256675.375
4.9343092,224021.640625
4.9366321,208700.953125
4.938957,214148.0625
4.9412799,211747.40625
4.9436029,225359.59375
4.9459278,235063.046875
4.9482507,200734.359375
4.9505736,199471.734375
4.9528986,217420.671875
4.9552215,195559.75
4.9575465,227101.9375
4.9598694,216970.046875
4.9645902,174382.0625
4.9693089,188978.46875
4.973088,194269.078125
4.9762026,181812
4.9785276,194081.296875
4.9869484,159033.25
4.9906776,186557.921875
4.9988816,175455.375
5.005967,193153.265625
5.0134961,179406.25
5.0205835,159454.515625
5.0252356,213081.9375
5.0285585,167433.59375
5.0318439,200228.390625
5.034996,190311.890625
5.0382834,194888.140625
5.0501854,171663.3125
5.0573375,196052.4375
5.0643603,188361.984375
5.0676499,169685.4375
5.0747978,177419.9375
5.0818269,154718.734375
5.0889393,159644.046875
5.0960705,109628.828125
5.1032038,145071.4375
5.1103329,153752.828125
5.11746,127910.6171875
5.1205641,138181.6875
5.1238349,149558.59375
5.1271161,133661.8125
5.1302057,128632.40625
5.1348452,128571.1328125
5.1394827,143418.3125
5.1427806,134849.859375
5.1459639,110252.703125
5.1492472,141371.109375
5.1540118,116518.28125
5.161195,99877.5703125
