CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B5_TCA_Dny_BSH2_48h.raw
Data points: 2937
Time(min),Relative Abundance
0.003723863,0
0.008350979,0
0.011496714,0
0.013821681,0
0.016144581,0
0.018467481,0
0.020792464,0
0.023115364,0
0.025438264,0
0.027763247,0
0.030086147,0
0.032411129,0
0.03473405,0
0.037056914,0
0.049321464,0
0.053558913,0
0.055881813,0
0.058204698,0
0.06052968,0
0.062852581,0
0.065175481,0
0.067500479,0
0.069823364,0
0.07214833,0
0.074471246,0
0.076794147,0
0.079119129,0
0.084679547,0
0.088910714,0
0.093748179,0
0.09607108,0
0.098396082,0
0.100719,0
0.10304396,0
0.10536685,0
0.10768977,0
0.11001475,0
0.11233766,0
0.11466056,0
0.11698553,0
0.11930845,0
0.12163341,0
0.12395631,0
0.12627921,0
0.1286042,0
0.1309271,0
0.13325,0
0.135575,0
0.1378979,0
0.14022286,0
0.14254578,0
0.14486868,0
0.14719365,0
0.14951657,0
0.15183947,0
0.15416445,0
0.15648735,0
0.15881232,0
0.16113523,0
0.16345813,0
0.16578311,0
0.16810603,0
0.17042891,0
0.1727539,0
0.1775894,0
0.17991425,0
0.18223716,0
0.18456006,0
0.18688505,0
0.18920795,0
0.19153293,0
0.19385585,0
0.19617873,0
0.19850372,0
0.20082662,0
0.20314951,0
0.2054745,0
0.2077974,0
0.21329526,0
0.22217441,0
0.22641395,0
0.22873685,0
0.23105973,0
0.23338472,0
0.23570763,0
0.23803261,0
0.24035551,0
0.24267841,0
0.24500338,0
0.24732628,0
0.24964918,0
0.25197418,0
0.25429705,0
0.25913037,0
0.26145327,0
0.26377825,0
0.26610116,0
0.26842405,0
0.27074902,0
0.27307193,0
0.27539483,0
0.27771981,0
0.28004272,0
0.2823677,0
0.28469058,0
0.29025513,0
0.29449063,0
0.29681343,0
0.29913841,0
0.30146131,0
0.30378421,0
0.3061092,0
0.30843211,0
0.31075501,0
0.31307996,0
0.31540288,0
0.31772786,0
0.32005076,0
0.32237366,0
0.32469865,0
0.32702155,0
0.32934445,0
0.33166943,0
0.33399233,0
0.33631733,0
0.33864023,0
0.34360683,0
0.34684435,0
0.34916723,0
0.35149223,0
0.3538151,0
0.35613801,0
0.358463,0
0.3607859,0
0.3631088,0
0.36543378,0
0.36775666,0
0.37602123,0
0.38639822,0
0.4054439,0
0.42328755,0
0.44425613,0
0.46253308,0
0.47919338,0
0.49626618,0
0.51534938,0
0.53444091,0
0.5535241,0
0.57252605,0
0.59134676,0
0.60511128,0
0.62095071,0
0.63834433,0
0.65655463,0
0.6741566,0
0.69127107,0
0.70754801,0
0.72602498,0
0.74479985,0
0.75832686,0
0.7761788,0
0.7922391,0
0.81163481,0
0.83060342,0
0.84761373,0
0.86759481,0
0.8865176,0
0.90566538,0
0.9226736,0
0.94400262,0
0.9631358,0
0.98229818,0
