CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B7_GDCA_Dny_BSH2_48h.raw
Data points: 2896
Time(min),Relative Abundance
0.003716051,0
0.008347232,0
0.011493034,0
0.013815935,0
0.016138835,0
0.018463817,0
0.020786718,0
0.0231117,0
0.025434585,0
0.027757501,0
0.030082483,0
0.032405384,0
0.034728284,0
0.03705325,0
0.049313616,0
0.053546917,0
0.055871883,0
0.058194783,0
0.060517684,0
0.06284265,0
0.065165582,0
0.067490533,0
0.069813449,0
0.072136334,0
0.074461332,0
0.076784232,0
0.079107133,0
0.081432115,0
0.083755031,0
0.086077932,0
0.088402898,0
0.093234133,0
0.095559099,0
0.097882,0
0.10020488,0
0.10252988,0
0.10485278,0
0.1071757,0
0.10950065,0
0.11182357,0
0.11414855,0
0.11647145,0
0.11879438,0
0.12111935,0
0.12344223,0
0.12576513,0
0.12809012,0
0.13041301,0
0.132738,0
0.1350609,0
0.1373838,0
0.1397088,0
0.14203168,0
0.1443546,0
0.14667957,0
0.14900247,0
0.15132538,0
0.15365035,0
0.15597325,0
0.15829825,0
0.16062115,0
0.16294403,0
0.16526903,0
0.16759193,0
0.16991482,0
0.17549817,2117.05541992188
0.18034183,0
0.18266683,0
0.18498973,0
0.18731262,0
0.1896376,0
0.1919605,0
0.1942834,0
0.19660838,0
0.1989313,0
0.20125628,0
0.20357918,0
0.20590207,0
0.21140618,0
0.22028534,0
0.22452072,0
0.22684358,0
0.22916857,0
0.23149148,0
0.23381438,0
0.23613937,0
0.23846225,0
0.24078516,0
0.24311013,0
0.24543305,0
0.24775803,0
0.25008093,0
0.25240385,0
0.2547288,0
0.25956628,0
0.26189126,0
0.26421415,0
0.26653915,0
0.26886205,0
0.27118495,0
0.27350993,0
0.27583282,0
0.27815574,0
0.2804807,1997.91625976563
0.28280362,0
0.2851286,0
0.2874515,0
0.2897744,0
0.29209937,0
0.29442228,0
0.29674518,0
0.29907018,0
0.30139308,0
0.30371597,0
0.30604095,0
0.30836385,0
0.31068883,0
0.31301175,0
0.31533465,0
0.31765962,0
0.31998252,0
0.32230542,0
0.3246304,0
0.3269533,0
0.32927827,0
0.3316012,0
0.33392408,0
0.33624905,0
0.338572,0
0.3434157,0
0.34574067,0
0.34806357,0
0.35038855,2373.10034179688
0.35271147,2276.5009765625
0.35503435,0
0.35735933,0
0.35968223,0
0.36200722,0
0.36433012,0
0.36665302,0
0.37509257,0
0.38547997,0
0.40449442,0
0.42234012,0
0.44227332,0
0.46082527,0
0.47607518,0
0.49457295,0
0.51284157,0
0.53184143,0
0.55088087,0
0.56991617,0
0.58892645,0
0.60459925,0
0.62211997,0
0.63900733,0
0.65738847,0
0.67423628,0
0.69249863,0
0.7089756,0
0.72600672,0
0.7450483,0
0.76239188,0
0.78180217,0
0.80062287,0
0.81962482,0
0.83614137,0
0.85714122,0
0.87626609,0
0.89530553,0
0.91227208,0
0.93135528,0
0.9504489,0
