CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B8_GCDCA_Dny_BSH2_48h.raw
Data points: 2854
Time(min),Relative Abundance
0.003752767,0
0.008379749,0
0.011529767,0
0.013852651,0
0.016175551,0
0.018500534,0
0.020823434,0
0.023148417,0
0.025471317,0
0.027794217,0
0.0301192,0
0.032442116,0
0.034765,0
0.037089967,0
0.049352383,0
0.053583617,0
0.055906517,0
0.0582315,0
0.0605544,0
0.062877285,0
0.065202283,0
0.067525183,0
0.069850166,0
0.07217305,0
0.074495966,0
0.076820949,0
0.079143849,0
0.081466749,0
0.083791752,0
0.086114616,0
0.088439615,0
0.093277183,0
0.095599984,0
0.097924967,0
0.10024785,0
0.10257287,0
0.10489573,0
0.10721867,0
0.10954363,0
0.11186653,0
0.11418943,0
0.11651442,0
0.11883732,0
0.12116232,0
0.1234852,0
0.1258081,0
0.12813308,0
0.130456,0
0.13277888,0
0.13510388,0
0.13742678,0
0.13975177,0
0.14207467,0
0.14439755,0
0.14672255,0
0.14904545,0
0.15136835,0
0.15369332,0
0.15601622,0
0.15833913,0
0.1606641,0
0.162987,0
0.165312,0
0.1676349,0
0.16995778,0
0.17552443,0
0.18037438,0
0.18269937,0
0.18502227,0
0.18734518,0
0.18967015,0
0.19199306,0
0.19431803,0
0.19664093,0
0.19896385,0
0.20128883,0
0.20361173,0
0.20593462,0
0.21144082,0
0.22031783,0
0.22455741,0
0.2268803,0
0.2292053,0
0.2315282,0
0.23385108,0
0.23617606,0
0.23849898,0
0.24082189,0
0.24314685,0
0.24546977,0
0.24779475,0
0.25011765,0
0.25244057,0
0.25476553,0
0.2596031,0
0.2619259,0
0.26424878,0
0.26657378,0
0.26889668,0
0.27122166,0
0.27354457,0
0.27586745,0
0.27819245,0
0.28051533,0
0.28283825,0
0.28516323,0
0.28748614,0
0.28981112,0
0.29213402,0
0.29445692,0
0.2967819,0
0.2991048,0
0.30142772,0
0.30375268,0
0.30607558,0
0.30840057,0
0.31072347,0
0.31304638,0
0.31537135,0
0.31769425,0
0.32001717,0
0.32234213,0
0.32466503,0
0.32699002,0
0.32931293,0
0.33163583,0
0.3339608,0
0.3362837,0
0.3386066,0
0.343442,0
0.34576488,0
0.3480878,0
0.35041279,0
0.35273567,0
0.35506065,0
0.35738355,0
0.35970645,0
0.36203144,0
0.36435435,0
0.36667723,0
0.37535637,0
0.37885838,0
0.39799577,0
0.41703103,0
0.43479965,0
0.4565141,0
0.47431607,0
0.49155343,0
0.51059081,0
0.53240107,0
0.55148425,0
0.57053412,0
0.5895694,0
0.60337767,0
0.61811712,0
0.63373577,0
0.6515669,0
0.66788762,0
0.6846375,0
0.70226655,0
0.71894142,0
0.73744755,0
0.75115787,0
0.76682442,0
0.78417847,0
0.80234707,0
0.82049485,0
0.83693642,0
0.85734668,0
0.8742424,0
0.89338185,0
0.91242338,0
0.93148993,0
0.9528856,0
0.97213962,0
0.99137492,0
1.0105748,0
1.0305392,0
1.0496183,0
1.068864,0
1.0880826,0
1.1099033,0
1.1280385,0
1.1473592,0
1.1666383,0
1.1858048,0
1.2069901,0
1.2248795,0
1.2441419,0
1.2633876,0
1.2853353,0
1.3044727,0
1.3237934,0
1.3430308,0
1.3650806,0
1.3841846,0
1.4035033,0
1.4217698,0
1.4435967,0
1.4603279,0
1.477934,0
1.4943589,0
1.5111108,0
1.5282795,0
1.5422752,0
1.5546814,0
1.5667542,0
1.5814458,0
1.5978686,0
1.6146684,0
1.626533,0
1.6388329,0
1.655014,0
1.6716139,0
1.6880888,0
1.7006429,0
1.7162011,0
1.7307343,0
1.7447217,0
1.760257,0
1.778761,0
1.7951838,0
1.8105837,0
1.8275357,0
1.8423085,0
1.8552959,0
1.8674187,0
1.8858478,483297.46875
1.8991956,1144330.625
1.9108539,0
1.9240392,0
1.936612,0
1.9516223,0
1.9673847,0
1.984845,0
2.0002699,0
2.0194156,230361.84375
2.0342843,0
2.049607,0
2.0687694,0
2.0851881,0
2.10104,0
2.1217419,0
2.1398981,0
2.1593146,0
2.1782999,0
2.1965623,0
2.214408,0
2.2319329,0
2.2492473,0
2.2685305,0
2.2900804,0
2.309626,0
2.3292613,102647.984375
2.3486716,0
2.3706069,0
2.3865213,0
2.4037129,0
2.4234065,0
2.4437105,0
2.461625,0
2.4783311,86978.09375
2.4977997,0
2.517383,0
2.539664,0
2.5593514,0
2.5791075,0
2.5985948,0
2.6181968,0
2.6378279,0
2.6574715,0
2.6770985,0
2.6995358,0
2.7191919,0
2.739121,0
2.7586563,0
2.7810227,0
2.8006142,0
2.8202079,43907.84765625
2.8396931,23888.708984375
2.8619472,0
