CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_B9_GUDCA_Dny_BSH2_48h.raw
Data points: 2867
Time(min),Relative Abundance
0.003712629,3109.73022460938
0.008552129,0
0.011656315,2134.83984375
0.013981282,0
0.016304162,0
0.018627063,0
0.020952049,2264.25
0.023274965,0
0.02559783,0
0.027922832,0
0.030245732,0
0.032570731,0
0.034893615,0
0.037216516,1969.41967773438
0.05442688,0
0.057745531,0
0.06007053,0
0.062393414,2146.72729492188
0.064716346,0
0.067041313,0
0.069364213,0
0.071687113,0
0.074012096,3232.69018554688
0.076334996,0
0.078659999,0
0.080982899,0
0.083305779,0
0.085630782,0
0.087953646,0
0.092793229,0
0.095116098,0
0.09743903,0
0.099763997,0
0.1020869,0
0.1044098,0
0.10673478,2673.99267578125
0.10905768,3148.85913085938
0.11138266,0
0.11370558,0
0.11602848,0
0.11835345,2155.76953125
0.12067635,0
0.12299927,0
0.12532423,0
0.12764713,0
0.12997212,0
0.13229502,0
0.13461792,0
0.13694291,0
0.1392658,2680.18432617188
0.1415887,0
0.1439137,0
0.14623658,0
0.14856156,0
0.15088446,0
0.15320738,1951.63488769531
0.15553236,0
0.15785525,0
0.16017816,0
0.16250315,0
0.16482605,1993.41442871094
0.16715103,0
0.16947395,0
0.17179683,0
0.17663846,0
0.17896343,0
0.18128635,0
0.18360925,0
0.18593421,0
0.18825713,0
0.19058003,0
0.19290502,0
0.19522791,0
0.1975529,0
0.1998758,0
0.2021987,0
0.20452368,0
0.20684656,0
0.21234862,0
0.21784648,0
0.22334645,0
0.22758185,0
0.22990476,0
0.23222973,0
0.23455265,2520.58471679688
0.23687553,0
0.2392005,0
0.24152342,0
0.24384841,0
0.2461713,2137.24560546875
0.2484942,0
0.25081918,0
0.25314208,0
0.25546498,0
0.26031083,2435.57421875
0.26263576,0
0.2649587,0
0.26728158,0
0.26960655,0
0.27192947,2470.9404296875
0.27425235,0
0.27657733,0
0.27890023,0
0.28122523,0
0.28354812,0
0.28587101,0
0.28819601,0
0.2905189,0
0.2928418,0
0.29516678,0
0.29748968,0
0.29981468,0
0.30213756,0
