CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C10_GCA_Lgasseri_BSH_48h.raw
Data points: 2896
Time(min),Relative Abundance
0.0037177,0
0.0083448,0
0.011657182,0
0.013982168,0
0.016305064,0
0.018627965,0
0.020952967,0
0.023275832,0
0.025598748,0
0.027923734,0
0.03024665,0
0.032571617,0
0.034894501,0
0.037217398,0
0.049490284,0
0.053721467,0
0.056044367,0
0.058367267,0
0.060692266,0
0.063015134,0
0.065340133,0
0.067663049,0
0.069985933,0
0.072310916,0
0.074633816,0
0.076958799,0
0.079281715,0
0.081604615,0
0.083929601,0
0.086252518,0
0.088575382,0
0.093410765,0
0.095735732,0
0.098058648,0
0.10038155,0
0.10270655,0
0.10502945,0
0.10735443,0
0.10967732,0
0.11200022,0
0.1143252,0
0.11664812,0
0.11897098,0
0.121296,0
0.1236189,0
0.12594388,0
0.12826678,0
0.13058968,0
0.13291467,0
0.13523755,0
0.13756048,0
0.13988545,0
0.14220833,0
0.14453333,0
0.14685622,0
0.14917912,0
0.1515041,0
0.15382701,0
0.15614992,0
0.1584749,0
0.16079778,0
0.16312276,0
0.16544568,0
0.16776858,0
0.17009358,0
0.17241645,0
0.17725187,0
0.17957475,0
0.18189767,0
0.18422262,0
0.18654553,0
0.18887052,0
0.19119343,0
0.19351632,0
0.19584132,0
0.1981642,0
0.20048918,0
0.20281208,0
0.20513498,0
0.20745997,0
0.21295575,0
0.22183698,0
0.22607858,0
0.22840148,0
0.23072647,0
0.23304938,0
0.23537226,0
0.23769725,0
0.24002015,0
0.24234305,0
0.24466805,0
0.24699091,0
0.24931593,0
0.25163882,0
0.25396172,0
0.25879302,0
0.26111583,0
0.26344081,0
0.26576373,0
0.2680887,0
0.2704116,0
0.2727345,0
0.27505948,0
0.2773824,0
0.27970528,0
0.28203028,0
0.28435315,0
0.28667817,0
0.28900105,0
0.29132395,0
0.29364895,0
0.29597183,0
0.29829475,0
0.30061972,0
0.30294263,0
0.3052676,0
0.30759052,0
0.3099134,0
0.31223838,0
0.3145613,0
0.31688418,0
0.31920918,0
0.32153208,0
0.32385498,0
0.32617995,0
0.32850285,0
0.33082785,0
0.33315075,0
0.33547367,0
0.33779861,0
0.34263193,0
0.34495483,0
0.34727982,0
0.3496027,0
0.35192561,0
0.35425058,0
0.3565735,0
0.35889848,0
0.36122138,0
0.36354426,0
