CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C11_BHI_50MeOH.raw
Data points: 2891
Time(min),Relative Abundance
0.003804417,0
0.008416882,0
0.011562668,0
0.013885549,0
0.016210515,0
0.018533416,0
0.020856316,0
0.023181303,0
0.025504219,0
0.027827119,0
0.030152066,0
0.032475002,0
0.034799952,0
0.037122849,0
0.046035301,0
0.050266535,0
0.052591518,0
0.054914418,0
0.057237334,0
0.059562301,0
0.061885201,0
0.064208101,0
0.0665331,0
0.068855968,0
0.071178884,0
0.073503867,0
0.075826767,0
0.078151766,0
0.080474666,0
0.082797534,0
0.085122533,0
0.087445433,0
0.09229135,0
0.094616233,0
0.096939118,0
0.099264116,0
0.101587,0
0.1039099,0
0.10623487,0
0.10855778,0
0.11088068,0
0.11320567,0
0.11552858,0
0.11785355,0
0.12017645,0
0.12249935,0
0.12482435,0
0.12714725,0
0.12947015,0
0.13179514,0
0.13411802,0
0.13644092,0
0.14201175,0
0.14624714,0
0.14857002,0
0.15089292,0
0.15321788,0
0.1555408,0
0.15786579,0
0.16018867,0
0.16251158,0
0.16483655,0
0.16715945,0
0.16948239,0
0.17180735,0
0.17664273,0
0.1789677,0
0.1812906,0
0.18361352,0
0.18593852,0
0.1882614,0
0.19058638,0
0.19290927,0
0.19523218,0
0.19755715,0
0.19988007,0
0.20220295,0
0.20452795,0
0.20685085,0
0.21235288,0
0.21785077,0
0.22208209,0
0.22440488,0
0.22672987,0
0.22905277,0
0.23137567,0
0.23370067,0
0.23602357,0
0.23834645,0
0.24067145,0
0.24299434,0
0.24531933,0
0.24764222,0
0.24996513,0
0.25229012,0
0.254613,0
0.25944838,0
0.2617713,0
0.26409627,0
0.26641917,0
0.26874208,0
0.27106707,0
0.27338997,0
0.27571287,0
0.27803783,0
0.28036075,0
0.28268572,0
0.28500862,0
0.28733153,0
0.2896565,0
0.29197942,0
0.29430232,0
0.2966273,0
0.2989502,0
0.30127518,0
0.30359807,0
0.305921,0
0.30824597,0
0.31056887,0
0.31289177,0
0.31521675,0
0.31753964,0
0.31986462,0
0.32218753,0
0.32451042,0
0.32683542,0
0.32915833,0
0.33148122,0
0.3338062,0
0.3361291,0
0.33845198,0
0.3432853,0
0.3456103,0
0.34793318,0
0.35025608,0
0.35258107,0
0.35490395,0
0.35722895,0
0.35955185,0
0.36187477,0
0.36419975,0
0.36652263,0
0.36884552,0
0.37387468,0
0.3808642,0
0.39999322,0
0.41897435,0
0.43905127,0
0.45802199,0
0.47583644,0
0.49218632,0
0.51119035,0
0.53299437,0
0.55204632,0
0.57106285,0
0.59011273,0
0.6058022,0
0.62147292,0
0.63860197,0
0.655631,0
0.6713684,0
0.69193077,0
0.70559527,0
0.72276179,0
0.74140332,0
0.75560532,0
0.77035524,0
0.78555092,0
0.80433203,0
0.82129025,0
0.8373839,0
0.85666292,0
0.87573987,0
0.89485015,0
0.91398127,0
0.93302072,0
0.95438307,0
0.97364752,0
0.9928682,0
1.0120577,0
1.03192,0
1.0498095,0
1.0684677,0
1.0876821,0
1.1095549,0
1.1276735,0
1.1469442,0
1.1662358,0
1.1854085,0
1.2073292,0
1.2241395,0
1.2433039,0
1.2623538,0
1.2843037,0
1.302489,0
1.3217159,0
1.341047,0
1.3628844,0
1.380728,0
1.3999987,0
1.4193152,0
1.4411401,0
1.4578837,0
1.4764148,0
1.493373,0
1.5112292,0
1.5281686,0
1.5418685,0
1.5528872,0
1.5659663,0
1.5782391,0
1.5956619,0
1.610793,0
1.6229971,0
1.636647,0
1.6503323,0
1.6665177,0
1.6799884,0
1.6940737,0
1.7080111,0
1.7218589,0
1.7384671,0
1.7507712,0
1.7660357,0
1.7821126,0
1.7969563,0
1.8134749,0
1.8305165,0
1.8443497,0
1.8579455,0
1.8718849,0
1.8897182,0
1.9028493,0
1.9133097,0
1.9283491,0
1.9404783,0
1.955251,0
1.9696968,0
1.9877091,0
2.0035944,0
2.0231443,0
2.0350713,0
2.0504629,0
2.0691627,0
2.0887813,0
2.1049354,0
2.1231748,0
2.1394706,0
2.1586079,0
2.1768807,0
2.1967722,0
2.2162783,0
2.2320136,0
2.2499635,0
2.2689467,0
2.2905591,0
2.3100214,0
2.3293921,0
2.3490129,0
2.3686627,0
2.3882188,0
2.4047833,0
2.4244644,0
2.4420101,0
2.4607475,0
2.4782515,0
2.4980389,0
2.5172866,0
2.5393969,0
2.5580155,0
2.5777237,0
2.5971278,0
2.6193672,0
2.63884,0
2.6584711,0
2.6782084,0
2.7003541,0
2.7199873,0
2.7391601,0
2.7589787,0
2.7813014,0
2.800943,0
2.8205637,0
2.8399281,0
2.862153,0
2.8814487,0
2.9009173,0
2.9193901,0
2.9368149,0
2.9563335,0
2.9757522,0
2.9938208,0
3.0129082,0
3.0353642,0
3.0552454,0
3.0731411,0
3.0928118,0
3.1124575,0
3.1321969,0
3.1404844,0
3.1602238,0
3.1796445,0
3.2017256,0
3.2213838,0
3.2411232,0
3.2608356,0
3.2796417,0
3.2992312,0
3.3025415,0
3.3106977,0
3.3189872,0
3.3237289,0
3.3308101,0
3.3343892,0
3.3376163,0
3.3414767,0
3.3462142,0
3.349712,0
3.3530245,0
3.3577141,0
3.3612411,0
3.3645411,0
3.3678098,0
3.3725515,0
3.3773077,0
3.384418,0
3.391468,0
3.4019721,0
3.4101804,0
3.417172,0
3.4218115,0
3.4254219,0
3.4285407,0
3.4331802,0
3.4366469,0
3.4399072,0
3.4432322,0
3.446653,0
3.4584717,0
3.46313,0
3.47023,0
3.4807549,0
3.4841507,0
3.4872882,0
3.5034151,0
3.5143984,0
3.5214879,0
3.5355566,0
3.546244,0
3.5658897,0
3.5764042,0
3.5796375,0
3.5867354,0
3.5898353,0
3.5971957,0
3.6003415,0
3.6084123,0
3.6189435,0
3.6260351,0
3.6366579,0
3.6484808,0
3.6565807,0
3.6600099,0
3.6631786,0
3.6665202,0
3.6698077,0
3.6735952,0
3.6820181,0
3.6855055,0
3.6888617,0
3.6973179,0
3.70107,0
3.7043262,0
3.7090616,0
3.7127241,0
3.7160241,0
3.7207803,0
3.727899,0
3.7384927,0
3.7456009,0
3.75613,0
3.7670924,0
3.771732,0
3.7798694,0
3.7831444,0
3.786209,0
3.789484,0
3.7925735,0
3.7958172,0
3.7991152,0
3.8022776,0
3.8093442,0
3.8163942,0
3.8269066,0
3.8385107,0
3.852596,0
3.8669751,0
3.8809583,0
3.900529,0
3.9167414,0
3.9249955,0
3.9332309,0
3.9437433,0
3.9552453,0
3.9623286,0
3.9763451,0
3.9810868,0
3.9916388,0
3.9987283,0
4.0033679,0
4.0104762,0
4.0214636,0
4.0250573,0
4.0283823,0
4.031726,0
4.0350864,0
4.0398426,0
4.0432842,0
