CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C2_TDCA_Lgasseri_BSH_48h.raw
Data points: 2958
Time(min),Relative Abundance
0.003715347,0
0.008346632,0
0.011494397,0
0.013817298,0
0.016142264,0
0.01846518,0
0.020788081,0
0.023113079,0
0.025435979,0
0.027758864,0
0.030083866,0
0.032406747,0
0.034731713,0
0.037054613,0
0.049321214,0
0.053569097,0
0.055894096,0
0.058216996,0
0.060539896,0
0.062864879,0
0.065187779,0
0.067512782,0
0.069835646,0
0.072158546,0
0.074483549,0
0.076806449,0
0.079129349,0
0.081454332,0
0.083777232,0
0.086102215,0
0.088425099,0
0.09325635,0
0.095579214,0
0.09790213,0
0.10022711,0
0.10255001,0
0.10487291,0
0.10719788,0
0.10952078,0
0.11184576,0
0.11416868,0
0.11649158,0
0.11881657,0
0.12113947,0
0.12346236,0
0.12578733,0
0.12811023,0
0.13043523,0
0.13275813,0
0.13508103,0
0.137406,0
0.13972893,0
0.14205183,0
0.14437678,0
0.1466997,0
0.14902258,0
0.15134758,0
0.1536705,0
0.15599546,0
0.15831836,0
0.16064126,0
0.16296625,0
0.16528915,0
0.16761205,0
0.16993703,0
0.17225995,0
0.1770974,0
0.1794203,0
0.1817432,0
0.18406816,0
0.18639108,0
0.188714,0
0.19103898,0
0.19336188,0
0.19568478,0
0.19800975,0
0.20033265,0
0.20265763,0
0.20498053,0
0.20730343,0
0.21280548,0
0.22170125,0
0.22594081,0
0.22826372,0
0.23058662,0
0.2329116,0
0.23523448,0
0.23755946,0
0.23988238,0
0.24220528,0
0.24453026,0
0.24685315,0
0.24917606,0
0.25150103,0
0.25382393,0
0.25614891,0
0.26111763,0
0.26425095,0
0.26657387,0
0.26889885,0
0.27122175,0
0.27354463,0
0.27586963,0
0.27819253,0
0.28051543,0
0.2828404,0
0.28516331,0
0.2874883,0
0.2898112,0
0.2921341,0
0.29445908,0
0.29678198,0
0.29910486,0
0.30142985,0
0.30375276,0
0.30607775,0
0.30840065,0
0.31072355,0
0.31304853,0
0.31537141,0
0.31769431,0
0.32001932,0
0.32234222,0
0.32466721,0
0.3269901,0
0.329313,0
0.33163798,0
0.33396088,0
0.33628376,0
0.33860876,0
0.34344208,0
0.34576703,0
0.34808995,0
0.35041285,0
0.35273783,0
0.35506073,0
0.35738362,0
0.35970861,0
0.36203151,0
0.3643544,0
0.36977938,0
0.37321266,0
0.38892922,0
0.40791868,0
0.42633313,0
0.44670173,0
0.4657141,0
0.48184108,0
0.49945345,0
0.5184804,0
0.53754276,0
0.55660513,0
0.57562583,0
0.59216738,0
0.6063173,0
0.62205675,0
0.64012745,0
0.65808358,0
0.67681886,0
0.69293336,0
0.71070823,0
0.72778313,0
0.74250801,0
0.75639541,0
0.77398901,0
0.79194096,0
0.8111971,0
0.82937613,0
0.84670726,0
0.86726543,0
0.8840424,0
0.90310477,0
0.92227755,0
0.94343575,0
0.96274393,0
0.98186671,0
1.0011208,0
1.0191915,0
1.0404934,0
1.0586662,0
1.0778681,0
1.0970826,0
1.1177449,0
1.1368739,0
1.1561426,0
1.1753154,0
1.1961319,0
1.2142713,0
1.2334587,0
1.2514252,0
1.2706334,0
1.2925749,0
1.3119186,0
1.331208,0
1.350437,0
1.3722285,0
1.3915013,0
1.4107199,0
1.4290928,0
1.4505613,0
1.4686049,0
1.4878361,0
1.5030755,0
1.5201358,0
1.5393524,0
1.5531835,0
1.5652064,0
1.5796833,0
1.5947624,0
1.6082644,0
1.6205081,0
1.6327788,0
1.6479662,0
1.6650931,0
1.676666,0
1.6891722,0
1.7031012,0
1.7192886,0
1.7338989,0
1.7495238,0
1.7619654,0
1.7785111,0
1.7937277,0
1.8100755,0
1.8257399,0
1.8397357,0
1.8566043,0
1.8675313,0
1.8817333,0
1.8951228,0
1.9081727,0
1.9202914,0
1.9323184,0
1.9455391,0
1.9645994,0
1.9806034,0
1.9969179,0
2.0151844,0
2.0299135,0
2.0463259,0
2.0623779,0
2.0758986,0
2.0926339,0
2.1134192,0
2.131419,0
2.1508418,0
2.1690708,0
2.1884707,0
2.2046623,0
2.2239142,0
2.2423224,0
2.2609369,0
2.2826242,0
2.3017866,0
2.3213989,0
2.3408176,0
2.3629924,0
2.3775152,0
2.3963067,0
2.4153879,0
2.4349252,0
2.4549022,0
2.4717541,0
2.4912811,0
2.5104852,0
2.5327245,0
2.5523598,0
2.5721597,0
2.5909804,0
2.6133177,0
2.6329947,0
2.6525404,0
2.6723069,0
2.6918297,0
2.7114191,0
2.7311002,0
2.7508334,0
2.7705125,0
2.7926727,0
2.8122642,0
2.8318037,0
2.8512619,0
2.8733763,0
2.8927866,0
2.9105531,0
2.9280322,0
2.947705,0
2.966234,0
2.9858463,0
3.0056296,0
3.0280356,0
3.0478563,0
3.0659624,0
3.0740499,0
3.0937789,0
3.1138059,0
3.1334932,0
3.1417473,0
3.1613409,0
3.1808012,0
3.2017365,0
3.2213947,0
3.2411841,0
3.2492091,0
3.2609965,0
3.2691673,0
3.2725777,0
3.2758943,0
3.2874859,0
3.2955754,0
3.302767,0
3.3098462,0
3.3136107,0
3.3183503,0
3.3219982,0
3.3253565,0
3.3301335,0
3.3337418,0
3.3371105,0
3.3399897,0
3.3447647,0
3.348398,0
3.3516146,0
3.3563708,0
3.3634166,0
3.3681791,0
3.3752957,0
3.3858915,0
3.3964039,0
3.4069226,0
3.4139142,0
3.421937,0
3.4257953,0
3.428912,0
3.431237,0
3.4335599,0
3.4358828,0
3.4382078,0
3.4405306,0
3.4428556,0
3.4476994,0
3.4524056,0
3.4595805,0
3.4642222,0
3.47127,0
3.4783491,0
3.4818303,0
3.4935491,0
3.5006448,0
3.5077385,0
3.5185864,0
3.5256801,0
3.5363716,0
3.548057,0
3.5622527,0
3.5692548,0
3.5725527,0
3.5758797,0
3.5790484,0
3.5823963,0
3.5939796,0
3.6013483,0
3.6118878,0
3.6189773,0
3.6378438,0
3.6494459,0
3.656502,0
3.6636937,0
3.670879,0
3.6782811,0
3.6861518,0
3.6900122,0
3.6933914,0
3.6957164,0
3.6980393,0
3.7003642,0
3.7053184,0
3.7127016,0
3.720037,0
3.723887,0
3.7269266,0
3.7386119,0
3.7421514,0
3.7455285,0
3.7572659,0
3.7646305,0
3.7679721,0
3.7761117,0
3.7793866,0
3.7864866,0
3.7897324,0
3.7929803,0
3.8000781,0
3.8140905,0
3.8222196,0
3.8362862,0
3.8468611,0
3.8612381,0
3.8808317,0
3.900517,0
3.9052378,0
3.917046,0
3.9252502,0
3.9322834,0
3.9369251,0
3.9415647,0
3.9449917,0
3.9483479,0
3.9600312,0
3.9682228,0
3.9715415,0
3.9749061,0
3.9780039,0
3.9827581,0
3.986283,0
3.9909205,0
3.9943372,0
3.9977205,0
4.0094725,0
4.0133016,0
4.0163725,0
4.0186974,0
4.0210203,0
4.0233432,0
4.0256682,0
4.0279911,0
4.030314,0
4.032639,0
4.0349619,0
4.0372869,0
4.0396098,0
4.0419327,0
4.0442576,0
4.048993,0
4.0525951,0
4.0559846,0
4.0641075,0
4.0674283,0
4.0707783,0
4.0739616,0
4.0762845,0
4.0786095,0
4.0809324,0
4.0832574,0
4.0855803,0
4.0879032,0
4.0915865,0
4.0939115,0
4.0962344,0
4.0985573,0
4.1008823,0
4.1032051,0
4.1078447,0
4.1124988,0
4.1195051,0
4.122955,0
4.1262696,0
4.1344904,0
4.1378403,0
4.1411257,0
4.1459153,0
4.1530527,0
4.1564485,0
4.1680859,0
4.1728442,0
4.1802817,0
4.1836359,0
4.1867817,0
4.190117,0
4.1934879,0
4.196642,0
4.199992,0
4.2031857,0
4.2065398,0
4.2099086,0
4.2181794,0
4.2217335,0
4.224921,0
4.2272459,0
4.2295688,0
4.2318917,0
4.2342167,0
4.2365396,0
4.2388625,0
4.2436563,0
4.2472375,0
4.2503666,0
4.2526916,0
4.2573978,0
4.2611499,0
4.2640478,0
4.268754,0
4.2720602,0
4.2766998,0
4.2813393,0
4.284831,0
4.2879726,0
4.2961809,0
4.3033225,0
4.3068766,0
4.3100683,0
4.3148578,0
4.3185224,0
4.3217474,0
4.3265369,0
4.3311869,0
4.334666,0
4.3380952,0
4.3420055,0
4.3443285,0
4.3466513,0
4.355018,0
4.3586221,0
4.3617846,0
4.3781616,0
4.3814761,0
4.3898177,0
4.3980906,0
4.4013093,0
4.4118405,0
4.4225175,0
4.441482,0
4.4521694,0
4.4601964,0
4.4762067,0
4.4880066,0
4.4951128,0
4.5057003,0
4.5201168,0
4.5271251,0
4.5375188,0
4.5482041,0
4.5514353,0
4.5562228,0
4.5593186,0
4.5664498,0
4.5782518,0
4.585433,0
4.5960642,0
4.6071183,0
4.6153578,0
4.6271994,0
4.6432409,0
4.6538846,0
4.6680762,0
4.6710616,0
4.6785803,0
4.6979926,0
4.7086218,0
4.7157633,0
4.7229029,0
4.7276924,0
4.7348236,0
4.7380174,0
4.7410132,0
4.7457694,0
4.7489673,0
4.7538068,0
4.7568777,0
4.7644422,0
4.7715359,0
4.7786567,0
4.7926357,0
4.8008898,0
4.8123106,0
4.8154293,0
4.8226105,0
4.8259897,0
4.8293313,0
4.8325458,0
4.8359229,0
4.8392354,0
4.8430021,0
4.8453249,0
4.8476478,0
4.8499728,0
4.8522957,0
4.8546207,0
4.8569436,0
4.8615832,0
4.8650685,0
4.8683373,0
4.8706602,0
4.8729831,0
4.875308,0
4.8776309,0
4.8799538,0
4.8822788,0
4.8846017,0
4.8893246,0
4.8929642,0
4.8961163,0
4.8984412,0
4.9007641,0
4.903087,0
4.905412,0
4.9077349,0
4.9100599,0
4.9123828,0
4.9147057,0
4.9170307,0
4.9193536,0
4.9216765,0
4.9257348,0
4.9288452,0
4.9311681,0
4.9334931,0
4.935816,0
4.9381389,0
4.9404638,0
4.9427867,0
4.9451117,0
4.9474346,0
4.9497575,0
4.9520825,0
4.9544054,0
4.9567283,0
4.9590533,0
4.9639283,0
4.9710824,0
4.975724,0
4.9838677,0
4.9945072,0
4.9977343,0
5.0010092,0
5.00918,0
5.0167216,0
5.0200133,0
5.0271257,0
5.0317653,0
5.0389111,0
5.0421319,0
5.0491568,0
5.0633838,0
5.0740629,0
5.0847253,0
5.0917044,0
5.0951419,0
5.0982085,0
5.1063794,0
5.1094522,0
5.1126897,0
5.1197793,0
5.123048,0
5.1263646,0
5.1294917,0
5.1328,0
5.1399833,0
5.1471665,0
5.1587748,0
5.1706747,0
5.1813726,0
5.192285,0
5.1953266,0
5.2112286,0
5.2219285,0
5.2267431,0
5.2349826,0
5.2381159,0
5.2429055,0
5.2500554,0
5.2584512,0
5.2693511,0
5.279874,0
5.2870155,0
5.295153,0
5.3021279,0
5.3053342,0
5.3085696,0
5.3116842,0
5.3149612,0
5.3195987,0
5.3242403,0
5.3290799,0
5.3322777,0
5.3406194,0
5.3442631,0
5.347186,0
5.349511,0
5.3518339,0
5.3541568,0
5.3564817,0
5.3588047,0
5.3611296,0
5.3634525,0
5.3657754,0
5.3704171,0
5.3740483,0
5.3773691,0
5.3805878,0
5.3829128,0
5.3852357,0
5.3875586,0
5.3898836,0
5.3922065,0
5.3945315,0
5.3968544,0
5.3991773,0
5.4015023,0
5.4038252,0
5.4061481,0
5.4084731,0
5.410796,0
5.4131189,0
5.4154438,0
5.4177668,0
5.4200917,0
5.4224146,0
5.4265585,0
5.4288812,0
5.4312041,0
5.4335291,0
5.435852,0
5.4381749,0
5.4404999,0
5.4428228,0
5.4451478,0
5.4474707,0
5.4497936,0
5.4521186,0
5.4544415,0
5.4567664,0
5.4590894,0
5.4614123,0
5.4637372,0
5.4660601,0
5.468383,0
5.470708,0
5.4730309,0
5.4753559,0
5.4776788,0
5.4800017,0
5.4823267,0
5.4846496,0
5.4896016,0
5.4945683,0
5.4985057,0
5.5016912,0
5.5040161,0
5.506339,0
5.5106536,0
5.5129765,0
5.5152994,0
5.5176244,0
5.5199473,0
5.5222702,0
5.5245952,0
5.526918,0
5.529243,0
5.5315659,0
5.5338888,0
5.5362138,0
5.541318,0
