CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C3_TCDCA_Lgasseri_BSH_48h.raw
Data points: 2965
Time(min),Relative Abundance
0.003712618,0
0.008337564,0
0.011483351,0
0.013806267,0
0.016131233,0
0.01845415,0
0.02077705,0
0.023102016,0
0.025424933,0
0.027749899,0
0.030072831,0
0.0323957,0
0.034720682,0
0.037043583,0
0.049303948,0
0.053537201,0
0.055860133,0
0.058185116,0
0.060508016,0
0.062830916,0
0.065155899,0
0.067478799,0
0.069803766,0
0.072126666,0
0.074449566,0
0.076774565,0
0.079097465,0
0.081422451,0
0.083745367,0
0.086068232,0
0.088393215,0
0.093239116,0
0.095561949,0
0.097886915,0
0.10020983,0
0.1025348,0
0.1048577,0
0.10718058,0
0.10950557,0
0.11182848,0
0.11415138,0
0.11647635,0
0.11879926,0
0.12112427,0
0.12344713,0
0.12577005,0
0.12809505,0
0.13041793,0
0.13274085,0
0.13506582,0
0.13738873,0
0.1397137,0
0.14203662,0
0.14435948,0
0.14668448,0
0.14900738,0
0.15133028,0
0.15365528,0
0.15597818,0
0.15830107,0
0.16062605,0
0.16294895,0
0.16527393,0
0.16759683,0
0.16991976,0
0.17224471,0
0.1770822,0
0.1794051,0
0.18173005,0
0.18405295,0
0.18637797,0
0.18870087,0
0.19102377,0
0.19334875,0
0.19567165,0
0.19799453,0
0.20031952,0
0.20264243,0
0.20496741,0
0.2072903,0
0.21279235,0
0.22168608,0
0.22592568,0
0.2282485,0
0.23057348,0
0.2328964,0
0.23521927,0
0.23754425,0
0.23986718,0
0.24219215,0
0.24451505,0
0.24683795,0
0.24916293,0
0.25148583,0
0.25380873,0
0.25613371,0
0.26098161,0
0.2633045,0
0.26562742,0
0.26795238,0
0.27027528,0
0.27260025,0
0.27492315,0
0.27724607,0
0.27957105,0
0.28189397,0
0.28421685,0
0.28654181,0
0.28886472,0
0.29118763,0
0.29351262,0
0.29583552,0
0.2981605,0
0.3004834,0
0.30280632,0
0.30513128,0
0.30745418,0
0.30977915,0
0.31210205,0
0.31442497,0
0.31674995,0
0.31907285,0
0.32139577,0
0.32372072,0
0.32604363,0
0.32836653,0
0.33069152,0
0.33301443,0
0.33533941,0
0.33766231,0
0.34249778,0
0.34482266,0
0.34714556,0
0.34946846,0
0.35179345,0
0.35411637,0
0.35643927,0
0.35876425,0
0.36108715,0
0.36341212,0
0.36573502,0
0.36805792,0
0.37305792,0
0.38342448,0
0.40244933,0
0.41050348,0
0.42726165,0
0.44813233,0
0.4671593,0
0.4820946,0
0.50112988,0
0.52017768,0
0.53926295,0
0.55834407,0
0.57734393,0
0.59490007,0
0.61082078,0
0.62820608,0
0.64636011,0
0.66501833,0
0.6799432,0
0.7000306,0
0.71534088,0
0.73398867,0
0.75008232,0
0.76666137,0
0.78417582,0
0.80281735,0
0.82158805,0
0.8378421,0
0.8587107,0
0.87773557,0
0.89690418,0
0.91389782,0
0.93300185,0
0.95459128,0
0.97382657,0
0.99308477,0
1.0123034,0
1.0323407,0
1.0513989,0
1.0706488,0
1.0878403,0
1.107034,0
1.1252026,0
1.1445545,0
1.1636981,0
1.182948,0
1.2049937,0
1.2224831,0
1.2394788,0
1.2587516,0
1.2791869,0
1.2984764,0
1.31772,0
1.3370803,0
1.359003,0
1.3778404,0
1.3971361,0
1.4164193,0
1.4347379,0
1.4557773,0
1.4738605,0
1.4914625,0
1.5084478,0
1.5258706,0
1.5406017,0
1.5537037,0
1.5702411,0
1.5851723,0
1.5992242,0
1.6155721,0
1.6293719,0
1.644076,0
1.6593363,0
1.673455,0
1.6886049,0
1.7026485,0
1.7206526,0
1.7342171,0
1.7481211,0
1.7638481,0
1.7824354,0
1.7962479,0
1.8127373,0
1.8300705,0
1.8449392,0
