CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C4_TUDCA_Lgasseri_BSH_48h.raw
Data points: 2906
Time(min),Relative Abundance
0.003718165,0
0.008351397,0
0.011497199,0
0.013820115,0
0.016145081,0
0.018467998,0
0.020790898,0
0.023115896,0
0.025438765,0
0.027763747,0
0.030086664,0
0.032409564,0
0.034734546,0
0.037057447,0
0.049332399,0
0.053561615,0
0.055884416,0
0.058209383,0
0.060532283,0
0.062855199,0
0.065180166,0
0.067503066,0
0.069825946,0
0.072150949,0
0.074473849,0
0.076798847,0
0.079121732,0
0.081444632,0
0.083769615,0
0.086092515,0
0.088415431,0
0.093250814,0
0.095573699,0
0.097898681,0
0.1002216,0
0.10254448,0
0.10486948,0
0.10719235,0
0.10951735,0
0.11184025,0
0.11416316,0
0.11648817,0
0.11881105,0
0.12113395,0
0.12345891,0
0.12578181,0
0.1281068,0
0.13042972,0
0.13275262,0
0.1350776,0
0.1374005,0
0.13972338,0
0.14204838,0
0.14437127,0
0.14669626,0
0.14901918,0
0.15134205,0
0.15366703,0
0.15598995,0
0.15831285,0
0.16063781,0
0.16296072,0
0.16528571,0
0.16760861,0
0.16993151,0
0.1722565,0
0.17709613,0
0.17942103,0
0.18174393,0
0.18406683,0
0.18639181,0
0.18871471,0
0.19103761,0
0.1933626,0
0.1956855,0
0.19801046,0
0.20033336,0
0.20265628,0
0.20498127,0
0.20730415,0
0.21280411,0
0.22169363,0
0.22592903,0
0.22825193,0
0.23057692,0
0.2328998,0
0.23522272,0
0.23754768,0
0.23987061,0
0.2421935,0
0.24451848,0
0.24684137,0
0.2491643,0
0.25148926,0
0.25381217,0
0.25613718,0
0.26097265,0
0.26329543,0
0.26561833,0
0.26794333,0
0.27026621,0
0.2725912,0
0.2749141,0
0.277237,0
0.279562,0
0.2818849,0
0.28420778,0
0.28653278,0
0.28885566,0
0.29118067,0
0.29350355,0
0.29582645,0
0.29815145,0
0.30047435,0
0.30279723,0
0.30512223,0
0.30744513,0
0.30977011,0
0.31209301,0
0.31441591,0
0.3167409,0
0.31906378,0
0.3213867,0
0.32371168,0
0.32603456,0
0.32835955,0
0.33068246,0
0.33300535,0
0.33533037,0
0.33765325,0
0.34250113,0
0.34482403,0
0.34714898,0
0.3494719,0
0.35179483,0
0.3541198,0
0.3564427,0
0.3587656,0
0.36109056,0
0.36341346,0
0.36573845,0
0.37097593,0
0.37465298,0
0.39377783,0
0.41272145,0
0.43023593,0
0.45188368,0
0.46991271,0
0.48741258,0
0.50644371,0
0.5255228,0
0.5446351,0
0.56368083,0
0.58275152,0
0.59703683,0
0.61473257,0
0.6301095,0
0.6485344,0
0.66103013,0
0.6789425,0
0.69994653,0
0.71656932,0
0.7342963,0
0.75167323,0
0.7686252,0
0.78731466,0
0.80584785,0
0.82324148,0
0.84023513,0
0.8586829,0
0.87770777,0
0.89687846,0
0.91605956,0
0.93517822,0
0.95714678,0
0.9763175,0
0.99550485,0
1.0147193,0
1.031815,0
1.0510315,0
1.0702314,0
1.0895125,0
