CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_C5_TCA_Lgasseri_BSH_48h.raw
Data points: 2880
Time(min),Relative Abundance
0.003812567,0
0.008445886,0
0.011593718,0
0.013916619,0
0.016241617,0
0.018564517,0
0.020887402,0
0.0232124,0
0.025535301,0
0.027860267,0
0.030183183,0
0.032506084,0
0.03483105,0
0.037153951,0
0.049441353,0
0.0536851,0
0.056008,0
0.058332967,0
0.060655883,0
0.062978768,0
0.06530375,0
0.067626666,0
0.069949566,0
0.072274533,0
0.074597433,0
0.076922436,0
0.079245336,0
0.081568232,0
0.083893219,0
0.086216099,0
0.088539019,0
0.093382751,0
0.095705616,0
0.098030618,0
0.1003535,0
0.1026785,0
0.10500142,0
0.1073243,0
0.10964928,0
0.11197218,0
0.11429507,0
0.11662007,0
0.11894297,0
0.12126795,0
0.12359083,0
0.12591375,0
0.12823873,0
0.13056163,0
0.13288453,0
0.13520952,0
0.13753242,0
0.1398574,0
0.14218028,0
0.1445032,0
0.14682817,0
0.14915109,0
0.15147398,0
0.15379897,0
0.15612187,0
0.15844687,0
0.16076974,0
0.16309264,0
0.16541763,0
0.16774053,0
0.17006345,0
0.17238842,0
0.1772238,0
0.1795488,0
0.1818717,0
0.18419458,0
0.18651957,0
0.18884247,0
0.19116745,0
0.19349035,0
0.19581327,0
0.19813822,0
0.20046113,0
0.20278403,0
0.20510904,0
0.20743192,0
0.21292978,0
0.22182974,0
0.22607347,0
0.22839635,0
0.23071925,0
0.23304425,0
0.23536712,0
0.23769003,0
0.24001503,0
0.24233793,0
0.24466083,0
0.24698582,0
0.24930872,0
0.25163368,0
0.2539566,0
0.25627948,0
0.26111072,0
0.2634357,0
0.2657586,0
0.26808358,0
0.27040647,0
0.27272937,0
0.27505437,0
0.27737727,0
0.27970017,0
0.28202515,0
0.28434805,0
0.28667097,0
0.28899592,0
0.29131883,0
0.29364382,0
0.29596672,0
0.29828962,0
0.3006146,0
0.3029375,0
