CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D10_GCA_LCAG-95_BSH1208_48h.raw
Data points: 3063
Time(min),Relative Abundance
0.0037539,0
0.008387116,0
0.011539196,0
0.013862081,0
0.016187063,0
0.018509983,0
0.020832864,0
0.023157846,0
0.025480766,0
0.027805749,0
0.030128649,0
0.032451549,0
0.0347765,0
0.037099416,0
0.049372247,0
0.053605548,0
0.055928464,0
0.058253446,0
0.060576347,0
0.062899247,0
0.065224229,0
0.06754713,0
0.06987005,0
0.072194997,0
0.074517913,0
0.076842899,0
0.07916578,0
0.0814887,0
0.083813682,0
0.086136599,0
0.088459483,0
0.093303298,0
0.095626083,0
0.097951082,0
0.10027397,0
0.10259688,0
0.10492185,0
0.10724476,0
0.10956973,0
0.11189265,0
0.11421555,0
0.11654051,0
0.11886343,0
0.12118633,0
0.12351131,0
0.12583421,0
0.1281592,0
0.1304821,0
0.132805,0
0.13512998,0
0.13745288,0
0.13977578,0
0.14210077,0
0.14442366,0
0.14674865,0
0.14907155,0
0.15139445,0
0.15371942,0
0.15604233,0
0.15836525,0
0.16069023,0
0.16301312,0
0.1653381,0
0.167661,0
0.16998388,0
0.17230888,0
0.17715688,0
0.17948176,0
0.18180465,0
0.18412756,0
0.18645252,0
0.18877545,0
0.19109833,0
0.19342331,0
0.19574623,0
0.1980712,0
0.2003941,0
0.20271701,0
0.20504198,0
0.20736488,0
0.21286276,0
0.22174811,0
0.22599186,0
0.22831681,0
0.23063973,0
0.23296262,0
0.23528761,0
0.2376105,0
0.2399355,0
0.2422584,0
0.2445813,0
0.24690628,0
0.24922918,0
0.25155208,0
0.25387705,0
0.25619995,0
0.2610416,0
0.2633645,0
0.26568946,0
0.26801238,0
0.2703353,0
0.27266027,0
0.27498315,0
0.27730606,0
0.27963105,0
0.28195395,0
0.28427893,0
0.28660185,0
0.28892473,0
0.29124972,0
0.29357262,0
0.29589552,0
0.2982205,0
0.3005434,0
0.30286841,0
0.3051913,0
0.30751418,0
0.30983918,0
0.31216205,0
0.31448496,0
0.31680995,0
0.31913285,0
0.32145575,0
0.32378075,0
0.32610363,0
0.32842861,0
0.33075153,0
0.33307441,0
0.3353994,0
0.3377223,0
0.34256186,0
0.34488476,0
0.34720973,0
0.34953263,0
0.35185555,0
0.35418053,0
0.35650341,0
0.3588284,0
0.36115131,0
0.36347421,0
0.36579918,0
0.36812208,0
0.37670536,0
0.38017617,0
0.38820527,0
0.4071968,0
0.42477167,0
0.44550903,0
0.46448181,0
0.48169628,0
0.50074615,0
0.51989392,0
0.53903545,0
0.55818115,0
0.57721643,0
0.59486213,0
0.61398908,0
0.63109732,0
0.64863053,0
0.6661804,0
0.68326987,0
0.70480932,0
0.72221541,0
0.73994653,0
0.757336,0
0.77751503,0
0.79547113,0
0.81475851,0
0.83384588,0
0.85301032,0
0.8716081,0
0.89069755,0
0.90988285,0
0.92904728,0
0.95095338,0
0.97028033,0
0.98953438,0
1.0087947,0
1.0289674,0
1.0479402,0
1.0671151,0
1.0863816,0
1.1056377,0
1.1244542,0
1.1437708,0
1.1631165,0
1.182308,0
1.2042474,0
1.2234244,0
1.2419784,0
1.2612721,0
1.283301,0
1.3026488,0
1.3219424,0
1.341386,0
1.3633567,0
1.3825878,0
1.4018023,0
1.4202397,0
1.4423916,0
1.4607977,0
1.4787622,0
1.4980704,0
1.5162619,0
1.5356576,0
1.5504554,0
1.5673032,0
1.5842489,0
1.5974801,0
1.6177841,0
1.6310653,0
1.6466027,0
1.6635942,0
1.6801107,0
1.6966211,0
1.7123126,0
1.7307542,0
1.7451457,0
1.7616644,0
1.7801455,0
1.7968141,0
1.8139869,0
1.8315742,0
1.8489721,0
1.8627615,0
1.8778323,0
1.893078,0
1.9068509,0
1.9188674,0
1.9332152,0
1.9529067,0
1.9708837,0
1.9860794,0
2.004698,0
2.0265021,0
