CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D11_BHI_50MeOH.raw
Data points: 3093
Time(min),Relative Abundance
0.003710833,0
0.008321149,0
0.011466999,0
0.013789864,0
0.016114866,0
0.01843773,0
0.020760666,0
0.023085665,0
0.025408549,0
0.027733532,0
0.030056416,0
0.032379332,0
0.034704299,0
0.037027183,0
0.045908399,0
0.050137515,0
0.055654147,0
0.059716649,0
0.062041632,0
0.064364516,0
0.0666874,0
0.069012399,0
0.071335299,0
0.073658183,0
0.075983166,0
0.078306098,0
0.080631065,0
0.082953965,0
0.085276881,0
0.087601848,0
0.092441415,0
0.094766397,0
0.097089282,0
0.09941428,0
0.10173716,0
0.10406005,0
0.10638505,0
0.10870795,0
0.11103085,0
0.11335583,0
0.11567873,0
0.11800372,0
0.12032661,0
0.12264951,0
0.1249745,0
0.12729742,0
0.12962032,0
0.1319453,0
0.13426818,0
0.13659318,0
0.13891607,0
0.14123897,0
0.14356395,0
0.14588685,0
0.14820977,0
0.15053473,0
0.15285765,0
0.15518263,0
0.15750552,0
0.15982843,0
0.1621534,0
0.16447631,0
0.16679921,0
0.16912422,0
0.17144708,0
0.17628665,0
0.17860953,0
0.18093245,0
0.18325743,0
0.18558035,0
0.18790531,0
0.19022822,0
0.19255112,0
0.19487608,0
0.19719901,0
0.19952188,0
0.20184686,0
0.20416978,0
0.20649475,0
0.21199471,0
0.21749468,0
0.22172381,0
0.22404673,0
0.22637168,0
0.22869458,0
0.23419456,0
0.23842995,0
0.24075285,0
0.24307783,0
0.24540075,0
0.24772361,0
0.25004863,0
0.25237155,0
0.2546944,0
0.25952148,0
0.26184647,0
0.26416935,0
0.26649227,0
0.26881721,0
0.27114013,0
0.27346513,0
0.27578803,0
0.27811092,0
0.2804359,0
0.2827588,0
0.28508378,0
0.2874067,0
0.2897296,0
0.29205458,0
0.29437748,0
0.29670038,0
0.29902536,0
0.30134825,0
0.30367118,0
0.30599615,0
0.30831905,0
0.31064403,0
0.31296693,0
