CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D12_BHI_50DMSO_25MeOH.raw
Data points: 3149
Time(min),Relative Abundance
0.003723863,0
0.00834883,0
0.011496698,0
0.013819582,0
0.016142483,0
0.018467449,0
0.02079035,0
0.023113282,0
0.025438232,0
0.027761149,0
0.030086131,0
0.032409031,0
0.034731916,0
0.037056898,0
0.049321396,0
0.053554733,0
0.055879679,0
0.058202616,0
0.060525516,0
0.062850463,0
0.065173399,0
0.067496279,0
0.069821281,0
0.072144146,0
0.074469148,0
0.076792064,0
0.079114965,0
0.081439947,0
0.083762848,0
0.086085732,0
0.088410714,0
0.093246098,0
0.09557108,0
0.09789398,0
0.10021898,0
0.10254188,0
0.10486476,0
0.10718977,0
0.10951265,0
0.11183555,0
0.11416055,0
0.11648345,0
0.11880635,0
0.12113133,0
0.12345423,0
0.1257792,0
0.12810211,0
0.13042498,0
0.13275,0
0.1350729,0
0.13739788,0
0.13972078,0
0.14204367,0
0.14436866,0
0.14669155,0
0.14901446,0
0.15133945,0
0.15366235,0
0.15598525,0
0.15831023,0
0.16063313,0
0.1629581,0
0.16528101,0
0.16760391,0
0.16992893,0
0.1722518,0
0.17709136,0
0.17941633,0
0.18173923,0
0.18406211,0
0.18638711,0
0.18871001,0
0.19103291,0
0.1933579,0
0.19568082,0
0.1980037,0
0.20032866,0
0.20265158,0
0.20497657,0
0.20729947,0
0.21279525,0
0.22168061,0
0.2259056,0
0.22823058,0
0.23055346,0
0.23287845,0
0.23520137,0
0.23752423,0
0.23984923,0
0.24217213,0
0.24449505,0
0.24682003,0
0.24914293,0
0.25146791,0
0.2537908,0
0.25611373,0
0.26094921,0
0.263272,0
0.2655949,0
0.26791988,0
0.27024278,0
0.27256776,0
0.27489065,0
0.27721356,0
0.27953856,0
0.28186146,0
0.28418435,0
0.28650935,0
0.28883223,0
0.29115721,0
0.29348011,0
0.295803,0
0.29812802,0
0.3004509,0
0.3027738,0
0.30509878,0
0.30742168,0
0.30974667,0
0.31206955,0
0.31439246,0
0.31671745,0
0.31904037,0
0.32136327,0
0.32368826,0
0.32601113,0
0.32833611,0
0.33065902,0
0.33298192,0
0.33530691,0
0.3376298,0
0.3424652,0
0.34479018,0
0.34711306,0
0.34943803,0
0.35176095,0
0.35408383,0
0.35640883,0
0.35873171,0
0.36105463,0
0.36337961,0
0.3657025,0
0.37430665,0
0.37769616,0
0.39671895,0
0.41527923,0
0.43426868,0
0.45366855,0
0.47165383,0
0.4894704,0
0.5068015,0
0.52313265,0
0.54215542,0
0.56120528,0
0.58027182,0
0.59634048,0
0.61551323,0
0.63141315,0
0.64882135,0
0.66704413,0
0.6824482,0
0.70398973,0
0.72038753,0
0.73847696,0
0.7566831,0
0.77700793,0
0.79493073,0
0.81420768,0
0.83309295,0
0.8500491,0
0.87075728,0
0.8896009,0
0.90870076,0
0.92690688,0
0.94601508,0
0.96518162,0
0.98438148,0
1.0036876,0
1.025602,0
1.0429269,0
1.0621497,0
1.081435,0
1.1005348,0
1.1197764,0
1.1387721,0
1.1580928,0
1.1773739,0
1.1981987,0
1.2174194,0
1.2365943,0
1.2551942,0
1.277144,0
1.2963876,0
1.3157375,0
1.335129,0
1.3545247,0
1.37371,0
1.3922244,0
1.4114618,0
1.4306283,0
1.4525511,0
1.4690614,0
1.4865967,0
1.5015841,0
1.5209506,0
1.5387421,208674.90625
1.5507671,0
1.5655128,0
1.5800981,0
1.595023,0
1.6123104,0
1.6253791,0
1.6400685,0
1.6561496,0
1.67181,0
1.6840807,0
1.7009348,0
1.7166909,0
1.7317679,0
1.7469344,0
1.7619781,0
1.7785384,0
1.7940799,248163.265625
1.8115527,0
1.8288276,0
1.8446879,0
1.8587024,0
1.8727148,0
1.8887938,1129990
1.90365,0
1.9177999,0
1.932204,0
1.9491934,0
1.9668891,0
1.9824411,0
1.9999868,0
2.0189575,196497.625
2.0345157,0
2.0497698,0
2.0690343,0
2.0866112,0
2.1082298,0
2.1276693,61269.78125
2.147067,0
2.1664773,0
2.185448,0
2.2034541,0
2.2190103,0
2.2375831,0
2.2569975,0
2.2762557,0
2.295641,0
2.3152971,61998.828125
2.3349324,0
2.3542843,0
2.3749238,0
2.3930195,0
2.4127881,0
2.430988,0
2.4528732,0
2.4693814,0
2.488675,0
2.5080999,0
2.5305372,0
2.5504142,0
2.5699807,0
2.5897285,0
2.6122575,0
2.631924,0
2.6514385,0
2.6712134,0
2.6935882,0
2.7134589,0
2.73344,0
2.7531565,0
2.7641523,0
2.7782335,11990.419921875
2.7853813,0
2.8037999,0
2.8144353,0
2.832658,0
2.8521329,0
2.8743244,0
2.8937243,0
2.9104991,0
2.9284782,0
2.9480676,0
2.9561718,0
2.9678342,0
2.9841049,0
2.9923569,0
3.0108693,0
3.0295671,0
3.0460774,0
3.0541002,0
3.0741251,0
3.09075,0
3.0990041,0
3.1131957,0
3.1272914,0
3.1389184,0
3.1574058,0
3.1769556,0
3.1980305,0
3.2144054,0
3.2309511,0
3.2424406,0
3.2459905,0
3.2493863,0
3.2541072,0
3.2579905,0
3.2609009,0
3.2632238,0
3.2655487,0
3.2737029,0
3.2774945,0
3.2806778,0
3.2854861,0
3.2894048,0
3.2927923,0
3.2951152,0
3.2974402,0
3.3024131,0
3.3063276,0
3.3098651,0
3.312188,0
3.314513,0
3.3168359,0
3.3191609,0
3.3214838,0
3.3238067,0
3.3261317,0
3.3284546,0
3.3307774,0
3.3331024,0
3.3354254,0
3.3377503,0
3.3421545,0
3.3444774,0
3.3468023,0
3.3552752,0
3.3624189,0
3.3694835,0
3.3765688,0
3.3803229,0
3.3836458,0
3.3859708,0
3.3882937,0
3.3906166,0
3.3929416,0
3.3952645,0
3.3975874,0
3.3999124,0
3.4046248,0
3.4094019,0
3.413179,0
3.4166373,0
3.4189602,0
3.4212831,0
3.425554,0
3.4278768,0
3.4301997,0
3.4325246,0
3.4348476,0
3.4371705,0
3.4458433,0
3.4497224,0
3.4530245,0
3.4577537,0
3.4613765,0
3.4645932,0
3.4669161,0
3.4786306,0
3.4832702,0
3.4903597,0
3.4938513,0
3.4971346,0
3.5018575,0
3.5054658,0
3.5092762,0
3.5115991,0
3.5198053,0
3.5245615,0
3.5279761,0
3.5311344,0
3.5344615,0
3.5377426,0
3.5458989,0
3.549303,0
3.5524759,0
3.5558988,0
3.5591613,0
3.5622967,0
3.5656758,0
3.568882,0
3.5735216,0
3.5816007,0
3.5852361,0
3.5883736,0
3.5957965,0
3.5994464,0
3.6027484,0
3.6059276,0
3.617813,0
3.6212629,0
3.6246108,0
3.6327983,0
3.6363961,0
3.639767,0
3.6420899,0
3.6444148,0
3.6467377,0
3.6490606,0
3.6539523,0
3.6580564,0
3.6614522,0
3.6637751,0
3.666098,0
3.668423,0
3.6707459,0
3.6754918,0
3.6787063,0
3.6810312,0
3.6833541,0
3.6856771,0
3.688002,0
3.6903249,0
3.6926478,0
3.6949728,0
3.7002332,0
3.7044144,0
3.7074707,0
3.7097956,0
3.7183018,0
3.7256163,0
3.7295017,0
3.7325101,0
3.734835,0
3.7371579,0
3.7488058,0
3.7569453,0
3.7644203,0
3.7715202,0
3.7751077,0
3.7783014,0
3.781466,0
3.7848556,0
3.7881138,0
3.7913617,0
3.79462,0
3.7977721,0
3.8060095,0
3.8095449,0
3.8126116,0
3.8173511,0
3.8278635,0
3.8394739,0
3.8539154,0
3.8678758,0
3.8749465,0
3.8854965,0
3.8925923,0
3.8996881,0
3.9029776,0
3.9062692,0
3.9109088,0
3.9141359,0
3.9174796,0
3.9221192,0
3.9254462,0
3.9288024,0
3.9335586,0
3.9370086,0
3.9402482,0
3.9484419,0
3.9520356,0
3.955296,0
3.9600002,0
3.9635105,0
3.9669459,0
3.9692709,0
3.9715938,0
3.9739188,0
3.9762416,0
3.9785646,0
3.9808895,0
3.9832125,0
3.9855353,0
3.9878603,0
3.9901832,0
3.9925082,0
3.9948311,0
3.997154,0
4.0019103,0
4.0056312,0
4.009856,0
4.012181,0
4.0145039,0
4.0168289,0
4.0217914,0
4.0258539,0
4.0292059,0
4.0315288,0
4.0338517,0
4.0361767,0
4.0384996,0
4.0408245,0
4.0431474,0
4.0454703,0
4.0503307,0
4.0540244,0
4.0573348,0
4.0620827,0
4.0658681,0
4.0690744,0
4.0713972,0
4.0737222,0
4.0760451,0
4.0807639,0
4.0844492,0
4.0877659,0
4.0951513,0
4.0990242,0
4.1022116,0
4.1045345,0
4.1068595,0
4.1091824,0
4.1115074,0
4.1138303,0
4.1161532,0
4.1184781,0
4.1208011,0
4.123124,0
4.1254489,0
4.1277719,0
4.1300968,0
4.1349114,0
4.1455697,0
4.1491154,0
4.1523508,0
4.160505,0
4.1639049,0
4.167284,0
4.1719278,0
4.1757528,0
4.1786944,0
4.1810194,0
4.1833423,0
4.1856673,0
4.1879902,0
4.1903131,0
4.1926381,0
4.1949609,0
4.1997984,0
4.2034005,0
4.2067567,0
4.2090796,0
4.2114025,0
4.2161941,0
4.21989,0
4.2231629,0
4.2254857,0
4.2278087,0
4.2301336,0
4.2324565,0
4.2347815,0
4.2371044,0
4.2394273,0
4.2417523,0
4.2440752,0
4.2463981,0
4.2511293,0
4.2549168,0
4.2657938,0
4.2696583,0
4.2727958,0
4.2775583,0
4.281402,0
4.2847812,0
4.2871061,0
4.289429,0
4.2917519,0
4.2940769,0
4.2963998,0
4.2987227,0
4.3010477,0
4.3033706,0
4.3056956,0
4.3080185,0
4.313131,0
4.3171955,0
4.3203622,0
4.3226851,0
4.325008,0
4.3273329,0
4.3296559,0
4.3319788,0
4.3343037,0
4.3366266,0
4.3416016,0
4.3458683,0
4.3488953,0
4.3512182,0
4.3535411,0
4.3558661,0
4.3642535,0
4.3715055,0
4.3820242,0
4.3891742,0
4.3926096,0
4.3959241,0
4.4007137,0
4.4078595,0
4.4183677,0
4.4230052,0
4.4339176,0
4.4481238,0
4.4587945,0
4.465832,0
4.4688319,0
4.4735382,0
4.4767027,0
4.4797152,0
4.4868381,0
4.4898901,0
4.4931276,0
4.500238,0
4.50349,0
4.5070088,0
4.5116483,0
4.5149691,0
4.5219691,0
4.5253191,0
4.5285024,0
4.5318503,0
4.5351648,0
4.5433523,0
4.5467897,0
4.5515168,0
4.556323,0
4.5596647,0
4.5629354,0
4.5747562,0
4.5819395,0
4.5867457,0
4.5973769,0
4.6081226,0
4.6188038,0
4.6235955,0
4.6306912,0
4.6377849,0
4.644912,0
4.6567306,0
4.6674243,0
4.6816346,0
4.6924658,0
4.6956804,0
4.6987533,0
4.7019615,0
4.7051845,0
4.7082094,0
4.7114198,0
4.7145177,0
4.7177614,0
4.7210073,0
4.7240781,0
4.7273781,0
4.7304843,0
4.7337967,0
4.7370863,0
4.7418425,0
4.7451737,0
4.7500133,0
4.7533508,0
4.7568778,0
4.7617174,0
4.7650778,0
4.7732173,0
4.7778569,0
4.7812277,0
4.7843839,0
4.7877526,0
4.7910443,0
4.7941963,0
4.7976442,0
4.8007442,0
4.8030692,0
