CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D1_TLCA_LCAG-95_BSH1208_48h.raw
Data points: 3200
Time(min),Relative Abundance
0.0037177,0
0.008340501,0
0.011473834,0
0.013796718,0
0.016121701,0
0.018444601,0
0.020767501,0
0.0230925,0
0.0254154,0
0.0277383,0
0.030063267,0
0.032386183,0
0.034711134,0
0.037034034,0
0.045915233,0
0.050148566,0
0.052471434,0
0.058004752,0
0.062233884,0
0.064556785,0
0.066879669,0
0.069204651,0
0.071527568,0
0.07385255,0
0.07617545,0
0.078498367,0
0.080823333,0
0.083146234,0
0.085469118,0
0.0877941,0
0.092629619,0
0.0949524,0
0.0972753,0
0.099600282,0
0.1019232,0
0.10424817,0
0.10657107,0
0.10889397,0
0.11121897,0
0.11354185,0
0.11586475,0
0.11818974,0
0.12051264,0
0.12283763,0
0.12516053,0
0.12748343,0
0.12980842,0
0.13213132,0
0.1344542,0
0.1367792,0
0.13910208,0
0.14142707,0
0.14374998,0
0.14607287,0
0.14839785,0
0.15072075,0
0.15304367,0
0.15536865,0
0.15769153,0
0.16001653,0
0.16233943,0
0.16466232,0
0.16698732,0
0.1693102,0
0.17163308,0
0.17647275,0
0.17879763,0
0.18112055,0
0.18344345,0
0.18576843,0
0.18809133,0
0.19041422,0
0.19273922,0
0.1950621,0
0.1973871,0
0.19971,0
0.20203292,0
0.2043579,0
0.20668079,0
0.21217865,0
0.21768903,0
0.22190775,0
0.22741193,0
0.23164728,0
0.23397017,0
0.23629517,0
0.23861808,0
0.24094097,0
0.24326597,0
0.24558883,0
0.24791175,0
0.25023673,0
0.25255965,0
0.25488462,0
0.25971802,0
0.26204082,0
0.2643637,0
0.2666887,0
0.2690116,0
0.27133448,0
0.27365948,0
0.2759824,0
0.27830737,0
0.28063027,0
0.28295315,0
0.28527813,0
0.28760105,0
0.28992395,0
0.29224895,0
0.29457183,0
0.29689683,0
0.29921972,0
0.3015426,0
0.3038676,0
0.3061905,0
0.3085134,0
0.31083838,0
0.31316128,0
0.31548627,0
0.31780917,0
0.32013208,0
0.32245705,0
0.32477995,0
0.32710285,0
0.32942785,0
0.33175073,0
0.33407363,0
0.33639863,0
0.3387215,0
0.34355702,0
0.34587982,0
0.34820478,0
0.3505277,0
0.35285058,0
0.35517557,0
0.35749848,0
0.35982137,0
0.36214637,0
