CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D2_TDCA_LCAG-95_BSH1208_48h.raw
Data points: 3167
Time(min),Relative Abundance
0.003751202,0
0.008355251,0
0.011505285,0
0.01382815,0
0.016153136,0
0.018476052,0
0.020798953,0
0.023123919,0
0.025446835,0
0.02776972,0
0.030094702,0
0.032417603,0
0.034742585,0
0.037065485,0
0.049327901,0
0.0535633,0
0.0558862,0
0.058211167,0
0.060534083,0
0.062856967,0
0.065181934,0
0.067504866,0
0.069829833,0
0.072152717,0
0.074475633,0
0.07680062,0
0.079123536,0
0.081446416,0
0.083771403,0
0.086094319,0
0.088419286,0
0.093396333,0
0.096552566,0
0.09887545,0
0.10120045,0
0.10352335,0
0.10584835,0
0.10817124,0
0.11049414,0
0.11281912,0
0.11514202,0
0.11746492,0
0.1197899,0
0.1221128,0
0.12443778,0
0.12676072,0
0.12908358,0
0.13140857,0
0.13373147,0
0.13605437,0
0.13837935,0
0.14070225,0
0.14302725,0
0.14535013,0
0.14767305,0
0.14999804,0
0.15232092,0
0.15464383,0
0.15696882,0
0.1592917,0
0.16161669,0
0.1639396,0
0.16626248,0
0.16858749,0
0.17091037,0
0.17574578,0
0.17806867,0
0.18039157,0
0.18271654,0
0.18503945,0
0.18736443,0
0.18968732,0
0.19201022,0
0.19433522,0
0.1966581,0
0.19898102,0
0.201306,0
0.20362888,0
0.20595179,0
0.21147465,0
0.22037669,0
0.22459543,0
0.2269183,0
0.2292433,0
0.2315662,0
0.2338891,0
0.23621408,0
0.23853697,0
0.24086198,0
0.24318487,0
0.24550775,0
0.24783275,0
0.25015565,0
0.25247857,0
0.25480353,0
0.25963892,0
0.26196182,0
0.26428678,0
0.2666097,0
0.26893469,0
0.27125758,0
0.27358048,0
0.27590547,0
0.27822837,0
0.28055129,0
0.28287625,0
0.28519915,0
0.28752207,0
0.28984704,0
0.29216995,0
0.29449492,0
0.2968178,0
0.29914072,0
0.30146569,0
0.3037886,0
0.3061115,0
0.3084365,0
0.3107594,0
0.31308438,0
0.31540727,0
0.31773017,0
0.32005517,0
0.32237805,0
0.32470303,0
0.32702593,0
0.32934887,0
0.33167384,0
0.33399672,0
0.33631962,0
0.3386446,0
0.34348,0
0.34580498,0
0.34812788,0
0.35045287,0
0.35277575,0
0.35509865,0
0.35742365,0
0.35974655,0
0.36206945,0
0.36439443,0
0.36671732,0
0.37504228,0
0.38881925,0
0.39685877,0
0.41583365,0
0.43418975,0
0.4559146,0
0.47225823,0
0.49049354,0
0.5095434,0
0.52867242,0
0.54778688,0
0.56679923,0
0.58583245,0
0.60167817,0
0.61743429,0
0.63364877,0
0.65180488,0
0.66862352,0
0.68771088,0
0.70447327,0
0.7234794,0
0.73973968,0
0.75771873,0
0.77816027,0
0.79499553,0
0.81416832,0
0.83326402,0
0.85247432,0
0.87324292,0
0.8901178,0
0.90928432,0
0.92843004,0
0.95019445,0
0.96936932,0
0.98859835,0
1.0078732,0
1.0281002,0
1.0472084,0
1.0663166,0
1.0855893,0
1.1049121,0
1.1234599,0
1.1427702,0
1.1619534,0
1.1812074,0
1.2031677,0
1.2208113,0
1.240107,0
1.2594006,0
1.28134,0
1.3006816,0
1.3199439,0
1.3393938,0
1.3613416,0
1.3805643,0
1.3998579,0
1.4191391,0
1.4411097,0
1.4595305,0
1.4775137,0
1.4964718,0
1.5142926,0
1.5318508,0
1.5461736,0
1.5621943,0
1.5774963,0
1.5933983,0
1.6098523,0
1.6220835,0
1.637698,0
1.6539957,0
1.6708706,0
1.6882497,0
1.7007287,0
1.7167495,0
1.7336119,0
1.7476242,0
1.7660346,0
1.7846428,0
1.7974614,0
1.8156092,0
1.8327216,0
1.8483027,0
1.8632734,0
1.8783317,0
1.8894941,0
1.9057586,0
1.9202793,0
1.9346438,0
1.9508582,0
1.9678998,0
1.9863101,0
2.0051828,0
2.0267785,0
2.0437243,0
2.0586887,0
2.0754137,0
2.0906552,0
2.1126967,0
2.1321195,0
2.1515089,0
2.1708213,0
2.190242,0
2.2066523,0
2.2229543,0
2.241477,0
2.2608457,0
2.2811101,0
2.3005537,0
2.320239,0
2.3397743,0
2.361897,0
2.3782323,0
2.3965989,0
2.4163071,0
2.4344944,0
2.4567547,0
2.4734129,0
2.4924253,0
2.5116918,0
2.5340291,0
2.5540519,0
2.5739413,0
2.593435,0
2.6158411,0
2.6356472,0
2.6518096,0
2.6715344,0
2.6857614,0
2.7020029,0
2.7219528,0
2.7251278,0
2.7274507,0
2.7392402,0
2.7474798,0
2.7509068,0
2.754236,0
2.7579109,0
2.7743483,0
2.7826191,0
2.7896815,0
2.8002356,0
2.8073293,0
2.8257604,0
2.8452832,0
2.867683,0
2.8870787,0
2.9065952,0
2.924643,0
2.9407575,0
2.9603553,0
2.9722094,0
2.9918864,0
3.00248,0
3.021957,0
3.0329861,0
3.0496588,0
3.0693983,0
3.0894586,0
3.1012377,0
3.1118314,0
3.1259937,0
