CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D3_TCDCA_LCAG-95_BSH1208_48h.raw
Data points: 3160
Time(min),Relative Abundance
0.003719365,0
0.008331783,0
0.011648447,0
0.013973398,0
0.01629633,0
0.018619215,0
0.020944197,0
0.023267097,0
0.025589998,0
0.02791498,0
0.030237881,0
0.032562883,0
0.034885763,0
0.037208648,0
0.049475284,0
0.053708564,0
0.056031449,0
0.058354349,0
0.060679332,0
0.063002248,0
0.065327214,0
0.067650115,0
0.069973015,0
0.072297982,0
0.074620898,0
0.076943814,0
0.079268781,0
0.081591697,0
0.083916683,0
0.086239583,0
0.088562464,0
0.093395916,0
0.095718665,0
0.098041581,0
0.10036656,0
0.10268945,0
0.10501236,0
0.10733735,0
0.10966022,0
0.11198521,0
0.11430811,0
0.11663103,0
0.11895602,0
0.1212789,0
0.12360181,0
0.12592678,0
0.12824968,0
0.13057467,0
0.13289758,0
0.13522048,0
0.13754547,0
0.13986837,0
0.14219127,0
0.14451625,0
0.14683913,0
0.14916413,0
0.15148703,0
0.15380993,0
0.15613491,0
0.15845781,0
0.16078072,0
0.16310568,0
0.1654286,0
0.16775358,0
0.1700765,0
0.17239937,0
0.17724111,0
0.1795639,0
0.1818889,0
0.18421178,0
0.1865347,0
0.18885966,0
0.1911826,0
0.19350548,0
0.19583046,0
0.19815336,0
0.20047833,0
0.20280125,0
0.20512415,0
0.20744911,0
0.21295117,0
0.2218324,0
0.22607193,0
0.22839481,0
0.23071982,0
0.23304272,0
0.2353656,0
0.23769058,0
0.24001348,0
0.24233638,0
0.24466137,0
0.24698427,0
0.24930926,0
0.25163217,0
0.25395505,0
0.25879666,0
0.26112168,0
0.26344457,0
0.26576956,0
0.26809245,0
0.27041536,0
0.27274035,0
0.27506323,0
0.27738613,0
0.27971113,0
0.28203403,0
0.28435902,0
0.2866819,0
0.2890048,0
0.29132978,0
0.29365268,0
0.29597558,0
0.29830058,0
0.30062348,0
0.30294847,0
0.30527137,0
0.30759425,0
0.30991927,0
0.31224213,0
0.31456505,0
0.31689003,0
0.31921295,0
0.32153792,0
0.32386082,0
0.32618372,0
0.32850868,0
0.33083158,0
0.3331545,0
0.33547948,0
0.33780237,0
0.34264403,0
0.344969,0
0.3472919,0
0.34961478,0
0.35193978,0
0.35426268,0
0.35658768,0
0.35891056,0
0.36123346,0
0.36355845,0
0.36588135,0
0.36820423,0
0.37668751,0
0.39045617,0
0.40943936,0
0.42685385,0
0.44776825,0
0.46675563,0
0.48329927,0
0.50234287,0
0.52146567,0
0.5406676,0
0.55984038,0
0.57884233,0
0.5948089,0
0.61219835,0
0.63033365,0
0.64750852,0
0.66624381,0
0.68166248,0
0.70318938,0
0.71944551,0
0.73795996,0
0.75708275,0
0.77804927,0
0.79593457,0
0.81522193,0
0.83442595,0
0.85140291,0
0.87007362,0
0.88915265,0
0.90834835,0
0.92745033,0
0.94940015,0
0.96873542,0
0.98806028,0
1.0073206,0
1.0265829,0
1.0446995,0
1.0638014,0
1.0831013,0
1.1023011,0
1.1239239,0
1.1432675,0
1.1625403,0
1.1818152,0
1.2037317,0
1.2220503,0
1.2403481,0
1.2596459,0
1.2816728,0
1.2997248,0
1.3190704,0
1.3384662,0
1.3604972,0
1.3797763,0
1.3991387,0
1.4174823,0
1.4366363,0
1.4586215,0
1.4770235,0
1.4964296,0
1.5123566,0
1.5313377,0
1.5463189,0
1.5616396,0
1.5782561,0
1.597331,0
1.613335,0
1.6292516,0
1.6446223,0
1.660691,0
1.6779992,0
1.6952282,0
1.7098177,0
1.7257759,0
1.7399633,0
1.7583486,0
1.7763089,0
1.7954921,0
1.8113566,0
1.8271294,0
1.8443147,0
1.8589021,0
1.8720666,0
1.8874352,0
1.9026747,0
1.9146892,0
1.9292599,0
1.9476181,0
1.9659263,0
1.9780867,0
1.9962323,0
2.0156072,0
2.0338362,0
2.0514049,0
2.0695152,0
2.0884234,0
2.1102024,0
2.1296064,0
2.1489979,0
2.1670999,0
2.1849873,0
2.2040059,0
2.2202349,0
2.2378077,0
2.257216,0
2.2783449,0
2.2978927,0
2.3174738,0
2.3370779,0
2.3589756,0
2.3772005,0
2.3940817,0
2.413119,0
2.4326356,0
2.4549916,0
2.4724915,0
2.4919664,0
2.5115537,0
2.5336681,0
2.5533888,0
2.5732679,0
2.5928698,0
2.6126259,0
2.6287508,0
2.6448132,0
2.6563485,0
2.6763296,0
2.6907087,0
2.6987962,0
2.7129877,0
2.7293126,0
2.7326292,0
2.7492708,0
2.7656561,0
2.7693415,0
2.7722873,0
2.784031,0
2.7874039,0
2.7907163,0
2.7988204,0
2.810512,0
2.8267494,0
2.8300306,0
2.8382681,0
2.8543138,0
2.8688908,0
2.8883615,0
2.9077343,0
2.92423,0
2.9437298,0
2.9484361,0
2.9599672,0
2.9759463,0
2.9921837,0
3.0117648,0
3.0151814,0
3.0331896,0
3.0450583,0
3.0648102,0
3.0812684,0
3.1015287,0
3.1046662,0
3.1069891,0
3.1188161,0
3.1295348,0
3.1366473,0
3.1507055,0
3.1646199,0
3.1806865,0
3.2019551,0
3.221907,0
3.2418756,0
3.2465131,0
3.2502339,0
3.2534172,0
3.2557422,0
3.2673609,0
3.2711671,0
3.2742942,0
3.2766171,0
3.2813879,0
3.2850649,0
3.2884628,0
3.2907878,0
3.2931107,0
3.2954336,0
3.2977586,0
3.3000815,0
3.3024065,0
3.3047294,0
3.3070523,0
3.3093773,0
3.3117002,0
3.3140231,0
3.3163481,0
3.318671,0
3.3209959,0
3.3233189,0
3.3256418,0
3.3279667,0
3.3302896,0
3.3326125,0
3.3349375,0
3.3372604,0
3.3409604,0
3.3432833,0
3.3456083,0
3.3509311,0
3.3561311,0
3.3600352,0
3.3632998,0
3.3681498,0
3.3718248,0
3.375006,0
3.3773289,0
3.3821372,0
3.385758,0
3.3891684,0
3.3938871,0
3.3986537,0
3.4023662,0
3.4057287,0
3.4080516,0
3.4103766,0
3.4153286,0
3.4194369,0
3.4227202,0
3.4273035,0
3.4307452,0
3.4330681,0
3.435391,0
3.4377159,0
3.4400389,0
3.4423618,0
3.4478242,0
3.4518826,0
3.4551242,0
3.4672887,0
3.4711845,0
3.4743261,0
3.4826178,0
3.4897114,0
3.4968655,0
3.5006364,0
3.5037342,0
3.5076843,0
