CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D6_GLCA_LCAG-95_BSH1208_48h.raw
Data points: 3222
Time(min),Relative Abundance
0.003752235,0
0.008385534,0
0.011539633,0
0.013862518,0
0.016185418,0
0.018510416,0
0.020833301,0
0.023156201,0
0.025481183,0
0.027804084,0
0.030129066,0
0.032451967,0
0.034774867,0
0.037099849,0
0.049362249,0
0.053595582,0
0.055918466,0
0.058243469,0
0.060566349,0
0.062889249,0
0.065214232,0
0.067537116,0
0.069862119,0
0.072184999,0
0.074507915,0
0.076832917,0
0.079155802,0
0.081478718,0
0.083803685,0
0.086126601,0
0.088451567,0
0.093284884,0
0.095609851,0
0.097932767,0
0.10025565,0
0.10258063,0
0.10490353,0
0.10722643,0
0.10955142,0
0.11187432,0
0.11419932,0
0.1165222,0
0.11884512,0
0.12117008,0
0.12349298,0
0.12581588,0
0.12814087,0
0.13046377,0
0.13278877,0
0.13511166,0
0.13743455,0
0.13975955,0
0.14208245,0
0.14440533,0
0.14673032,0
0.14905324,0
0.15137822,0
0.15370112,0
0.15602402,0
0.15834898,0
0.1606719,0
0.16299687,0
0.16531978,0
0.16764268,0
0.16996768,0
0.17229057,0
0.17714262,0
0.17946552,0
0.18178842,0
0.1841134,0
0.1864363,0
0.1887592,0
0.19108419,0
0.19340708,0
0.19573205,0
0.19805497,0
0.20037787,0
0.20270285,0
0.20502575,0
0.20734865,0
0.2128486,0
0.22174025,0
0.2259777,0
0.22830058,0
0.23062557,0
0.23294845,0
0.23527347,0
0.23759635,0
0.23991925,0
0.24224423,0
0.24456715,0
0.24689004,0
0.24921502,0
0.25153792,0
0.25386082,0
0.2561858,0
0.26102745,0
0.26335242,0
0.26567533,0
0.2680003,0
0.2703232,0
0.2726461,0
0.27497108,0
0.277294,0
0.27961688,0
0.28194188,0
0.28426478,0
0.28658975,0
0.28891265,0
0.29123555,0
0.29356053,0
0.29588345,0
0.29820635,0
0.30053133,0
0.30285424,0
0.30517922,0
0.30750212,0
0.30982502,0
0.31215,0
0.3144729,0
0.3167958,0
0.3191208,0
0.32144368,0
0.32376865,0
0.32609157,0
0.32841445,0
0.33073945,0
0.33306235,0
0.33538527,0
0.33771023,0
0.34255397,0
0.34487685,0
0.34720185,0
0.34952472,0
0.35184763,0
0.35417262,0
0.35649553,0
0.35881841,0
0.3611434,0
0.3634663,0
0.3657892,0
0.36811417,0
0.37365375,0
0.37715785,0
0.3962473,0
0.4151951,0
0.43187415,0
0.45340732,0
0.47157803,0
0.48985498,0
0.50665695,0
0.52045685,0
0.53841715,0
0.55625452,0
0.57530438,0
0.59434175,0
0.61477702,0
0.63014565,0
0.64931428,0
0.66727457,0
0.6824057,0
0.70379307,0
0.72007004,0
0.73672615,0
0.7557927,0
0.77715713,0
0.79550491,0
0.81482143,0
0.83402963,0
0.8510212,0
0.8719002,0
0.88763343,0
0.90631455,0
0.9254769,0
0.94741217,0
0.96659537,0
0.98586815,0
1.0051263,0
1.0243867,0
1.0424573,0
1.0617134,0
1.0809842,0
1.1001819,0
1.1219609,0
1.1413191,0
1.1606794,0
1.1798897,0
1.2018312,0
1.221054,0
1.2398497,0
1.2590475,0
1.280989,0
1.2995264,0
1.31892,0
1.3384303,0
1.3604905,0
1.3797529,0
1.3990215,0
1.4174484,0
1.4366483,0
1.4586232,0
1.4776418,0
1.497025,0
1.5139082,0
1.5321122,0
1.5486204,0
1.566112,0
1.5802515,0
1.5980472,0
1.6140408,0
1.6278157,0
1.6424489,0
1.6617238,0
1.6797008,0
1.697284,0
1.7134547,0
1.7287192,0
1.7446357,0
1.7622065,0
1.779873,0
1.7989666,0
1.8158852,0
1.8334726,0
1.8492537,0
1.8653828,0
1.876864,0
1.8918013,0
1.9092512,0
1.9229866,0
1.9406406,0
1.953753,0
1.9707737,0
1.9870257,0
2.0063235,0
2.0281296,0
2.0449836,0
2.0606064,0
2.0781855,0
2.0960749,0
2.118156,0
2.1376559,0
2.1570641,0
2.1764077,0
2.1959117,0
2.2153657,0
2.2330844,0
2.2510551,0
2.2704674,0
2.2927569,0
2.3122713,0
2.3318378,0
2.3513502,0
2.3736271,0
2.3893958,0
2.4090435,0
2.4284934,0
2.4508183,0
2.4676848,0
2.4872347,0
2.5068304,0
2.5290094,0
2.5487259,0
2.5535488,0
2.561855,0
2.5816611,0
2.5898694,0
2.604238,0
2.6238025,0
2.6354295,0
2.6459482,0
2.6564064,0
2.6671146,0
2.6869541,0
2.7011936,0
2.7117851,0
2.7319206,0
2.7352538,0
2.7434912,0
2.7576369,0
2.7614307,0
2.7644015,0
2.7667244,0
2.7714306,0
2.7785326,0
2.7856763,0
2.7927367,0
2.8068053,0
2.8149386,0
2.8288656,0
2.8429217,0
2.8572862,0
2.8732215,0
2.8928276,0
2.9123692,0
2.9321211,0
2.9515147,0
2.9563022,0
2.968025,0
2.9797645,0
2.9994581,0
3.0099498,0
3.0290767,0
3.0371454,0
3.051589,0
3.0598598,0
3.0760701,0
3.0877909,0
3.0914721,0
3.0948096,0
3.0971325,0
3.0994554,0
3.1017803,0
3.1041033,0
3.1064261,0
3.1113428,0
3.1186094,0
3.1258302,0
3.1330572,0
3.1402676,0
3.1473863,0
3.1613841,0
3.1696715,0
3.1892193,0
3.208265,0
3.2245857,0
3.2361544,0
3.2444002,0
3.2480147,0
3.2512814,0
3.2536043,0
3.2559272,0
3.2582522,0
3.2630688,0
3.2669771,0
3.2701312,0
3.2784062,0
3.2823395,0
3.2856145,0
3.2879374,0
3.2902624,0
3.2925852,0
3.2949081,0
3.2972331,0
3.299556,0
3.3018789,0
3.3042039,0
3.3065268,0
3.3088518,0
3.3111747,0
3.3134976,0
3.3158226,0
3.3181455,0
3.3204684,0
3.3227934,0
3.3251163,0
3.3274392,0
3.3297642,0
3.3320871,0
3.334412,0
3.3367349,0
3.3390578,0
3.3428912,0
3.3475286,0
3.3505703,0
3.3528952,0
3.3583244,0
3.3624244,0
3.3710639,0
3.3751576,0
3.3784138,0
3.3833263,0
3.3881846,0
3.391968,0
3.3953074,0
3.4001783,0
3.4040824,0
3.4075032,0
3.4125615,0
3.4168573,0
3.4199844,0
3.4223073,0
3.426976,0
3.4292989,0
3.4316239,0
3.4339467,0
3.4362718,0
3.4385946,0
3.4409175,0
3.4432425,0
3.4455654,0
3.4478883,0
3.4502133,0
3.4525362,0
3.458157,0
3.4619925,0
3.4643153,0
3.4765402,0
3.4805652,0
3.4836589,0
3.4885235,0
3.4924838,0
3.4958317,0
3.5006755,0
3.5079671,0
3.512088,0
3.5150962,0
3.5234294,0
3.5304419,0
3.537544,0
3.541221,0
3.544571,0
3.5468939,0
3.5492168,0
3.5515418,0
3.5538646,0
3.5585167,0
3.5620479,0
3.5666896,0
3.5705375,0
3.5736229,0
3.5759478,0
3.5782707,0
3.5830478,0
3.5869332,0
3.5911144,0
3.5960456,0
3.599981,0
3.6032247,0
3.6055476,0
3.6104705,0
3.6145017,0
3.6177871,0
3.62011,0
3.622435,0
3.631012,0
3.638387,0
3.6424266,0
3.6458494,0
3.6481723,0
3.6504973,0
3.6528202,0
3.6551452,0
3.6606723,0
3.6650535,0
3.6684263,0
3.6707493,0
3.6730721,0
3.6779096,0
3.6802325,0
3.6825742,0
3.6848971,0
3.6872221,0
3.689545,0
3.6918679,0
3.6941928,0
3.6965158,0
3.6988407,0
3.7011636,0
3.7034865,0
3.7058115,0
3.7081344,0
3.7104573,0
3.7160656,0
3.7202635,0
3.7225864,0
3.7280322,0
3.7331842,0
3.7418258,0
3.7459966,0
3.7510778,0
3.7559987,0
3.7601924,0
3.7631361,0
3.765459,0
3.7677819,0
3.7727527,0
3.7765152,0
3.779811,0
3.782136,0
3.787063,0
3.790888,0
3.7940984,0
3.8023858,0
3.8062545,0
3.8094879,0
3.8118129,0
3.8141357,0
3.8164586,0
3.8247378,0
3.8286002,0
3.8318731,0
3.8400585,0
3.8475189,0
3.8580375,0
3.8721083,0
3.8861352,0
3.8966643,0
3.9001414,0
3.9047788,0
3.9094184,0
3.9129538,0
3.9163183,0
3.9194913,0
3.9268621,0
3.9303975,0
3.9337599,0
3.9360849,0
3.9384078,0
3.9407307,0
3.9430557,0
3.9453785,0
3.9477015,0
3.9500264,0
3.9523493,0
3.9608118,0
3.9647951,0
3.968018,0
3.9703409,0
3.9726638,0
3.9749888,0
3.9773117,0
3.9796367,0
3.9819595,0
3.9842824,0
3.9866075,0
3.9889304,0
3.9912533,0
3.9935782,0
3.9959011,0
3.998224,0
4.000549,0
4.0028719,0
4.0051969,0
4.0096157,0
4.0119385,0
4.0142635,0
4.0165864,0
4.0189114,0
4.0212343,0
4.0235572,0
4.0258822,0
4.0282051,0
4.030528,0
4.0328529,0
4.0382654,0
4.0425717,0
4.0458529,0
4.0481758,0
4.0504987,0
4.0528237,0
4.0551465,0
4.0605423,0
4.0644007,0
4.0667256,0
4.0718381,0
4.0768714,0
4.0818714,0
4.085763,0
4.0890838,0
4.0968025,0
4.1008817,0
4.1042941,0
4.1066191,0
4.108942,0
4.111267,0
4.1135899,0
4.1159128,0
4.1182378,0
4.1205606,0
4.1228836,0
4.1252086,0
4.1275315,0
4.1298564,0
4.1321793,0
4.1345022,0
4.1368272,0
4.1391501,0
4.141473,0
4.143798,0
4.1461209,0
4.1484459,0
4.1507688,0
4.1530917,0
4.1582396,0
4.1623334,0
4.1654208,0
4.1739082,0
4.1850123,0
4.1889478,0
4.1920748,0
4.1943977,0
4.1967206,0
4.1990455,0
4.2013684,0
4.2036913,0
4.2060163,0
4.2083392,0
4.2106642,0
4.2129871,0
4.21531,0
4.217635,0
4.2199579,0
4.2222808,0
4.2246058,0
4.2269287,0
4.2292536,0
4.2343515,0
4.2385119,0
4.241939,0
4.247066,0
4.2521097,0
4.2561805,0
4.2606076,0
4.2656284,0
4.269795,0
4.2728908,0
4.2814262,0
4.2856346,0
4.2887491,0
4.291072,0
4.2933969,0
4.2957198,0
4.2980427,0
4.3003677,0
4.3026906,0
4.3050135,0
4.3073385,0
4.3096614,0
4.3119864,0
4.3143093,0
4.3166322,0
4.3189572,0
4.3212801,0
4.323603,0
4.325928,0
4.3282509,0
4.3305759,0
4.3328988,0
4.3352217,0
4.3375466,0
4.3422195,0
4.3445445,0
4.3468674,0
4.3491903,0
4.3515153,0
4.3538382,0
4.3561611,0
4.3584861,0
4.360809,0
4.363134,0
4.3654569,0
4.3677798,0
4.3701047,0
4.3753235,0
4.379336,0
4.3826234,0
4.3946608,0
4.4018233,0
4.4089857,0
4.4126128,0
4.4206523,0
4.4252919,0
4.4363543,0
4.4409938,0
4.4481396,0
4.4552854,0
4.4584333,0
4.4617416,0
4.4650395,0
4.4720832,0
4.4752186,0
4.4823498,0
4.4929289,0
4.5000642,0
4.5034455,0
4.5070496,0
4.5099329,0
4.5122579,0
4.5145808,0
4.5169037,0
4.5192287,0
4.5215516,0
4.5238745,0
4.5286828,0
4.5322557,0
4.5355911,0
4.5387098,0
4.5410348,0
4.5433577,0
4.5456827,0
4.5480055,0
4.5503285,0
4.5526535,0
4.5549764,0
4.5572993,0
4.5621388,0
4.5656534,0
