CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D7_GDCA_LCAG-95_BSH1208_48h.raw
Data points: 3144
Time(min),Relative Abundance
0.003714882,0
0.008329466,0
0.011477299,0
0.013800199,0
0.016125166,0
0.018448082,0
0.020770982,0
0.023095949,0
0.025418849,0
0.027741765,0
0.030066748,0
0.032389648,0
0.034714634,0
0.037037535,0
0.049314566,0
0.053539518,0
0.055862398,0
0.058187385,0
0.060510281,0
0.062833165,0
0.065158168,0
0.067481068,0
0.069803964,0
0.072128931,0
0.074451851,0
0.076776834,0
0.079099734,0
0.08142265,0
0.083747601,0
0.086070517,0
0.088393417,0
0.093230898,0
0.095553783,0
0.097878781,0
0.10020167,0
0.10252667,0
0.10484956,0
0.10717245,0
0.10949742,0
0.11182033,0
0.11414323,0
0.11646823,0
0.11879111,0
0.1211161,0
0.123439,0
0.1257619,0
0.12808688,0
0.13040978,0
0.1327327,0
0.13505768,0
0.13738057,0
0.13970557,0
0.14202847,0
0.14435137,0
0.14667635,0
0.14899925,0
0.15132215,0
0.15364713,0
0.15597003,0
0.15829501,0
0.1606179,0
0.1629408,0
0.1652658,0
0.16758868,0
0.1699116,0
0.17223658,0
0.1770678,0
0.17939278,0
0.18171568,0
0.18403858,0
0.18636355,0
0.18868647,0
0.19101145,0
0.19333435,0
0.19565723,0
0.19798223,0
0.20030512,0
0.20262803,0
0.20495302,0
0.2072759,0
0.21277378,0
0.22166543,0
0.22590912,0
0.22823202,0
0.230557,0
0.23287992,0
0.2352028,0
0.23752777,0
0.23985068,0
0.2421736,0
0.24449858,0
0.24682148,0
0.24914643,0
0.25146936,0
0.25379225,0
0.25611725,0
0.26095273,0
0.26327553,0
0.26559843,0
0.26792342,0
0.27024631,0
0.27257128,0
0.27489418,0
0.27721708,0
0.27954207,0
0.28186498,0
0.28418786,0
0.28651285,0
0.28883575,0
0.29116073,0
0.29348365,0
0.29580653,0
0.29813153,0
0.30045442,0
0.30277732,0
0.30510232,0
0.30742522,0
0.3097502,0
0.31207311,0
0.314396,0
0.31672098,0
0.31904388,0
0.32136677,0
0.32369173,0
0.32601465,0
0.32833963,0
0.33066253,0
0.33298543,0
0.33531043,0
0.33763331,0
0.34247496,0
0.34479786,0
0.34712283,0
0.34944573,0
0.35176865,0
0.35409363,0
0.35641651,0
0.35873943,0
0.36106438,0
0.3633873,0
0.36571022,0
0.3680352,0
0.37035808,0
0.37903095,0
0.39474751,0
0.41604735,0
0.43177848,0
0.45337833,0
0.4715886,0
0.4865635,0
0.50557588,0
0.52465283,0
0.54379436,0
0.56294213,0
0.5819795,0
0.59867732,0
0.6187209,0
0.63429373,0
0.65085403,0
0.6680893,0
0.6846413,0
0.70634948,0
0.72373475,0
0.74280962,0
0.76154908,0
0.78225725,0
0.79982172,0
0.81914242,0
0.83821312,0
0.8595838,0
0.87862117,0
0.89766895,0
0.91683132,0
0.9359791,0
0.95517895,0
0.97445798,0
0.9936516,0
1.0128077,0
1.0329784,0
1.0517366,0
1.070624,0
1.0899072,0
1.1091466,0
1.1277507,0
1.1470964,0
1.1662858,0
1.1855419,0
1.2063147,0
1.2254896,0
1.2441061,0
1.263358,0
1.2853996,0
1.303989,0
1.3232139,0
1.3426054,0
1.3645948,0
1.3838593,0
1.4030987,0
1.4224923,0
1.444463,0
1.4627921,0
1.4804628,0
1.4977856,0
1.5156833,0
1.5344041,0
1.5491977,0
1.5651663,0
1.5819245,0
1.5984994,0
1.6120764,0
1.6269826,0
1.6418262,0
1.6595719,0
1.6774176,0
1.6929863,0
1.7077278,0
1.7263756,0
1.7409401,0
1.7567567,0
1.7746732,0
1.7931668,0
1.8076667,0
1.8224583,0
1.8398123,0
1.8545018,0
1.8695267,0
1.8827474,0
1.8965827,0
1.9094723,0
1.9222763,0
1.9391158,0
1.9556282,0
1.971578,0
1.9880508,0
2.0073195,0
2.0290943,0
2.0452046,0
2.060917,0
2.078396,0
2.0958126,0
2.1176604,0
2.1370123,0
2.1564309,0
2.1757516,0
2.194389,0
2.2137763,0
2.2299512,0
2.2488865,0
2.2682302,0
2.2885237,0
2.3074944,0
2.3271547,0
2.3467046,0
2.3688607,0
2.3845314,0
2.4041437,0
2.423827,0
2.4448622,0
2.4624642,0
2.4808432,0
2.5003597,0
2.51997,0
2.5419574,0
2.5617322,0
2.5814509,0
2.597532,0
2.6197526,0
2.6395317,0
2.65349,0
2.6755689,0
2.6943479,0
2.7141603,0
2.730531,0
2.7422622,0
2.7586559,0
2.7623704,0
2.7822349,0
2.7855265,0
2.8039368,0
2.8110242,0
2.825072,0
2.8322116,0
2.8462011,0
2.8570052,0
2.8652113,0
2.8847633,0
2.8930007,0
2.912661,0
2.9310525,0
2.9518399,0
2.9565461,0
2.975121,0
2.983423,0
2.9994188,0
3.013652,0
3.0361726,0
3.053935,0
3.0621058,0
3.0818348,0
3.090091,0
3.097616,0
3.1011681,0
3.1043514,0
3.1066742,0
3.1149284,0
3.1220387,0
3.1291512,0
3.1328199,0
3.1360907,0
3.1443198,0
3.1514156,0
3.1654447,0
3.1849841,0
3.1958548,0
3.2154693,0
3.2235755,0
3.2401024,0
3.2447483,0
3.2552774,0
3.2587815,0
3.2634711,0
3.2671314,0
3.2702794,0
3.2726022,0
3.2749272,0
3.2830834,0
3.2867771,0
3.2899688,0
3.2947083,0
3.2985167,0
3.301727,0
3.304052,0
3.3063749,0
3.311427,0
3.3156103,0
3.3188582,0
3.3211811,0
3.323504,0
3.3258289,0
3.3281518,0
3.3304768,0
3.3327997,0
3.3351226,0
3.3374476,0
3.3420852,0
3.344408,0
3.3467309,0
3.3553287,0
3.359187,0
3.3624433,0
3.3647662,0
3.3670891,0
3.371912,0
3.3755161,0
3.3787765,0
3.3835077,0
3.3869556,0
3.3915951,0
3.3952639,0
3.3999055,0
3.403343,0
3.4067847,0
3.4102596,0
3.4149908,0
3.418747,0
3.4222283,0
3.426522,0
3.428847,0
3.4311699,0
3.4334948,0
3.4358177,0
3.4381407,0
3.4404656,0
3.4427885,0
3.4451114,0
3.4474364,0
3.4497593,0
3.4550114,0
3.4591405,0
3.4621967,0
3.4706487,0
3.4744758,0
3.4775633,0
3.4891549,0
3.492609,0
3.4959444,0
3.504236,0
3.5076797,0
3.5114985,0
3.5162214,0
3.5232234,0
3.5267817,0
3.5350462,0
3.5385316,0
3.5417004,0
3.5440233,0
3.5463482,0
3.5486711,0
3.550994,0
3.553319,0
3.5556419,0
3.5636815,0
3.5671835,0
3.571823,0
3.5754688,0
3.5786438,0
3.5867167,0
3.5902605,0
3.5942646,0
3.5965895,0
3.5989124,0
3.6036437,0
3.6074082,0
3.6105165,0
3.6187373,0
3.6222519,0
3.6255435,0
3.6374393,0
3.6411788,0
3.644535,0
3.6468579,0
3.6491829,0
3.6515058,0
3.6538287,0
3.6561537,0
3.6584766,0
3.6608016,0
3.6631245,0
3.6683703,0
3.6726953,0
3.6774119,0
3.6797348,0
3.6820598,0
3.6843827,0
3.6867077,0
3.6890306,0
3.6913535,0
3.6936784,0
3.6960014,0
3.6983242,0
3.7036492,0
