CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_D8_GCDCA_LCAG-95_BSH1208_48h.raw
Data points: 3111
Time(min),Relative Abundance
0.003754313,0
0.008387613,0
0.011537547,0
0.013860431,0
0.016185414,0
0.018508314,0
0.020831199,0
0.023156213,0
0.025479081,0
0.027802014,0
0.030126996,0
0.032449896,0
0.034774879,0
0.037097763,0
0.049362265,0
0.053595582,0
0.055918482,0
0.058243465,0
0.060566365,0
0.062889249,0
0.065214248,0
0.067537148,0
0.069860032,0
0.072185015,0
0.074507931,0
0.076832914,0
0.079155814,0
0.081478714,0
0.083803712,0
0.086126581,0
0.088449481,0
0.093295315,0
0.095618196,0
0.097943198,0
0.10026606,0
0.10259108,0
0.10491397,0
0.10723688,0
0.10956183,0
0.11188476,0
0.11420765,0
0.11653263,0
0.11885553,0
0.12117843,0
0.12350341,0
0.12582631,0
0.1281513,0
0.1304742,0
0.1327971,0
0.1351221,0
0.13744496,0
0.13976788,0
0.14209286,0
0.14441576,0
0.14674075,0
0.14906365,0
0.15138655,0
0.15371153,0
0.15603445,0
0.15835735,0
0.16068233,0
0.16300521,0
0.16533018,0
0.16765311,0
0.169976,0
0.172301,0
0.1771343,0
0.17945718,0
0.18178217,0
0.18410508,0
0.18643006,0
0.18875296,0
0.19107583,0
0.19340085,0
0.19572375,0
0.19804873,0
0.20037161,0
0.20269451,0
0.20501951,0
0.2073424,0
0.21284026,0
0.22173396,0
0.2259569,0
0.22827976,0
0.23060268,0
0.23292763,0
0.23525055,0
0.23757553,0
0.23989843,0
0.24222133,0
0.24454633,0
0.24686921,0
0.24919211,0
0.2515171,0
0.25384,0
0.25616498,0
0.2609962,0
0.2633191,0
0.26564406,0
0.267967,0
0.2702899,0
0.27261486,0
0.27493776,0
0.27726066,0
0.27958565,0
0.28190858,0
0.28423353,0
0.28655647,0
0.28887935,0
0.29120431,0
0.29352721,0
0.29585013,0
0.29817513,0
0.30049802,0
0.30282298,0
0.3051459,0
0.3074688,0
0.30979377,0
0.31211668,0
0.31443956,0
0.31676456,0
0.31908746,0
0.32141035,0
0.32373536,0
0.32605825,0
0.32838321,0
0.33070611,0
0.33302903,0
0.33535401,0
0.3376769,0
0.34251865,0
0.34484353,0
0.34716643,0
0.3494914,0
0.3518143,0
0.35413721,0
0.35646218,0
0.35878512,0
0.361108,0
0.36343298,0
0.36575588,0
0.37433501,0
0.37776828,0
0.38579115,0
0.40481183,0
0.42154717,0
0.44230115,0
0.46132601,0
0.47627383,0
0.49497578,0
0.51403815,0
0.5331651,0
0.55230455,0
0.5713169,0
0.59042513,0
0.60725625,0
0.62552695,0
0.64371223,0
0.66124338,0
0.67713703,0
0.69857018,0
0.71500548,0
0.73411576,0
0.75128023,0
0.76935718,0
0.78915703,0
0.80819233,0
0.82739218,0
0.84431293,0
0.8651836,0
0.8821043,0
0.90120002,0
0.92039155,0
0.94199138,0
0.96120583,0
0.98053486,0
0.99984306,0
1.0190909,0
1.0393595,0
1.0585239,0
1.0778133,0
1.0969757,0
1.1182755,0
1.1375358,0
1.1569399,0
1.1762043,0
1.1981187,0
1.2173228,0
1.2356726,0
1.2549517,0
1.2769598,0
1.2961993,0
1.3155283,0
1.3349657,0
1.3543406,0
1.3762529,0
1.3954528,0
1.4136526,0
1.432813,0
1.454769,0
1.4735585,0
1.4916667,0
1.5096228,0
1.5282727,0
1.543258,0
1.5587766,0
1.5758244,0
1.5931222,0
