CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E10_GCA_Ep_BSH101_48h.raw
Data points: 2843
Time(min),Relative Abundance
0.003712618,0
0.008341717,0
0.011487535,0
0.013810415,0
0.016135402,0
0.018458302,0
0.020781218,0
0.023106169,0
0.025429101,0
0.027751985,0
0.030077,0
0.032399868,0
0.034724835,0
0.037047751,0
0.049308085,0
0.053549734,0
0.055872618,0
0.058195519,0
0.060520501,0
0.062843417,0
0.0651684,0
0.0674913,0
0.069814184,0
0.072139167,0
0.074462067,0
0.076784968,0
0.079109966,0
0.081432834,0
0.083757849,0
0.086080749,0
0.088403618,0
0.093241182,0
0.095564019,0
0.097888985,0
0.1002119,0
0.10253688,0
0.10485978,0
0.10718268,0
0.10950765,0
0.11183057,0
0.11415347,0
0.11647847,0
0.11880133,0
0.12112425,0
0.12344923,0
0.12577212,0
0.12809712,0
0.13042002,0
0.13274292,0
0.13506788,0
0.13739078,0
0.13971368,0
0.14203868,0
0.14436158,0
0.14668655,0
0.14900947,0
0.15133235,0
0.15365737,0
0.15598022,0
0.15830315,0
0.16062814,0
0.16295104,0
0.16527602,0
0.16759892,0
0.16992182,0
0.1722468,0
0.17708853,0
0.17941132,0
0.18173632,0
0.1840592,0
0.1863821,0
0.1887071,0
0.19103002,0
0.19335289,0
0.1956779,0
0.19800078,0
0.20032577,0
0.20264867,0
0.20497157,0
0.20729653,0
0.21279442,0
0.2216902,0
0.22593608,0
0.228261,0
0.2305839,0
0.2329068,0
0.23523178,0
0.23755467,0
0.23987967,0
0.24220257,0
0.24452547,0
0.24685043,0
0.24917335,0
0.25149625,0
0.25382123,0
0.25614413,0
0.26097537,0
0.26329823,0
0.26562113,0
0.26794614,0
0.27026904,0
0.27259402,0
0.2749169,0
0.2772398,0
0.27956482,0
0.2818877,0
0.28421059,0
0.28653558,0
0.28885848,0
0.29118347,0
0.29350637,0
0.29582927,0
0.29815425,0
0.30047713,0
0.30280003,0
0.30512503,0
0.30744793,0
0.30977083,0
0.3120958,0
0.31441873,0
0.3167437,0
0.3190666,0
0.32138948,0
0.32371448,0
0.32603738,0
0.32836028,0
0.33068527,0
0.33300817,0
0.33533318,0
0.33765605,0
0.34249978,0
0.34482267,0
0.34714558,0
0.34947054,0
0.35179345,0
0.35411637,0
0.35644135,0
0.35876422,0
0.36108923,0
0.36341212,0
0.36573502,0
0.36806,0
0.37038288,0
0.37550997,0
0.38249947,0
0.40157017,0
0.42048255,0
0.44158864,0
0.45972183,0
0.47705507,0
0.49454453,0
0.5135673,0
0.53536297,0
0.55440868,0
0.57340228,0
0.592473,0
0.60539582,0
0.62128945,0
0.6395935,0
0.65535588,0
0.67162452,0
0.69103897,0
0.70438887,0
0.72049917,0
0.73936988,0
0.75521353,0
0.77385089,0
0.78839244,0
0.8065444,0
0.82546095,0
0.84187543,0
0.8625815,0
0.88157095,0
0.89854375,0
0.91767487,0
0.93674972,0
0.95805583,0
0.97725777,0
0.99644723,0
1.0156429,0
1.0349532,0
1.0528718,0
1.0720279,0
1.0912341,0
1.1127735,0
1.1308692,0
1.1501503,0
1.1693689,0
1.1912896,0
1.2094395,0
1.2266769,0
1.2454725,0
1.2647245,0
1.2866285,0
1.3060096,0
1.3253657,0
1.3446094,0
1.3665759,0
1.3854966,0
1.4048214,0
1.4229109,0
1.4448816,0
1.4640981,0
1.4790563,0
1.4963937,0
1.5141332,0
1.5323726,0
1.546058,0
1.5619745,0
1.5716203,0
1.5857848,0
1.6026305,0
1.6190658,0
1.6330886,0
1.6459406,0
1.659578,0
1.6742237,0
1.6896465,0
1.7027673,0
1.7190359,0
1.734467,0
1.7471044,0
1.763871,0
1.7822354,0
1.7980916,0
1.8144665,0
1.8298788,0
1.8461558,0
1.8586454,0
1.8711036,0
1.8885597,0
1.9015992,0
1.9126346,0
1.9255324,0
1.938701,0
1.9552842,0
1.9704279,0
1.9857923,0
2.0021631,0
2.0215442,0
2.0366774,0
2.0527398,0
2.068398,0
2.0821646,0
2.0992019,0
2.1200372,0
2.1381704,0
2.1575932,0
2.1769681,0
2.1953096,0
2.2108887,0
2.228376,0
2.2448509,0
2.2641988,0
2.285884,0
2.304413,0
2.3240337,0
2.3435523,0
2.3648688,0
2.3843895,0
2.400179,0
2.4196601,0
2.4398225,0
2.4560515,0
2.4757347,0
2.4953367,0
2.5149803,0
2.536478,0
2.556005,0
2.5757361,0
2.5952172,0
2.6175754,0
2.6369523,0
2.6567126,0
2.6764916,0
2.6959082,0
2.7154789,18831.98046875
2.7352121,0
2.7550078,0
2.7774389,0
2.7821284,0
2.8016658,19999.515625
2.8211802,0
2.8259698,0
2.8454467,0
2.867657,0
2.8872381,0
2.9048546,0
2.9233837,0
2.9409773,0
2.9606251,0
2.9799083,0
2.999429,0
3.0189517,0
3.0412328,0
3.0591369,0
