CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E11_BHI_50MeOH.raw
Data points: 2939
Time(min),Relative Abundance
0.003756634,0
0.008383651,0
0.011533601,0
0.013858568,0
0.016181468,0
0.018506451,0
0.020829335,0
0.023152251,0
0.025477234,0
0.027800134,0
0.03012305,0
0.032448017,0
0.034770933,0
0.037095884,0
0.045972966,0
0.050208333,0
0.052533316,0
0.0548562,0
0.0571791,0
0.059504083,0
0.061826967,0
0.064151966,0
0.066474866,0
0.06879775,0
0.071122749,0
0.073445669,0
0.075770651,0
0.078093552,0
0.080416432,0
0.082741435,0
0.085064299,0
0.087387199,0
0.092226866,0
0.094549667,0
0.096874649,0
0.09919755,0
0.10152255,0
0.10384543,0
0.10616832,0
0.10849334,0
0.11081624,0
0.11313914,0
0.11546412,0
0.11778702,0
0.120112,0
0.12243489,0
0.12475779,0
0.12708278,0
0.12940567,0
0.13172858,0
0.13405355,0
0.13637645,0
0.13870143,0
0.14102433,0
0.14334722,0
0.14567223,0
0.14799512,0
0.15031803,0
0.15264302,0
0.1549659,0
0.15729088,0
0.15961378,0
0.1619367,0
0.16426169,0
0.16658457,0
0.16890748,0
0.17123245,0
0.17608042,0
0.17840325,0
0.18072613,0
0.18305113,0
0.18537403,0
0.18769693,0
0.19002192,0
0.19234482,0
0.1946698,0
0.19699268,0
0.1993156,0
0.2016406,0
0.20396349,0
0.20628637,0
0.21178423,0
0.21728005,0
0.22151342,0
0.22383625,0
0.22615917,0
0.22848415,0
0.23080705,0
0.23313202,0
0.23545492,0
0.23777783,0
0.2401028,0
0.24242572,0
0.24475069,0
0.24707359,0
0.2493965,0
0.25172148,0
0.25404437,0
0.25887565,0
0.26119848,0
0.26352138,0
0.26584638,0
0.26816928,0
0.27049427,0
0.27281715,0
0.27514007,0
0.27746505,0
0.27978795,0
0.28211083,0
0.28443584,0
0.28675875,0
0.28908372,0
0.29140663,0
0.29372952,0
0.2960545,0
0.2983774,0
0.3007003,0
0.30302528,0
0.30534818,0
0.30767109,0
0.30999607,0
0.31231897,0
0.31464393,0
0.31696687,0
0.31928975,0
0.32161477,0
0.32393765,0
0.32626053,0
0.32858552,0
0.33090842,0
0.3332334,0
0.3355563,0
0.3378792,0
0.34272093,0
0.34504584,0
0.34736872,0
0.34969162,0
0.3520166,0
0.3543395,0
0.3566624,0
0.35898742,0
0.3613103,0
0.36363528,0
0.36595817,0
0.37096647,0
0.3847226,0
0.40037665,0
0.41890778,0
0.4394868,0
0.45849292,0
0.47585322,0
0.49295517,0
0.51176964,0
0.53354447,0
0.55260267,0
0.57158587,0
0.58832328,0
0.60138363,0
0.61694597,0
0.63446043,0
0.652577,0
0.67046437,0
0.68689757,0
0.70242664,0
0.71827235,0
0.73680972,0
0.75123877,0
0.76591992,0
0.78211147,0
0.80048842,0
0.81633623,0
0.83331945,0
0.851061,0
0.87162333,0
0.88859613,0
0.90773559,0
0.9267917,0
0.94828738,0
0.9675414,0
0.98669128,0
1.005912,0
1.0256723,0
1.0424492,0
1.0607783,0
1.0799636,0
1.0991822,0
1.1194112,0
1.1387798,0
1.1580588,0
1.1772129,0
1.1991294,0
1.2173251,0
1.2333958,0
1.2526311,0
1.274558,0
1.2938037,0
1.313166,0
1.3323951,0
1.3516908,0
1.3735802,0
1.3927447,0
1.4121154,0
1.4300215,0
1.4506068,0
1.4679212,0
1.487119,0
1.5029439,0
1.5204542,0
1.5386957,0
1.5524248,0
1.5649185,0
1.5796684,0
1.5932412,0
1.6051244,0
1.6171077,0
1.6303618,0
1.645197,0
1.6614907,0
1.6752781,0
1.6897614,0
1.7023425,0
1.7182111,0
1.7302923,0
1.7463422,0
1.7607921,0
1.7770816,0
1.7919856,0
1.8062563,0
1.8234125,0
1.8367457,0
1.8541081,0
1.8657163,0
1.8852475,0
1.8982807,0
1.9084494,0
1.9217222,0
1.934095,0
1.9497095,0
1.9665802,0
1.9805593,0
1.9985946,0
2.0165924,0
2.0303381,0
2.0454588,0
2.0615149,0
2.0765149,0
2.093221,0
2.1142188,0
2.132679,0
2.1520831,0
2.1715413,0
2.1871058,0
2.2022744,0
2.2217534,0
2.2395262,0
2.2588323,0
2.2796967,0
2.2991841,0
2.3182256,0
2.3377672,0
