CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E3_TCDCA_Ep_BSH101_48h.raw
Data points: 2834
Time(min),Relative Abundance
0.003716917,0
0.008325266,0
0.011639733,0
0.013964716,0
0.0162876,0
0.018610516,0
0.020935499,0
0.023258399,0
0.025583401,0
0.027906286,0
0.030229202,0
0.032554169,0
0.034877069,0
0.037199949,0
0.049464451,0
0.053697752,0
0.056020684,0
0.058345651,0
0.060668551,0
0.062991467,0
0.065316434,0
0.06763935,0
0.069962234,0
0.072287201,0
0.074610117,0
0.0769351,0
0.079258036,0
0.081580916,0
0.083905899,0
0.086228783,0
0.088551683,0
0.093399583,0
0.095722468,0
0.098047466,0
0.10037037,0
0.10269327,0
0.10501825,0
0.10734113,0
0.10966612,0
0.11198902,0
0.11431193,0
0.11663692,0
0.11895982,0
0.12128272,0
0.12360768,0
0.1259306,0
0.12825557,0
0.13057849,0
0.13290139,0
0.13522637,0
0.13754928,0
0.13987217,0
0.14219715,0
0.14452004,0
0.14684502,0
0.14916793,0
0.15149083,0
0.15381582,0
0.15613872,0
0.15846162,0
0.1607866,0
0.1631095,0
0.16543447,0
0.16775738,0
0.17008028,0
0.17240523,0
0.177249,0
0.17957188,0
0.18189478,0
0.18421975,0
0.18654267,0
0.18886765,0
0.19119057,0
0.19351345,0
0.19583845,0
0.19816133,0
0.20048425,0
0.2028092,0
0.20513212,0
0.2074571,0
0.21295288,0
0.22183622,0
0.22606949,0
0.22839239,0
0.23071737,0
0.23304027,0
0.23536315,0
0.23768814,0
0.24001105,0
0.24233394,0
0.24465893,0
0.24698182,0
0.24930475,0
0.2516297,0
0.25395259,0
0.25879222,0
0.26111505,0
0.26343797,0
0.26576295,0
0.26808585,0
0.27041083,0
0.27273372,0
0.27505662,0
0.27738162,0
0.2797045,0
0.28202743,0
0.28435239,0
0.28667532,0
0.28900027,0
0.29132318,0
0.29364607,0
0.29597107,0
0.29829397,0
0.30061687,0
0.30294185,0
0.30526475,0
0.30758767,0
0.30991262,0
0.31223552,0
0.31456052,0
0.31688343,0
0.31920633,0
0.3215313,0
0.32385422,0
0.3261771,0
0.32850209,0
0.33082497,0
0.33314998,0
0.3354729,0
0.33779575,0
0.3426374,0
0.3449624,0
0.34728529,0
0.34960817,0
0.35193317,0
0.35425607,0
0.35658105,0
0.35890397,0
0.36122687,0
0.36355183,0
0.36587475,0
