CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E7_GDCA_Ep_BSH101_48h.raw
Data points: 2775
Time(min),Relative Abundance
0.003711966,2346.26586914063
0.008345214,0
0.011491,0
0.013813916,0
0.016138914,0
0.018461799,0
0.020784715,0
0.023109697,0
0.025432598,0
0.027755482,0
0.030080481,0
0.032403381,0
0.034728347,2347.94409179688
0.037051248,0
0.045942914,0
0.050167933,0
0.052490714,2314.4384765625
0.058001148,0
0.062232331,0
0.064555231,0
0.066880213,0
0.069203098,0
0.071526014,2133.20581054688
0.073851016,2069.22778320313
0.076173897,2232.72192382813
0.078496797,0
0.080821764,0
0.083144684,2552.52319335938
0.085469682,0
0.087792547,0
0.09262795,0
0.094952948,0
0.097275832,0
0.099598717,2129.82104492188
0.10192372,0
0.1042466,0
0.1065716,0
0.1088945,0
0.11121741,0
0.11354238,0
0.11586528,0
0.11818818,0
0.12051316,0
0.12283608,0
0.12516105,0
0.12748397,0
0.12980685,0
0.13213185,0
0.13445473,0
0.13677763,0
0.13910262,2005.57983398438
0.1414255,0
0.14374843,0
0.1460734,2521.11669921875
0.14839632,0
0.15072128,0
0.1530442,0
0.1553671,0
0.15769207,0
0.16001497,0
0.16233788,0
0.16466286,0
0.16698577,0
0.16931073,0
0.17163362,0
0.17647331,0
0.17879608,0
0.18112108,0
0.18344398,0
0.18576688,0
0.18809185,0
0.19041478,0
0.19273973,0
0.19506263,0
0.19738555,1894.21508789063
0.19971053,0
0.20203345,0
0.20435633,0
0.2066813,0
0.2121771,0
0.21767501,0
0.2219062,0
0.22740412,0
0.23164573,2709.884765625
0.23396863,0
0.2362936,0
0.23861652,0
0.2409394,0
0.2432644,0
0.2455873,0
0.2479102,0
0.25023517,0
0.25255808,0
0.25488096,0
0.2597248,0
0.26204758,0
0.26437257,0
0.26669547,0
0.26902045,0
0.27134337,0
0.27366625,0
0.27599125,0
0.27831412,0
0.28063705,0
0.28296202,0
0.28528492,2745.06860351563
0.28760991,0
0.28993281,0
0.29225571,0
0.29458068,0
0.29690362,0
0.2992265,0
0.30155148,0
0.30387438,0
0.30619937,0
0.30852225,0
0.31084515,0
0.31317017,1899.10412597656
0.31549303,0
0.31781597,0
0.32014093,0
0.32246383,0
0.32478882,0
0.32711172,0
0.32943463,0
0.33175958,0
0.33408252,0
0.33640542,0
0.33873038,0
0.34357212,0
0.34589493,0
0.3482199,0
0.35054278,2526.4384765625
0.35286777,0
0.35519068,0
0.35751358,0
0.35983856,0
0.36216146,0
0.36448436,0
0.36680935,2518.18798828125
0.37214475,0
0.37575302,0
0.39148833,0
0.41045695,0
0.42805475,0
0.44927333,0
0.46708362,0
0.48442312,0
0.50310422,0
