CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_E9_GUDCA_Ep_BSH101_48h.raw
Data points: 2800
Time(min),Relative Abundance
0.003714533,0
0.008339448,0
0.011485282,0
0.01380815,0
0.016133149,0
0.018456049,0
0.020778933,0
0.023103932,0
0.025426832,0
0.027751814,0
0.030074715,0
0.032397615,0
0.034722613,0
0.037045482,0
0.049318364,0
0.053547564,0
0.055870365,0
0.058195332,0
0.060518232,0
0.062841148,0
0.065166115,0
0.067489067,0
0.069811931,0
0.072136898,0
0.074459814,0
0.076784801,0
0.079107717,0
0.081430597,0
0.083755584,0
0.0860785,0
0.08840138,0
0.093234697,0
0.095557582,0
0.097882564,0
0.10020546,0
0.10252835,0
0.10485337,0
0.10717625,0
0.10950123,0
0.11182413,0
0.11414701,0
0.11647203,0
0.11879492,0
0.12111783,0
0.12344282,0
0.1257657,0
0.12809068,0
0.13041358,0
0.1327365,0
0.13506147,0
0.13738438,0
0.13970728,0
0.14203225,0
0.14435515,0
0.14668015,0
0.14900303,0
0.15132593,0
0.15365093,0
0.1559738,0
0.15829673,0
0.16062171,0
0.1629446,0
0.1652696,0
0.1675925,0
0.1699154,0
0.17224036,0
0.17707378,0
0.17939658,0
0.1817195,0
0.18404446,0
0.18636736,0
0.18869026,0
0.19101525,0
0.19333813,0
0.19566313,0
0.19798603,0
0.20030891,0
0.2026339,0
0.20495682,0
0.2072797,0
0.21277758,0
0.22166925,0
0.22590875,0
0.22823165,0
0.23055661,0
0.23287953,0
0.23520243,0
0.2375274,0
0.23985031,0
0.24217321,0
0.2444982,0
0.24682108,0
0.2491461,0
0.251469,0
0.25379188,0
0.25611687,0
0.26095235,0
0.26327723,0
0.26560015,0
0.2679251,0
0.27024801,0
0.27257092,0
0.2748959,0
0.27721881,0
0.2795417,0
0.2818667,0
0.28418958,0
0.2865146,0
0.28883746,0
0.29116036,0
0.29348535,0
0.29580825,0
0.29813117,0
0.30045613,0
0.30277905,0
0.30510403,0
0.30742693,0
0.30974982,0
0.31207482,0
0.3143977,0
0.31672062,0
0.3190456,0
0.32136848,0
0.3236935,0
0.32601638,0
0.32833927,0
0.33066426,0
0.33298715,0
0.33531008,0
0.33763503,0
0.3424767,0
0.34479958,0
0.34712456,0
0.34944745,0
0.35177036,0
0.35409535,0
0.35641827,0
0.35874113,0
0.36106615,0
0.36338903,0
0.36571402,0
0.36803692,0
0.3703598,0
0.37527228,0
0.38902843,0
0.40804703,0
0.42542817,0
0.4465426,0
0.46560913,0
0.48186318,0
0.4997318,0
0.51874835,0
0.54060651,0
0.55967305,0
0.57870208,0
0.59278122,0
0.60350817,0
0.61932888,0
0.63610167,0
0.65417448,0
0.67204726,0
0.69036171,0
0.70764493,0
0.71937822,0
0.73754888,0
0.75339043,0
0.76857578,0
0.78318813,0
0.80199217,0
0.81984622,0
0.83593363,0
0.85476263,0
0.87301876,0
0.89217487,0
0.91129348,0
0.93041003,0
0.95158905,0
0.9707889,0
0.98996168,0
1.0091324,0
1.0287968,0
1.0448488,0
1.0639799,0
1.0831839,0
1.1016234,0
1.1217566,0
1.1409356,0
1.1601459,0
1.1793791,0
1.2009435,0
1.218483,0
1.2358641,0
1.255114,0
1.2770701,0
1.2963429,0
1.3155385,0
1.3347405,0
1.3536404,0
1.3756923,0
1.3944859,0
1.413767,0
1.4320669,0
1.4526501,0
1.4709354,0
1.4881998,0
1.5042685,0
1.5209975,0
1.5372391,0
1.5524452,0
1.5676576,0
1.5803263,0
1.5924616,0
1.6061615,0
1.6180281,0
1.6321363,0
1.6467904,0
1.6615694,0
1.6754339,0
1.6918651,0
1.7057608,0
1.721244,0
1.7366731,0
1.7492334,0
1.7663937,0
1.7835498,0
1.7969518,0
1.8136559,0
1.8293578,0
1.8432369,0
1.857266,0
