CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F10_GCA_AZ-52_48h.raw
Data points: 2825
Time(min),Relative Abundance
0.003717215,0
0.008344196,0
0.011494215,0
0.013817099,0
0.016142081,0
0.018464982,0
0.020787882,0
0.023112864,0
0.025435765,0
0.027760747,0
0.030083648,0
0.032406548,0
0.034731499,0
0.037054415,0
0.045943983,0
0.050177263,0
0.052500148,0
0.054823048,0
0.057148015,0
0.059470931,0
0.061795913,0
0.067310499,0
0.071535447,0
0.073858332,0
0.076183314,0
0.078506199,0
0.080829115,0
0.083154097,0
0.085476982,0
0.087799914,0
0.09264363,0
0.094966514,0
0.097291497,0
0.099614417,0
0.1019373,0
0.10426228,0
0.10658518,0
0.10891017,0
0.11123308,0
0.11355596,0
0.11588095,0
0.11820385,0
0.12052675,0
0.12285173,0
0.12517463,0
0.12749963,0
0.12982252,0
0.13214542,0
0.1344704,0
0.13679331,0
0.13911621,0
0.14144118,0
0.14376408,0
0.14608908,0
0.14841198,0
0.15073488,0
0.15305986,0
0.15538275,0
0.15770566,0
0.16003065,0
0.16235355,0
0.16467853,0
0.16700143,0
0.16932431,0
0.1716493,0
0.17649106,0
0.17881383,0
0.18113675,0
0.18346173,0
0.18578463,0
0.1881096,0
0.19043252,0
0.19275542,0
0.1950804,0
0.1974033,0
0.1997262,0
0.20205118,0
0.20437408,0
0.20669905,0
0.21219485,0
0.21769278,0
0.22192395,0
0.22424687,0
0.22657183,0
0.22889477,0
0.23121763,0
0.23354263,0
0.23586553,0
0.23818843,0
0.24051342,0
0.2428363,0
0.2451613,0
0.2474842,0
0.2498071,0
0.2521321,0
0.25445497,0
0.25929662,0
0.26161952,0
0.2639445,0
0.2662674,0
0.2685903,0
0.2709153,0
0.27323817,0
0.2787548,0
0.28282155,0
0.28514435,0
0.28746933,0
0.28979221,0
0.29211515,0
0.29444011,0
0.29676301,0
0.299088,0
0.30141088,0
0.3037338,0
0.30605878,0
0.3083817,0
0.31070458,0
0.31302958,0
0.31535246,0
0.31767745,0
0.32000035,0
0.32232325,0
0.32464825,0
0.32697115,0
0.32929401,0
0.33161902,0
0.33394192,0
0.3362669,0
0.33858981,0
0.34343363,0
0.34575641,0
0.34808141,0
0.35040431,0
0.35272928,0
0.35505218,0
0.35737508,0
0.35970006,0
0.36202298,0
0.36434586,0
0.36667085,0
0.36899375,0
0.37418123,0
0.37782702,0
0.39691645,0
0.41588715,0
0.43337872,0
0.45506186,0
0.47285553,0
0.4892033,0
0.50823026,0
0.52728638,0
0.54637792,0
0.56542153,0
0.58451097,0
0.59885255,0
0.61539618,0
0.63137938,0
0.64986678,0
0.66634583,0
0.68144571,0
0.70187473,0
0.71845587,0
0.73448285,0
0.75133897,0
0.76770343,0
0.7823117,0
0.79975111,0
0.81891558,0
0.83500295,0
0.85374658,0
0.87215062,0
0.89132132,0
0.91045035,0
0.92953565,0
0.95110005,0
0.97024991,0
0.98941853,0
1.0085913,0
1.028312,0
1.0469494,0
1.064468,0
1.0836345,0
1.1028365,0
1.121003,0
1.1402258,0
1.1595111,0
1.1782693,0
1.2001233,0
1.2182378,0
1.2363314,0
1.2543084,0
1.2762769,0
1.2955143,0
1.3147996,0
1.3341557,0
1.3534431,0
1.3747242,0
1.3935157,0
1.4127093,0
1.4319821,0
1.453484,0
1.4721901,0
1.4900046,0
1.5060899,0
1.5209981,0
1.5402334,0
1.5528229,0
1.5642916,0
1.5770853,0
1.5943539,0
1.6070892,0
1.6190412,0
1.6327244,0
1.6477764,0
1.6642075,0
1.6782887,0
1.693499,0
1.7082593,0
1.7249217,0
1.7396237,0
1.7547798,0
1.7706776,0
1.7868608,0
1.8013774,0
1.8189273,0
1.8353126,0
1.8498666,0
1.8636082,0
1.8787123,0
1.8940476,0
1.906635,0
1.9203516,0
1.9332223,0
1.9474909,0
1.9614179,0
1.9774782,0
1.9949948,0
2.0142426,0
2.0342216,0
2.0478173,0
2.0668068,0
2.0818755,0
2.0976441,0
2.1174293,0
2.1361126,0
2.1554332,0
2.1748331,0
2.193258,0
2.2119266,0
2.2287327,0
2.2446055,0
2.2629658,0
2.2826469,0
2.3021864,0
2.3205987,0
2.3399153,0
2.3622109,0
2.3816504,0
2.395869,0
2.4145439,0
2.4338563,0
2.4535645,0
2.4710852,0
2.4897684,0
2.5092578,0
2.5312389,0
2.5509575,0
2.5704282,0
2.5901469,0
2.612505,0
2.6318049,0
2.6516422,0
2.6710859,0
2.6934461,0
2.7131147,0
2.7328625,0
2.7522145,0
2.7719685,0
2.7828455,0
2.8024849,0
2.8219681,0
2.8410847,0
2.8633782,0
2.8828427,0
2.9024697,0
2.9208528,0
2.9384819,0
2.958038,0
2.9776045,0
2.9966336,0
3.0163668,0
3.0386645,0
3.0567894,0
3.0766892,0
3.0965099,0
3.1189889,0
3.1388055,0
3.1585866,0
3.1781302,0
3.2003717,0
3.2198257,0
3.2393818,0
3.2592296,0
3.2755837,0
3.2871003,0
3.3056522,0
3.3090001,0
3.3121272,0
3.3238625,0
3.3286021,0
3.3319791,0
3.3352875,0
3.3385082,0
3.3423165,0
3.3446415,0
3.3469644,0
3.3492894,0
3.3540831,0
3.3611664,0
3.3648789,0
3.3681643,0
3.3704872,0
3.3728101,0
3.3810225,0
3.388135,0
3.3914683,0
3.3947495,0
3.4028953,0
3.4076182,0
3.4146744,0
3.4216639,0
3.4252264,0
3.4283659,0
3.4317139,0
3.4348596,0
3.4394992,0
3.4429804,0
3.44762,0
3.4547803,0
3.4594262,0
3.4700344,0
3.4735656,0
3.4767406,0
3.4790635,0
3.4813864,0
3.4837114,0
3.4918301,0
