CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F11_BHI_50MeOH.raw
Data points: 2922
Time(min),Relative Abundance
0.003759268,0
0.008369584,0
0.011517516,0
0.013840384,0
0.016163301,0
0.018488267,0
0.020811199,0
0.023134068,0
0.025459066,0
0.027781966,0
0.030104883,0
0.032429865,0
0.03475275,0
0.037077716,0
0.049346434,0
0.053577633,0
0.055900517,0
0.058225484,0
0.060548384,0
0.062871316,0
0.065196283,0
0.067519199,0
0.069842083,0
0.07216705,0
0.074489982,0
0.076812866,0
0.079137865,0
0.081460765,0
0.083785752,0
0.086108648,0
0.088431532,0
0.093269065,0
0.095593984,0
0.097916865,0
0.10024188,0
0.10256477,0
0.10488767,0
0.10721265,0
0.10953553,0
0.11185847,0
0.11418342,0
0.11650635,0
0.11883133,0
0.12115422,0
0.12347712,0
0.1258021,0
0.128125,0
0.1304479,0
0.1327729,0
0.13509578,0
0.13742078,0
0.13974367,0
0.14206657,0
0.14439155,0
0.14671445,0
0.14903737,0
0.15136231,0
0.15368525,0
0.15601023,0
0.15833312,0
0.16065603,0
0.162981,0
0.16530392,0
0.1676268,0
0.1699518,0
0.17227468,0
0.17711425,0
0.17943922,0
0.18176213,0
0.18408503,0
0.18641002,0
0.1887329,0
0.1910579,0
0.1933808,0
0.1957037,0
0.19802868,0
0.20035157,0
0.20267447,0
0.20499945,0
0.20732235,0
0.21282024,0
0.22171183,0
0.22594728,0
0.22827013,0
0.23059511,0
0.23291802,0
0.23524092,0
0.23756588,0
0.2398888,0
0.2422117,0
0.24453668,0
0.24685958,0
0.24918458,0
0.25150747,0
0.25383038,0
0.25615537,0
0.26100116,0
0.26332612,0
0.26564903,0
0.26797193,0
0.27029691,0
0.27261981,0
0.2749448,0
0.2772677,0
0.27959058,0
0.2819156,0
0.28423848,0
0.2865614,0
0.28888638,0
0.29120927,0
0.29353427,0
0.29585715,0
0.29818007,0
0.30050503,0
0.30282795,0
0.30515083,0
0.30747582,0
0.30979872,0
0.31212372,0
0.3144466,0
0.3167695,0
0.3190945,0
0.3214174,0
0.32374028,0
0.32606528,0
0.32838817,0
0.33071317,0
0.33303607,0
0.33535898,0
0.33768395,0
0.34252777,0
0.34485057,0
0.34717555,0
0.34949843,0
0.35182343,0
0.35414632,0
0.35646923,0
0.35879422,0
0.36111712,0
0.36344002,0
0.365765,0
0.3680879,0
0.37041287,0
0.37861072,0
0.39003565,0
0.40906675,0
0.42623747,0
0.44688107,0
0.46590593,0
0.4822975,0
0.49974946,0
0.51877015,0
0.5377992,0
0.55688863,0
0.57589475,0
0.591253,0
0.60455913,0
0.61946945,0
0.63691307,0
0.65542753,0
0.67379407,0
0.69079811,0
0.7028168,0
0.72047082,0
