CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F12_BHI_50DMSO_25MeOH.raw
Data points: 2923
Time(min),Relative Abundance
0.003742583,0
0.008375898,0
0.011515418,0
0.013838282,0
0.016163265,0
0.018486165,0
0.020809081,0
0.023134068,0
0.025456968,0
0.027779864,0
0.030104851,0
0.032427751,0
0.034752734,0
0.037075618,0
0.049340148,0
0.053573449,0
0.055898399,0
0.058221331,0
0.060544216,0
0.062869218,0
0.065192114,0
0.067514999,0
0.069839981,0
0.072162882,0
0.074487868,0
0.076810764,0
0.079133665,0
0.081458667,0
0.083781567,0
0.086104468,0
0.088429434,0
0.093268982,0
0.095593984,0
0.097916884,0
0.10023978,0
0.10256475,0
0.10488765,0
0.10721265,0
0.10953551,0
0.11185843,0
0.11418342,0
0.11650632,0
0.11882923,0
0.12115418,0
0.1234771,0
0.12580208,0
0.12812498,0
0.13044788,0
0.13277288,0
0.13509577,0
0.13741868,0
0.13974365,0
0.14206655,0
0.14439155,0
0.14671443,0
0.14903733,0
0.1513623,0
0.15368523,0
0.15600813,0
0.15833312,0
0.16065601,0
0.16298098,0
0.1653039,0
0.16762678,0
0.1699518,0
0.17227467,0
0.17711008,0
0.17943297,0
0.18175795,0
0.18408085,0
0.18640375,0
0.18872872,0
0.19105163,0
0.19337662,0
0.19569952,0
0.19802242,0
0.20034738,0
0.2026703,0
0.20499318,0
0.20731818,0
0.21281605,0
0.2183119,0
0.222541,0
0.22486388,0
0.23038682,0
0.23461808,0
0.23694088,0
0.23926587,0
0.24158878,0
0.24391167,0
0.24623665,0
0.24855955,0
0.25088245,0
0.25320743,0
0.25553036,0
0.26037198,0
0.26269487,0
0.26501987,0
0.26734275,0
0.26966773,0
0.27199065,0
0.27431352,0
0.27663853,0
0.27896142,0
0.28128433,0
0.28360933,0
0.2859322,0
0.28825718,0
0.29058008,0
0.292903,0
0.29522798,0
0.29755088,0
0.29987376,0
0.30219877,0
0.30452167,0
0.30684665,0
0.30916955,0
0.31149243,0
0.31381745,0
0.31614033,0
0.31846323,0
0.32078822,0
0.32311112,0
0.32543402,0
0.32775898,0
0.33008188,0
0.33240688,0
0.3347298,0
0.3370527,0
0.33937766,0
0.34421512,0
0.34654012,0
0.348863,0
0.35118592,0
0.3535109,0
0.35583382,0
0.35815878,0
0.36048168,0
0.36280458,0
0.36512957,0
0.36745247,0
0.37264412,0
0.3762774,0
0.38431067,0
0.40331887,0
0.421,0
0.44130195,0
0.45989347,0
0.47802251,0
0.49479948,0
0.51187852,0
0.52696383,0
0.54597203,0
0.5649344,0
0.58394468,0
0.59825503,0
0.61631528,0
0.6334756,0
0.65175255,0
0.66787327,0
0.68441273,0
0.705448,0
0.72009165,0
0.73519155,0
0.75048517,0
0.76716423,0
0.78582867,0
0.80403688,0
0.82291591,0
0.84110747,0
0.86183232,0
0.87931345,0
0.89738207,0
0.91542152,0
0.93456722,0
0.95605873,0
0.97515443,0
0.9943522,0
1.0135167,0
1.0343811,0
1.0531393,0
1.0722683,0
1.0903578,0
1.1095389,0
1.1275242,0
1.1467845,0
1.1659427,0
1.185205,0
1.2071736,0
1.2256652,0
1.2437296,0
1.2623045,0
1.2835502,0
1.3029105,0
1.3221562,0
1.3414373,0
1.3634059,0
1.3816953,0
1.400966,0
1.4202388,0
1.4420865,0
1.4580385,0
1.4772696,0
1.4921112,0
1.5103569,0
1.527338,0
1.5417504,0
1.5540962,0
1.5703127,0
1.5831897,0
1.5958959,0
1.6098,0
1.6216603,0
1.633081,0
1.6490413,0
1.6651037,0
1.6789953,0
1.6919765,0
1.7063868,0
1.7227429,0
1.7391241,0
1.7547177,0
1.7680092,0
1.7848445,0
1.7975716,0
1.8144069,0
1.8310421,0
1.8455775,0
1.8609648,0
1.874546,0
1.8895251,0
1.9004938,0
1.9144541,0
1.9301581,0
1.9424185,0
1.9562829,0
1.9718849,0
1.988291,0
2.0043951,0
2.0247699,0
2.0385365,0
2.0548468,0
2.071528,0
2.0851591,0
2.1029277,0
2.1234068,0
2.1418004,0
2.1612731,0
2.1796314,0
2.1921729,0
2.2068728,0
2.2259831,0
2.2439872,0
2.2625058,0
2.2842244,0
2.3037388,0
2.3231991,0
2.342474,0
2.3631946,0
2.3827591,0
2.3989798,0
2.4187797,0
2.4362816,0
2.4525669,0
2.471373,0
2.4910437,0
2.5075437,0
2.5296581,0
2.5489329,0
2.5685911,0
2.5883535,0
2.6106137,0
2.6301553,0
2.6498135,0
2.6695862,0
2.6919819,0
2.7116651,0
2.7312316,0
2.7509898,0
2.7706605,0
2.7928958,0
2.8123415,0
2.8318247,0
2.8513766,0
2.8736348,0
2.8915284,0
2.910695,0
2.9282428,0
2.9479322,0
2.9675633,0
2.9866965,0
3.0062401,0
3.0170692,0
3.0353253,0
3.0550106,0
3.0746625,0
3.0909604,0
3.113404,0
3.1333725,0
3.1531245,0
3.1727389,0
3.1948659,0
3.2144678,0
3.234051,0
3.2540509,0
3.2656237,0
3.2852361,0
3.2968714,0
3.3109651,11274.681640625
3.3146192,12204.3505859375
3.3177421,29521.326171875
3.3224671,0
3.3262045,0
3.3295233,31302.474609375
3.3318462,0
3.3401503,0
3.3476148,21129.396484375
3.351221,25893.80078125
3.3543127,14979.099609375
3.3590022,11958.7197265625
3.3625293,27544.8125
3.365623,29063.9375
3.3853458,19504.333984375
3.3887166,12144.0146484375
3.4003665,0
3.4073623,0
3.4107977,0
3.4140185,29556.740234375
3.4172705,27262.85546875
3.4221101,16934.0625
3.4295892,11852.4111328125
3.4377788,0
3.4424183,14763.5576171875
3.4540557,9138.4794921875
3.4610994,11360.205078125
3.4681598,11575.6474609375
3.4715744,0
3.4748931,12048.3349609375
3.4865888,0
3.4936784,0
3.5041804,0
3.514749,0
3.5221323,0
3.5328218,0
3.5468551,0
3.5610508,0
3.5642862,0
3.5673487,0
3.5705799,0
3.5736924,0
3.577009,0
3.5803111,0
3.5834756,0
3.5881652,0
3.5956527,0
3.5990234,0
3.6188275,0
3.6269482,0
3.6351878,0
3.6434585,0
3.6481002,0
3.6515877,0
3.6549481,0
3.658371,11186.3701171875
3.661723,8267.408203125
3.6650626,10476.8154296875
3.6673875,7568.6953125
3.6758979,25468.958984375
3.680052,0
3.6830104,0
3.6853333,0
3.6876562,0
3.6899812,0
3.6923041,0
3.6946269,0
3.7030144,0
3.7102248,0
3.7172435,0
3.7278371,0
3.7418724,0
3.7489641,0
3.7595682,0
3.7630994,0
3.7661848,0
3.7708243,0
3.7813097,0
3.7845763,0
3.7916325,0
3.7997533,0
3.8102636,0
3.8173511,0
