CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F1_TLCA_AZ-52_48h.raw
Data points: 2955
Time(min),Relative Abundance
0.003714732,0
0.008331366,0
0.011477148,0
0.013800032,0
0.016125015,0
0.018447899,0
0.020770815,0
0.023095798,0
0.025418698,0
0.027741614,0
0.030066565,0
0.032389497,0
0.034714448,0
0.037037348,0
0.045916481,0
0.050151848,0
0.055660132,0
0.059726798,0
0.062049698,0
0.06437468,0
0.066697549,0
0.069020481,0
0.071345464,0
0.07366838,0
0.075991248,0
0.078316267,0
0.080639163,0
0.082964114,0
0.08528703,0
0.087609914,0
0.092451683,0
0.094776546,0
0.097099446,0
0.099422347,0
0.10174733,0
0.10407021,0
0.10639522,0
0.10871812,0
0.111041,0
0.113366,0
0.11568892,0
0.1180118,0
0.12033677,0
0.12265968,0
0.12498465,0
0.12730757,0
0.12963047,0
0.13195546,0
0.13427835,0
0.13660125,0
0.13892623,0
0.14124913,0
0.14357411,0
0.14589701,0
0.14821991,0
0.15054488,0
0.1528678,0
0.1551907,0
0.15751566,0
0.1598386,0
0.16216355,0
0.16448648,0
0.16680936,0
0.16913437,0
0.17145725,0
0.1762989,0
0.17862178,0
0.18094468,0
0.18326968,0
0.18559258,0
0.18791546,0
0.19024047,0
0.19256337,0
0.19488833,0
0.19721123,0
0.19953411,0
0.20185913,0
0.20418202,0
0.20650492,0
0.21200278,0
0.2174986,0
0.22173403,0
0.2272298,0
0.23147561,0
0.2337985,0
0.23612347,0
0.23844635,0
0.24076927,0
0.24309425,0
0.24541716,0
0.24774003,0
0.25006503,0
0.25238796,0
0.25471085,0
0.25969411,0
0.26283578,0
0.26515868,0
0.26748366,0
0.26980655,0
0.27212945,0
0.27445443,0
0.27677735,0
0.27910023,0
0.28142521,0
0.28374813,0
0.28607312,0
0.28839602,0
0.2907189,0
0.2930439,0
0.2953668,0
0.29768972,0
0.30001468,0
0.3023376,0
0.30466258,0
0.30698545,0
0.30930837,0
0.31163333,0
0.31395626,0
0.31627915,0
0.31860415,0
0.32092703,0
0.32325201,0
0.32557491,0
0.32789781,0
0.3302228,0
0.3325457,0
0.33486861,0
0.3371936,0
0.33951648,0
0.34434978,0
0.34667476,0
0.34899765,0
0.35132058,0
0.35364555,0
0.35596847,0
0.35829135,0
0.36061633,0
0.36293925,0
0.36526422,0
0.36758713,0
0.37617665,0
0.37958493,0
0.39865357,0
0.4169701,0
0.43487413,0
0.45538857,0
0.4739447,0
0.49213413,0
0.50937153,0
0.52486308,0
0.54388378,0
0.56265656,0
0.58174601,0
0.59652717,0
0.61423747,0
0.63096858,0
0.65011011,0
0.66635168,0
0.68299325,0
0.70215558,0
0.71589717,0
0.73458243,0
0.74955525,0
0.7653989,0
0.7818196,0
0.80072571,0
0.81848185,0
0.83553591,0
0.85326077,0
0.87138772,0
0.89054383,0
0.90966453,0
0.9287644,0
0.9479476,0
0.96720372,0
0.98634316,0
1.0055389,0
1.02412,0
1.041849,0
1.0610801,0
1.080255,0
1.0994674,0
1.1176068,0
1.1368546,0
1.1560899,0
1.1753106,0
1.1957188,0
1.2137957,0
1.2319498,0
1.2502642,0
1.2695308,0
1.2914868,0
1.3108096,0
1.3301491,0
1.3494364,0
1.3706904,0
1.3897007,0
1.4090152,0
1.4281276,0
1.4499191,0
1.4692898,0
1.4866876,0
1.5011833,0
1.5203352,0
1.5406538,0
1.553185,0
1.567762,0
1.5789599,0
1.590941,0
1.6054576,0
1.619322,0
1.6328782,0
1.6501385,0
1.6664446,0
1.6787821,0
1.694209,0
1.706186,0
1.7230255,0
1.735615,0
1.7509899,0
1.7671523,0
1.7832938,0
1.7970562,0
1.8132665,0
1.8302205,0
1.84491,0
1.8553662,0
1.8688911,0
1.8862347,0
1.8978409,0
1.9114929,0
1.9248782,0
1.9372594,0
1.9533926,0
1.9676508,0
1.9832278,0
2.0013339,0
2.020513,0
2.0367587,0
2.0526169,0
2.0682459,0
2.0855938,0
2.103202,0
2.1225393,0
2.1419663,0
2.1613953,0
2.1797681,0
2.1959721,0
2.211395,0
2.2273802,0
2.246851,0
2.26503,0
2.2865486,0
2.3060818,0
2.3256858,0
2.345119,0
2.3670064,0
2.3814292,0
2.4006582,0
2.4201206,0
2.44096,0
2.4584036,0
2.4780951,0
2.4975075,0
2.5172907,0
2.5394447,0
2.5590362,0
2.5787611,0
2.5982651,0
2.6178275,0
2.6374586,0
2.657271,0
2.6768709,0
2.6992123,0
2.7189955,0
2.7388329,0
2.7584119,0
2.7809743,0
2.800572,0
2.818899,0
2.8384593,0
2.8605612,0
2.8799007,0
2.8993401,0
2.9168108,0
2.9346398,0
2.9543418,0
2.9737646,0
2.993479,0
3.0130852,0
3.0357746,0
3.0534973,0
3.0731493,0
3.0778722,0
3.0978783,0
3.1177907,0
3.1375259,0
3.1570841,0
3.176559,0
3.1976338,0
3.2172879,0
3.2370627,0
3.2570167,0
3.2617396,0
3.2699271,0
3.2838707,0
3.2919436,0
3.3001644,0
3.3038956,0
3.3070914,0
3.3118851,0
3.3158081,0
3.3191351,0
3.3214601,0
3.323783,0
3.3261059,0
3.3284308,0
3.3334079,0
3.3374412,0
3.3406558,0
3.3429787,0
3.3478099,0
3.3515828,0
3.3547265,0
3.3628848,0
3.3665639,0
3.3696618,0
3.3813472,0
3.3848659,0
3.3882346,0
3.3998595,0
3.4068553,0
3.4114948,0
3.4151178,0
3.4184719,0
3.4218614,0
3.4257907,0
3.4281156,0
3.4304385,0
3.4327634,0
3.4350863,0
3.4374092,0
3.445805,0
3.4494529,0
3.4526633,0
3.4607508,0
3.4643528,0
3.4689924,0
3.4723965,0
3.4757006,0
3.4873381,0
3.4908714,0
3.4939859,0
3.502165,0
3.5127254,0
3.520117,0
3.5342815,0
3.5448397,0
3.5530939,0
3.5561959,0
3.5594521,0
3.5665688,0
3.5736708,0
3.5770291,0
3.5816686,0
3.5887748,0
3.5962623,0
3.5997227,0
3.6030393,0
3.6112143,0
3.6195038,0
3.62296,0
3.6430015,0
3.6545869,0
3.6617618,0
3.6656847,0
3.6687597,0
3.6773888,0
3.6817033,0
3.6846575,0
3.6869825,0
3.6893054,0
3.6916283,0
3.6939533,0
3.6962762,0
3.6985991,0
3.7009241,0
3.703247,0
3.7055698,0
3.7141365,0
3.7179468,0
3.7212718,0
3.729526,0
3.7436384,0
3.7472758,0
3.7553987,0
3.759107,0
3.7619944,0
3.7737485,0
3.7771215,0
3.7802902,0
3.7835714,0
3.7883276,0
3.7914942,0
3.7961317,0
3.799463,0
3.8026858,0
3.8224107,0
3.830544,0
3.8445751,0
3.8520355,0
3.8625542,0
3.8821832,0
3.9018331,0
3.9205412,0
3.9321266,0
3.935337,0
3.9386349,0
3.9418411,0
3.9451827,0
3.949939,0
3.9570285,0
3.9604993,0
3.972018,0
3.9791221,0
3.9827242,0
3.9859887,0
3.9907449,0
3.9941553,0
3.9987949,0
4.0024386,0
4.0071948,0
4.0110531,0
4.0140635,0
4.0163864,0
4.0212739,0
4.0283884,0
4.0319863,0
4.0354071,0
4.03773,0
4.0400529,0
