CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F2_TDCA_AZ-52_48h.raw
Data points: 2925
Time(min),Relative Abundance
0.003719516,0
0.008346549,0
0.011492331,0
0.0138152,0
0.016140198,0
0.018463066,0
0.020786014,0
0.023110981,0
0.025433881,0
0.027756782,0
0.030081768,0
0.032404664,0
0.034729631,0
0.037052531,0
0.049317033,0
0.053552448,0
0.055875316,0
0.058198249,0
0.060523215,0
0.062846131,0
0.065169016,0
0.067493998,0
0.069816898,0
0.072139783,0
0.074464781,0
0.076787697,0
0.079112668,0
0.081435564,0
0.083758449,0
0.086083467,0
0.088406332,0
0.093241715,0
0.095566733,0
0.097889633,0
0.10021253,0
0.10253752,0
0.1048604,0
0.10718538,0
0.10950828,0
0.11183118,0
0.11415617,0
0.11647908,0
0.11880406,0
0.12112695,0
0.12344987,0
0.12577483,0
0.12809775,0
0.13042062,0
0.13274563,0
0.13506853,0
0.13739352,0
0.13971642,0
0.14203931,0
0.1443643,0
0.14668718,0
0.14901008,0
0.15133508,0
0.153658,0
0.15598297,0
0.15830587,0
0.16062877,0
0.16295373,0
0.16527665,0
0.16759955,0
0.16992452,0
0.17224742,0
0.17708492,0
0.1794078,0
0.1817307,0
0.18405568,0
0.18637858,0
0.18870357,0
0.19102648,0
0.19334936,0
0.19567438,0
0.19799725,0
0.20032013,0
0.20264513,0
0.20496803,0
0.20729302,0
0.21279088,0
0.21828678,0
0.2225179,0
0.22801578,0
0.23225325,0
0.23457616,0
0.23690115,0
0.23922405,0
0.24154695,0
0.24387193,0
0.24619483,0
0.24851982,0
0.2508427,0
0.2531656,0
0.2554906,0
0.26031767,0
0.26264055,0
0.26496552,0
0.26728843,0
0.26961131,0
0.27193632,0
0.27425922,0
0.27658422,0
0.2789071,0
0.28123,0
0.28355497,0
0.28587788,0
0.28820078,0
0.29052575,0
0.29284865,0
0.29517365,0
0.29749656,0
0.29981945,0
0.30214445,0
0.30446733,0
0.30679022,0
0.30911521,0
0.31143811,0
0.31376315,0
0.316086,0
0.31840892,0
0.32073392,0
0.32305678,0
0.32537968,0
0.32770467,0
0.33002758,0
0.33235257,0
0.33467545,0
0.33699837,0
0.33932335,0
0.34415245,0
0.34647537,0
0.34880036,0
0.35112326,0
0.35344616,0
0.35577115,0
0.35809405,0
0.36041901,0
0.36274191,0
0.36506688,0
0.3673898,0
0.37599391,0
0.37944178,0
0.39854165,0
0.4174332,0
0.43562685,0
0.4573329,0
0.47633905,0
0.49436597,0
0.51342002,0
0.53249072,0
0.55153431,0
0.57054876,0
0.58958615,0
0.60393605,0
0.61861718,0
0.63706498,0
0.65297943,0
0.67075016,0
0.68825007,0
0.70377285,0
0.72156857,0
0.73957258,0
0.75435792,0
0.7709057,0
0.78566808,0
0.80459922,0
0.82205742,0
0.83848648,0
0.8581676,0
0.87642578,0
0.89341317,0
0.91252762,0
0.93159,0
0.95317733,0
0.97229178,0
0.9915333,0
1.0107123,0
1.0301789,0
1.0470163,0
1.0662203,0
1.0854264,0
1.1039409,0
1.1243657,0
1.1436447,0
1.1628446,0
1.1821216,0
1.204061,0
1.2216192,0
1.2387461,0
1.2579502,0
1.2798688,0
1.2991145,0
1.3182643,0
1.3375788,0
1.3595224,0
1.3771952,0
1.3965388,0
1.4153658,0
1.4341531,0
1.4558196,0
1.4711028,0
1.4890444,0
1.5043984,0
1.5226546,0
1.5399545,0
1.5547043,0
1.5686563,0
1.5802917,0
1.5944582,0
1.6107164,0
1.6221226,0
1.6328663,0
1.6489412,0
1.6646431,0
1.6789035,0
1.6919159,0
1.7072262,0
1.7218573,0
1.7373885,0
1.7494613,0
1.7654404,322827.78125
1.7813923,0
1.7961214,0
1.8133234,0
1.8296753,0
1.8436648,0
1.8573522,0
1.8710396,0
1.8890541,0
1.9011311,0
1.9150851,0
1.9300725,0
1.9430037,0
1.9604827,0
1.9768847,0
1.9938825,0
2.0107428,0
2.0280406,0
2.0435551,0
2.0616028,0
2.0772298,0
2.0923922,0
2.1132129,0
2.1315544,0
2.1509501,0
2.1703938,0
2.1864645,0
2.2031081,0
2.2193059,0
2.2387787,0
2.2575723,0
2.2790784,0
2.2986595,0
2.3182302,0
2.3378218,0
2.359982,0
2.3766319,0
2.3934422,161331.609375
2.4130379,91455.6484375
2.4304273,0
2.4511022,0
2.4687541,0
2.4880811,0
2.5077227,0
2.5300579,0
2.549789,0
2.5693076,0
2.5889929,0
2.6111823,0
2.6306718,0
2.6501945,0
2.6699944,0
2.6923838,0
2.7120754,0
2.7316294,0
2.7514001,0
2.7711729,0
2.793504,0
2.8131038,0
2.8312412,0
2.8507786,0
2.8728221,0
2.8923616,0
2.9083927,0
2.9260197,0
2.9455112,0
2.9652152,0
2.9847859,0
3.0044067,0
3.0268523,0
3.046623,0
3.0648666,0
3.0845373,0
3.1042851,0
3.1090413,0
3.1290266,0
3.148814,0
3.1570597,0
3.176495,0
3.1975219,0
3.2170551,0
3.2368446,0
3.256734,0
3.2710339,0
3.2872901,0
3.3036295,0
3.3068191,0
3.3185503,0
3.3221481,0
3.325446,0
3.330221,0
3.333921,0
3.3372647,0
3.3482542,0
3.3519563,0
3.3550958,0
3.3632666,0
3.3668145,0
3.3699999,0
3.3816936,0
3.3887519,0
3.3919831,0
3.3953414,0
3.4069976,0
3.4139954,0
3.4174954,0
3.4208829,0
3.4246933,0
3.4293349,0
3.4330141,0
3.4363328,0
3.4411452,0
3.445789,0
3.4494869,0
3.4527722,0
3.4610263,0
3.4692075,0
3.4738679,0
3.480945,0
3.4879824,0
3.4914449,0
3.4947324,0
3.5029532,0
3.513426,0
3.5209051,0
3.5279946,0
3.5386883,0
3.5503632,0
3.5535841,0
3.5566278,0
3.5599028,0
3.566984,0
3.5702923,0
3.5773922,0
3.5807401,0
3.5839422,0
3.5872817,0
3.5909171,0
3.5956046,0
3.6002441,0
3.6072941,0
3.6143732,0
3.6305501,0
3.6338834,0
3.6505417,0
3.6552,0
3.6623103,0
3.6731165,0
3.6807873,0
3.6848081,0
3.688181,0
3.690506,6431.1259765625
3.6928289,0
3.6951518,0
3.6974768,0
3.6997997,0
3.7021226,0
3.7073538,0
3.7122871,0
3.719712,0
3.726912,0
3.7340682,0
3.7446098,0
3.7551972,0
3.7586097,0
3.7622721,0
3.7705242,0
3.7751637,0
3.7784449,0
3.7815428,0
3.7848699,0
3.7895157,0
3.7926115,0
3.799674,0
3.8067552,0
3.8172155,0
3.8242988,0
3.8404237,0
3.8627256,0
3.8845879,0
3.9041316,0
3.9240918,0
3.9288147,0
3.9370376,0
3.9402875,0
3.9484083,0
3.9555103,0
3.9601499,0
3.9706394,0
3.9739707,0
3.9773144,0
3.9820685,0
3.9856164,0
3.988708,0
3.9969621,0
4.0016017,0
4.0063579,0
4.0101891,0
4.0131766,0
4.0155016,0
4.0178245,0
4.0201474,0
4.0224724,0
4.0247953,0
4.0271182,0
4.0294431,0
4.0317661,0
4.0340911,0
4.036414,0
4.0387369,0
4.0410618,0
4.0433847,0
4.0457076,0
4.0538618,0
4.0574409,0
4.0605596,0
4.0652721,0
4.0687054,0
4.0719637,0
4.0751241,0
4.077447,0
4.079772,0
4.0820949,0
4.0844178,0
4.0867428,0
4.0890657,0
4.0928053,0
4.0951281,0
4.0974531,0
4.099776,0
4.1020989,0
4.1044239,0
4.1067468,0
4.1090697,0
4.1137155,0
4.1171863,0
4.1205134,0
4.1236862,0
4.1283237,0
4.1424257,0
4.1459278,0
4.1491173,0
4.1523735,0
4.1555548,0
4.1588568,0
4.1670943,0
4.1704818,0
