CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F3_TCDCA_AZ-52_48h.raw
Data points: 2917
Time(min),Relative Abundance
0.003721483,0
0.008344316,0
0.011483883,0
0.013806767,0
0.01613175,0
0.018454666,0
0.020777566,0
0.023102549,0
0.025425433,0
0.027750432,0
0.030073332,0
0.032396232,0
0.034721199,0
0.037044099,0
0.045927416,0
0.050160701,0
0.052485668,0
0.054808584,0
0.057133567,0
0.059456451,0
0.061779351,0
0.067291851,0
0.07152305,0
0.07384595,0
0.076170932,0
0.078493833,0
0.080816733,0
0.0831417,0
0.085464616,0
0.0877875,0
0.092625065,0
0.094949968,0
0.097272868,0
0.099595764,0
0.10192075,0
0.10424363,0
0.10656862,0
0.10889152,0
0.11121441,0
0.11353942,0
0.11586232,0
0.11818522,0
0.12051018,0
0.12283308,0
0.12515808,0
0.12748098,0
0.12980388,0
0.13212887,0
0.13445177,0
0.13677467,0
0.13909965,0
0.14142253,0
0.14374753,0
0.14607043,0
0.14839333,0
0.15071831,0
0.1530412,0
0.15536412,0
0.15768908,0
0.16001198,0
0.162337,0
0.1646599,0
0.16698278,0
0.16930778,0
0.17163067,0
0.17646615,0
0.17878893,0
0.18111395,0
0.18343683,0
0.18575975,0
0.18808472,0
0.19040762,0
0.1927326,0
0.1950555,0
0.19737842,0
0.19970338,0
0.2020263,0
0.20434918,0
0.20667417,0
0.21217203,0
0.2176741,0
0.2219053,0
0.2242303,0
0.22655318,0
0.2288782,0
0.23120108,0
0.23352397,0
0.2390656,0
0.24328225,0
0.24560513,0
0.24793012,0
0.25025303,0
0.25257595,0
0.2549009,0
0.2597468,0
0.2620717,0
0.26439458,0
0.26671958,0
0.26904248,0
0.27136538,0
0.27369037,0
0.27601325,0
0.27833617,0
0.28066115,0
0.28298405,0
0.28530902,0
0.28763193,0
0.28995483,0
0.29227981,0
0.29460272,0
0.29692562,0
0.2992506,0
0.30157348,0
0.3038964,0
0.30622138,0
0.30854428,0
0.31086927,0
0.31319217,0
0.31551507,0
0.31784005,0
0.32016295,0
0.32248587,0
0.32481085,0
0.32713373,0
0.32945873,0
0.33178162,0
0.33410453,0
0.33642952,0
0.33875238,0
0.34360042,0
0.34592318,0
0.34824817,0
0.35057108,0
0.35289397,0
0.35521895,0
0.35754185,0
0.35986685,0
0.36218972,0
0.36451265,0
0.36683763,0
0.3691605,0
0.37407927,0
0.3810646,0
0.40011862,0
0.41867682,0
0.43769963,0
0.4581453,0
0.47637018,0
0.4936763,0
0.51270742,0
0.5317802,0
0.55082797,0
0.56983825,0
0.5889194,0
0.60502343,0
0.62079623,0
0.63839615,0
0.65539392,0
0.67325628,0
0.69126035,0
0.7067248,0
0.7245601,0
