CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_F5_TCA_AZ-52_48h.raw
Data points: 2870
Time(min),Relative Abundance
0.0037255,0
0.0083588,0
0.011498315,0
0.013823246,0
0.016146182,0
0.018469082,0
0.020794065,0
0.023116965,0
0.025441932,0
0.027764848,0
0.030087748,0
0.032412715,0
0.034735631,0
0.037058516,0
0.045943863,0
0.050175082,0
0.055675033,0
0.059733366,0
0.062056266,0
0.064381233,0
0.066704165,0
0.06902705,0
0.071352032,0
0.073674948,0
0.075999915,0
0.078322815,0
0.080645715,0
0.082970682,0
0.085293598,0
0.087616483,0
0.092451897,0
0.094776864,0
0.09709978,0
0.099424747,0
0.10174765,0
0.10407055,0
0.10639553,0
0.10871845,0
0.11104133,0
0.11336631,0
0.11568921,0
0.11801422,0
0.12033708,0
0.12266,0
0.12498498,0
0.12730786,0
0.12963078,0
0.13195577,0
0.13427867,0
0.13660365,0
0.13892655,0
0.14124947,0
0.14357445,0
0.14589735,0
0.14822025,0
0.15054521,0
0.15286812,0
0.15519102,0
0.157516,0
0.1598389,0
0.1621639,0
0.1644868,0
0.16680968,0
0.16913468,0
0.17145756,0
0.1762888,0
0.1786117,0
0.18093668,0
0.18325958,0
0.18558456,0
0.18790746,0
0.19023035,0
0.19255535,0
0.19487823,0
0.19720115,0
0.19952613,0
0.20184903,0
0.20417401,0
0.2064969,0
0.2119927,0
0.21749058,0
0.2217197,0
0.22721758,0
0.23145305,0
0.2337759,0
0.23610086,0
0.23842378,0
0.24074668,0
0.24307163,0
0.24539456,0
0.24771953,0
0.25004243,0
0.25236537,0
0.25469033,0
0.25952361,0
0.26184653,0
0.26417148,0
0.2664944,0
0.2688173,0
0.27114228,0
0.2734652,0
0.2757881,0
0.27811307,0
0.28043597,0
0.28276095,0
0.28508387,0
0.28740677,0
0.28973175,0
0.29205465,0
0.29437755,0
0.29670252,0
0.29902543,0
0.30135041,0
0.30367333,0
0.30599621,0
0.30832121,0
0.3106441,0
0.312967,0
0.31529198,0
0.31761486,0
0.31993986,0
0.32226276,0
0.32458568,0
0.32691065,0
0.32923357,0
0.33155645,0
0.33388143,0
0.33620435,0
0.33852932,0
0.34336053,0
0.34568551,0
0.34800841,0
0.35033131,0
0.3526563,0
0.35497918,0
0.3573042,0
0.3596271,0
0.36194998,0
0.36427498,0
0.36659788,0
0.36892075,0
0.37391241,0
0.38766853,0
0.40665591,0
0.4242287,0
0.44474521,0
0.463218,0
0.47983663,0
0.49768027,0
0.51669888,0
0.53574873,0
0.55484861,0
0.57385888,0
0.5918817,0
0.60536286,0
0.62095025,0
0.63812511,0
0.6562,0
0.67189988,0
0.69103306,0
0.70789338,0
0.72377453,0
0.74050148,0
0.75601388,0
0.7708617,0
0.78564698,0
0.80471768,0
0.82283422,0
0.83822788,0
0.85789648,0
0.87698383,0
0.89617745,0
0.91313983,0
0.93221888,0
0.9538833,0
0.97319358,0
0.99239345,0
1.0115746,0
1.0312953,0
1.0489055,0
1.0681033,0
1.0873199,0
1.1061801,0
1.1242738,0
1.1435382,0
1.1627172,0
1.1820171,0
1.2039295,0
1.2220377,0
1.2401563,0
1.2593478,0
1.2814268,0
1.3006663,0
1.3199724,0
1.3392077,0
1.3610929,0
1.3788886,0
1.3978427,0
1.4169863,0
1.4358174,0
1.4577527,0
1.4756588,0
1.4915566,0
1.5072752,0
1.5257938,0
1.5414958,0
1.5570291,0
1.5686727,0
1.5808643,0
1.5968746,0
1.610562,0
1.6229557,0
1.6368222,0
1.651895,0
1.6685262,0
1.6823698,0
1.6966385,0
1.7132634,0
1.7255612,0
1.739634,0
1.7564047,0
1.7705234,0
1.788117,0
1.8018544,0
1.8165501,0
1.83445,0
1.8503124,0
1.8642394,0
1.8794893,0
1.8925913,0
1.9050287,0
1.9178869,0
1.9296535,0
1.946195,0
1.9600741,0
1.9774407,0
1.9930906,0
2.0105759,0
2.0283403,0
2.0454631,0
2.0617797,0
2.0756067,0
2.0927503,0
2.1134876,0
2.1317312,0
2.1512603,0
2.1701935,0
2.1884788,0
2.2062599,0
2.2238494,0
2.241718,0
2.2610616,0
2.2825364,0
2.3015655,0
2.3212091,0
2.3406402,0
2.36234,0
2.3765587,0
2.3959461,0
2.4154438,0
2.4351395,0
2.4533727,0
2.4721893,0
2.4919329,0
2.5113265,0
2.5337992,0
2.5530324,0
2.572724,0
2.5924093,0
2.614757,0
2.6344444,0
2.6539672,0
2.673865,0
2.6961085,0
2.7159,0
2.7356437,0
2.7553977,0
2.7778538,0
2.7972266,0
2.8168202,0
2.8216097,0
2.8410867,0
2.8632886,0
2.8826655,0
2.9021988,0
2.9184486,0
2.9360422,0
2.9556734,0
2.9744795,0
2.9942543,0
3.0137313,0
3.0362645,0
3.0542206,0
3.0739121,0
3.0935536,0
3.1160056,0
3.1242826,0
3.1440991,0
3.1636094,0
3.183103,0
3.2052695,0
3.224859,0
3.2332172,0
3.25304,0
3.2604879,0
3.2802378,0
3.2883252,0
3.3024167,0
3.3071563,0
3.3107792,0
3.3141292,0
3.3174625,0
3.3197875,0
3.3221104,0
3.3244333,0
3.3267583,0
3.3290811,0
3.3339186,0
3.3376999,0
3.3416769,0
3.3464186,0
3.3499227,0
3.3532206,0
3.3613934,0
3.3647413,0
3.3680434,0
3.3797308,0
3.3831891,0
3.3862953,0
3.3944661,0
3.3976869,0
3.4010348,0
3.405741,0
3.4137639,0
3.4172472,0
3.4205722,0
3.424443,0
3.427195,0
3.429518,0
3.4318429,0
3.4484346,0
3.4517282,0
3.4563699,0
3.4598969,0
3.4631802,0
3.4678677,0
