CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_G10_GCA_EcAZ-1-cat_48h.raw
Data points: 2884
Time(min),Relative Abundance
0.003714835,0
0.008341935,0
0.011487666,0
0.013810534,0
0.016135533,0
0.018458417,0
0.020781333,0
0.023106316,0
0.025429216,0
0.027754199,0
0.030077099,0
0.032399999,0
0.034724966,0
0.037047866,0
0.0459395,0
0.050170699,0
0.052493619,0
0.054818602,0
0.057141482,0
0.059464382,0
0.061789385,0
0.064112269,0
0.066435165,0
0.068760168,0
0.071083052,0
0.073408066,0
0.075730951,0
0.078053851,0
0.080378834,0
0.082701702,0
0.085024634,0
0.087349601,0
0.092183017,0
0.0945079,0
0.0968308,0
0.099153685,0
0.10147868,0
0.10380157,0
0.10612657,0
0.10844947,0
0.11077237,0
0.11309735,0
0.11542025,0
0.11774315,0
0.12006812,0
0.12239103,0
0.124716,0
0.12703893,0
0.12936182,0
0.13168682,0
0.13400972,0
0.1363326,0
0.13865758,0
0.14098049,0
0.14330337,0
0.14562838,0
0.14795128,0
0.15027627,0
0.15259915,0
0.15492205,0
0.15724703,0
0.15956993,0
0.16189285,0
0.16421783,0
0.16654073,0
0.16886574,0
0.17118858,0
0.17601787,0
0.1783427,0
0.18066564,0
0.1829906,0
0.18531348,0
0.1876364,0
0.1899614,0
0.19228429,0
0.19460719,0
0.19693217,0
0.19925505,0
0.20157798,0
0.20390295,0
0.20622585,0
0.21172373,0
0.21722162,0
0.22145282,0
0.22377782,0
0.2261007,0
0.22842568,0
0.2307486,0
0.2330715,0
0.23539648,0
0.23771937,0
0.24004228,0
0.24236725,0
0.24469018,0
0.24701515,0
0.24933807,0
0.25166093,0
0.25398595,0
0.25881722,0
0.26114007,0
0.26346293,0
0.26578795,0
0.26811083,0
0.27043372,0
0.27275873,0
0.27508162,0
0.2774066,0
0.2797295,0
0.28205242,0
0.2843774,0
0.28670028,0
0.2890232,0
0.29134818,0
0.29367107,0
0.29599605,0
0.29831895,0
0.30064183,0
0.30296685,0
0.30528973,0
0.30761263,0
0.30993764,0
0.31226052,0
0.31458552,0
0.3169084,0
0.31923132,0
0.3215563,0
0.3238792,0
0.3262021,0
0.32852708,0
0.33084998,0
0.33317495,0
0.33549788,0
0.33782075,0
0.34266458,0
0.34498738,0
0.34731028,0
0.34963525,0
0.35195817,0
0.35428313,0
0.35660607,0
0.35892895,0
0.36125397,0
0.36357685,0
0.36590182,0
0.3682247,0
0.37345178,0
0.37710797,0
0.39621617,0
0.40427028,0
0.42269725,0
0.44257417,0
0.46157405,0
0.47816354,0
0.49547588,0
0.51454033,0
0.5335902,0
0.55265465,0
0.57171077,0
0.5907669,0
0.60547095,0
0.62242917,0
0.63944364,0
0.65863723,0
0.67613505,0
0.69440782,0
0.71153479,0
0.72871175,0
0.74289705,0
0.75991153,0
0.77807182,0
0.796905,0
0.8152674,0
0.8316006,0
0.85006088,0
0.86848783,0
0.88762728,0
0.90677508,0
0.92592077,0
0.94741437,0
0.96656007,0
0.98580575,0
1.0049806,0
1.0246992,0
1.0429928,0
1.0622156,0
1.0813905,0
1.1004029,0
1.1184715,0
1.1377505,0
1.1569462,0
1.1761669,0
1.1981022,0
1.2155833,0
1.2337478,0
1.2529268,0
1.2748517,0
1.2942057,0
1.3135014,0
1.332795,0
1.3519803,0
1.3740384,0
1.3923529,0
1.411584,0
1.430761,0
1.4513733,0
1.469469,0
1.4873501,0
1.5028375,0
1.5214687,0
1.5382269,0
1.5510664,0
1.5666413,0
1.5802412,0
1.591689,0
1.6054889,0
1.6194638,0
1.6317387,0
1.6481594,0
1.6631802,0
1.6772655,0
1.6939299,0
1.7079049,0
1.7224568,0
1.7374442,0
1.7535087,0
1.7731815,0
1.7902355,0
1.8019813,0
1.8172374,0
1.8357185,0
1.8497081,0
1.8624142,0
1.8774224,0
1.890714,535335
1.9046514,0
1.917843,0
1.9297366,0
1.9447678,0
1.9583552,0
1.9748717,0
1.9902174,0
2.0092319,0
2.0286984,0
2.0427108,0
2.058517,0
2.0743689,0
2.0897897,0
2.111002,0
2.1303769,0
2.1496892,0
2.167587,0
2.1870327,0
2.2045763,0
2.2204887,0
2.2381282,0
2.2564052,0
2.2760321,0
2.2952674,0
2.3145381,0
2.3340567,0
2.3534399,0
2.374846,0
2.3895063,0
2.4089395,0
2.4284998,89937.296875
2.4504642,0
2.4662703,0
2.4857431,0
2.5052138,0
2.5275907,0
2.5471239,0
2.5661092,0
2.585755,0
2.6082027,0
2.6276317,0
2.6471024,0
2.6666877,0
2.686425,15799.7939453125
2.7060957,0
2.7259018,0
2.7454705,0
2.7651557,0
2.7876535,0
2.8071221,0
2.826672,0
2.8314032,0
2.850501,27568.072265625
2.8727195,0
2.8921653,0
2.9117339,0
2.9297442,0
2.9493315,0
2.9670689,0
2.98605,0
3.0049728,0
3.0273831,0
3.0469329,0
3.0654474,10323.37109375
3.0853889,0
3.1052471,0
3.1099533,0
3.1263761,0
3.1346615,0
3.1547092,0
3.1742258,0
3.196386,0
3.2159588,0
3.2353774,0
3.255044,0
3.2751813,0
3.2798188,0
3.284675,0
3.2952062,0
3.3057061,0
3.3163727,0
3.3211123,0
3.3316268,0
3.3386184,0
3.3422392,0
3.3455829,0
3.3487287,0
3.3510516,0
3.3558224,0
3.3594432,0
3.3626807,0
3.3650057,0
3.3673286,0
3.3721244,0
3.3757431,0
3.3790868,0
3.3838514,0
3.3909326,0
3.3955742,0
3.40262,0
3.4096158,0
3.4166762,0
3.420172,0
3.4238365,0
3.435449,0
3.4387302,0
3.4420968,0
3.4502364,0
3.4573926,0
3.4609967,0
3.4643841,0
3.4690883,0
3.4724821,0
3.4758653,0
3.4806715,0
3.4842944,0
3.489034,0
3.4924798,0
3.4958173,0
3.498936,0
3.501261,0
3.5059964,0
3.5098963,0
3.512738,0
3.5174671,0
3.5279274,0
3.5384274,0
3.5490023,0
3.564998,0
3.5812083,0
3.5894124,0
3.5929832,0
3.5959374,0
3.5982624,0
3.6005853,0
3.6029103,0
3.6052332,0
3.6075561,0
3.6098811,0
3.612204,0
3.6145268,0
3.6226206,0
3.6297122,0
3.6332913,0
3.6364538,0
3.6481954,0
3.6553016,0
3.6694223,0
3.6728077,0
3.6765556,0
3.688393,5895.13134765625
3.6955638,0
3.6994138,6163.47802734375
3.7028033,0
3.7051283,0
3.7074512,0
3.7097741,0
3.7120991,0
3.714422,6271.59130859375
3.716747,0
3.7190699,0
3.7213928,0
3.7237178,0
3.7260406,0
3.7283635,0
3.7306885,0
3.7330114,0
3.738101,0
3.7431572,0
3.7505676,0
3.7545134,0
3.7585654,0
3.7749591,0
3.7781882,0
3.7979297,0
3.8060713,0
3.813163,0
3.8165025,0
3.8197546,0
3.8268587,0
3.8374232,0
3.8445148,0
3.8553648,0
3.8694167,0
3.8765292,0
3.8949874,0
3.914456,0
3.9339183,0
3.9483995,0
3.9531391,0
3.9637223,0
3.9670306,0
3.9716702,0
3.9752347,0
3.978341,0
3.9830951,0
3.9902097,0
3.9939055,0
3.997172,0
4.0018658,0
4.005197,0
4.0085782,0
4.0132845,0
4.0166407,0
4.0199198,0
4.0232198,0
4.0279739,0
4.0312677,0
4.0346197,0
4.0377864,0
4.042553,0
4.0460738,0
4.0494009,0
4.052653,0
4.0549758,0
4.0572988,0
4.0596237,0
4.064357,0
4.0680424,0
4.0713091,0
4.0736319,0
4.0759549,0
4.0782798,0
4.0806027,0
4.0829277,0
4.0852506,0
4.089911,0
4.093861,0
