CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_G12_BHI_50DMSO_25MeOH.raw
Data points: 2933
Time(min),Relative Abundance
0.003755767,0
0.008376502,0
0.0115265,0
0.013849401,0
0.016174367,0
0.018497283,0
0.020820184,0
0.023145166,0
0.025468067,0
0.027793049,0
0.030115949,0
0.032438834,0
0.034763816,0
0.037086716,0
0.045980433,0
0.050207483,0
0.052530415,0
0.054855366,0
0.057178266,0
0.059501166,0
0.061826149,0
0.064149017,0
0.066471949,0
0.068796932,0
0.071119832,0
0.073444799,0
0.075767699,0
0.078090615,0
0.080415582,0
0.082738482,0
0.085061398,0
0.087386349,0
0.092219682,0
0.094544684,0
0.096867549,0
0.099190485,0
0.10151542,0
0.10383833,0
0.10616125,0
0.10848622,0
0.11080913,0
0.11313412,0
0.115457,0
0.11777992,0
0.12010488,0
0.1224278,0
0.1247507,0
0.12707568,0
0.12939858,0
0.13172148,0
0.13404645,0
0.13636937,0
0.13869433,0
0.14101723,0
0.14334019,0
0.14566513,0
0.14798805,0
0.15031093,0
0.15263592,0
0.1549588,0
0.1572838,0
0.1596067,0
0.1619317,0
0.1642546,0
0.16657958,0
0.16890248,0
0.17122535,0
0.17605657,0
0.17838159,0
0.18070449,0
0.18302737,0
0.18535237,0
0.18767527,0
0.19000438,0
0.19232938,0
0.1946523,0
0.19697728,0
0.19930225,0
0.20162513,0
0.20395013,0
0.20627302,0
0.21177299,0
0.21727088,0
0.2215,0
0.22382292,0
0.2261479,0
0.22847082,0
0.2307937,0
0.2331187,0
0.23544158,0
0.23776446,0
0.24008945,0
0.24241237,0
0.24473735,0
0.24706025,0
0.24938317,0
0.25170812,0
0.25403105,0
0.25886223,0
0.26118515,0
0.26351013,0
0.26583305,0
0.26815802,0
0.27048093,0
0.27280382,0
0.27512882,0
0.27745169,0
0.2797767,0
0.2820996,0
0.28442457,0
0.28674747,0
0.28907037,0
0.29139537,0
0.29371825,0
0.29604115,0
0.29836615,0
0.30068905,0
0.30301404,0
0.30533694,0
0.30765983,0
0.30998482,0
0.3123077,0
0.3146306,0
0.3169556,0
0.31927852,0
0.32160348,0
0.32392637,0
0.32624927,0
0.32857427,0
0.33089715,0
0.33322007,0
0.33554503,0
0.33786793,0
0.34270335,0
0.34502833,0
0.3473512,0
0.34967618,0
0.3519991,0
0.354322,0
0.356647,0
0.35896988,0
0.36129278,0
0.36361777,0
0.36594065,0
0.3744406,0
0.38826133,0
0.3962821,0
0.41521947,0
0.43353185,0
0.45292753,0
0.4717149,0
0.48981477,0
0.50697923,0
0.52106247,0
0.54006442,0
0.55903928,0
0.57806834,0
0.5944224,0
0.61158058,0
0.62746797,0
0.64525537,0
0.66286357,0
0.6781572,0
0.69939663,0
0.71591527,0
0.73209223,0
0.74776712,0
0.76695867,0
0.7860481,0
0.80409588,0
0.82271868,0
0.83972898,0
0.86048507,0
0.87581832,0
0.89488692,0
0.9140722,0
0.93324292,0
0.95481358,0
0.97404887,0
0.9932154,0
1.0123903,0
1.0321985,0
1.0495983,0
1.0687961,0
1.0879293,0
1.1072479,0
1.1250665,0
1.1442352,0
1.1634579,0
1.1826807,0
1.2032035,0
1.2202013,0
1.2383887,0
1.2572948,0
1.2793238,0
1.2985716,0
1.3178818,0
1.3370817,0
1.3591107,0
1.3783043,0
1.3975188,0
1.4163083,0
1.4348414,0
1.4567517,0
1.4759995,0
1.4892119,0
1.5059889,0
1.525595,0
1.5421886,0
1.556226,0
1.5724676,0
1.5879862,0
1.6013549,0
1.6174777,0
1.6311693,0
1.6443567,0
1.6604628,0
1.6745606,0
1.6917792,0
1.7065666,0
1.7227332,0
1.7380685,0
1.7528017,0
1.7700599,0
1.7866473,0
1.800291,0
1.8124117,0
1.8313491,0
1.8455823,0
1.8594093,0
1.8733467,0
1.888257,0
1.9000861,0
1.9149756,0
1.9271693,0
1.9391025,0
1.9554107,0
1.9720231,0
1.9878084,0
2.0070687,0
2.0276393,0
2.0415935,0
2.0583808,0
2.073114,0
2.0890056,0
2.1101721,0
2.1288199,0
2.1481198,0
2.1675613,0
2.1860174,0
2.2042693,0
2.2201943,0
2.2379858,0
2.2575294,0
2.2770397,0
2.2956833,0
2.3144832,0
2.3340122,0
2.3534204,0
2.3730765,0
2.3904347,0
2.4101929,0
2.429672,0
2.4514322,0
2.4662384,0
2.4858903,0
2.5052881,0
2.5274962,0
2.5472295,0
2.5666335,0
2.5862458,0
2.6085998,0
2.6281331,0
2.6476996,0
2.6672869,0
2.6870264,0
2.70922,0
2.7289282,0
2.7371656,0
2.7569509,0
2.7793507,0
2.7986339,0
2.817113,0
2.836242,0
2.8585627,0
2.877975,0
2.8975666,0
2.9170414,0
2.9341538,0
2.9503766,0
2.9699744,0
2.9886868,0
3.008397,0
3.0307302,0
3.0505176,0
3.0691924,0
3.0890173,0
3.1086943,0
3.1134505,0
3.1332899,0
3.153046,0
3.1578022,0
3.1773188,0
3.1983853,0
3.2179226,0
3.2374642,0
3.2576328,0
3.2801264,0
3.2882326,0
3.2964054,0
3.3162636,0
3.3209553,0
3.3289802,0
3.3326031,0
3.3359635,0
3.340703,0
3.3446384,0
3.3476134,0
3.3523363,0
3.3560404,0
3.3591488,0
3.3614737,0
3.3637966,0
3.3720028,0
3.3836903,0
3.3908069,0
3.3978672,0
3.4049276,0
3.415388,0
3.4224233,0
3.4260399,0
3.4290941,0
3.4324566,0
3.4372211,0
3.4407357,0
3.4440503,0
3.4473981,0
3.4638647,0
3.4670209,0
3.4693438,0
3.4716667,0
3.4739917,0
3.4787312,0
3.4857708,0
3.4928561,0
3.4974936,0
3.5021352,0
3.5092143,0
3.5127914,0
3.5158435,0
3.5354767,0
3.5552015,0
3.5599411,0
3.5669431,0
3.5701806,0
3.5732598,0
3.5803597,0
3.5874638,0
3.5908492,0
3.5944242,0
3.5973387,0
3.6090241,0
3.6160782,0
3.6231677,0
3.6313718,0
3.6476821,0
3.6510717,0
3.6544487,0
3.66263,0
3.6698195,0
3.6814111,0
